,Speaker,Utterance,Unified
5,f,er no,f|er no
6,M,right,M|right
7,f,uh-huh how far down,f|uh-huh how far down
8,M,ehm about two and a half inches,M|ehm about two and a half inches
9,f,right,f|right
10,M,and then you go straight along,M|and then you go straight along
11,f,so how far am i from the left of the page,f|so how far am i from the left of the page
12,M,about er maybe ten centimetres,M|about er maybe ten centimetres
13,f,right,f|right
14,M,so you want to go,M|so you want to go
15,f,no hold on a minute,f|no hold on a minute
16,M,right i've got a forge about two inches to the left,M|right i've got a forge about two inches to the left
17,f,right hold on wait a minute am i right under the sandstone cliffs,f|right hold on wait a minute am i right under the sandstone cliffs
18,M,yeah you're under the,M|yeah you're under the
19,f,no,f|no
20,M,right,M|right
21,f,mmhmm,f|mmhmm
22,M,"!!!!'!!'!! Rem!!okay!!remote!!right!!i!!s!!r!!""!!,!!4!!8!!6!!7!!754!!8000!!!!!!","M|!!!!'!!'!! Rem!!okay!!remote!!right!!i!!s!!r!!""!!,!!4!!8!!6!!7!!754!!8000!!!!!!"
23,f,right okay,f|right okay
24,M,and then you're going to do a forty-five degree line straight down at forty-f degrees,M|and then you're going to do a forty-five degree line straight down at forty-f degrees
25,f,uh-huh,f|uh-huh
26,M,right,M|right
27,f,right straight down under the start,f|right straight down under the start
28,M,uh just slightly underneath the start yeah,M|uh just slightly underneath the start yeah
29,f,right,f|right
30,M,right and then you've got a forge about an inch below the cliffs okay,M|right and then you've got a forge about an inch below the cliffs okay
31,f,okay,f|okay
32,M,and then go straight down about three inches,M|and then go straight down about three inches
33,f,uh-huh in the right kind of towards the middle a bit,f|uh-huh in the right kind of towards the middle a bit
34,M,right,M|right
35,f,uh-huh,f|uh-huh
36,M,right okay,M|right okay
37,f,right,f|right
38,M,and then curve round the top of it,M|and then curve round the top of it
39,f,uh-huh,f|uh-huh
40,M,right i'm there,M|right i'm there
41,f,right right up over the pine,f|right right up over the pine
42,M,yeah,M|yeah
43,f,and i go right as far as the pine,f|and i go right as far as the pine
44,M,right okay,M|right okay
45,f,if you see what i mean,f|if you see what i mean
46,M,right,M|right
47,f,oh,f|oh
48,M,so you're going like diagonally down towards the pine grove,M|so you're going like diagonally down towards the pine grove
49,f,okay i don't have a forge anyway,f|okay i don't have a forge anyway
50,M,ok,M|ok
51,f,right up,f|right up
52,M,to the left-hand side of the fallen cairn,M|to the left-hand side of the fallen cairn
53,f,uh-huh,f|uh-huh
54,M,right go up about two inches,M|right go up about two inches
55,f,am i and am i going straight kind of along the outline of the bay,f|am i and am i going straight kind of along the outline of the bay
56,M,no you're just going straight along,M|no you're just going straight along
57,f,uh-huh,f|uh-huh
58,M,right okay,M|right okay
59,f,uh-huh,f|uh-huh
60,M,right,M|right
61,f,yeah,f|yeah
62,M,"right well just draw a line straight down 'til you're at the ""e"" of concealed hideout","M|right well just draw a line straight down 'til you're at the ""e"" of concealed hideout"
63,f,uh-huh,f|uh-huh
64,M,yeah okay,M|yeah okay
65,f,it's just in the centre of the page at the top very top,f|it's just in the centre of the page at the top very top
66,M,uh right okay right,M|uh right okay right
67,f,erm about an inch and a half,f|erm about an inch and a half
68,M,right,M|right
69,f,uh-huh okay,f|uh-huh okay
70,M,"right so you're going down and then you're doing a ""u"" round the top of the bay","M|right so you're going down and then you're doing a ""u"" round the top of the bay"
71,f,mmhmm,f|mmhmm
72,M,right,M|right
73,f,no,f|no
74,M,right okay right,M|right okay right
75,f,oh yeah uh-huh,f|oh yeah uh-huh
76,M,you've got wheat fields down below that,M|you've got wheat fields down below that
77,f,mmhmm,f|mmhmm
78,M,okay then you go straight down for about five centimetres,M|okay then you go straight down for about five centimetres
79,f,i don't understand say that again,f|i don't understand say that again
80,M,right okay,M|right okay
81,f,where is your wheatfields,f|where is your wheatfields
82,M,ehm about two inches to the right of the bakery,M|ehm about two inches to the right of the bakery
83,f,mmhmm,f|mmhmm
84,M,right,M|right
85,f,right,f|right
86,M,right okay,M|right okay
87,f,right i'm going down past the pine forest in an arch towards the wheatfields,f|right i'm going down past the pine forest in an arch towards the wheatfields
88,M,well go right down past them so you're on the left of the wheat,M|well go right down past them so you're on the left of the wheat
89,f,no,f|no
90,M,right okay,M|right okay
91,f,right okay,f|right okay
92,M,right,M|right
93,f,okay,f|okay
94,M,right and then do you have a meadow up at the top,M|right and then do you have a meadow up at the top
95,f,right,f|right
96,M,and then you go along right,M|and then you go along right
97,f,right,f|right
98,M,"right now we want to go to the right and we're going to do it in a sort of ""u"" shape","M|right now we want to go to the right and we're going to do it in a sort of ""u"" shape"
99,f,and i'm going am i going straight down,f|and i'm going am i going straight down
100,M,uh-huh,M|uh-huh
101,f,uh-huh right okay,f|uh-huh right okay
102,M,okay,M|okay
103,f,i'm i'm going down and round,f|i'm i'm going down and round
104,M,right just go down and then round the side of it on the left-hand,M|right just go down and then round the side of it on the left-hand
105,f,uh-huh right now where,f|uh-huh right now where
106,M,!!!'!!!'!!2018!!2017!! 2017!! 2018!!,M|!!!'!!!'!!2018!!2017!! 2017!! 2018!!
107,f,uh-huh,f|uh-huh
108,M,right,M|right
109,f,no,f|no
110,M,no right so where are you in relation to the left-hand side of the page just now,M|no right so where are you in relation to the left-hand side of the page just now
111,f,mmhmm,f|mmhmm
112,M,and then you go up about two and a two,M|and then you go up about two and a two
113,f,uh-huh right round to the left,f|uh-huh right round to the left
114,M,uh,M|uh
115,f,right okay,f|right okay
116,M,right and then you go down to the bottom of the map,M|right and then you go down to the bottom of the map
117,f,uh-huh,f|uh-huh
118,M,"just just go round the side of it and stop at the ""e"" er ""e""-shaped bit","M|just just go round the side of it and stop at the ""e"" er ""e""-shaped bit"
119,f,uh-huh,f|uh-huh
120,M,right okay so i'm going up and round,M|right okay so i'm going up and round
121,f,mmhmm right okay,f|mmhmm right okay
122,M,right and then go to your right about two inches,M|right and then go to your right about two inches
123,f,hmm,f|hmm
124,M,and then you go to your right,M|and then you go to your right
125,f,uh-huh,f|uh-huh
126,M,right just go down to there,M|right just go down to there
127,f,uh-huh,f|uh-huh
128,M,and stop,M|and stop
129,f,yeah okay,f|yeah okay
130,M,right,M|right
131,f,uh-huh,f|uh-huh
132,M,"and then do a sort of ""u""-shape round the top of the rocket","M|and then do a sort of ""u""-shape round the top of the rocket"
133,f,yeah kind of directly underneath the warehouse,f|yeah kind of directly underneath the warehouse
134,M,right okay,M|right okay
135,f,uh-huh,f|uh-huh
136,M,right,M|right
137,f,it's right next to the lighthouse,f|it's right next to the lighthouse
138,M,right okay,M|right okay
139,f,right okay and just go straight down,f|right okay and just go straight down
140,M,uh-uh,M|uh-uh
141,f,uh-huh,f|uh-huh
142,M,and then along to your right,M|and then along to your right
143,f,okay,f|okay
144,M,so you've got a lighthouse don't you,M|so you've got a lighthouse don't you
145,f,mmhmm,f|mmhmm
146,M,right,M|right
