Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	Span Lists
2	0	3	, um ,	29	5	2	A	24,29	[[24, 29]]
3	1	3	, uh ,	21	5	3	A	16,18,21	[[16, 18, 21], [18, 21]]
2	0	3	, so ,	99	1	1	A	98,99	[[98, 99]]
6	2	2	yeah ,	29	47	5	A	28,29,31,33,74,75	[[28, 29, 31, 33], [74, 75]]
2	0	2	um ,	29	5	3	A	24,29	[[24, 29]]
3	1	2	, i	101	5	6	A	98,101,103	[[98, 101, 103]]
2	0	2	i think	13	3	1	A	10,13	[[10, 13]]
2	0	2	. yeah	29	5	1	A	24,29	[[24, 29]]
2	0	2	, so	99	1	2	A	98,99	[[98, 99]]
2	0	2	it's not	71	3	1	A	68,71	[[68, 71]]
2	0	2	a vegetable	13	3	1	A	10,13	[[10, 13]]
39	9	1	i	3	107	1	A	2,3,5,7,10,12,13,14,15,16,19,21,26,29,30,32,33,37,40,45,48,49,51,52,53,57,70,73,96,97,98,99,100,101,103,106,107,108,109	[[2, 3, 5, 7], [10, 12, 13, 14, 15], [12, 13, 14, 15], [14, 15, 16, 19], [16, 19, 21], [26, 29], [30, 32, 33], [32, 33, 37], [40, 45], [48, 49, 51, 52, 53], [52, 53, 57], [70, 73], [96, 97, 98, 99, 100, 101], [98, 99, 100, 101, 103], [100, 101, 103], [106, 107, 108, 109]]
12	0	1	a	13	77	3	A	10,13,16,21,24,29,74,77,84,85,86,87	[[10, 13], [16, 21], [24, 29], [74, 77], [84, 85, 86, 87], [86, 87]]
21	5	1	you	15	77	2	A	14,15,20,25,28,31,42,43,45,48,49,51,53,56,57,59,61,80,83,88,91	[[14, 15], [20, 25], [28, 31], [42, 43, 45], [48, 49, 51, 53], [56, 57, 59, 61], [80, 83], [88, 91]]
9	3	1	it	13	71	2	A	12,13,15,17,24,27,78,79,83	[[12, 13, 15, 17], [24, 27], [78, 79, 83]]
10	2	1	the	33	71	3	A	28,33,74,77,92,93,94,95,97,99	[[28, 33], [74, 77], [92, 93, 94, 95, 97], [94, 95, 97, 99]]
9	1	1	of	11	77	1	A	10,11,16,21,74,77,79,86,87	[[10, 11], [16, 21], [74, 77, 79], [86, 87]]
7	1	1	to	21	29	3	A	18,21,24,27,42,43,47	[[18, 21], [24, 27], [42, 43, 47]]
2	0	1	and	21	3	7	A	18,21	[[18, 21]]
3	1	1	in	101	5	15	A	98,101,103	[[98, 101, 103]]
4	0	1	make	21	13	4	A	16,21,24,29	[[16, 21], [24, 29]]
4	0	1	have	13	35	3	A	10,13,40,45	[[10, 13], [40, 45]]
5	1	1	know	27	83	1	A	26,27,31,106,109	[[26, 27, 31], [106, 109]]
4	0	1	so	81	23	1	A	76,81,98,99	[[76, 81], [98, 99]]
3	1	1	get	29	3	2	A	28,29,31	[[28, 29, 31]]
3	1	1	they	37	3	2	A	36,37,39	[[36, 37, 39]]
2	0	1	do	15	1	2	A	14,15	[[14, 15]]
4	0	1	it's	21	53	1	A	18,21,68,71	[[18, 21], [68, 71]]
2	0	1	think	13	3	1	A	10,13	[[10, 13]]
3	1	1	is	77	5	3	A	72,76,77	[[72, 76, 77]]
2	0	1	chocolate	77	1	4	A	76,77	[[76, 77]]
2	0	1	about	49	5	1	A	44,49	[[44, 49]]
2	0	1	stuff	87	1	1	A	86,87	[[86, 87]]
