Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	Span Lists
2	0	3	she has to	73	1	2	B	72,73	[[72, 73]]
2	0	3	, she is	73	5	1	B	68,73	[[68, 73]]
2	0	3	i would like	83	1	1	B	82,83	[[82, 83]]
2	0	3	you are going	43	1	1	B	42,43	[[42, 43]]
10	2	2	right .	7	97	1	B	6,7,78,79,80,81,85,98,102,103	[[6, 7], [78, 79, 80, 81], [80, 81, 85], [98, 102, 103]]
3	1	2	would be	33	3	2	B	30,32,33	[[30, 32, 33], [32, 33]]
2	0	2	. i	63	5	1	B	58,63	[[58, 63]]
2	0	2	she has	69	3	1	B	66,69	[[66, 69]]
3	1	2	you are	43	3	3	B	40,42,43	[[40, 42, 43]]
2	0	2	, she	73	5	2	B	68,73	[[68, 73]]
2	0	2	dental insurance	83	1	1	B	82,83	[[82, 83]]
3	1	2	her eyes	73	5	1	B	70,73,75	[[70, 73, 75]]
2	0	2	in the	43	1	2	B	42,43	[[42, 43]]
2	0	2	really .	57	5	1	B	52,57	[[52, 57]]
2	0	2	eye care	59	1	1	B	58,59	[[58, 59]]
2	0	2	get up	41	1	1	B	40,41	[[40, 41]]
2	0	2	middle child	99	1	1	B	98,99	[[98, 99]]
2	0	2	same place	43	1	1	B	42,43	[[42, 43]]
2	0	2	the same	43	1	1	B	42,43	[[42, 43]]
2	0	2	think we	61	3	1	B	58,61	[[58, 61]]
2	0	2	to see	83	1	1	B	82,83	[[82, 83]]
2	0	2	would not	25	1	1	B	24,25	[[24, 25]]
23	3	1	i	1	87	1	B	0,1,10,13,22,25,26,27,30,31,48,52,53,56,58,61,62,63,74,75,82,83,87	[[0, 1], [10, 13], [22, 25, 26, 27], [26, 27, 30, 31], [30, 31], [48, 52, 53], [52, 53], [56, 58, 61], [58, 61, 62, 63], [62, 63], [74, 75], [82, 83, 87]]
9	3	1	not	25	71	1	B	22,24,25,58,62,63,88,90,93	[[22, 24, 25], [24, 25], [58, 62, 63], [62, 63], [88, 90, 93], [90, 93]]
10	2	1	have	3	63	1	B	0,3,5,16,19,38,40,41,58,63	[[0, 3, 5], [16, 19], [38, 40, 41], [40, 41], [58, 63]]
13	3	1	would	25	59	1	B	24,25,30,32,33,38,39,48,50,52,53,82,83	[[24, 25], [30, 32, 33], [32, 33], [38, 39], [48, 50, 52, 53], [50, 52, 53], [52, 53], [82, 83]]
2	0	1	it	111	1	13	B	110,111	[[110, 111]]
10	2	1	right	7	97	1	B	6,7,78,79,80,81,85,98,102,103	[[6, 7], [78, 79, 80, 81], [80, 81, 85], [98, 102, 103]]
6	0	1	just	15	95	1	B	10,15,24,27,104,105	[[10, 15], [24, 27], [104, 105]]
4	0	1	think	13	51	1	B	10,13,58,61	[[10, 13], [58, 61]]
2	0	1	is	73	5	2	B	68,73	[[68, 73]]
2	0	1	like	83	1	5	B	82,83	[[82, 83]]
2	0	1	care	59	1	4	B	58,59	[[58, 59]]
2	0	1	in	43	1	3	B	42,43	[[42, 43]]
2	0	1	insurance	83	1	3	B	82,83	[[82, 83]]
2	0	1	has	69	3	1	B	66,69	[[66, 69]]
2	0	1	child	99	1	3	B	98,99	[[98, 99]]
2	0	1	day	43	3	3	B	40,43	[[40, 43]]
2	0	1	job	13	3	1	B	10,13	[[10, 13]]
3	1	1	always	21	5	2	B	16,20,21	[[16, 20, 21]]
2	0	1	doctor	19	3	1	B	16,19	[[16, 19]]
2	0	1	really	57	5	1	B	52,57	[[52, 57]]
2	0	1	got	67	1	1	B	66,67	[[66, 67]]
2	0	1	pallet	99	1	1	B	98,99	[[98, 99]]
2	0	1	tested	75	3	1	B	72,75	[[72, 75]]
