Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	Span Lists
2	0	3	, uh ,	139	3	3	A	136,139	[[136, 139]]
4	0	2	uh ,	139	27	4	A	136,139,158,163	[[136, 139], [158, 163]]
2	0	2	, uh	139	3	3	A	136,139	[[136, 139]]
2	0	2	yeah .	19	3	2	A	16,19	[[16, 19]]
2	0	2	do you	29	5	1	A	24,29	[[24, 29]]
19	5	1	a	5	143	1	A	2,5,7,26,27,56,59,61,78,82,83,85,128,131,136,137,140,144,145	[[2, 5, 7], [26, 27], [56, 59, 61], [78, 82, 83], [82, 83, 85], [128, 131], [136, 137], [140, 144, 145], [144, 145]]
7	1	1	in	5	33	1	A	2,5,18,21,23,30,35	[[2, 5], [18, 21, 23], [30, 35]]
2	0	1	and	129	5	18	A	124,129	[[124, 129]]
7	1	1	that	5	89	1	A	2,5,68,70,73,90,91	[[2, 5], [68, 70, 73], [70, 73], [90, 91]]
2	0	1	of	27	1	4	A	26,27	[[26, 27]]
4	0	1	to	39	59	4	A	36,39,92,95	[[36, 39], [92, 95]]
4	0	1	so	21	67	1	A	18,21,82,85	[[18, 21], [82, 85]]
8	2	1	just	53	45	1	A	50,53,76,78,81,92,94,95	[[50, 53], [76, 78, 81], [78, 81], [92, 94, 95]]
3	1	1	have	159	5	3	A	158,159,163	[[158, 159, 163]]
2	0	1	they	81	5	2	A	76,81	[[76, 81]]
2	0	1	was	21	3	1	A	18,21	[[18, 21]]
2	0	1	be	93	3	3	A	90,93	[[90, 93]]
6	0	1	do	29	127	1	A	24,29,76,77,150,151	[[24, 29], [76, 77], [150, 151]]
2	0	1	right	23	1	2	A	22,23	[[22, 23]]
