Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	Span Lists
2	0	4	but , uh ,	95	3	2	B	92,95	[[92, 95]]
5	1	3	, uh ,	49	49	5	B	46,49,92,94,95	[[46, 49], [92, 94, 95]]
3	1	3	you know ,	69	3	4	B	66,68,69	[[66, 68, 69], [68, 69]]
5	1	2	uh ,	49	49	5	B	46,49,92,94,95	[[46, 49], [92, 94, 95]]
5	1	2	, i	35	39	3	B	30,32,35,68,69	[[30, 32, 35], [32, 35], [68, 69]]
5	1	2	know ,	69	35	4	B	66,68,69,96,101	[[66, 68, 69], [68, 69], [96, 101]]
3	1	2	you know	69	3	4	B	66,68,69	[[66, 68, 69], [68, 69]]
2	0	2	well ,	49	3	1	B	46,49	[[46, 49]]
2	0	2	. i	9	3	1	B	6,9	[[6, 9]]
2	0	2	but ,	95	3	3	B	92,95	[[92, 95]]
2	0	2	it .	13	1	1	B	12,13	[[12, 13]]
2	0	2	that ,	93	1	2	B	92,93	[[92, 93]]
2	0	2	was a	99	3	1	B	96,99	[[96, 99]]
27	9	1	i	7	97	1	B	6,7,9,12,13,30,32,33,35,36,37,48,51,53,58,59,66,68,69,71,73,90,92,93,100,101,103	[[6, 7, 9], [12, 13], [30, 32, 33, 35], [32, 33, 35, 36, 37], [36, 37], [48, 51, 53], [58, 59], [66, 68, 69, 71], [68, 69, 71, 73], [90, 92, 93], [92, 93], [100, 101, 103]]
9	1	1	a	17	87	2	B	12,17,62,65,66,68,69,96,99	[[12, 17], [62, 65], [66, 68, 69], [68, 69], [96, 99]]
9	1	1	it	3	69	1	B	0,3,12,13,46,51,64,68,69	[[0, 3], [12, 13], [46, 51], [64, 68, 69], [68, 69]]
10	0	1	to	41	29	1	B	40,41,44,45,50,53,58,59,66,69	[[40, 41, 44, 45], [44, 45], [50, 53], [58, 59], [66, 69]]
10	2	1	know	9	93	1	B	8,9,40,43,66,68,69,73,96,101	[[8, 9], [40, 43], [66, 68, 69], [68, 69, 73], [96, 101]]
4	0	1	like	13	95	1	B	12,13,104,107	[[12, 13], [104, 107]]
4	2	1	but	93	5	5	B	90,92,93,95	[[90, 92, 93, 95]]
4	0	1	of	93	9	8	B	92,93,96,101	[[92, 93], [96, 101]]
2	0	1	was	99	3	1	B	96,99	[[96, 99]]
2	0	1	don't	93	1	1	B	92,93	[[92, 93]]
5	1	1	we	35	11	1	B	30,35,36,38,41	[[30, 35], [36, 38, 41], [38, 41]]
2	0	1	well	49	3	1	B	46,49	[[46, 49]]
2	0	1	with	53	5	2	B	48,53	[[48, 53]]
2	0	1	about	35	3	1	B	32,35	[[32, 35]]
2	0	1	saying	101	5	2	B	96,101	[[96, 101]]
