Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	Span Lists
2	0	5	, i don't know ,	28	3	1	A	25,28	[[25, 28]]
2	0	4	, i don't know	28	3	1	A	25,28	[[25, 28]]
3	1	4	, you know ,	28	3	2	B	27,28,30	[[27, 28, 30]]
15	6	3	, uh ,	3	44	1	A	2,3,8,9,13,14,15,25,27,28,32,41,43,44,46	[[2, 3], [3, 8], [8, 9, 13], [9, 13, 14], [13, 14, 15], [14, 15], [25, 27, 28], [27, 28, 32], [28, 32], [41, 43, 44, 46]]
5	3	3	, you know	28	19	3	B	11,15,27,28,30	[[11, 15], [27, 28, 30]]
2	0	3	i don't know	28	3	2	A	25,28	[[25, 28]]
3	1	3	you know ,	28	3	2	B	27,28,30	[[27, 28, 30]]
2	0	3	uh , and	41	5	1	B	36,41	[[36, 41]]
2	0	3	. uh ,	9	5	1	A	4,9	[[4, 9]]
2	0	3	. you know	44	5	1	B	39,44	[[39, 44]]
20	11	2	uh ,	3	46	2	A	0,2,3,4,8,9,13,14,15,17,25,27,28,32,34,36,41,43,44,46	[[0, 2, 3, 4], [2, 3, 4], [3, 4, 8], [4, 8, 9], [8, 9, 13], [9, 13, 14], [13, 14, 15, 17], [14, 15, 17], [15, 17], [25, 27, 28], [27, 28, 32], [28, 32], [32, 34, 36], [34, 36], [36, 41], [41, 43, 44, 46]]
16	7	2	, uh	3	44	1	A	2,3,8,9,13,14,15,19,25,27,28,32,41,43,44,46	[[2, 3], [3, 8], [8, 9, 13], [9, 13, 14], [13, 14, 15], [14, 15, 19], [15, 19], [25, 27, 28], [27, 28, 32], [28, 32], [41, 43, 44, 46]]
11	1	2	, i	9	47	2	A	2,4,9,14,23,24,25,28,43,44,49	[[2, 4], [4, 9], [9, 14], [23, 24, 25, 28], [24, 25, 28], [25, 28], [43, 44], [44, 49]]
11	5	2	yeah .	25	35	3	A	12,16,18,25,26,35,37,40,42,44,47	[[12, 16], [16, 18], [25, 26], [35, 37, 40], [37, 40, 42], [40, 42, 44], [42, 44, 47]]
6	3	2	uh-huh .	28	46	2	B	1,5,28,33,45,47	[[1, 5], [28, 33], [45, 47]]
6	4	2	, you	28	19	4	B	11,15,23,27,28,30	[[11, 15], [23, 27, 28], [27, 28, 30]]
7	3	2	you know	28	33	3	B	11,15,27,28,30,39,44	[[11, 15], [27, 28, 30], [28, 30], [39, 44]]
5	3	2	kind of	46	27	1	A	21,25,27,46,48	[[21, 25], [25, 27], [46, 48]]
2	0	2	i don't	28	3	2	A	25,28	[[25, 28]]
4	0	2	, and	9	33	1	A	8,9,36,41	[[8, 9], [36, 41]]
3	1	2	, they	28	7	3	B	21,25,28	[[21, 25], [25, 28]]
2	0	2	. that's	12	3	1	B	9,12	[[9, 12]]
2	0	2	and they	30	5	1	A	25,30	[[25, 30]]
2	0	2	, it	14	1	1	A	13,14	[[13, 14]]
2	0	2	. but	14	5	1	B	9,14	[[9, 14]]
2	0	2	. you	44	5	1	A	39,44	[[39, 44]]
3	1	2	on .	46	7	2	B	39,41,46	[[39, 41], [41, 46]]
2	0	2	that ,	13	5	1	A	8,13	[[8, 13]]
3	1	2	when you	47	3	1	A	46,47,49	[[46, 47, 49]]
2	0	2	, the	9	1	1	A	8,9	[[8, 9]]
18	9	1	that	9	40	2	A	8,9,11,12,13,14,15,21,23,24,27,28,30,32,36,44,46,48	[[8, 9, 11, 12, 13], [9, 11, 12, 13, 14], [11, 12, 13, 14, 15], [12, 13, 14, 15], [13, 14, 15], [14, 15], [21, 23, 24], [23, 24, 27, 28], [24, 27, 28], [27, 28, 30, 32], [28, 30, 32], [30, 32], [32, 36], [44, 46, 48]]
17	7	1	i	9	47	2	A	2,4,9,14,15,17,19,23,24,25,27,28,34,39,43,44,49	[[2, 4], [4, 9], [9, 14], [14, 15, 17, 19], [15, 17, 19], [17, 19], [19, 23, 24], [23, 24, 25, 27, 28], [24, 25, 27, 28], [25, 27, 28], [27, 28], [34, 39], [39, 43, 44], [43, 44], [44, 49]]
15	8	1	you	12	40	3	B	9,11,12,15,21,23,27,28,30,39,41,44,46,47,49	[[9, 11, 12], [11, 12, 15], [12, 15], [21, 23], [23, 27, 28], [27, 28, 30], [28, 30], [39, 41, 44], [41, 44, 46], [44, 46, 47, 49]]
14	3	1	to	9	38	2	A	8,9,11,12,13,14,15,27,28,31,32,36,43,46	[[8, 9, 11, 12, 13], [9, 11, 12, 13, 14], [11, 12, 13, 14, 15], [12, 13, 14, 15], [13, 14, 15], [14, 15], [27, 28, 31, 32], [28, 31, 32], [31, 32, 36], [32, 36], [43, 46]]
14	9	1	and	9	46	3	A	2,6,8,9,13,25,27,30,32,36,41,44,46,48	[[2, 6], [6, 8, 9], [8, 9, 13], [9, 13], [25, 27, 30], [27, 30, 32], [30, 32], [32, 36], [36, 41], [41, 44, 46], [44, 46, 48]]
12	9	1	the	9	46	3	A	2,6,8,9,11,13,15,21,23,25,44,48	[[2, 6], [6, 8, 9, 11], [8, 9, 11, 13], [9, 11, 13], [11, 13, 15], [13, 15], [21, 23, 25], [23, 25], [44, 48]]
12	3	1	know	11	42	2	A	2,4,11,14,15,24,25,27,28,30,39,44	[[2, 4], [11, 14, 15], [14, 15], [24, 25, 27, 28], [25, 27, 28, 30], [27, 28, 30], [28, 30], [39, 44]]
10	4	1	in	4	31	1	B	3,4,8,13,14,15,27,28,32,34	[[3, 4, 8], [4, 8], [8, 13], [13, 14, 15], [14, 15], [27, 28, 32], [28, 32], [32, 34]]
11	7	1	it	13	41	3	A	2,4,8,13,14,21,25,27,39,41,43	[[2, 4], [4, 8], [8, 13], [13, 14], [21, 25], [25, 27], [39, 41, 43]]
10	7	1	of	9	46	3	A	2,6,8,9,11,21,25,27,46,48	[[2, 6], [6, 8, 9, 11], [8, 9, 11], [9, 11], [21, 25], [25, 27], [46, 48]]
10	7	1	on	19	46	2	A	2,6,19,21,25,39,41,43,46,48	[[2, 6], [19, 21], [21, 25], [39, 41, 43], [41, 43, 46], [43, 46, 48]]
8	2	1	that's	10	39	1	B	9,10,12,13,17,18,47,48	[[9, 10, 12, 13], [10, 12, 13], [12, 13, 17], [13, 17, 18], [17, 18], [47, 48]]
8	5	1	they	9	24	1	A	6,9,13,15,21,25,28,30	[[6, 9], [9, 13], [13, 15], [21, 25], [25, 28, 30]]
