Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	Span Lists
2	0	5	things that , uh ,	28	5	1	B	23,28	[[23, 28]]
4	2	4	, you know ,	19	21	2	A	2,6,19,23	[[2, 6], [19, 23]]
2	0	4	, um , you	20	1	1	B	19,20	[[19, 20]]
2	0	4	uh-huh , uh-huh .	21	3	1	A	18,21	[[18, 21]]
6	2	3	you know ,	19	23	2	A	2,6,19,20,23,25	[[2, 6], [19, 20, 23], [20, 23, 25]]
3	1	3	, uh ,	28	9	1	A	19,23,28	[[19, 23], [23, 28]]
2	0	3	, i think	28	5	1	A	23,28	[[23, 28]]
2	0	3	, uh-huh .	21	3	1	A	18,21	[[18, 21]]
2	0	3	, um ,	20	1	1	B	19,20	[[19, 20]]
7	1	2	uh-huh .	18	25	1	A	15,18,21,22,26,37,40	[[15, 18], [18, 21, 22], [21, 22, 26], [22, 26], [37, 40]]
5	2	2	, i	23	28	2	A	0,2,23,25,28	[[0, 2], [23, 25, 28]]
6	2	2	you know	19	23	2	A	2,6,19,20,23,25	[[2, 6], [19, 20, 23], [20, 23, 25]]
3	0	2	, and	5	6	1	A	2,5,8	[[2, 5], [5, 8]]
4	1	2	but ,	28	14	2	A	19,23,28,33	[[19, 23], [23, 28], [28, 33]]
4	1	2	yeah .	4	28	1	B	1,4,24,29	[[1, 4], [24, 29]]
2	0	2	right .	14	1	2	B	13,14	[[13, 14]]
3	1	2	and ,	28	9	1	A	19,23,28	[[19, 23], [23, 28]]
2	0	2	i think	28	5	1	A	23,28	[[23, 28]]
2	0	2	kind of	7	5	1	A	2,7	[[2, 7]]
3	1	2	uh ,	28	9	1	A	19,23,28	[[19, 23], [23, 28]]
3	1	2	, the	19	7	1	A	16,19,23	[[16, 19], [19, 23]]
2	0	2	. and	28	3	1	B	25,28	[[25, 28]]
2	0	2	and you	8	3	1	B	5,8	[[5, 8]]
2	0	2	of the	5	3	1	A	2,5	[[2, 5]]
2	0	2	of ,	23	3	1	A	20,23	[[20, 23]]
2	0	2	well ,	19	3	1	A	16,19	[[16, 19]]
12	6	1	i	5	41	2	A	0,2,5,23,25,28,30,31,34,36,38,41	[[0, 2, 5], [2, 5], [23, 25, 28], [25, 28, 30], [28, 30, 31], [30, 31, 34], [31, 34, 36], [34, 36, 38], [36, 38, 41]]
11	4	1	and	5	26	1	A	2,5,7,8,16,17,19,20,23,25,28	[[2, 5, 7], [5, 7, 8], [7, 8], [16, 17, 19, 20], [17, 19, 20], [19, 20, 23], [20, 23, 25], [23, 25, 28]]
11	3	1	you	2	29	1	B	1,2,5,6,8,19,20,23,25,28,30	[[1, 2, 5, 6], [2, 5, 6], [5, 6, 8], [6, 8], [19, 20, 23], [20, 23, 25], [23, 25, 28], [25, 28, 30]]
9	2	1	of	5	26	1	A	2,5,7,16,17,19,20,23,28	[[2, 5, 7], [5, 7], [16, 17, 19, 20], [17, 19, 20], [19, 20, 23], [20, 23], [23, 28]]
8	4	1	a	2	29	1	B	1,2,5,17,19,23,28,30	[[1, 2, 5], [2, 5], [17, 19], [19, 23], [23, 28], [28, 30]]
8	3	1	know	19	30	3	A	0,2,6,19,20,23,25,30	[[0, 2], [2, 6], [19, 20, 23], [20, 23, 25], [23, 25], [25, 30]]
9	2	1	the	5	28	2	A	0,2,5,8,16,19,20,23,28	[[0, 2, 5], [2, 5], [5, 8], [16, 19, 20], [19, 20, 23], [20, 23], [23, 28]]
6	0	1	but	20	17	2	A	19,20,23,28,33,36	[[19, 20, 23], [20, 23], [23, 28], [28, 33], [33, 36]]
7	3	1	it	5	25	1	A	0,5,8,17,19,23,25	[[0, 5], [5, 8], [17, 19], [19, 23], [23, 25]]
5	3	1	to	28	11	5	B	17,19,23,25,28	[[17, 19], [19, 23], [23, 25, 28]]
6	3	1	yeah	4	28	1	B	1,4,6,10,24,29	[[1, 4, 6], [4, 6], [6, 10], [24, 29]]
5	1	1	for	20	11	1	A	17,19,20,25,28	[[17, 19, 20], [19, 20], [20, 25], [25, 28]]
6	1	1	have	2	40	1	B	1,2,19,20,36,41	[[1, 2], [19, 20], [36, 41]]
5	2	1	in	9	12	2	A	8,9,17,19,20	[[8, 9], [17, 19, 20]]
7	2	1	just	5	18	1	A	2,5,8,16,17,19,20	[[2, 5], [5, 8], [16, 17, 19, 20]]
6	3	1	that	17	28	2	A	0,2,17,19,23,28	[[0, 2], [17, 19], [19, 23], [23, 28]]
4	1	1	really	20	22	1	A	19,20,36,41	[[19, 20], [36, 41]]
4	0	1	right	14	15	2	B	13,14,25,28	[[13, 14], [25, 28]]
2	0	1	there	7	5	1	A	2,7	[[2, 7]]
4	2	1	we	41	39	2	A	2,6,36,41	[[2, 6], [36, 41]]
2	0	1	so	19	3	1	A	16,19	[[16, 19]]
3	1	1	things	28	9	2	B	19,23,28	[[19, 23], [23, 28]]
2	0	1	um	20	1	1	A	19,20	[[19, 20]]
2	0	1	oh	32	3	2	B	29,32	[[29, 32]]
2	0	1	our	41	5	1	B	36,41	[[36, 41]]
2	0	1	with	20	1	1	A	19,20	[[19, 20]]
2	0	1	housing	20	1	1	B	19,20	[[19, 20]]
2	0	1	i'll	17	1	1	A	16,17	[[16, 17]]
2	0	1	it's	23	3	1	A	20,23	[[20, 23]]
2	0	1	was	28	5	1	B	23,28	[[23, 28]]
2	0	1	what	28	3	1	B	25,28	[[25, 28]]
