Freq.,Free Freq.,Size,Surface Form,Establishment turn,Spanning,Priming,First Speaker,Turns,Span Lists,Dialogue id,Speakers,Experiment
2,0,2,", it's",51,3,1,A,"48,51","[[48, 51]]",2064,"A,M",Finetune DialoGPT - Normal
2,0,2,"it ,",101,5,4,A,"96,101","[[96, 101]]",2064,"A,M",Finetune DialoGPT - Normal
2,0,2,", and",65,5,3,A,"60,65","[[60, 65]]",2064,"A,M",Finetune DialoGPT - Normal
2,0,2,"so ,",51,1,1,A,"50,51","[[50, 51]]",2064,"A,M",Finetune DialoGPT - Normal
2,0,2,we don't,73,5,1,A,"68,73","[[68, 73]]",2064,"A,M",Finetune DialoGPT - Normal
12,2,1,to,29,63,3,A,"26,28,29,42,43,52,54,57,60,65,84,89","[[26, 28, 29], [28, 29], [42, 43], [52, 54, 57], [54, 57], [60, 65], [84, 89]]",2064,"A,M",Finetune DialoGPT - Normal
13,5,1,and,29,63,2,A,"26,28,29,36,37,39,41,60,62,65,67,84,89","[[26, 28, 29], [28, 29], [36, 37, 39, 41], [60, 62, 65], [62, 65, 67], [84, 89]]",2064,"A,M",Finetune DialoGPT - Normal
11,3,1,you,29,71,1,A,"28,29,31,52,54,57,78,79,81,96,99","[[28, 29, 31], [52, 54, 57], [54, 57], [78, 79, 81], [96, 99]]",2064,"A,M",Finetune DialoGPT - Normal
10,2,1,think,31,47,1,A,"26,28,31,52,57,60,62,65,68,73","[[26, 28, 31], [28, 31], [52, 57], [60, 62, 65], [62, 65], [68, 73]]",2064,"A,M",Finetune DialoGPT - Normal
2,0,1,have,89,5,1,A,"84,89","[[84, 89]]",2064,"A,M",Finetune DialoGPT - Normal
6,2,1,the,65,13,2,A,"60,62,65,68,69,73","[[60, 62, 65], [62, 65], [68, 69, 73]]",2064,"A,M",Finetune DialoGPT - Normal
4,0,1,it's,51,53,2,A,"48,51,100,101","[[48, 51], [100, 101]]",2064,"A,M",Finetune DialoGPT - Normal
5,1,1,do,29,29,1,A,"28,29,31,52,57","[[28, 29, 31], [52, 57]]",2064,"A,M",Finetune DialoGPT - Normal
2,0,1,is,19,3,3,A,"16,19","[[16, 19]]",2064,"A,M",Finetune DialoGPT - Normal
2,0,1,just,53,5,3,A,"48,53","[[48, 53]]",2064,"A,M",Finetune DialoGPT - Normal
5,1,1,so,39,19,1,A,"34,39,50,51,53","[[34, 39], [50, 51, 53]]",2064,"A,M",Finetune DialoGPT - Normal
5,1,1,we,71,33,1,A,"68,71,73,96,101","[[68, 71, 73], [96, 101]]",2064,"A,M",Finetune DialoGPT - Normal
2,0,1,really,71,3,5,A,"68,71","[[68, 71]]",2064,"A,M",Finetune DialoGPT - Normal
2,0,1,things,29,1,1,A,"28,29","[[28, 29]]",2064,"A,M",Finetune DialoGPT - Normal
2,0,1,many,37,1,1,A,"36,37","[[36, 37]]",2064,"A,M",Finetune DialoGPT - Normal
2,0,4,", you know ,",65,3,1,A,"62,65","[[62, 65]]",2072,"A,M",Finetune DialoGPT - Normal
2,0,3,", you know",65,3,2,A,"62,65","[[62, 65]]",2072,"A,M",Finetune DialoGPT - Normal
10,4,2,", uh",27,47,3,A,"24,26,27,29,56,58,61,63,68,71","[[24, 26, 27, 29], [26, 27, 29], [56, 58, 61], [58, 61, 63], [68, 71]]",2072,"A,M",Finetune DialoGPT - Normal
6,0,2,"yeah ,",21,43,2,A,"20,21,50,53,62,63","[[20, 21], [50, 53], [62, 63]]",2072,"A,M",Finetune DialoGPT - Normal
4,0,2,", i",31,51,4,A,"26,31,76,77","[[26, 31], [76, 77]]",2072,"A,M",Finetune DialoGPT - Normal
4,2,2,a lot,71,5,4,A,"70,71,73,75","[[70, 71, 73, 75]]",2072,"A,M",Finetune DialoGPT - Normal
2,0,2,"oh ,",43,3,3,A,"40,43","[[40, 43]]",2072,"A,M",Finetune DialoGPT - Normal
4,0,2,"well ,",17,63,1,A,"12,17,70,75","[[12, 17], [70, 75]]",2072,"A,M",Finetune DialoGPT - Normal
4,0,2,", you",65,9,2,A,"62,65,70,71","[[62, 65], [70, 71]]",2072,"A,M",Finetune DialoGPT - Normal
2,0,2,i like,45,3,3,A,"42,45","[[42, 45]]",2072,"A,M",Finetune DialoGPT - Normal
2,0,2,"it's ,",63,1,1,A,"62,63","[[62, 63]]",2072,"A,M",Finetune DialoGPT - Normal
2,0,2,like to,45,3,2,A,"42,45","[[42, 45]]",2072,"A,M",Finetune DialoGPT - Normal
15,3,1,yeah,21,45,2,A,"18,20,21,22,27,34,35,48,50,53,56,57,59,62,63","[[18, 20, 21], [20, 21], [22, 27], [34, 35], [48, 50, 53], [50, 53], [56, 57, 59], [62, 63]]",2072,"A,M",Finetune DialoGPT - Normal
14,4,1,i,3,77,1,A,"2,3,5,7,8,9,11,26,31,42,45,76,77,79","[[2, 3, 5, 7], [8, 9, 11], [26, 31], [42, 45], [76, 77, 79]]",2072,"A,M",Finetune DialoGPT - Normal
10,2,1,you,35,43,2,A,"32,35,52,55,62,65,67,70,71,75","[[32, 35], [52, 55], [62, 65, 67], [70, 71, 75]]",2072,"A,M",Finetune DialoGPT - Normal
6,2,1,and,45,31,6,A,"42,45,47,68,70,73","[[42, 45, 47], [68, 70, 73]]",2072,"A,M",Finetune DialoGPT - Normal
7,1,1,to,45,29,3,A,"42,45,62,63,65,70,71","[[42, 45], [62, 63, 65], [70, 71]]",2072,"A,M",Finetune DialoGPT - Normal
10,2,1,a,27,55,5,A,"26,27,62,65,70,71,73,75,76,81","[[26, 27], [62, 65], [70, 71, 73, 75], [76, 81]]",2072,"A,M",Finetune DialoGPT - Normal
5,1,1,have,27,49,3,A,"26,27,70,71,75","[[26, 27], [70, 71, 75]]",2072,"A,M",Finetune DialoGPT - Normal
2,0,1,it,37,3,4,A,"34,37","[[34, 37]]",2072,"A,M",Finetune DialoGPT - Normal
5,1,1,like,45,25,6,A,"42,45,62,65,67","[[42, 45], [62, 65, 67]]",2072,"A,M",Finetune DialoGPT - Normal
4,0,1,the,11,57,1,A,"8,11,62,65","[[8, 11], [62, 65]]",2072,"A,M",Finetune DialoGPT - Normal
5,1,1,it's,27,37,1,A,"26,27,29,62,63","[[26, 27, 29], [62, 63]]",2072,"A,M",Finetune DialoGPT - Normal
4,0,1,well,17,63,1,A,"12,17,70,75","[[12, 17], [70, 75]]",2072,"A,M",Finetune DialoGPT - Normal
3,1,1,so,27,3,2,A,"26,27,29","[[26, 27, 29]]",2072,"A,M",Finetune DialoGPT - Normal
2,0,1,here,73,3,2,A,"70,73","[[70, 73]]",2072,"A,M",Finetune DialoGPT - Normal
4,0,2,"know ,",157,13,2,A,"156,157,166,169","[[156, 157], [166, 169]]",2107,"A,M",Finetune DialoGPT - Normal
2,0,2,cats .,115,5,2,A,"110,115","[[110, 115]]",2107,"A,M",Finetune DialoGPT - Normal
13,3,1,oh,15,151,1,A,"12,14,15,19,92,95,98,99,103,130,131,158,163","[[12, 14, 15], [14, 15, 19], [92, 95], [98, 99, 103], [130, 131], [158, 163]]",2107,"A,M",Finetune DialoGPT - Normal
6,0,1,know,81,93,2,A,"76,81,156,157,166,169","[[76, 81], [156, 157], [166, 169]]",2107,"A,M",Finetune DialoGPT - Normal
4,0,1,he,41,3,4,A,"40,41,42,43","[[40, 41, 42, 43], [42, 43]]",2107,"A,M",Finetune DialoGPT - Normal
8,0,1,to,51,123,3,A,"48,51,68,73,166,169,170,171","[[48, 51], [68, 73], [166, 169, 170, 171]]",2107,"A,M",Finetune DialoGPT - Normal
4,0,1,you,25,145,2,A,"24,25,166,169","[[24, 25], [166, 169]]",2107,"A,M",Finetune DialoGPT - Normal
4,0,1,that,25,63,1,A,"20,25,78,83","[[20, 25], [78, 83]]",2107,"A,M",Finetune DialoGPT - Normal
4,0,1,like,51,95,1,A,"48,51,138,143","[[48, 51], [138, 143]]",2107,"A,M",Finetune DialoGPT - Normal
4,0,1,of,41,121,3,A,"36,41,156,157","[[36, 41], [156, 157]]",2107,"A,M",Finetune DialoGPT - Normal
2,0,1,so,23,3,2,A,"20,23","[[20, 23]]",2107,"A,M",Finetune DialoGPT - Normal
2,0,1,was,73,5,3,A,"68,73","[[68, 73]]",2107,"A,M",Finetune DialoGPT - Normal
5,1,1,cats,55,61,2,A,"54,55,110,113,115","[[54, 55], [110, 113, 115]]",2107,"A,M",Finetune DialoGPT - Normal
4,0,1,it's,27,49,1,A,"24,27,72,73","[[24, 27], [72, 73]]",2107,"A,M",Finetune DialoGPT - Normal
3,1,1,well,165,5,1,A,"164,165,169","[[164, 165, 169]]",2107,"A,M",Finetune DialoGPT - Normal
2,0,1,been,169,3,3,A,"166,169","[[166, 169]]",2107,"A,M",Finetune DialoGPT - Normal
2,0,1,she,139,3,1,A,"136,139","[[136, 139]]",2107,"A,M",Finetune DialoGPT - Normal
2,0,3,"uh , i",1,1,1,A,"0,1","[[0, 1]]",2120,"A,M",Finetune DialoGPT - Normal
5,1,2,", i",1,7,1,A,"0,1,2,5,7","[[0, 1, 2, 5], [2, 5, 7]]",2120,"A,M",Finetune DialoGPT - Normal
5,1,2,"uh ,",1,11,1,A,"0,1,6,8,11","[[0, 1], [6, 8, 11]]",2120,"A,M",Finetune DialoGPT - Normal
