Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	Span Lists
2	0	3	and you can	65	5	2	A	60,65	[[60, 65]]
4	0	2	yeah .	15	75	3	A	10,15,80,85	[[10, 15], [80, 85]]
7	3	2	, i	1	107	1	A	0,1,3,5,102,103,107	[[0, 1, 3, 5], [102, 103, 107]]
2	0	2	i don't	7	5	1	A	2,7	[[2, 7]]
2	0	2	yeah ,	75	1	6	A	74,75	[[74, 75]]
2	0	2	, okay	57	3	1	A	54,57	[[54, 57]]
2	0	2	and you	65	5	2	A	60,65	[[60, 65]]
2	0	2	okay ,	57	3	1	A	54,57	[[54, 57]]
2	0	2	having a	77	3	1	A	74,77	[[74, 77]]
2	0	2	see .	93	1	1	A	92,93	[[92, 93]]
14	4	1	i	1	107	1	A	0,1,2,3,5,7,86,89,91,92,93,102,103,107	[[0, 1, 2, 3, 5], [2, 3, 5, 7], [86, 89, 91], [92, 93], [102, 103, 107]]
14	2	1	it	5	105	1	A	0,5,60,62,65,74,75,79,82,83,86,91,100,105	[[0, 5], [60, 62, 65], [62, 65], [74, 75, 79], [82, 83], [86, 91], [100, 105]]
9	1	1	and	1	65	1	A	0,1,2,5,24,29,60,62,65	[[0, 1, 2, 5], [2, 5], [24, 29], [60, 62, 65], [62, 65]]
7	1	1	to	7	89	2	A	2,7,48,50,51,86,91	[[2, 7], [48, 50, 51], [50, 51], [86, 91]]
2	0	1	don't	7	5	1	A	2,7	[[2, 7]]
4	0	1	have	1	51	1	A	0,1,48,51	[[0, 1], [48, 51]]
3	1	1	okay	57	5	1	A	54,57,59	[[54, 57, 59]]
2	0	1	is	29	5	1	A	24,29	[[24, 29]]
2	0	1	microwave	65	5	1	A	60,65	[[60, 65]]
2	0	1	idea	103	1	2	A	102,103	[[102, 103]]
2	0	1	nice	77	3	2	A	74,77	[[74, 77]]
2	0	1	see	93	1	2	A	92,93	[[92, 93]]
