Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	Span Lists
2	0	3	and , and	19	3	1	B	16,19	[[16, 19]]
2	0	3	if i had	75	1	1	B	74,75	[[74, 75]]
2	0	2	uh ,	45	5	7	B	40,45	[[40, 45]]
5	1	2	, uh	55	45	9	B	52,55,57,96,97	[[52, 55, 57], [96, 97]]
4	0	2	, it	15	73	3	B	12,15,84,85	[[12, 15], [84, 85]]
2	0	2	, and	19	3	3	B	16,19	[[16, 19]]
2	0	2	, you	19	3	3	B	16,19	[[16, 19]]
2	0	2	know ,	19	3	3	B	16,19	[[16, 19]]
2	0	2	well ,	85	5	4	B	80,85	[[80, 85]]
4	0	2	it ,	15	7	1	B	12,15,16,19	[[12, 15], [16, 19]]
2	0	2	but ,	61	1	3	B	60,61	[[60, 61]]
2	0	2	a ,	97	5	3	B	92,97	[[92, 97]]
2	0	2	a hundred	57	5	2	B	52,57	[[52, 57]]
2	0	2	from the	71	3	2	B	68,71	[[68, 71]]
2	0	2	would be	97	1	2	B	96,97	[[96, 97]]
2	0	2	would have	25	3	1	B	22,25	[[22, 25]]
6	0	1	and	19	41	6	B	16,19,20,25,52,57	[[16, 19], [20, 25], [52, 57]]
12	2	1	a	19	97	3	B	16,19,20,25,52,57,92,94,96,97,110,113	[[16, 19], [20, 25], [52, 57], [92, 94, 96, 97], [94, 96, 97], [96, 97], [110, 113]]
9	1	1	the	19	69	3	B	16,19,22,27,68,71,80,82,85	[[16, 19], [22, 27], [68, 71], [80, 82, 85], [82, 85]]
7	1	1	i	27	53	4	B	22,27,28,29,31,74,75	[[22, 27], [28, 29, 31], [74, 75]]
10	2	1	it	15	77	4	B	10,12,15,16,19,20,25,84,85,87	[[10, 12, 15], [12, 15], [16, 19], [20, 25], [84, 85, 87]]
3	1	1	is	83	3	4	B	80,82,83	[[80, 82, 83], [82, 83]]
5	1	1	it's	15	9	5	B	10,12,15,16,19	[[10, 12, 15], [12, 15], [16, 19]]
9	1	1	that	19	81	2	B	16,19,28,33,80,83,92,94,97	[[16, 19], [28, 33], [80, 83], [92, 94, 97], [94, 97]]
2	0	1	know	19	3	3	B	16,19	[[16, 19]]
2	0	1	you	19	3	3	B	16,19	[[16, 19]]
4	0	1	but	19	43	3	B	18,19,60,61	[[18, 19], [60, 61]]
5	1	1	would	25	75	4	B	22,25,92,96,97	[[22, 25], [92, 96, 97]]
4	0	1	to	19	81	2	B	16,19,96,97	[[16, 19], [96, 97]]
2	0	1	well	85	5	4	B	80,85	[[80, 85]]
2	0	1	for	15	5	2	B	10,15	[[10, 15]]
3	1	1	was	87	5	4	B	82,84,87	[[82, 84, 87]]
2	0	1	not	95	3	1	B	92,95	[[92, 95]]
2	0	1	there	15	5	1	B	10,15	[[10, 15]]
2	0	1	house	57	5	2	B	52,57	[[52, 57]]
2	0	1	be	97	1	2	B	96,97	[[96, 97]]
2	0	1	home	57	3	4	B	54,57	[[54, 57]]
2	0	1	hundred	57	5	3	B	52,57	[[52, 57]]
2	0	1	really	101	1	4	B	100,101	[[100, 101]]
2	0	1	still	57	5	1	B	52,57	[[52, 57]]
