Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	. yeah , yeah .	13	B	4, 16
3	4	uh-huh , uh-huh .	11	B	8, 10, 18
2	4	uh-huh . uh-huh .	17	B	2, 18
4	3	, uh-huh .	11	B	8, 10, 12, 18
2	3	uh-huh . yeah	7	B	10, 16
11	2	uh-huh .	31	B	2, 8, 10, 12, 16, 18, 22, 24, 26, 30, 32
4	2	yeah .	17	B	4, 10, 16, 20
3	2	, yeah	35	B	4, 16, 38
3	2	oh ,	27	B	12, 34, 38
2	2	, i	3	B	34, 36
2	2	. no	11	B	26, 36
2	2	i know	23	B	14, 36
2	2	no ,	25	B	12, 36
4	1	i	33	B	4, 14, 34, 36
4	1	what	33	B	4, 6, 20, 36
3	1	you	45	B	0, 42, 44
2	1	do	3	B	34, 36
2	1	good	9	B	34, 42
2	1	in	7	B	6, 12
2	1	is	15	B	6, 20
2	1	it	23	B	20, 42
2	1	they	9	B	4, 12
2	1	to	23	B	20, 42
2	1	too	9	B	34, 42

