ID	S1	S2	S1/Initiated Expression (IE_S1)	S1/Expression Repetition (ER_S1)	S1/tokens (%)	S2/Initiated Expression (IE_S2)	S2/Expression Repetition (ER_S2)	S2/tokens (%)	Voc. Overlap S1	Voc. Overlap S2	SR/S1/ELS	SR/S1/EV	SR/S1/ER	SR/S1/ENTR	SR/S1/L	SR/S1/LMAX	SR/S2/ELS	SR/S2/EV	SR/S2/ER	SR/S2/ENTR	SR/S2/L	SR/S2/LMAX
2064_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.7350427350427351	0.32290362953692114	0.6725589225589226	0.26495726495726496	0.6015424164524421	0.3274410774410774	0.3127962085308057	0.5116279069767442	149.0	0.17488262910798122	0.7570422535211268	1.8492580855760448	1.9505813953488371	9.0	75.0	0.16930022573363432	0.6049661399548533	1.2267497532627232	1.455497382198953	4.0
2072_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.5517241379310345	0.4090909090909091	0.6330935251798561	0.4482758620689655	0.41568627450980394	0.3669064748201439	0.37037037037037035	0.5172413793103449	67.0	0.13900414937759337	0.6224066390041494	1.3201913512664658	1.4915254237288136	6.0	41.0	0.13758389261744966	0.4865771812080537	1.1406682683149865	1.3877551020408163	3.0
2107_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.562874251497006	0.4218905472636816	0.6226765799256505	0.437125748502994	0.4794745484400657	0.37732342007434944	0.3568904593639576	0.5153061224489796	184.0	0.1686526122823098	0.7259395050412466	1.351492764728441	1.538910505836576	7.0	115.0	0.16522988505747127	0.5933908045977011	1.3451152034330167	1.5326086956521738	4.0
2120_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.6153846153846154	0.17105263157894737	0.6608695652173913	0.38461538461538464	0.38461538461538464	0.3391304347826087	0.2708333333333333	0.48148148148148145	7.0	0.08433734939759036	0.26506024096385544	-0.0	1.0	1.0	2.0	0.043478260869565216	0.17391304347826086	-0.0	1.0	1.0
2149_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.7586206896551724	0.29175946547884185	0.6945088940448569	0.2413793103448276	0.5670886075949367	0.30549110595514306	0.36929460580912865	0.5816993464052288	161.0	0.16770833333333332	0.753125	1.4601023898050103	1.5803571428571428	4.0	69.0	0.15065502183406113	0.5414847161572053	1.1000085510335775	1.3494623655913978	4.0
2157_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.6136363636363636	0.2651356993736952	0.6534788540245566	0.38636363636363635	0.4409448818897638	0.34652114597544337	0.33640552995391704	0.6347826086956522	96.0	0.18461538461538463	0.5980769230769231	1.0935815851739294	1.3691588785046729	4.0	41.0	0.13898305084745763	0.4915254237288136	1.2810169070409134	1.4731182795698925	5.0
2187_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.6555555555555556	0.3426724137931034	0.5728395061728395	0.34444444444444444	0.4393063583815029	0.4271604938271605	0.45751633986928103	0.4666666666666667	87.0	0.1676300578034682	0.6782273603082851	1.4136383461767958	1.5486725663716814	4.0	61.0	0.15211970074812967	0.5062344139650873	0.9743941886172991	1.2993630573248407	4.0
2220_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.553030303030303	0.47181266261925414	0.7686666666666667	0.44696969696969696	0.4697406340057637	0.23133333333333334	0.2902097902097902	0.6194029850746269	217.0	0.17904290429042904	0.7739273927392739	1.5156098275339267	1.6485507246376812	4.0	58.0	0.14250614250614252	0.5012285012285013	0.9732401978263361	1.2922077922077921	3.0
2231_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.7105263157894737	0.3125	0.7647498132935027	0.2894736842105263	0.5777777777777777	0.2352501867064974	0.21405750798722045	0.6036036036036037	185.0	0.17257462686567165	0.7602611940298507	1.2511305493319902	1.4640776699029125	5.0	62.0	0.17079889807162535	0.6115702479338843	1.3517911035766643	1.525179856115108	5.0
2247_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.5735294117647058	0.33444259567387685	0.7447335811648079	0.4264705882352941	0.3932038834951456	0.2552664188351921	0.21285140562248997	0.5196078431372549	104.0	0.16534181240063592	0.6359300476947536	1.07752213696315	1.3489208633093526	3.0	34.0	0.14468085106382977	0.451063829787234	0.6321302781219706	1.1590909090909092	2.0
