Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
6	6	3	, uh ,	22	50	1	M	19, 22, 26, 38, 64, 68
3	3	3	, i don't	20	56	1	M	9, 20, 64
2	2	3	, i mean	39	20	1	A	20, 39
2	2	3	, no .	71	66	1	A	6, 71
2	2	3	. i'm not	71	16	1	A	56, 71
2	2	3	i'm not sure	64	28	1	M	37, 64
2	2	3	not really .	73	18	1	A	56, 73
2	2	3	they have a	26	26	1	M	1, 26
11	11	2	, you	16	66	1	M	3, 16, 20, 22, 26, 32, 38, 42, 44, 54, 68
7	5	2	, i	20	60	1	M	9, 20, 39, 40, 54, 64, 68
7	1	2	uh ,	19	57	1	A	12, 19, 22, 26, 38, 64, 68
5	1	2	i'm not	56	35	2	M	37, 45, 56, 64, 71
5	5	2	yeah ,	51	43	3	A	22, 42, 44, 51, 64
4	2	2	have a	2	69	1	M	1, 2, 26, 69
4	1	2	i don't	68	60	1	M	9, 20, 64, 68
4	4	2	it ,	57	31	1	A	38, 57, 64, 68
4	2	2	they have	16	64	1	M	1, 16, 26, 64
3	1	2	. i'm	71	16	2	A	56, 70, 71
3	3	2	but i	57	11	1	A	54, 57, 64
3	3	2	i guess	38	20	1	M	35, 38, 54
3	3	2	not ,	45	55	1	A	10, 45, 64
3	1	2	not really	73	64	2	A	10, 56, 73
3	1	2	not sure	77	41	1	M	37, 64, 77
3	3	2	you have	69	48	2	A	22, 32, 69
2	2	2	, my	66	16	1	M	51, 66
2	2	2	, the	22	16	1	M	7, 22
2	2	2	and the	67	28	1	A	40, 67
2	2	2	care .	65	40	1	A	26, 65
2	2	2	i think	57	4	1	A	54, 57
2	2	2	is it	49	22	1	A	28, 49
2	2	2	is that	66	12	1	M	55, 66
2	2	2	of it	57	42	1	A	16, 57
2	2	2	you can	67	24	1	A	44, 67
19	6	1	you	3	77	1	A	2, 3, 7, 16, 20, 22, 24, 26, 32, 38, 42, 43, 44, 54, 62, 67, 68, 69, 78
16	13	1	a	5	76	1	M	1, 2, 5, 10, 14, 22, 26, 38, 40, 44, 51, 53, 66, 68, 69, 76
16	13	1	the	14	70	2	M	7, 13, 14, 15, 20, 22, 26, 32, 40, 45, 54, 57, 64, 66, 67, 76
15	9	1	i	14	68	1	M	9, 14, 20, 29, 35, 38, 39, 40, 54, 57, 63, 64, 66, 68, 76
14	10	1	it	33	65	5	A	4, 16, 24, 26, 28, 33, 36, 38, 44, 49, 57, 59, 64, 68
13	5	1	not	31	68	2	A	10, 20, 31, 37, 45, 56, 59, 64, 66, 71, 73, 75, 77
12	11	1	and	29	63	3	A	14, 20, 26, 29, 38, 40, 50, 54, 62, 66, 67, 76
12	4	1	have	14	69	1	M	1, 2, 14, 16, 22, 24, 26, 32, 34, 64, 67, 69
10	8	1	of	57	55	7	A	14, 16, 20, 22, 38, 40, 56, 57, 66, 68
10	10	1	to	67	75	8	A	2, 14, 22, 24, 32, 38, 64, 66, 67, 76
10	5	1	yeah	51	51	4	A	22, 36, 42, 44, 51, 52, 54, 62, 64, 72
9	8	1	they	16	68	1	M	1, 16, 23, 26, 34, 55, 64, 66, 68
8	3	1	i'm	37	42	1	A	36, 37, 45, 56, 64, 70, 71, 77
8	8	1	in	29	63	2	A	14, 26, 29, 32, 62, 64, 66, 76
8	6	1	that	55	65	5	A	2, 32, 40, 50, 54, 55, 56, 66
7	4	1	but	45	49	2	A	20, 26, 45, 54, 57, 64, 68
7	3	1	is	49	41	4	A	26, 28, 36, 38, 49, 55, 66
7	7	1	it's	17	59	1	A	10, 17, 20, 32, 53, 54, 68
7	7	1	so	14	27	2	M	9, 11, 14, 17, 24, 26, 35
7	7	1	well	21	63	2	A	2, 16, 21, 34, 42, 54, 64
6	3	1	don't	22	60	1	M	9, 20, 22, 50, 64, 68
6	5	1	my	29	57	3	A	10, 14, 26, 29, 51, 66
6	3	1	really	73	64	5	A	10, 22, 26, 54, 56, 73
5	5	1	just	5	65	1	A	2, 5, 20, 24, 66
5	5	1	on	51	47	3	A	10, 14, 40, 51, 56
5	5	1	or	69	42	4	A	28, 32, 40, 64, 69
5	2	1	sure	37	42	1	A	36, 37, 64, 70, 77
5	5	1	time	57	53	3	A	14, 16, 40, 57, 66
5	5	1	with	75	32	4	A	44, 54, 62, 68, 75
4	3	1	no	71	66	3	A	6, 20, 56, 71
4	4	1	oh	39	20	1	A	30, 39, 48, 49
4	4	1	one	45	66	1	A	2, 45, 54, 67
4	4	1	what	20	39	1	M	5, 20, 32, 43
3	3	1	about	64	64	1	M	5, 64, 68
3	3	1	are	66	24	1	M	55, 66, 78
3	1	1	can	67	52	2	A	16, 44, 67
3	2	1	care	65	43	1	A	26, 65, 68
3	3	1	do	54	27	1	M	43, 54, 69
3	3	1	has	64	16	1	M	51, 64, 66
3	3	1	he's	61	36	2	A	26, 38, 61
3	1	1	mean	43	24	1	A	20, 39, 43
3	3	1	that's	19	46	1	A	14, 19, 59
3	1	1	think	54	49	1	M	9, 54, 57
3	3	1	was	57	37	1	A	40, 57, 76
3	3	1	your	69	14	1	A	62, 69, 75
2	2	1	can't	66	10	1	M	57, 66
2	2	1	here	64	36	1	M	29, 64
2	2	1	long	64	62	1	M	3, 64
2	2	1	me	66	16	1	M	51, 66
2	2	1	remember	76	20	1	M	57, 76
2	2	1	we	25	14	1	A	12, 25
2	2	1	you're	32	2	1	M	31, 32

