Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	uh-huh . uh-huh .	69	A	0, 68
2	3	uh you know	5	A	72, 76
10	2	uh-huh .	85	A	0, 2, 40, 42, 56, 58, 64, 68, 74, 84
5	2	you know	69	A	8, 28, 60, 72, 76
4	2	yeah .	65	A	12, 18, 20, 76
3	2	. i	31	A	40, 60, 70
3	2	of them	19	A	30, 34, 48
3	2	oh .	67	A	4, 14, 70
2	2	. but	49	A	28, 76
2	2	but it's	51	A	26, 76
2	2	good .	33	A	44, 76
2	2	i can	11	A	70, 80
2	2	i guess	27	A	12, 38
2	2	i mean	33	A	28, 60
2	2	in the	23	A	26, 48
2	2	it was	19	A	30, 48
2	2	much .	3	A	32, 34
2	2	now .	13	A	12, 24
2	2	right .	29	A	50, 78
2	2	that .	41	A	30, 70
2	2	that's right	39	A	40, 78
2	2	well i	27	A	12, 38
2	2	year .	37	A	46, 82
2	2	you don't	15	A	62, 76
9	1	i	69	A	12, 28, 38, 40, 48, 60, 70, 72, 80
9	1	the	75	A	6, 10, 24, 26, 30, 34, 48, 72, 80
9	1	you	69	A	8, 10, 16, 28, 36, 60, 62, 72, 76
8	1	and	55	A	8, 10, 24, 28, 38, 48, 60, 62
7	1	to	49	A	24, 28, 34, 48, 54, 62, 72
7	1	we	73	A	0, 12, 22, 26, 28, 46, 72
6	1	a	53	A	8, 10, 30, 38, 54, 60
6	1	but	73	A	10, 26, 28, 48, 76, 82
6	1	now	81	A	0, 8, 12, 22, 24, 80
6	1	right	55	A	24, 32, 40, 48, 50, 78
6	1	that	45	A	28, 30, 34, 38, 70, 72
6	1	well	49	A	6, 12, 38, 44, 46, 54
6	1	yeah	65	A	12, 18, 20, 30, 34, 76
5	1	are	79	A	0, 10, 26, 28, 78
5	1	it	55	A	0, 30, 38, 48, 54
5	1	it's	51	A	26, 30, 54, 60, 76
5	1	uh	77	A	0, 30, 34, 72, 76
4	1	can	71	A	10, 12, 70, 80
4	1	good	67	A	10, 30, 44, 76
4	1	had	49	A	24, 34, 38, 72
4	1	of	25	A	24, 30, 34, 48
4	1	oh	67	A	4, 14, 22, 70
4	1	so	73	A	0, 28, 34, 72
3	1	about	27	A	24, 46, 50
3	1	get	27	A	22, 34, 48
3	1	in	25	A	24, 26, 48
3	1	pretty	25	A	26, 30, 50
3	1	really	55	A	22, 34, 76
3	1	still	69	A	8, 48, 76
3	1	that's	69	A	10, 40, 78
3	1	this	23	A	60, 72, 82
3	1	um	75	A	6, 12, 80
3	1	up	25	A	24, 34, 48
2	1	again	23	A	38, 60
2	1	all	51	A	10, 60
2	1	aren't	47	A	4, 50
2	1	because	5	A	34, 38
2	1	been	11	A	24, 34
2	1	for	37	A	10, 46
2	1	more	5	A	34, 38
2	1	okay	3	A	10, 12
2	1	one	9	A	38, 46
2	1	over	31	A	30, 60
2	1	they	17	A	34, 50
2	1	things	31	A	30, 60
2	1	we've	23	A	60, 82

