ID	S1	S2	S1/Initiated Expression (IE_S1)	S1/Expression Repetition (ER_S1)	S1/tokens (%)	S2/Initiated Expression (IE_S2)	S2/Expression Repetition (ER_S2)	S2/tokens (%)	Voc. Overlap S1	Voc. Overlap S2	SR/S1/ELS	SR/S1/EV	SR/S1/ER	SR/S1/ENTR	SR/S1/L	SR/S1/LMAX	SR/S2/ELS	SR/S2/EV	SR/S2/ER	SR/S2/ENTR	SR/S2/L	SR/S2/LMAX
2064-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.6568627450980392	0.31713244228432563	0.7270318021201413	0.3431372549019608	0.47249190938511326	0.27296819787985865	0.2508710801393728	0.5142857142857142	131.0	0.1495433789954338	0.6575342465753424	1.077961462338303	1.356234096692112	3.0	49.0	0.1349862258953168	0.4628099173553719	0.8670502597699818	1.2406015037593985	3.0
2072-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.654320987654321	0.33288590604026846	0.7850368809272918	0.345679012345679	0.47058823529411764	0.21496311907270813	0.21923076923076923	0.5876288659793815	120.0	0.15247776365946633	0.6721728081321474	1.0344073077778195	1.3304347826086957	3.0	33.0	0.13360323886639677	0.4291497975708502	0.693127415328288	1.186046511627907	2.0
2107-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.5222222222222223	0.426525998492841	0.7111468381564845	0.4777777777777778	0.45454545454545453	0.28885316184351556	0.24941176470588236	0.5638297872340425	213.0	0.15074309978768577	0.6857749469214437	1.1827196833881077	1.411674347158218	4.0	89.0	0.14217252396166133	0.5431309904153354	1.1839605307735939	1.4472573839662448	4.0
2120-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.875	0.07407407407407407	0.8146551724137931	0.125	0.3023255813953488	0.1853448275862069	0.08163265306122448	0.2857142857142857	20.0	0.10204081632653061	0.41836734693877553	0.49596907206183366	1.108695652173913	2.0	5.0	0.1	0.26	0.8112781244591328	1.5	3.0
2149-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.6033057851239669	0.357311320754717	0.6692975532754538	0.39669421487603307	0.4916467780429594	0.3307024467245462	0.2910958904109589	0.5029585798816568	141.0	0.15494505494505495	0.654945054945055	1.0774453240763031	1.3480392156862746	3.0	72.0	0.14937759336099585	0.5269709543568465	0.9772300564318357	1.3076923076923077	4.0
2157-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.5595238095238095	0.3614457831325301	0.6186335403726708	0.44047619047619047	0.43973941368078173	0.3813664596273292	0.28169014084507044	0.4444444444444444	79.0	0.14656771799628943	0.5936920222634509	0.8997369461797313	1.264840182648402	3.0	52.0	0.14942528735632185	0.5373563218390804	1.1791105438567193	1.4108527131782946	3.0
2187-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.584	0.3774403470715835	0.7065134099616859	0.416	0.4830287206266319	0.2934865900383142	0.27639751552795033	0.5493827160493827	155.0	0.1586489252814739	0.6755373592630501	1.0688251666144046	1.3579418344519016	3.0	65.0	0.14840182648401826	0.5114155251141552	0.9387180293348547	1.2823529411764707	3.0
2220-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.5254237288135594	0.40110395584176634	0.7460535346602608	0.4745762711864407	0.43783783783783786	0.2539464653397392	0.2225201072386059	0.5253164556962026	175.0	0.15270506108202445	0.680628272251309	1.1160761321776045	1.390625	3.0	62.0	0.14418604651162792	0.5046511627906977	1.0165812032931023	1.3353293413173652	3.0
2231-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.6097560975609756	0.3323397913561848	0.6764112903225806	0.3902439024390244	0.4485981308411215	0.3235887096774194	0.250936329588015	0.47183098591549294	96.0	0.13351877607788595	0.6036161335187761	0.7881886099739737	1.2189542483660132	3.0	54.0	0.14634146341463414	0.5094850948509485	0.9078106927953071	1.2758620689655173	3.0
2247-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.4528301886792453	0.3593073593073593	0.752442996742671	0.5471698113207547	0.3355263157894737	0.247557003257329	0.21428571428571427	0.56	68.0	0.13877551020408163	0.6040816326530613	0.8157272136052186	1.22	3.0	22.0	0.12154696132596685	0.4143646408839779	1.0089847317410945	1.3508771929824561	4.0
2263-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.603448275862069	0.3368055555555556	0.7093596059113301	0.39655172413793105	0.4661016949152542	0.29064039408866993	0.2549019607843137	0.5234899328859061	127.0	0.13849509269356597	0.653217011995638	1.005105840092437	1.3134328358208955	4.0	56.0	0.1375921375921376	0.5036855036855037	1.0177464768653677	1.3154362416107384	4.0
2264-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.574468085106383	0.23714285714285716	0.6782945736434108	0.425531914893617	0.3795180722891566	0.32170542635658916	0.21818181818181817	0.45569620253164556	49.0	0.12928759894459102	0.49340369393139843	0.8388976981390074	1.2276422764227641	3.0	27.0	0.13846153846153847	0.441025641025641	1.0805333164475432	1.360655737704918	3.0
2279-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.6323529411764706	0.3183023872679045	0.7263969171483622	0.36764705882352944	0.5046948356807511	0.27360308285163776	0.22337662337662337	0.5	175.0	0.14595496246872394	0.658882402001668	1.0890159756028754	1.3785310734463276	3.0	70.0	0.1417004048582996	0.5080971659919028	0.877437311089633	1.296875	2.0
2287-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.4578313253012048	0.408	0.6720430107526881	0.5421686746987951	0.36721311475409835	0.3279569892473118	0.26556016597510373	0.48854961832061067	101.0	0.150074294205052	0.6225854383358098	0.9624314857455627	1.2996389891696751	3.0	50.0	0.14124293785310735	0.5084745762711864	0.9548361621972145	1.2954545454545454	4.0
2296-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.5957446808510638	0.21978021978021978	0.7777777777777778	0.40425531914893614	0.38461538461538464	0.2222222222222222	0.1921182266009852	0.6	71.0	0.14853556485355648	0.5857740585774058	0.9086348715352084	1.2797619047619047	3.0	19.0	0.125	0.3881578947368421	0.9522656254366643	1.372093023255814	2.0
2314-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.573170731707317	0.2870514820592824	0.7130144605116796	0.4268292682926829	0.43410852713178294	0.28698553948832034	0.21235521235521235	0.5045871559633027	94.0	0.13823529411764707	0.6161764705882353	0.8696882883065239	1.2717770034843205	4.0	41.0	0.13758389261744966	0.47651006711409394	0.9369874776082663	1.2735849056603774	4.0
2349-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.581081081081081	0.3333333333333333	0.6709601873536299	0.4189189189189189	0.47330960854092524	0.32903981264637	0.2553191489361702	0.4878048780487805	86.0	0.1396103896103896	0.5844155844155844	1.0077460597003702	1.316872427983539	3.0	47.0	0.14506172839506173	0.49382716049382713	0.9440231356865455	1.278688524590164	3.0
2353-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.5714285714285714	0.3456924754634678	0.686377245508982	0.42857142857142855	0.4510739856801909	0.31362275449101795	0.2276657060518732	0.45664739884393063	147.0	0.15061475409836064	0.639344262295082	1.0272024257044599	1.3238095238095238	4.0	66.0	0.13778705636743216	0.5177453027139874	1.227702051625977	1.449438202247191	3.0
