Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	5	especially when you have a	98	78	1	B	21, 98
2	2	4	a day care center	39	8	1	A	32, 39
2	2	4	it would be just	37	2	1	A	36, 37
2	2	4	would be fair .	58	8	1	B	51, 58
6	4	3	it would be	43	32	1	A	36, 37, 43, 51, 57, 67
4	4	3	a lot of	98	68	3	B	31, 43, 95, 98
4	4	3	that would be	53	45	2	A	14, 50, 53, 58
3	3	3	i think it	110	60	2	B	51, 57, 110
3	3	3	that's true .	69	53	1	A	44, 69, 96
3	3	3	to have uh	103	72	2	A	32, 98, 103
2	2	3	. and and	77	66	1	A	12, 77
2	2	3	for the the	95	64	1	A	32, 95
2	2	3	i do .	61	54	1	A	8, 61
2	2	3	like to see	87	76	1	A	12, 87
2	2	3	uh i think	31	22	1	A	10, 31
2	2	3	with the company	56	2	1	B	55, 56
2	2	3	you have to	98	54	1	B	45, 98
2	2	3	you know and	49	24	1	A	26, 49
14	14	2	right .	20	97	2	B	11, 15, 20, 30, 33, 46, 54, 56, 71, 83, 85, 99, 103, 107
13	3	2	would be	35	54	2	A	14, 16, 35, 36, 37, 40, 43, 50, 51, 53, 57, 58, 67
10	10	2	uh-huh .	99	103	7	A	6, 32, 36, 48, 78, 80, 94, 99, 104, 108
9	5	2	i think	15	101	1	A	10, 15, 27, 31, 51, 53, 57, 79, 110
9	7	2	you know	49	94	3	A	12, 26, 34, 49, 53, 55, 81, 84, 105
8	3	2	it would	37	80	1	A	36, 37, 43, 51, 55, 57, 67, 115
7	7	2	yeah .	42	80	1	B	35, 42, 59, 60, 67, 101, 114
6	6	2	okay .	12	84	1	B	9, 12, 13, 64, 91, 92
5	3	2	for the	53	86	3	A	10, 14, 32, 53, 95
5	3	2	i do	8	63	1	B	1, 8, 52, 61, 63
5	5	2	of the	29	86	1	A	10, 29, 31, 32, 95
5	1	2	that would	117	104	2	A	14, 50, 53, 58, 117
5	2	2	to have	43	72	1	A	32, 43, 98, 100, 103
5	3	2	with the	93	56	1	B	55, 56, 93, 98, 110
5	5	2	you are	21	41	1	A	10, 21, 45, 47, 50
4	3	2	. and	35	68	2	A	10, 12, 35, 77
4	3	2	and and	77	99	1	A	12, 77, 98, 110
4	4	2	and you	84	78	2	B	21, 49, 84, 98
4	2	2	day care	35	14	1	A	32, 35, 39, 45
4	4	2	do you	3	63	1	A	0, 3, 50, 62
4	1	2	have uh	103	72	3	A	32, 84, 98, 103
4	4	2	i i	110	103	1	B	15, 110, 116, 117
4	4	2	in the	110	86	2	B	31, 47, 110, 116
4	1	2	you have	70	78	2	B	21, 45, 70, 98
4	4	2	you would	29	35	2	A	16, 28, 29, 50
3	3	2	care .	66	32	2	B	35, 45, 66
3	1	2	do .	25	54	1	A	8, 25, 61
3	1	2	have a	21	89	1	A	10, 21, 98
3	3	2	have that	63	51	1	A	50, 63, 100
3	3	2	me .	116	31	1	B	87, 116, 117
3	3	2	not have	73	58	2	A	16, 38, 73
3	3	2	of it	82	37	1	B	73, 82, 109
3	3	2	oh .	89	38	1	A	74, 89, 111
3	3	2	something .	49	46	1	A	28, 49, 73
3	1	2	the company	56	4	2	B	53, 55, 56
3	3	2	think that	15	37	1	A	14, 15, 50
3	3	2	to go	56	27	1	B	45, 56, 71
