ID	S1	S2	S1/Initiated Expression (IE_S1)	S1/Expression Repetition (ER_S1)	S1/tokens (%)	S2/Initiated Expression (IE_S2)	S2/Expression Repetition (ER_S2)	S2/tokens (%)	Voc. Overlap S1	Voc. Overlap S2	SR/S1/ELS	SR/S1/EV	SR/S1/ER	SR/S1/ENTR	SR/S1/L	SR/S1/LMAX	SR/S2/ELS	SR/S2/EV	SR/S2/ER	SR/S2/ENTR	SR/S2/L	SR/S2/LMAX
2064_txt-base_human-speaker_A_B_tsv	A	B	0.4567901234567901	0.5370611183355006	0.482736974262398	0.5432098765432098	0.5	0.517263025737602	0.4349593495934959	0.4885844748858447	139.0	0.1684848484848485	0.6957575757575758	1.2638876064056304	1.481578947368421	4.0	155.0	0.17613636363636365	0.7568181818181818	1.8439783335147122	1.938375350140056	9.0
2072_txt-base_human-speaker_A_B_tsv	A	B	0.5070422535211268	0.5606060606060606	0.5142857142857142	0.49295774647887325	0.48841354723707664	0.4857142857142857	0.4504950495049505	0.441747572815534	111.0	0.17370892018779344	0.701095461658842	1.2035154464911402	1.4275862068965517	3.0	85.0	0.14026402640264027	0.6287128712871287	1.4117943454260227	1.5491071428571428	6.0
2107_txt-base_human-speaker_A_B_tsv	A	B	0.546875	0.47043010752688175	0.5205223880597015	0.453125	0.5700389105058365	0.47947761194029853	0.4460227272727273	0.5413793103448276	205.0	0.17012448132780084	0.7012448132780082	1.242753824997418	1.436206896551724	7.0	189.0	0.1692032229185318	0.7242614145031334	1.3452489686383857	1.5351043643263758	7.0
2120_txt-base_human-speaker_A_B_tsv	A	B	0.9090909090909091	0.0410958904109589	0.6347826086956522	0.09090909090909091	0.39285714285714285	0.3652173913043478	0.225	0.36	26.0	0.16666666666666666	0.4807692307692308	0.9113423759758416	1.3265306122448979	2.0	8.0	0.08602150537634409	0.3118279569892473	0.6500224216483541	1.1666666666666667	2.0
2149_txt-base_human-speaker_A_B_tsv	A	B	0.46153846153846156	0.5120213713268033	0.5401635401635402	0.5384615384615384	0.5334728033472803	0.4598364598364598	0.45307443365695793	0.56	209.0	0.17592592592592593	0.7626262626262627	1.4182546837248575	1.5371024734982333	5.0	171.0	0.16748285994123407	0.7580803134182175	1.5241891191263361	1.6178343949044587	5.0
2157_txt-base_human-speaker_A_B_tsv	A	B	0.49777777777777776	0.543675751222921	0.7445369406867846	0.5022222222222222	0.46028513238289204	0.2554630593132154	0.41899441340782123	0.6787330316742082	258.0	0.17503392130257803	0.8086838534599728	1.2811337795477262	1.5021645021645023	6.0	99.0	0.18504672897196262	0.5981308411214953	1.0719374981852945	1.3542600896860986	4.0
2187_txt-base_human-speaker_A_B_tsv	A	B	0.5187165775401069	0.4464720194647202	0.7754716981132076	0.48128342245989303	0.5189075630252101	0.22452830188679246	0.26987951807228916	0.7272727272727273	342.0	0.20105820105820105	0.8012933568489125	1.5280836577273833	1.658682634730539	8.0	91.0	0.1704119850187266	0.6835205992509363	1.4097988249844728	1.548936170212766	4.0
2220_txt-base_human-speaker_A_B_tsv	A	B	0.6260504201680672	0.4429678848283499	0.4385624089363769	0.3739495798319328	0.6306228373702422	0.5614375910636231	0.4525316455696203	0.5	165.0	0.17098445595854922	0.6901554404145078	1.2010058112052118	1.421978021978022	4.0	217.0	0.1781609195402299	0.7725779967159278	1.5146535829399617	1.648014440433213	4.0
2231_txt-base_human-speaker_A_B_tsv	A	B	0.5294117647058824	0.4863731656184486	0.31278688524590165	0.47058823529411764	0.49427480916030536	0.6872131147540984	0.6705202312138728	0.3682539682539683	86.0	0.16318785578747627	0.6793168880455408	1.5525212764551595	1.660633484162896	4.0	190.0	0.17288444040036396	0.7625113739763422	1.2447035805861668	1.4613935969868173	5.0
2247_txt-base_human-speaker_A_B_tsv	A	B	0.6938775510204082	0.2821917808219178	0.3713123092573754	0.30612244897959184	0.44336569579288027	0.6286876907426246	0.4267515923566879	0.268	52.0	0.13131313131313133	0.5580808080808081	1.23651637144947	1.4728682170542635	5.0	109.0	0.1679506933744222	0.6425269645608629	1.1521426224696407	1.3797909407665505	4.0
2263_txt-base_human-speaker_A_B_tsv	A	B	0.5319148936170213	0.4024024024024024	0.5383993532740501	0.46808510638297873	0.4921190893169877	0.46160064672594986	0.4398148148148148	0.5191256830601093	121.0	0.16759002770083103	0.685595567867036	1.339543473569762	1.5272727272727273	4.0	106.0	0.16932907348242812	0.6964856230031949	1.4289902539110402	1.564102564102564	4.0
2264_txt-base_human-speaker_A_B_tsv	A	B	0.6193548387096774	0.4486111111111111	0.6422836752899197	0.38064516129032255	0.543640897755611	0.3577163247100803	0.4349775784753363	0.5773809523809523	136.0	0.1810918774966711	0.748335552596538	1.304213688066712	1.4664804469273742	4.0	67.0	0.15473441108545036	0.625866050808314	1.0997644688378696	1.3602150537634408	3.0
2279_txt-base_human-speaker_A_B_tsv	A	B	0.4918032786885246	0.43127147766323026	0.2907092907092907	0.5081967213114754	0.532394366197183	0.7092907092907093	0.5902439024390244	0.36890243902439024	112.0	0.17151607963246554	0.664624808575804	1.0259768542484144	1.3397435897435896	3.0	290.0	0.19463087248322147	0.810738255033557	1.5096572479491	1.6264900662251656	6.0
2287_txt-base_human-speaker_A_B_tsv	A	B	0.519774011299435	0.5243055555555556	0.3711340206185567	0.480225988700565	0.5502049180327869	0.6288659793814433	0.5480769230769231	0.40569395017793597	101.0	0.16108452950558214	0.6730462519936204	1.0201616218484832	1.3202614379084967	4.0	180.0	0.17526777020447906	0.7458617332035054	1.3030549782326004	1.4881889763779528	4.0
2296_txt-base_human-speaker_A_B_tsv	A	B	0.44545454545454544	0.4776902887139108	0.46979038224414305	0.5545454545454546	0.39767441860465114	0.530209617755857	0.47058823529411764	0.43478260869565216	65.0	0.16009852216748768	0.5862068965517241	0.8275830595086981	1.2325581395348837	3.0	74.0	0.16263736263736264	0.5934065934065934	1.053806308315653	1.3387978142076502	4.0
2314_txt-base_human-speaker_A_B_tsv	A	B	0.3525641025641026	0.5631868131868132	0.5241180705543557	0.6474358974358975	0.37821482602118	0.47588192944564434	0.42570281124497994	0.5023696682464455	138.0	0.17922077922077922	0.7090909090909091	1.1902820045956481	1.4135135135135135	5.0	135.0	0.19203413940256045	0.7140825035561877	1.5581959125724567	1.654485049833887	5.0
2349_txt-base_human-speaker_A_B_tsv	A	B	0.42592592592592593	0.4566787003610108	0.4467741935483871	0.5740740740740741	0.4650145772594752	0.5532258064516129	0.5082872928176796	0.46938775510204084	97.0	0.16166666666666665	0.6716666666666666	1.5644051816341928	1.6581196581196582	6.0	145.0	0.19835841313269495	0.7606019151846786	1.4876427370423095	1.5994397759103642	5.0
2353_txt-base_human-speaker_A_B_tsv	A	B	0.5487179487179488	0.4511469838572642	0.614621409921671	0.4512820512820513	0.5650406504065041	0.385378590078329	0.35735735735735735	0.5409090909090909	214.0	0.17271993543179984	0.7594834543987087	1.6344316143150435	1.7127272727272727	10.0	137.0	0.17125	0.73	1.471618909192137	1.6049723756906078	5.0
2427_txt-base_human-speaker_A_B_tsv	A	B	0.5	0.5607476635514018	0.48015188125647223	0.5	0.5657370517928287	0.5198481187435278	0.5306122448979592	0.4690721649484536	264.0	0.173798551678736	0.7630019749835418	1.5148991656760529	1.6476190476190475	6.0	276.0	0.1688073394495413	0.7443425076452599	1.4735301081727616	1.5905006418485237	5.0
2471_txt-base_human-speaker_A_B_tsv	A	B	0.5826086956521739	0.42408376963350786	0.5758793969849246	0.41739130434782606	0.44549763033175355	0.42412060301507537	0.3619047619047619	0.4444444444444444	111.0	0.18530884808013356	0.7045075125208681	1.214389505170992	1.4452554744525548	3.0	72.0	0.16071428571428573	0.625	1.052406118713417	1.3370786516853932	3.0
2483_txt-base_human-speaker_A_B_tsv	A	B	0.7168141592920354	0.4116485686080948	0.48515325670498083	0.2831858407079646	0.5888372093023255	0.5148467432950191	0.5218855218855218	0.42699724517906334	183.0	0.17411988582302568	0.7611798287345385	1.3339842841750627	1.5106837606837606	6.0	183.0	0.16442048517520216	0.7160826594788859	1.1736826889086616	1.4333333333333333	4.0
2525_txt-base_human-speaker_A_B_tsv	A	B	0.4875	0.49765258215962443	0.3874488403819918	0.5125	0.5241276911655531	0.6125511596180082	0.5503875968992248	0.361323155216285	157.0	0.17139737991266377	0.732532751091703	1.2946604934770838	1.4927536231884058	5.0	261.0	0.184975194897236	0.7512402551381998	1.3259652893168328	1.5125698324022345	4.0
2528_txt-base_human-speaker_A_B_tsv	A	B	0.625	0.4561140285071268	0.6661669165417291	0.375	0.5389221556886228	0.33383308345827084	0.40061162079510704	0.5550847457627118	244.0	0.17591925018024512	0.7779379956741168	1.4879989585524376	1.6054313099041533	5.0	111.0	0.15352697095435686	0.6431535269709544	1.2383836357096343	1.4257425742574257	5.0
2533_txt-base_human-speaker_A_B_tsv	A	B	0.5555555555555556	0.5451825254338719	0.6713539574126155	0.4444444444444444	0.5525672371638142	0.3286460425873845	0.35730337078651686	0.5618374558303887	306.0	0.17616580310880828	0.791594703511802	1.291852561967195	1.4772209567198178	5.0	152.0	0.17175141242937852	0.7005649717514124	1.0936423586632333	1.3770491803278688	4.0
2537_txt-base_human-speaker_A_B_tsv	A	B	0.5136612021857924	0.4796116504854369	0.3069129916567342	0.48633879781420764	0.5253654342218401	0.6930870083432658	0.5842105263157895	0.3415384615384615	96.0	0.17297297297297298	0.6756756756756757	1.1792384228622743	1.4202334630350195	4.0	204.0	0.16957605985037408	0.7680798004987531	1.4947892228114785	1.5963963963963963	5.0
2547_txt-base_human-speaker_A_B_tsv	A	B	0.42011834319526625	0.507563025210084	0.3619221411192214	0.5798816568047337	0.44804575786463297	0.6380778588807786	0.5571428571428572	0.36908517350157727	116.0	0.17709923664122137	0.6793893129770993	1.1447547136652922	1.4013377926421404	4.0	191.0	0.17222723174030657	0.7366997294860235	1.4245523046416182	1.5768463073852295	7.0
2552_txt-base_human-speaker_A_B_tsv	A	B	0.7407407407407407	0.3958333333333333	0.4019704433497537	0.25925925925925924	0.6054365733113674	0.5980295566502463	0.5690376569037657	0.4121212121212121	172.0	0.1963470319634703	0.747716894977169	1.4003683458669716	1.571764705882353	4.0	225.0	0.17660910518053374	0.7574568288854003	1.2738492431011628	1.4967845659163987	4.0
2585_txt-base_human-speaker_A_B_tsv	A	B	0.6491228070175439	0.45987438939288205	0.6823809523809524	0.3508771929824561	0.5352323838080959	0.31761904761904763	0.35294117647058826	0.5542168674698795	255.0	0.1707970529135968	0.7622237106496986	1.3704786062641432	1.5341880341880343	5.0	124.0	0.17056396148555708	0.6492434662998624	1.0975176248928247	1.345029239766082	4.0
2641_txt-base_human-speaker_A_B_tsv	A	B	0.6020408163265306	0.4933451641526176	0.460375816993464	0.3979591836734694	0.5965177895533686	0.5396241830065359	0.5174603174603175	0.4752186588921283	207.0	0.1719269102990033	0.7508305647840532	1.419672381824462	1.55929203539823	5.0	240.0	0.17167381974248927	0.778969957081545	1.346403206459415	1.5035971223021583	5.0
2642_txt-base_human-speaker_A_B_tsv	A	B	0.6072727272727273	0.4800637958532695	0.5608228980322003	0.3927272727272727	0.5967413441955194	0.43917710196779963	0.4981949458483754	0.5267175572519084	250.0	0.19334880123743234	0.8344934261407579	1.6098046884869928	1.7007874015748032	6.0	184.0	0.1802154750244858	0.7952987267384917	1.354334446755655	1.502202643171806	5.0
2657_txt-base_human-speaker_A_B_tsv	A	B	0.5566037735849056	0.4554730983302412	0.5712771595124536	0.44339622641509435	0.5475896168108776	0.4287228404875464	0.38953488372093026	0.5606694560669456	200.0	0.17761989342806395	0.7282415630550622	1.3309743026760292	1.4805914972273568	5.0	138.0	0.16083916083916083	0.7505827505827506	1.3627471056175817	1.5204081632653061	4.0
2717_txt-base_human-speaker_A_B_tsv	A	B	0.4723404255319149	0.5501432664756447	0.51123046875	0.5276595744680851	0.48151848151848153	0.48876953125	0.47096774193548385	0.4634920634920635	193.0	0.1769019248395967	0.7470210815765352	1.4392254384991965	1.5666666666666667	5.0	163.0	0.15583173996175909	0.7208413001912046	1.245189301304595	1.4357298474945535	5.0
2729_txt-base_human-speaker_A_B_tsv	A	B	0.6359223300970874	0.4301587301587302	0.6445012787723785	0.3640776699029126	0.5683453237410072	0.3554987212276215	0.33602150537634407	0.5630630630630631	240.0	0.18031555221637866	0.7520661157024794	1.2714517933013076	1.4933530280649927	4.0	126.0	0.16449086161879894	0.6906005221932114	1.1404402533423899	1.4175824175824177	4.0
2749_txt-base_human-speaker_A_B_tsv	A	B	0.47058823529411764	0.4775510204081633	0.6744666207845836	0.5294117647058824	0.48625792811839325	0.32553337921541636	0.3141891891891892	0.5705521472392638	175.0	0.17309594460929772	0.7487636003956478	1.2363067757407906	1.436830835117773	5.0	94.0	0.1865079365079365	0.7142857142857143	1.3878636763340304	1.5809523809523809	6.0
2754_txt-base_human-speaker_A_B_tsv	A	B	0.431924882629108	0.5950991831971996	0.4406169665809769	0.568075117370892	0.4963235294117647	0.5593830334190232	0.5614035087719298	0.4	156.0	0.17067833698030635	0.7614879649890591	1.580809807168182	1.7170731707317073	10.0	201.0	0.17554585152838428	0.7475982532751092	1.4347575484558222	1.5768500948766604	4.0
2770_txt-base_human-speaker_A_B_tsv	A	B	0.5725806451612904	0.4045977011494253	0.47854785478547857	0.4274193548387097	0.5063291139240507	0.5214521452145214	0.5031847133757962	0.45930232558139533	88.0	0.19047619047619047	0.6948051948051948	1.3177317987359318	1.4852941176470589	5.0	87.0	0.174	0.684	1.1197777129041975	1.3679245283018868	4.0
2780_txt-base_human-speaker_A_B_tsv	A	B	0.6108108108108108	0.4829833454018827	0.6999493157627977	0.3891891891891892	0.518581081081081	0.3000506842372022	0.33903133903133903	0.5242290748898678	265.0	0.185444366689993	0.7914625612316305	1.4931684241312015	1.6315028901734103	5.0	101.0	0.15756630265210608	0.641185647425897	1.1159566419322522	1.3715277777777777	4.0
2782_txt-base_human-speaker_A_B_tsv	A	B	0.6461538461538462	0.3669064748201439	0.4432397959183674	0.35384615384615387	0.5292096219931272	0.5567602040816326	0.5114503816793893	0.4557823129251701	117.0	0.1581081081081081	0.6418918918918919	1.0035482174969688	1.3323262839879153	5.0	150.0	0.16339869281045752	0.7080610021786492	1.2127105284940183	1.4156479217603912	4.0
2836_txt-base_human-speaker_A_B_tsv	A	B	0.49238578680203043	0.4952520087655223	0.6687835857352222	0.5076142131979695	0.5162241887905604	0.3312164142647777	0.32038834951456313	0.5569620253164557	267.0	0.18541666666666667	0.7472222222222222	1.425415045546102	1.5724637681159421	4.0	114.0	0.152	0.6666666666666666	1.4098254287452976	1.588628762541806	9.0
2879_txt-base_human-speaker_A_B_tsv	A	B	0.5091743119266054	0.49621472814865797	0.6882993841781146	0.4908256880733945	0.5227963525835866	0.31170061582188535	0.3220338983050847	0.540650406504065	259.0	0.17118307997356247	0.7732980832782551	1.326503589215216	1.4776902887139107	5.0	101.0	0.14066852367688024	0.6392757660167131	1.1956759220326791	1.417763157894737	4.0
2900_txt-base_human-speaker_A_B_tsv	A	B	0.7261904761904762	0.2978369384359401	0.6845102505694761	0.27380952380952384	0.4368231046931408	0.31548974943052394	0.27125506072874495	0.5037593984962406	98.0	0.15705128205128205	0.6490384615384616	1.0523734206219997	1.3345454545454545	4.0	40.0	0.132890365448505	0.53156146179402	0.9116837050478919	1.2621359223300972	4.0
