Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	talking to you .	85	A	30, 114
2	3	. yeah .	53	A	20, 72
2	3	a lot of	51	A	18, 68
2	3	it's you know	69	A	20, 88
2	3	you have to	11	A	58, 68
10	2	uh-huh .	101	A	10, 36, 44, 52, 72, 86, 90, 96, 108, 110
7	2	yeah .	93	A	2, 20, 38, 64, 72, 84, 94
5	2	have to	87	A	26, 50, 58, 68, 112
4	2	i think	81	A	18, 82, 88, 98
4	2	you know	87	A	20, 58, 88, 106
3	2	i don't	65	A	34, 42, 98
3	2	i know	35	A	28, 58, 62
3	2	is that	65	A	12, 18, 76
3	2	right .	73	A	32, 40, 104
3	2	time .	13	A	102, 112, 114
2	2	. i	97	A	18, 114
2	2	. it's	31	A	20, 50
2	2	. uh	31	A	58, 88
2	2	a good	21	A	26, 46
2	2	a t	59	A	20, 78
2	2	and i	15	A	8, 22
2	2	and that's	7	A	20, 26
2	2	and then	11	A	32, 42
2	2	and uh	29	A	20, 48
2	2	and we	87	A	26, 112
2	2	and you	49	A	20, 68
2	2	but i	19	A	42, 60
2	2	have uh	27	A	42, 68
2	2	i was	29	A	22, 50
2	2	in the	47	A	14, 60
2	2	kind of	31	A	42, 72
2	2	know if	49	A	58, 106
2	2	no .	81	A	20, 100
2	2	of the	13	A	8, 20
2	2	out of	7	A	20, 26
2	2	place to	25	A	26, 50
2	2	that .	15	A	20, 34
2	2	that you	19	A	58, 76
2	2	them to	19	A	42, 60
2	2	to have	19	A	50, 68
2	2	to the	9	A	42, 50
2	2	uh just	69	A	20, 88
2	2	uh what	17	A	42, 58
2	2	yeah they	19	A	24, 42
2	2	you have	11	A	58, 68
18	1	i	107	A	8, 12, 18, 20, 22, 28, 32, 34, 42, 46, 50, 58, 60, 62, 82, 88, 98, 114
14	1	and	105	A	8, 20, 22, 26, 28, 32, 42, 48, 50, 60, 68, 74, 88, 112
14	1	yeah	107	A	0, 2, 6, 20, 24, 38, 42, 46, 64, 72, 84, 94, 102, 106
13	1	the	105	A	8, 12, 14, 20, 28, 42, 50, 58, 60, 68, 88, 98, 112
11	1	to	95	A	20, 24, 26, 30, 42, 50, 58, 60, 68, 112, 114
11	1	you	95	A	20, 30, 34, 58, 68, 72, 76, 88, 92, 106, 114
10	1	a	89	A	18, 20, 26, 46, 48, 68, 76, 78, 102, 106
10	1	of	67	A	8, 18, 20, 26, 42, 58, 60, 68, 72, 74
10	1	that	71	A	12, 18, 20, 26, 32, 34, 42, 58, 76, 82
10	1	uh-huh	101	A	10, 36, 44, 52, 72, 86, 90, 96, 108, 110
9	1	in	67	A	14, 20, 22, 24, 50, 60, 68, 76, 80
8	1	know	87	A	20, 28, 58, 62, 72, 88, 98, 106
8	1	well	115	A	0, 24, 34, 50, 72, 74, 92, 114
7	1	so	85	A	4, 6, 18, 50, 56, 76, 88
6	1	are	95	A	4, 14, 68, 74, 92, 98
6	1	it	55	A	8, 24, 28, 50, 60, 62
6	1	it's	75	A	14, 20, 42, 50, 72, 88
6	1	they	93	A	20, 24, 28, 42, 68, 112
6	1	uh	69	A	20, 42, 48, 58, 68, 88
6	1	what	73	A	0, 4, 20, 42, 58, 72
5	1	but	93	A	14, 42, 50, 60, 106
5	1	don't	81	A	18, 24, 34, 42, 98
5	1	is	71	A	12, 18, 20, 76, 82
5	1	out	33	A	0, 4, 20, 26, 32
5	1	them	93	A	20, 42, 60, 68, 112
5	1	think	81	A	18, 58, 82, 88, 98
5	1	time	73	A	42, 50, 102, 112, 114
5	1	was	59	A	2, 20, 22, 50, 60
4	1	for	81	A	34, 48, 102, 114
4	1	like	57	A	20, 24, 72, 76
4	1	much	65	A	42, 50, 88, 106
4	1	my	63	A	8, 32, 48, 70
4	1	pretty	51	A	0, 14, 28, 50
4	1	right	73	A	32, 40, 60, 104
4	1	there	93	A	0, 20, 50, 92
4	1	we	99	A	14, 26, 102, 112
3	1	about	79	A	20, 58, 98
3	1	back	63	A	50, 60, 112
3	1	be	43	A	46, 50, 88
3	1	because	89	A	24, 28, 112
3	1	found	31	A	2, 26, 32
3	1	get	47	A	60, 68, 106
3	1	got	31	A	20, 42, 50
3	1	here	31	A	20, 24, 50
3	1	if	49	A	58, 88, 106
3	1	just	69	A	20, 42, 88
3	1	oh	69	A	2, 42, 70
3	1	okay	99	A	16, 76, 114
3	1	on	95	A	4, 28, 98
3	1	that's	27	A	0, 20, 26
3	1	then	41	A	32, 42, 72
3	1	they're	49	A	58, 74, 106
3	1	this	57	A	20, 58, 76
3	1	up	41	A	20, 42, 60
3	1	when	33	A	50, 68, 82
3	1	with	51	A	18, 50, 68
3	1	would	69	A	20, 26, 88
3	1	your	111	A	4, 20, 114
2	1	buy	39	A	20, 58
2	1	can	13	A	46, 58
2	1	did	21	A	82, 102
2	1	do	31	A	28, 58
2	1	doesn't	39	A	20, 58
2	1	go	17	A	26, 42
2	1	i'm	75	A	18, 92
2	1	me	43	A	8, 50
2	1	not	19	A	50, 68
2	1	now	31	A	12, 42
2	1	one	23	A	20, 42
2	1	people	71	A	18, 88
2	1	really	21	A	68, 88
2	1	she	33	A	50, 82
2	1	t	59	A	20, 78
2	1	thing	9	A	12, 20
2	1	um	11	A	66, 76
2	1	use	23	A	20, 42

