Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	7	, uh , i don't know ,	105	22	1	A	84, 105
3	3	5	, and , uh ,	68	61	1	B	31, 68, 91
2	2	5	, and then , and	31	24	1	A	8, 31
2	2	5	, you know , and	91	84	1	A	8, 91
2	2	5	for a week , and	114	14	1	B	101, 114
7	5	4	, you know ,	31	94	1	A	8, 31, 45, 78, 91, 96, 101
7	5	4	and , uh ,	46	83	3	B	9, 23, 31, 46, 68, 83, 91
4	2	4	, i don't know	105	34	3	A	72, 74, 84, 105
3	1	4	, uh , i	84	75	1	B	31, 84, 105
3	3	4	, uh , that	68	87	1	B	5, 68, 91
3	3	4	, yeah , i	101	94	1	A	28, 101, 121
3	3	4	that , uh ,	107	40	2	A	68, 84, 107
2	2	4	, i , i	121	94	1	A	28, 121
2	2	4	, uh , really	107	62	1	A	46, 107
2	1	4	a week , and	114	14	1	B	101, 114
2	2	4	do you have ?	25	14	1	A	12, 25
2	2	4	right . well ,	96	72	1	B	25, 96
2	2	4	uh , yeah ,	75	48	1	A	28, 75
20	13	3	, uh ,	8	107	1	B	5, 8, 9, 15, 16, 23, 28, 31, 46, 68, 76, 80, 83, 84, 91, 93, 104, 105, 107, 111
11	4	3	you know ,	21	107	1	A	8, 21, 23, 31, 45, 78, 86, 91, 96, 101, 114
7	2	3	, you know	31	94	1	A	8, 31, 45, 78, 91, 96, 101
6	2	3	i don't know	105	104	4	A	6, 72, 74, 84, 105, 109
4	4	3	, and i	114	84	3	B	31, 47, 109, 114
4	4	3	, um ,	47	99	1	A	16, 47, 74, 114
4	4	3	i mean ,	82	53	1	B	67, 82, 101, 119
4	1	3	uh , i	46	75	1	B	31, 46, 84, 105
3	3	3	, and then	31	94	1	A	8, 31, 101
3	3	3	, that we	52	117	1	B	5, 52, 121
3	3	3	. right .	103	68	2	A	36, 52, 103
3	1	3	. well ,	106	82	1	B	25, 96, 106
3	3	3	and i think	50	28	1	B	47, 50, 74
3	1	3	do you have	83	72	1	A	12, 25, 83
3	1	3	i , i	121	94	2	A	28, 46, 121
3	3	3	uh-huh . yeah	79	56	1	A	52, 79, 107
3	1	3	yeah , i	121	94	1	A	28, 101, 121
2	1	3	, i ,	121	94	1	A	28, 121
2	2	3	, it's a	74	54	1	B	21, 74
2	2	3	, or ,	109	94	1	A	16, 109
2	2	3	. so ,	87	14	1	A	74, 87
2	2	3	a lot of	68	22	1	B	47, 68
2	1	3	and then ,	31	24	1	A	8, 31
2	2	3	now i have	86	56	1	B	31, 86
2	2	3	oh , yeah	101	10	1	A	92, 101
2	2	3	they had to	114	4	1	B	111, 114
29	26	2	uh-huh .	18	121	3	B	3, 13, 15, 18, 19, 20, 23, 34, 35, 38, 52, 53, 59, 60, 61, 64, 77, 79, 94, 95, 99, 103, 107, 108, 110, 113, 117, 120, 123
22	4	2	uh ,	28	107	1	B	5, 8, 9, 15, 16, 23, 28, 31, 46, 68, 75, 76, 78, 80, 83, 84, 91, 93, 104, 105, 107, 111
20	1	2	, uh	107	107	1	B	5, 8, 9, 15, 16, 23, 28, 31, 46, 68, 76, 80, 83, 84, 91, 93, 104, 105, 107, 111
18	11	2	, i	31	114	3	A	8, 16, 28, 31, 43, 46, 67, 71, 72, 74, 82, 84, 86, 101, 105, 114, 119, 121
12	7	2	, and	31	107	1	A	8, 31, 46, 47, 68, 72, 74, 80, 91, 101, 109, 114
11	11	2	yeah .	7	103	1	A	0, 7, 36, 42, 49, 51, 52, 69, 74, 92, 102
10	3	2	, you	36	94	1	A	8, 31, 36, 45, 47, 78, 80, 91, 96, 101
10	6	2	yeah ,	28	117	2	B	5, 11, 28, 54, 75, 79, 101, 107, 109, 121
9	5	2	right .	25	100	1	A	4, 25, 36, 41, 52, 56, 87, 96, 103
9	6	2	that ,	28	115	1	B	7, 28, 43, 55, 68, 84, 88, 107, 121
9	6	2	well ,	25	105	1	A	10, 25, 47, 48, 72, 91, 96, 106, 114
8	5	2	, that	52	117	2	B	5, 45, 52, 68, 91, 106, 107, 121
8	2	2	and ,	66	83	3	B	9, 23, 31, 46, 66, 68, 83, 91
8	2	2	and i	40	84	1	B	31, 40, 47, 50, 74, 86, 109, 114
7	5	2	oh ,	74	46	2	B	63, 65, 74, 92, 100, 101, 108
6	4	2	i think	50	80	2	B	43, 47, 50, 58, 74, 122
6	4	2	so ,	74	84	2	B	31, 67, 74, 87, 96, 114
6	2	2	um ,	25	99	1	A	16, 25, 47, 58, 74, 114
5	3	2	, it's	32	94	1	B	21, 32, 58, 74, 114
5	1	2	i mean	76	53	1	B	67, 76, 82, 101, 119
5	5	2	it ,	48	89	1	B	21, 48, 76, 101, 109
4	4	2	, but	105	43	2	A	72, 80, 105, 114
4	4	2	, it	74	99	2	B	11, 21, 74, 109
4	3	2	, or	83	102	2	A	8, 16, 83, 109
4	4	2	, they	48	97	1	B	23, 48, 111, 119
4	4	2	, what	16	77	1	B	11, 16, 76, 87
4	4	2	. and	74	65	2	B	37, 61, 74, 101
4	1	2	. yeah	79	56	2	A	52, 74, 79, 107
4	4	2	and you	119	46	3	A	74, 80, 114, 119
4	2	2	for a	101	65	2	A	50, 96, 101, 114
4	2	2	i have	31	97	1	A	8, 31, 86, 104
4	4	2	i was	72	92	2	B	23, 31, 72, 114
4	4	2	that i	71	59	1	A	46, 71, 91, 104
3	3	2	, all	114	92	2	B	23, 91, 114
3	3	2	, because	39	109	1	A	6, 39, 114
3	3	2	, for	45	81	1	A	16, 45, 96
3	3	2	, i've	44	85	1	B	7, 44, 91
