Freq.	Size	Surface Form	Spanning	First Speaker	Turns
3	5	, you know , it's	95	B	3, 17, 97
6	4	, you know ,	95	B	3, 17, 25, 27, 37, 97
2	4	, i don't think	31	B	53, 83
2	4	, i mean ,	11	B	13, 23
2	4	and , uh ,	53	B	25, 77
2	4	and , um ,	39	B	37, 75
2	4	uh , uh ,	51	B	47, 97
2	4	uh-huh . yeah .	41	B	17, 57
6	3	, uh ,	85	B	13, 25, 47, 53, 77, 97
3	3	. yeah .	51	B	17, 57, 67
3	3	i , i	59	B	13, 53, 71
3	3	i mean ,	11	B	13, 17, 23
2	3	, i think	69	B	25, 93
2	3	, oh ,	33	B	3, 35
2	3	, um ,	39	B	37, 75
2	3	it , it's	5	B	17, 21
2	3	oh , yeah	75	B	3, 77
2	3	yeah . well	61	B	17, 77
12	2	, i	91	B	3, 13, 17, 23, 25, 43, 53, 71, 73, 77, 83, 93
10	2	yeah .	73	B	5, 9, 15, 17, 39, 49, 57, 67, 71, 77
6	2	, you	95	B	3, 17, 25, 27, 37, 97
6	2	and ,	65	B	13, 25, 27, 37, 75, 77
6	2	oh ,	77	B	1, 3, 35, 43, 57, 77
6	2	uh ,	85	B	13, 25, 47, 53, 77, 97
5	2	well ,	81	B	13, 23, 27, 77, 93
4	2	, it	69	B	25, 37, 75, 93
4	2	, it's	95	B	3, 17, 21, 97
4	2	. i	77	B	17, 47, 71, 93
3	2	, and	35	B	13, 27, 47
3	2	, but	35	B	13, 17, 47
3	2	i ,	59	B	13, 53, 71
3	2	i think	75	B	25, 93, 99
3	2	it ,	9	B	17, 21, 25
3	2	it's ,	81	B	17, 37, 97
3	2	it's a	47	B	51, 83, 97
3	2	uh-huh .	53	B	17, 57, 69
3	2	yeah ,	57	B	3, 7, 59
2	2	, that's	13	B	1, 13
2	2	, they	87	B	13, 99
2	2	, when	9	B	19, 27
2	2	a little	25	B	51, 75
2	2	able to	73	B	3, 75
2	2	about that	33	B	13, 45
2	2	about the	5	B	13, 17
2	2	and that	11	B	7, 17
2	2	i can	31	B	17, 47
2	2	i was	75	B	3, 77
2	2	if you	73	B	27, 99
2	2	in the	51	B	27, 77
2	2	it was	81	B	13, 93
2	2	ours are	29	B	31, 59
2	2	really .	21	B	67, 87
2	2	sort of	63	B	17, 79
2	2	the ,	75	B	25, 99
2	2	thing .	67	B	17, 83
2	2	to the	39	B	37, 75
2	2	when ,	9	B	19, 27
2	2	with a	61	B	3, 63
2	2	yes ,	39	B	35, 73
15	1	i	97	B	3, 13, 17, 23, 25, 37, 43, 47, 53, 71, 73, 77, 83, 93, 99
14	1	yeah	75	B	3, 5, 7, 9, 15, 17, 39, 49, 57, 59, 65, 67, 71, 77
13	1	you	97	B	3, 13, 17, 25, 27, 37, 41, 65, 79, 81, 93, 97, 99
11	1	a	95	B	3, 11, 13, 21, 47, 51, 63, 75, 77, 83, 97
11	1	and	71	B	7, 13, 17, 21, 25, 27, 37, 41, 47, 75, 77
11	1	it	81	B	13, 17, 21, 25, 27, 37, 47, 63, 71, 75, 93
11	1	that	93	B	7, 13, 17, 21, 45, 47, 67, 75, 81, 95, 99
11	1	the	87	B	13, 17, 25, 27, 37, 47, 53, 75, 77, 89, 99
10	1	oh	85	B	1, 3, 31, 35, 43, 57, 59, 61, 77, 85
9	1	of	93	B	7, 17, 35, 47, 59, 63, 77, 79, 99
9	1	to	97	B	3, 17, 19, 27, 37, 73, 75, 93, 99
7	1	it's	95	B	3, 17, 21, 37, 51, 83, 97
7	1	know	95	B	3, 17, 25, 27, 37, 93, 97
6	1	but	67	B	13, 17, 37, 47, 77, 79
6	1	that's	99	B	1, 13, 25, 29, 97, 99
6	1	think	75	B	25, 53, 75, 83, 93, 99
5	1	for	79	B	3, 13, 17, 71, 81
5	1	they	87	B	13, 25, 75, 93, 99
5	1	was	91	B	3, 13, 67, 77, 93
4	1	be	83	B	17, 75, 81, 99
4	1	get	69	B	3, 25, 27, 71
4	1	in	91	B	3, 27, 77, 93
4	1	is	83	B	17, 47, 63, 99
4	1	me	37	B	63, 75, 95, 99
4	1	not	59	B	17, 21, 63, 75
4	1	really	75	B	21, 67, 87, 95
4	1	so	81	B	17, 33, 45, 97
4	1	uh-huh	67	B	3, 17, 57, 69
3	1	can	31	B	17, 27, 47
3	1	four	57	B	3, 19, 59
3	1	like	77	B	3, 51, 79
3	1	my	23	B	71, 77, 93
3	1	one	59	B	41, 47, 99
3	1	out	57	B	27, 47, 83
3	1	people	47	B	17, 37, 63
3	1	thing	71	B	13, 17, 83
3	1	we	59	B	17, 19, 75
3	1	when	9	B	19, 25, 27
3	1	with	61	B	3, 13, 63
3	1	wow	93	B	3, 61, 95
2	1	always	27	B	21, 47
2	1	because	63	B	17, 79
2	1	decision	45	B	53, 97
2	1	go	29	B	37, 65
2	1	had	31	B	11, 41
2	1	have	49	B	27, 75
2	1	house	41	B	19, 59
2	1	how	5	B	13, 17
2	1	hundred	17	B	3, 19
2	1	i'm	79	B	13, 91
2	1	i've	11	B	11, 21
2	1	interesting	79	B	21, 99
2	1	into	5	B	21, 25
2	1	just	25	B	53, 77
2	1	make	17	B	37, 53
2	1	most	61	B	17, 77
2	1	much	61	B	17, 77
2	1	no	39	B	45, 83
2	1	on	79	B	13, 91
2	1	our	7	B	13, 19
2	1	see	5	B	43, 47
2	1	started	23	B	71, 93
2	1	stuff	21	B	7, 27
2	1	there	43	B	23, 65
2	1	this	11	B	3, 13
2	1	three	27	B	21, 47
2	1	up	17	B	77, 93
2	1	usually	7	B	71, 77
2	1	way	63	B	21, 83
2	1	where	19	B	75, 93

