ID	S1	S2	S1/Initiated Expression (IE_S1)	S1/Expression Repetition (ER_S1)	S1/tokens (%)	S2/Initiated Expression (IE_S2)	S2/Expression Repetition (ER_S2)	S2/tokens (%)	Voc. Overlap S1	Voc. Overlap S2	SR/S1/ELS	SR/S1/EV	SR/S1/ER	SR/S1/ENTR	SR/S1/L	SR/S1/LMAX	SR/S2/ELS	SR/S2/EV	SR/S2/ER	SR/S2/ENTR	SR/S2/L	SR/S2/LMAX
2064-scrambled_txt-base_human-speaker_A_B_tsv	A	B	0.7031963470319634	0.3491921005385996	0.6037940379403794	0.2968036529680365	0.5540355677154583	0.3962059620596206	0.36046511627906974	0.4575645756457565	182.0	0.15555555555555556	0.6794871794871795	1.4931228492245743	1.6268343815513626	5.0	117.0	0.14866581956797967	0.6010165184243964	1.2658252807415038	1.4692556634304208	4.0
2072-scrambled_txt-base_human-speaker_A_B_tsv	A	B	0.5128205128205128	0.47191011235955055	0.46811308349769887	0.48717948717948717	0.4907292954264524	0.5318869165023011	0.4308300395256917	0.41132075471698115	100.0	0.13210039630118892	0.6023778071334214	1.290181260393714	1.4567474048442905	4.0	124.0	0.1451990632318501	0.6604215456674473	1.5394067425024183	1.632716049382716	5.0
2107-scrambled_txt-base_human-speaker_A_B_tsv	A	B	0.5411471321695761	0.534741144414169	0.4485181790406355	0.45885286783042395	0.592797783933518	0.5514818209593645	0.4739583333333333	0.3913978494623656	248.0	0.15928066795118817	0.7122671804752729	1.6732681491020087	1.7511244377811095	5.0	306.0	0.16156282998944033	0.73389651531151	1.642228820190428	1.7343941248470012	6.0
2120-scrambled_txt-base_human-speaker_A_B_tsv	A	B	0.14285714285714285	0.30392156862745096	0.3072289156626506	0.8571428571428571	0.09130434782608696	0.6927710843373494	0.3492063492063492	0.18803418803418803	8.0	0.07142857142857142	0.21428571428571427	0.954434002924965	1.375	2.0	27.0	0.11297071129707113	0.4309623430962343	1.239053918432084	1.4918032786885247	4.0
2149-scrambled_txt-base_human-speaker_A_B_tsv	A	B	0.42474916387959866	0.5486111111111112	0.4989172802078822	0.5752508361204013	0.4840103716508211	0.5010827197921178	0.3867403314917127	0.4166666666666667	189.0	0.1552999178307313	0.6770747740345111	1.46026392747176	1.5935114503816794	4.0	190.0	0.15548281505728315	0.6882160392798691	1.5421673046511304	1.658203125	5.0
2157-scrambled_txt-base_human-speaker_A_B_tsv	A	B	0.6299559471365639	0.4284497444633731	0.630843632455669	0.3700440528634361	0.5778748180494906	0.369156367544331	0.34408602150537637	0.5245901639344263	200.0	0.16433853738701726	0.7025472473294988	1.4395878306930312	1.5454545454545454	6.0	113.0	0.1545827633378933	0.6333789329685362	1.5160871154439077	1.612099644128114	6.0
2187-scrambled_txt-base_human-speaker_A_B_tsv	A	B	0.4759825327510917	0.5	0.4850828729281768	0.5240174672489083	0.4957081545064378	0.5149171270718232	0.43795620437956206	0.40268456375838924	142.0	0.1518716577540107	0.6631016042780749	1.4489873979041075	1.5800524934383202	5.0	140.0	0.1414141414141414	0.6575757575757576	1.5315159096263202	1.6134020618556701	6.0
2220-scrambled_txt-base_human-speaker_A_B_tsv	A	B	0.5443037974683544	0.49230769230769234	0.49242424242424243	0.45569620253164556	0.5293532338308458	0.5075757575757576	0.4119601328903654	0.3887147335423197	172.0	0.16586306653809066	0.6817743490838959	1.5211253417890067	1.639269406392694	4.0	146.0	0.13683223992502344	0.6654170571696345	1.5109337476564315	1.6341463414634145	5.0
2231-scrambled_txt-base_human-speaker_A_B_tsv	A	B	0.458128078817734	0.47418738049713194	0.5820812465219811	0.541871921182266	0.4766977363515313	0.41791875347801893	0.34177215189873417	0.3956043956043956	166.0	0.15145985401459855	0.666058394160584	1.4768831687777244	1.6112412177985949	4.0	112.0	0.1396508728179551	0.6059850374064838	1.3599143743181092	1.5177993527508091	6.0
2247-scrambled_txt-base_human-speaker_A_B_tsv	A	B	0.5597014925373134	0.36475409836065575	0.46968238691049086	0.44029850746268656	0.4591651542649728	0.5303176130895092	0.41919191919191917	0.3878504672897196	80.0	0.15414258188824662	0.5953757225433526	1.2436198451457077	1.4368932038834952	4.0	84.0	0.14432989690721648	0.5859106529209622	1.3446227526080778	1.4952380952380953	4.0
