ID	Num. utterances	Num. tokens	Expression Lexicon Size (ELS)	Expression Variety (EV)	Expression Repetition (ER)	Voc. Overlap	ENTR	L	LMAX
2064-scrambled_txt-base_human-speaker_A_B_tsv	112.0	1629.0	183.0	0.11233885819521179	0.429097605893186	0.2510204081632653	1.027311446832536	1.3222222222222222	4.0
2072-scrambled_txt-base_human-speaker_A_B_tsv	90.0	1288.0	156.0	0.12111801242236025	0.4720496894409938	0.2647058823529412	1.0710124806258177	1.3532513181019332	4.0
2107-scrambled_txt-base_human-speaker_A_B_tsv	178.0	2866.0	323.0	0.11270062805303559	0.5526866713189114	0.27177177177177175	1.1257914202444086	1.390344827586207	4.0
2120-scrambled_txt-base_human-speaker_A_B_tsv	19.0	298.0	21.0	0.07046979865771812	0.1610738255033557	0.1337579617834395	0.8051250074646821	1.2461538461538462	2.0
2149-scrambled_txt-base_human-speaker_A_B_tsv	130.0	2000.0	243.0	0.1215	0.506	0.2495511669658887	1.1293005184525202	1.3732106339468302	4.0
2157-scrambled_txt-base_human-speaker_A_B_tsv	87.0	1649.0	196.0	0.11885991510006064	0.4693753790175864	0.26078028747433263	1.0867755054354717	1.3509234828496042	4.0
2187-scrambled_txt-base_human-speaker_A_B_tsv	115.0	1579.0	189.0	0.11969601013299556	0.49715009499683344	0.2638580931263858	1.0079815865229775	1.3145917001338687	4.0
2220-scrambled_txt-base_human-speaker_A_B_tsv	124.0	1696.0	192.0	0.11320754716981132	0.49056603773584906	0.24848484848484848	1.1053817036307743	1.356687898089172	4.0
2231-scrambled_txt-base_human-speaker_A_B_tsv	101.0	1582.0	174.0	0.10998735777496839	0.47534766118836913	0.22291666666666668	1.1120380916583021	1.3729323308270676	4.0
2247-scrambled_txt-base_human-speaker_A_B_tsv	62.0	899.0	111.0	0.12347052280311457	0.40934371523915464	0.25	0.9194990734151846	1.2729591836734695	4.0
2263-scrambled_txt-base_human-speaker_A_B_tsv	111.0	1888.0	212.0	0.11228813559322035	0.4782838983050847	0.24408014571949	1.0128641127708298	1.3390607101947307	3.0
2264-scrambled_txt-base_human-speaker_A_B_tsv	63.0	984.0	102.0	0.10365853658536585	0.4034552845528455	0.2028169014084507	1.0409837593589506	1.3324607329842932	4.0
2279-scrambled_txt-base_human-speaker_A_B_tsv	141.0	2432.0	278.0	0.11430921052631579	0.522203947368421	0.2601246105919003	1.0898445112192774	1.370739817123857	4.0
2287-scrambled_txt-base_human-speaker_A_B_tsv	102.0	1769.0	185.0	0.10457885811192764	0.499152063312606	0.23495145631067962	1.0165038548412402	1.332080200501253	4.0
2296-scrambled_txt-base_human-speaker_A_B_tsv	50.0	772.0	80.0	0.10362694300518134	0.36139896373056996	0.2059800664451827	0.8403690799987129	1.2338983050847459	3.0
2314-scrambled_txt-base_human-speaker_A_B_tsv	84.0	1488.0	161.0	0.1081989247311828	0.46841397849462363	0.25161290322580643	0.8595824390024869	1.2434782608695651	3.0
2349-scrambled_txt-base_human-speaker_A_B_tsv	91.0	1383.0	161.0	0.11641359363702097	0.4765003615328995	0.26763990267639903	1.0472602363224355	1.3307453416149069	4.0
2353-scrambled_txt-base_human-speaker_A_B_tsv	124.0	2133.0	260.0	0.12189404594467886	0.4964838255977497	0.2638146167557932	1.1984877532664457	1.4173228346456692	4.0
2427-scrambled_txt-base_human-speaker_A_B_tsv	257.0	4076.0	477.0	0.11702649656526005	0.5564278704612365	0.2696629213483146	1.263432225854108	1.4859496124031009	4.0
2471-scrambled_txt-base_human-speaker_A_B_tsv	52.0	687.0	75.0	0.1091703056768559	0.4017467248908297	0.2109090909090909	0.9194559472271748	1.2730627306273063	4.0
2483-scrambled_txt-base_human-speaker_A_B_tsv	76.0	1080.0	118.0	0.10925925925925926	0.43796296296296294	0.23076923076923078	0.8750170634776196	1.26	3.0
2525-scrambled_txt-base_human-speaker_A_B_tsv	128.0	1918.0	213.0	0.11105318039624609	0.49061522419186654	0.2551984877126654	0.9869970040639662	1.3072805139186296	4.0
2528-scrambled_txt-base_human-speaker_A_B_tsv	109.0	1536.0	163.0	0.10611979166666667	0.4518229166666667	0.23427331887201736	1.0294795158022696	1.3219076005961252	4.0
2533-scrambled_txt-base_human-speaker_A_B_tsv	133.0	2065.0	224.0	0.10847457627118644	0.49007263922518157	0.2482394366197183	1.0206480668522995	1.3305870236869206	3.0
2537-scrambled_txt-base_human-speaker_A_B_tsv	80.0	1262.0	147.0	0.11648177496038035	0.48177496038034867	0.23429951690821257	1.0255641846380816	1.332142857142857	3.0
2547-scrambled_txt-base_human-speaker_A_B_tsv	120.0	1544.0	170.0	0.11010362694300518	0.4792746113989637	0.24008350730688935	0.9762790494776219	1.2981969486823857	4.0
2552-scrambled_txt-base_human-speaker_A_B_tsv	120.0	2068.0	221.0	0.10686653771760155	0.5227272727272727	0.2305084745762712	1.0204234397524974	1.3319713993871298	4.0
2585-scrambled_txt-base_human-speaker_A_B_tsv	120.0	1762.0	211.0	0.11975028376844495	0.4897843359818388	0.26129666011787817	1.0968227638065922	1.3686746987951808	4.0
2641-scrambled_txt-base_human-speaker_A_B_tsv	154.0	2086.0	232.0	0.1112176414189837	0.5177372962607862	0.24561403508771928	1.092697484684129	1.3640824337585868	4.0
