ID	Num. utterances	Num. tokens	Expression Lexicon Size (ELS)	Expression Variety (EV)	Expression Repetition (ER)	Voc. Overlap	ENTR	L	LMAX
2064_txt-finetuned_DialoGPT-speaker_A_tsv	107.0	1641.0	211.0	0.12858013406459476	0.5167580743449116	0.3009118541033435	1.585607415077235	1.7189542483660132	6.0
2072_txt-finetuned_DialoGPT-speaker_A_tsv	85.0	1038.0	98.0	0.09441233140655106	0.37572254335260113	0.2139917695473251	1.5113718579129258	1.704	4.0
2107_txt-finetuned_DialoGPT-speaker_A_tsv	173.0	2024.0	221.0	0.1091897233201581	0.4683794466403162	0.26879271070615035	1.3730917545709957	1.5429515418502202	5.0
2120_txt-finetuned_DialoGPT-speaker_A_tsv	14.0	219.0	30.0	0.136986301369863	0.2831050228310502	0.25287356321839083	1.35144935321805	1.5507246376811594	3.0
2149_txt-finetuned_DialoGPT-speaker_A_tsv	125.0	1664.0	161.0	0.0967548076923077	0.4020432692307692	0.21385542168674698	1.6884245223602687	1.826984126984127	5.0
2157_txt-finetuned_DialoGPT-speaker_A_tsv	82.0	2055.0	206.0	0.10024330900243308	0.4856447688564477	0.2556390977443609	1.5467827612000449	1.6823204419889504	5.0
2187_txt-finetuned_DialoGPT-speaker_A_tsv	110.0	2117.0	131.0	0.061880018894662256	0.3608880491261219	0.15632183908045977	1.2656689430404848	1.5044247787610618	3.0
2220_txt-finetuned_DialoGPT-speaker_A_tsv	119.0	1660.0	176.0	0.10602409638554217	0.4710843373493976	0.24742268041237114	1.4778189269294162	1.6374269005847952	4.0
2231_txt-finetuned_DialoGPT-speaker_A_tsv	96.0	1131.0	133.0	0.11759504862953139	0.47745358090185674	0.3015267175572519	1.3972677023508742	1.5526315789473684	6.0
2247_txt-finetuned_DialoGPT-speaker_A_tsv	57.0	639.0	78.0	0.12206572769953052	0.352112676056338	0.23857868020304568	1.435065476186508	1.5822222222222222	4.0
2263_txt-finetuned_DialoGPT-speaker_A_tsv	106.0	1220.0	143.0	0.11721311475409836	0.4516393442622951	0.2708333333333333	1.5855704237877901	1.6726190476190477	5.0
2264_txt-finetuned_DialoGPT-speaker_A_tsv	58.0	987.0	95.0	0.09625126646403243	0.37487335359675783	0.23829787234042554	1.3153278185518487	1.5194444444444444	4.0
2279_txt-finetuned_DialoGPT-speaker_A_tsv	136.0	1707.0	198.0	0.11599297012302284	0.5084944346807264	0.3153153153153153	1.4676917046262434	1.6188579017264275	4.0
2287_txt-finetuned_DialoGPT-speaker_A_tsv	97.0	1118.0	124.0	0.11091234347048301	0.4865831842576029	0.24334600760456274	1.5104865512823906	1.6715176715176716	5.0
2296_txt-finetuned_DialoGPT-speaker_A_tsv	45.0	1031.0	108.0	0.10475266731328807	0.29000969932104753	0.20597014925373133	1.3481675167729512	1.519031141868512	4.0
2314_txt-finetuned_DialoGPT-speaker_A_tsv	79.0	1206.0	133.0	0.11028192371475953	0.44859038142620233	0.22666666666666666	1.4782205232638492	1.6059322033898304	4.0
2349_txt-finetuned_DialoGPT-speaker_A_tsv	86.0	1300.0	136.0	0.10461538461538461	0.39153846153846156	0.25732899022801303	1.5023360819653209	1.6518218623481782	4.0
2353_txt-finetuned_DialoGPT-speaker_A_tsv	119.0	1949.0	184.0	0.0944073884043099	0.4371472550025654	0.21588089330024815	1.6862760634607685	1.7679269882659714	7.0
2427_txt-finetuned_DialoGPT-speaker_A_tsv	252.0	2936.0	335.0	0.1141008174386921	0.5524523160762943	0.29958677685950413	1.679086665518858	1.7844136926438456	6.0
2471_txt-finetuned_DialoGPT-speaker_A_tsv	47.0	720.0	83.0	0.11527777777777778	0.35138888888888886	0.21951219512195122	1.4917927264803712	1.632183908045977	4.0
2483_txt-finetuned_DialoGPT-speaker_A_tsv	71.0	1439.0	116.0	0.08061153578874218	0.3141070187630299	0.19402985074626866	1.432359252659413	1.600896860986547	5.0
2525_txt-finetuned_DialoGPT-speaker_A_tsv	123.0	1852.0	207.0	0.11177105831533478	0.49136069114470843	0.2994011976047904	1.529044410417804	1.6634382566585957	5.0
2528_txt-finetuned_DialoGPT-speaker_A_tsv	104.0	2442.0	233.0	0.09541359541359541	0.4402129402129402	0.2435344827586207	1.6454454122749533	1.7392739273927393	5.0
2533_txt-finetuned_DialoGPT-speaker_A_tsv	128.0	2566.0	264.0	0.10288386593920498	0.4828526890101325	0.2176360225140713	1.5450643101808046	1.6597549481621112	5.0
2537_txt-finetuned_DialoGPT-speaker_A_tsv	75.0	987.0	126.0	0.1276595744680851	0.4569402228976697	0.256198347107438	1.6506517330204105	1.7875	5.0
2547_txt-finetuned_DialoGPT-speaker_A_tsv	115.0	1788.0	171.0	0.09563758389261745	0.3691275167785235	0.21184510250569477	1.533688285415881	1.6433224755700326	4.0
2552_txt-finetuned_DialoGPT-speaker_A_tsv	115.0	1509.0	159.0	0.10536779324055666	0.41020543406229293	0.24464831804281345	1.561465486152876	1.6928104575163399	6.0
2585_txt-finetuned_DialoGPT-speaker_A_tsv	115.0	2155.0	235.0	0.10904872389791183	0.3911832946635731	0.231651376146789	1.6732479353216743	1.7537128712871286	6.0
2641_txt-finetuned_DialoGPT-speaker_A_tsv	149.0	2401.0	289.0	0.12036651395251978	0.573094543940025	0.275626423690205	1.7402147516612734	1.8706654170571697	8.0
2642_txt-finetuned_DialoGPT-speaker_A_tsv	73.0	1769.0	175.0	0.09892594686263426	0.3951384963256077	0.2571428571428571	1.6800066406660938	1.7699248120300752	5.0
2657_txt-finetuned_DialoGPT-speaker_A_tsv	92.0	1557.0	148.0	0.09505459216441875	0.340398201669878	0.1937984496124031	1.432914433133324	1.5503355704697988	5.0
2717_txt-finetuned_DialoGPT-speaker_A_tsv	84.0	1682.0	146.0	0.08680142687277051	0.4518430439952438	0.18181818181818182	1.7616600468597428	1.8820422535211268	5.0
2729_txt-finetuned_DialoGPT-speaker_A_tsv	137.0	2013.0	214.0	0.10630899155489319	0.49826130153999004	0.2517985611510791	1.530061993799337	1.6475315729047073	5.0
2749_txt-finetuned_DialoGPT-speaker_A_tsv	57.0	1292.0	84.0	0.06501547987616099	0.30727554179566563	0.1540880503144654	1.4431517799633338	1.5616438356164384	5.0
2754_txt-finetuned_DialoGPT-speaker_A_tsv	109.0	2065.0	244.0	0.11815980629539952	0.5230024213075061	0.2876712328767123	1.7988093500362723	1.8578034682080924	6.0
2770_txt-finetuned_DialoGPT-speaker_A_tsv	48.0	688.0	82.0	0.11918604651162791	0.35755813953488375	0.2578947368421053	1.3970090451554686	1.5492424242424243	4.0
2780_txt-finetuned_DialoGPT-speaker_A_tsv	92.0	1843.0	171.0	0.09278350515463918	0.49864351600651113	0.2230769230769231	1.4157920296048538	1.570860927152318	5.0
2782_txt-finetuned_DialoGPT-speaker_A_tsv	85.0	1445.0	121.0	0.0837370242214533	0.29204152249134946	0.18561484918793503	1.2790292442918185	1.453125	4.0
2836_txt-finetuned_DialoGPT-speaker_A_tsv	138.0	2648.0	254.0	0.09592145015105741	0.4799848942598187	0.22262773722627738	1.5770473642090441	1.7021677662582468	4.0
2879_txt-finetuned_DialoGPT-speaker_A_tsv	115.0	2235.0	197.0	0.08814317673378076	0.44340044742729307	0.17391304347826086	1.6998750168009273	1.7747747747747749	5.0
2900_txt-finetuned_DialoGPT-speaker_A_tsv	42.0	650.0	43.0	0.06615384615384616	0.27692307692307694	0.11013215859030837	1.5457718949835213	1.6458333333333333	4.0
2921_txt-finetuned_DialoGPT-speaker_A_tsv	194.0	3049.0	378.0	0.12397507379468678	0.52869793374877	0.29563492063492064	1.72568512038537	1.8153629316420015	6.0
2935_txt-finetuned_DialoGPT-speaker_A_tsv	72.0	963.0	120.0	0.12461059190031153	0.46936656282450673	0.2928870292887029	1.5252591610738269	1.6839506172839507	4.0
2994_txt-finetuned_DialoGPT-speaker_A_tsv	57.0	903.0	75.0	0.08305647840531562	0.35105204872646734	0.20238095238095238	1.1687226474031414	1.3878205128205128	4.0
3007_txt-finetuned_DialoGPT-speaker_A_tsv	79.0	851.0	79.0	0.09283196239717979	0.3783783783783784	0.22633744855967078	1.3045498642583722	1.489864864864865	4.0
3014_txt-finetuned_DialoGPT-speaker_A_tsv	136.0	1399.0	149.0	0.10650464617583988	0.45961401000714797	0.281786941580756	1.5621327540606051	1.7004909983633387	6.0
3020_txt-finetuned_DialoGPT-speaker_A_tsv	130.0	2236.0	166.0	0.0742397137745975	0.3725402504472272	0.16607142857142856	1.3335583921099887	1.5123216601815823	4.0
3028_txt-finetuned_DialoGPT-speaker_A_tsv	126.0	1484.0	164.0	0.1105121293800539	0.45417789757412397	0.24	1.547485723520883	1.6833333333333333	5.0
3045_txt-finetuned_DialoGPT-speaker_A_tsv	110.0	1978.0	216.0	0.10920121334681497	0.4924165824064712	0.2570694087403599	1.6343915423011706	1.7259259259259259	5.0
3056_txt-finetuned_DialoGPT-speaker_A_tsv	67.0	998.0	137.0	0.1372745490981964	0.45390781563126253	0.27459016393442626	1.6363555608904832	1.7264150943396226	5.0
3067_txt-finetuned_DialoGPT-speaker_A_tsv	83.0	1156.0	106.0	0.09169550173010381	0.3217993079584775	0.25	1.1692306637272474	1.3907766990291262	5.0
3070_txt-finetuned_DialoGPT-speaker_A_tsv	100.0	1327.0	167.0	0.12584777694046723	0.4446119065561417	0.2842809364548495	1.5552948486091935	1.6730434782608696	5.0
3072_txt-finetuned_DialoGPT-speaker_A_tsv	108.0	1516.0	151.0	0.09960422163588391	0.39775725593667544	0.22375690607734808	1.449418431797819	1.6170940170940171	5.0
3092_txt-finetuned_DialoGPT-speaker_A_tsv	113.0	1528.0	168.0	0.1099476439790576	0.46138743455497383	0.2415902140672783	1.5939370519843448	1.7462932454695221	5.0
3131_txt-finetuned_DialoGPT-speaker_A_tsv	96.0	1124.0	121.0	0.10765124555160142	0.4208185053380783	0.25666666666666665	1.213370951910124	1.4703296703296704	3.0
3152_txt-finetuned_DialoGPT-speaker_A_tsv	109.0	1256.0	141.0	0.11226114649681529	0.4482484076433121	0.2636986301369863	1.5968949859194461	1.7242105263157894	5.0
3185_txt-finetuned_DialoGPT-speaker_A_tsv	81.0	1248.0	127.0	0.10176282051282051	0.34134615384615385	0.24193548387096775	1.3360430748713257	1.5070993914807302	4.0
3187_txt-finetuned_DialoGPT-speaker_A_tsv	38.0	671.0	64.0	0.09538002980625931	0.3204172876304024	0.19583333333333333	0.998689844084022	1.3125	3.0
