Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	i don't like the rain	15	B	20, 34
3	4	i don't like the	15	B	20, 28, 34
2	4	uh-huh . yeah .	13	B	26, 38
2	4	you can give me	3	B	48, 50
5	3	i don't like	33	B	20, 28, 34, 46, 52
4	3	don't like the	21	B	14, 20, 28, 34
3	3	like the rain	35	B	0, 20, 34
3	3	when it gets	33	B	28, 52, 60
3	3	yeah yeah .	27	B	40, 56, 66
2	3	and so it	13	B	22, 34
2	3	i don't care	25	B	4, 28
2	3	i like the	3	B	10, 12
2	3	you too .	3	B	78, 80
7	2	i don't	49	B	4, 20, 28, 34, 36, 46, 52
7	2	yeah .	53	B	18, 26, 38, 40, 56, 66, 70
5	2	uh-huh .	63	B	2, 16, 26, 38, 64
4	2	i like	35	B	10, 12, 24, 44
4	2	when it	33	B	28, 36, 52, 60
3	2	a good	11	B	66, 68, 76
3	2	too hot	9	B	52, 54, 60
2	2	and i'm	41	B	12, 52
2	2	and you	15	B	36, 50
2	2	have a	43	B	34, 76
2	2	i guess	37	B	34, 70
2	2	just really	25	B	36, 60
2	2	okay .	9	B	44, 52
2	2	that we	25	B	34, 58
2	2	that's okay	15	B	58, 72
2	2	the thing	9	B	20, 28
2	2	we have	13	B	22, 34
2	2	well i	11	B	34, 44
2	2	you ?	5	B	0, 4
15	1	i	67	B	4, 10, 12, 14, 20, 24, 28, 34, 36, 44, 46, 52, 54, 66, 70
12	1	like	53	B	0, 10, 12, 14, 20, 24, 28, 34, 36, 44, 46, 52
9	1	don't	71	B	4, 14, 20, 28, 34, 36, 46, 52, 74
9	1	you	81	B	0, 4, 36, 48, 50, 74, 76, 78, 80
8	1	and	51	B	12, 22, 34, 36, 50, 52, 58, 62
8	1	that	55	B	4, 22, 28, 32, 34, 36, 52, 58
8	1	the	55	B	0, 10, 12, 14, 20, 28, 34, 54
8	1	yeah	59	B	12, 18, 26, 38, 40, 56, 66, 70
7	1	it	39	B	22, 24, 28, 34, 36, 52, 60
7	1	when	45	B	28, 36, 52, 58, 60, 62, 72
6	1	too	29	B	52, 54, 58, 60, 78, 80
5	1	a	69	B	8, 34, 66, 68, 76
5	1	just	63	B	14, 36, 54, 60, 76
5	1	oh	47	B	0, 4, 30, 32, 46
4	1	have	55	B	22, 34, 74, 76
4	1	hot	33	B	28, 52, 54, 60
4	1	it's	19	B	52, 54, 62, 70
4	1	rain	37	B	0, 20, 34, 36
4	1	really	31	B	30, 34, 36, 60
4	1	say	43	B	34, 72, 74, 76
4	1	so	47	B	12, 22, 34, 58
4	1	well	23	B	22, 34, 42, 44
3	1	are	33	B	4, 22, 36
3	1	can	11	B	48, 50, 58
3	1	for	71	B	4, 62, 74
3	1	gets	33	B	28, 52, 60
3	1	here	35	B	28, 58, 62
3	1	i'm	45	B	8, 12, 52
3	1	in	37	B	22, 54, 58
3	1	is	13	B	20, 28, 32
3	1	that's	37	B	36, 58, 72
3	1	we	37	B	22, 34, 58
2	1	about	31	B	28, 58
2	1	always	45	B	22, 66
2	1	be	37	B	22, 58
2	1	because	19	B	36, 54
2	1	do	59	B	0, 58
2	1	from	47	B	12, 58
2	1	or	41	B	36, 76
2	1	our	25	B	34, 58
2	1	seventies	5	B	44, 48
2	1	several	41	B	22, 62
2	1	them	17	B	58, 74
2	1	they	37	B	36, 72
2	1	thing	9	B	20, 28
2	1	thought	9	B	58, 66
2	1	um	13	B	58, 70
2	1	way	25	B	36, 60
2	1	years	3	B	62, 64

