ID	Num. utterances	Num. tokens	Expression Lexicon Size (ELS)	Expression Variety (EV)	Expression Repetition (ER)	Voc. Overlap	ENTR	L	LMAX
2064_txt-finetuned_DialoGPT-speaker_B_tsv	107.0	1704.0	170.0	0.09976525821596244	0.4612676056338028	0.2532051282051282	1.6806873808141973	1.7707736389684814	6.0
2072_txt-finetuned_DialoGPT-speaker_B_tsv	85.0	921.0	111.0	0.12052117263843648	0.4191096634093377	0.26576576576576577	1.5652616918601416	1.742382271468144	4.0
2107_txt-finetuned_DialoGPT-speaker_B_tsv	173.0	1973.0	202.0	0.10238215914850482	0.4936644703497212	0.24289405684754523	1.5984501469765033	1.7094907407407407	6.0
2120_txt-finetuned_DialoGPT-speaker_B_tsv	14.0	141.0	9.0	0.06382978723404255	0.11347517730496454	0.11428571428571428	0.934068055375491	1.35	2.0
2149_txt-finetuned_DialoGPT-speaker_B_tsv	125.0	1791.0	234.0	0.1306532663316583	0.4946957007258515	0.2877906976744186	1.7374244610876328	1.829329962073325	5.0
2157_txt-finetuned_DialoGPT-speaker_B_tsv	82.0	930.0	117.0	0.12580645161290321	0.44623655913978494	0.26996197718631176	1.554353537960506	1.6875	7.0
2187_txt-finetuned_DialoGPT-speaker_B_tsv	110.0	1217.0	126.0	0.10353327855382087	0.4560394412489729	0.26996197718631176	1.4712361396455325	1.6570247933884297	4.0
2220_txt-finetuned_DialoGPT-speaker_B_tsv	119.0	2000.0	234.0	0.117	0.522	0.28212290502793297	1.7758248739447189	1.8443627450980393	5.0
2231_txt-finetuned_DialoGPT-speaker_B_tsv	96.0	1728.0	176.0	0.10185185185185185	0.4554398148148148	0.21236559139784947	1.5984818139315005	1.6986301369863013	6.0
2247_txt-finetuned_DialoGPT-speaker_B_tsv	57.0	801.0	46.0	0.05742821473158552	0.15980024968789014	0.10218978102189781	1.163956107027612	1.443298969072165	3.0
2263_txt-finetuned_DialoGPT-speaker_B_tsv	106.0	956.0	94.0	0.09832635983263599	0.4246861924686193	0.2425531914893617	1.3160111221230726	1.550387596899225	4.0
2264_txt-finetuned_DialoGPT-speaker_B_tsv	58.0	704.0	84.0	0.11931818181818182	0.33948863636363635	0.2602739726027397	1.2877860057886774	1.48828125	4.0
2279_txt-finetuned_DialoGPT-speaker_B_tsv	136.0	2134.0	183.0	0.08575445173383317	0.4442361761949391	0.21265822784810126	1.5955578817621405	1.7105606258148631	4.0
2287_txt-finetuned_DialoGPT-speaker_B_tsv	97.0	1703.0	185.0	0.1086318261890781	0.48502642395772166	0.25903614457831325	1.8269777221085242	1.8988095238095237	5.0
2296_txt-finetuned_DialoGPT-speaker_B_tsv	45.0	638.0	62.0	0.09717868338557993	0.31974921630094044	0.1891891891891892	1.4163193363680182	1.5757575757575757	4.0
2314_txt-finetuned_DialoGPT-speaker_B_tsv	79.0	1237.0	140.0	0.11317704122877931	0.47291835084882783	0.2647058823529412	1.5640517745371125	1.7067961165048544	5.0
2349_txt-finetuned_DialoGPT-speaker_B_tsv	86.0	1258.0	161.0	0.12798092209856915	0.4332273449920509	0.25925925925925924	1.6271023978882657	1.7924901185770752	4.0
2353_txt-finetuned_DialoGPT-speaker_B_tsv	119.0	1671.0	210.0	0.12567324955116696	0.49790544584081387	0.2934131736526946	1.6572508137735433	1.7634408602150538	7.0
2427_txt-finetuned_DialoGPT-speaker_B_tsv	252.0	3009.0	349.0	0.11598537720172815	0.5307411100033234	0.2686868686868687	1.7160969661060308	1.8422222222222222	7.0
2471_txt-finetuned_DialoGPT-speaker_B_tsv	47.0	768.0	99.0	0.12890625	0.4322916666666667	0.27835051546391754	1.6313416695364773	1.768166089965398	5.0
2483_txt-finetuned_DialoGPT-speaker_B_tsv	71.0	1471.0	103.0	0.07002039428959891	0.4017675050985724	0.15159574468085107	1.3733148816900855	1.5777262180974478	4.0
2525_txt-finetuned_DialoGPT-speaker_B_tsv	123.0	2133.0	192.0	0.090014064697609	0.43741209563994377	0.1978021978021978	1.5692095642915498	1.6784037558685445	5.0
2528_txt-finetuned_DialoGPT-speaker_B_tsv	104.0	1373.0	177.0	0.12891478514202476	0.45010924981791695	0.2581699346405229	1.6684319871335171	1.838235294117647	5.0
2533_txt-finetuned_DialoGPT-speaker_B_tsv	128.0	1686.0	218.0	0.12930011862396204	0.5059311981020166	0.28	1.554395284555908	1.7054054054054053	6.0
2537_txt-finetuned_DialoGPT-speaker_B_tsv	75.0	1641.0	149.0	0.09079829372333943	0.4235222425350396	0.20670391061452514	1.6850082668304758	1.7425569176882663	5.0
2547_txt-finetuned_DialoGPT-speaker_B_tsv	115.0	1759.0	174.0	0.09891984081864696	0.40420693575895394	0.22371967654986524	1.7168918616161752	1.8492706645056727	5.0
2552_txt-finetuned_DialoGPT-speaker_B_tsv	115.0	1771.0	135.0	0.07622811970638058	0.4398644833427442	0.18933333333333333	1.5161553795731582	1.606687898089172	6.0
2585_txt-finetuned_DialoGPT-speaker_B_tsv	115.0	1485.0	159.0	0.10707070707070707	0.4067340067340067	0.24173027989821882	1.3958267456808477	1.5449735449735449	5.0
2641_txt-finetuned_DialoGPT-speaker_B_tsv	149.0	2393.0	266.0	0.11115754283326369	0.5085666527371501	0.2772511848341232	1.5987395250566605	1.7306273062730628	5.0
2642_txt-finetuned_DialoGPT-speaker_B_tsv	73.0	1338.0	128.0	0.09566517189835576	0.4588938714499253	0.2354948805460751	1.4263021720140554	1.594360086767896	5.0
2657_txt-finetuned_DialoGPT-speaker_B_tsv	92.0	1509.0	187.0	0.12392312789927104	0.5029821073558648	0.2757475083056478	1.7557156950923116	1.8840579710144927	6.0
2717_txt-finetuned_DialoGPT-speaker_B_tsv	84.0	1597.0	181.0	0.11333750782717596	0.5097056981840952	0.256198347107438	1.5092000651428028	1.6415384615384616	4.0
2729_txt-finetuned_DialoGPT-speaker_B_tsv	137.0	1587.0	200.0	0.1260239445494644	0.4675488342785129	0.2787878787878788	1.7027732822385933	1.7856093979441998	6.0
2749_txt-finetuned_DialoGPT-speaker_B_tsv	57.0	765.0	98.0	0.12810457516339868	0.42483660130718953	0.27941176470588236	1.5652503387415526	1.6881720430107527	4.0
2754_txt-finetuned_DialoGPT-speaker_B_tsv	109.0	1776.0	206.0	0.11599099099099099	0.5191441441441441	0.23076923076923078	1.7622588839360254	1.8549295774647887	6.0
2770_txt-finetuned_DialoGPT-speaker_B_tsv	48.0	1155.0	100.0	0.08658008658008658	0.3142857142857143	0.19484240687679083	1.23334189408586	1.4272727272727272	4.0
2780_txt-finetuned_DialoGPT-speaker_B_tsv	92.0	1431.0	134.0	0.0936408106219427	0.5178197064989518	0.21584699453551912	1.2736846609416161	1.5126903553299493	4.0
2782_txt-finetuned_DialoGPT-speaker_B_tsv	85.0	1470.0	147.0	0.1	0.46938775510204084	0.2336182336182336	1.5502546046988128	1.6616257088846882	5.0
2836_txt-finetuned_DialoGPT-speaker_B_tsv	138.0	1611.0	166.0	0.10304158907510863	0.4729981378026071	0.25882352941176473	1.565727238380747	1.6744868035190617	5.0
2879_txt-finetuned_DialoGPT-speaker_B_tsv	115.0	1485.0	161.0	0.10841750841750841	0.4841750841750842	0.22063037249283668	1.6687377217042494	1.7893835616438356	5.0
2900_txt-finetuned_DialoGPT-speaker_B_tsv	42.0	565.0	66.0	0.1168141592920354	0.3274336283185841	0.20855614973262032	1.3948829850427282	1.588235294117647	4.0
2921_txt-finetuned_DialoGPT-speaker_B_tsv	194.0	2091.0	251.0	0.12003825920612148	0.523194643711143	0.27906976744186046	1.7422893020454566	1.8563348416289593	6.0
2935_txt-finetuned_DialoGPT-speaker_B_tsv	72.0	1452.0	158.0	0.10881542699724518	0.4696969696969697	0.22281167108753316	1.4459412113618562	1.6050269299820468	5.0
2994_txt-finetuned_DialoGPT-speaker_B_tsv	57.0	585.0	65.0	0.1111111111111111	0.28547008547008546	0.2655367231638418	1.348534945828852	1.5	4.0
3007_txt-finetuned_DialoGPT-speaker_B_tsv	79.0	1644.0	106.0	0.06447688564476886	0.32116788321167883	0.14824120603015076	1.3618274788052054	1.5246252676659529	4.0
3014_txt-finetuned_DialoGPT-speaker_B_tsv	136.0	1639.0	151.0	0.0921293471629042	0.3984136668700427	0.2011173184357542	1.525861811199281	1.6324921135646688	5.0
3020_txt-finetuned_DialoGPT-speaker_B_tsv	130.0	1345.0	132.0	0.09814126394052045	0.43717472118959105	0.23648648648648649	1.4753050050344907	1.5830258302583027	5.0
3028_txt-finetuned_DialoGPT-speaker_B_tsv	126.0	1668.0	214.0	0.12829736211031176	0.49460431654676257	0.2905982905982906	1.6395769727814982	1.725067385444744	5.0
3045_txt-finetuned_DialoGPT-speaker_B_tsv	110.0	1127.0	127.0	0.1126885536823425	0.39840283939662824	0.2446043165467626	1.4861000058309868	1.6347826086956523	4.0
3056_txt-finetuned_DialoGPT-speaker_B_tsv	67.0	2002.0	156.0	0.07792207792207792	0.35864135864135865	0.18764302059496568	1.5290833017853906	1.6327212020033388	5.0
3067_txt-finetuned_DialoGPT-speaker_B_tsv	83.0	1292.0	88.0	0.06811145510835913	0.22678018575851394	0.16877637130801687	1.8393150169810384	1.8946015424164524	6.0
3070_txt-finetuned_DialoGPT-speaker_B_tsv	100.0	1572.0	141.0	0.08969465648854962	0.4064885496183206	0.17761557177615572	1.5609459810863526	1.6591337099811676	5.0
3072_txt-finetuned_DialoGPT-speaker_B_tsv	108.0	1243.0	135.0	0.1086082059533387	0.4883346741753821	0.2465753424657534	1.6179210036423446	1.7128309572301426	5.0
3092_txt-finetuned_DialoGPT-speaker_B_tsv	113.0	1353.0	165.0	0.12195121951219512	0.4641537324464154	0.2847457627118644	1.5619014857433617	1.7155172413793103	6.0
3131_txt-finetuned_DialoGPT-speaker_B_tsv	96.0	1478.0	148.0	0.10013531799729364	0.43504736129905275	0.2222222222222222	1.5223221526493007	1.6348122866894197	6.0
3152_txt-finetuned_DialoGPT-speaker_B_tsv	109.0	2144.0	135.0	0.06296641791044776	0.3064365671641791	0.15113871635610765	1.3193098396700373	1.477310924369748	5.0
3185_txt-finetuned_DialoGPT-speaker_B_tsv	81.0	838.0	109.0	0.13007159904534607	0.41646778042959426	0.3024390243902439	1.5000256591232513	1.6160458452722064	5.0
3187_txt-finetuned_DialoGPT-speaker_B_tsv	38.0	650.0	66.0	0.10153846153846154	0.37538461538461537	0.22325581395348837	1.0394625047611743	1.3275862068965518	3.0
3202_txt-finetuned_DialoGPT-speaker_B_tsv	14.0	254.0	27.0	0.1062992125984252	0.1968503937007874	0.21153846153846154	1.2112938253354983	1.4545454545454546	3.0
3204_txt-finetuned_DialoGPT-speaker_B_tsv	84.0	988.0	125.0	0.12651821862348178	0.4342105263157895	0.30973451327433627	1.6260423796729637	1.7135922330097086	5.0
3207_txt-finetuned_DialoGPT-speaker_B_tsv	47.0	571.0	68.0	0.1190893169877408	0.37478108581436076	0.2654320987654321	1.4964586797044501	1.6376811594202898	4.0
3255_txt-finetuned_DialoGPT-speaker_B_tsv	76.0	955.0	105.0	0.1099476439790576	0.43036649214659684	0.23846153846153847	1.5276167181530735	1.6368563685636857	4.0
3257_txt-finetuned_DialoGPT-speaker_B_tsv	58.0	650.0	73.0	0.1123076923076923	0.3953846153846154	0.23857868020304568	1.3525835287230799	1.5276595744680852	4.0
3260_txt-finetuned_DialoGPT-speaker_B_tsv	68.0	1448.0	137.0	0.09461325966850828	0.3729281767955801	0.1994750656167979	1.5882599323971947	1.6917808219178083	5.0
3269_txt-finetuned_DialoGPT-speaker_B_tsv	58.0	655.0	77.0	0.11755725190839694	0.38625954198473283	0.24423963133640553	1.2986450077316927	1.491869918699187	4.0
3270_txt-finetuned_DialoGPT-speaker_B_tsv	46.0	441.0	53.0	0.12018140589569161	0.31065759637188206	0.2608695652173913	1.3370290099995639	1.5337423312883436	4.0
3317_txt-finetuned_DialoGPT-speaker_B_tsv	77.0	889.0	104.0	0.11698537682789652	0.3565804274465692	0.23846153846153847	1.304549372276136	1.4725274725274726	4.0
3331_txt-finetuned_DialoGPT-speaker_B_tsv	46.0	456.0	47.0	0.10307017543859649	0.2850877192982456	0.2556390977443609	1.221369390716002	1.4421768707482994	3.0
3333_txt-finetuned_DialoGPT-speaker_B_tsv	86.0	842.0	105.0	0.12470308788598575	0.49524940617577196	0.2600896860986547	1.6363094497818265	1.7317784256559767	5.0
3338_txt-finetuned_DialoGPT-speaker_B_tsv	82.0	1260.0	120.0	0.09523809523809523	0.3119047619047619	0.2111111111111111	1.4167644485813273	1.5427872860635696	5.0
3343_txt-finetuned_DialoGPT-speaker_B_tsv	49.0	994.0	116.0	0.11670020120724346	0.41146881287726356	0.21621621621621623	1.6232079993395898	1.7365591397849462	4.0
3351_txt-finetuned_DialoGPT-speaker_B_tsv	75.0	843.0	80.0	0.09489916963226572	0.3831553973902728	0.21285140562248997	1.2415272888822813	1.4931972789115646	4.0
3371_txt-finetuned_DialoGPT-speaker_B_tsv	85.0	953.0	105.0	0.11017838405036726	0.4176285414480588	0.26436781609195403	1.3359305179740764	1.5223097112860893	4.0
3393_txt-finetuned_DialoGPT-speaker_B_tsv	49.0	1024.0	90.0	0.087890625	0.3671875	0.20242914979757085	1.4259755378012062	1.6037735849056605	4.0
3402_txt-finetuned_DialoGPT-speaker_B_tsv	35.0	567.0	57.0	0.10052910052910052	0.3368606701940035	0.18857142857142858	1.2848146686837052	1.5698324022346368	3.0
3428_txt-finetuned_DialoGPT-speaker_B_tsv	19.0	526.0	52.0	0.09885931558935361	0.3669201520912547	0.18181818181818182	1.4368031838839457	1.64	3.0
3429_txt-finetuned_DialoGPT-speaker_B_tsv	59.0	710.0	66.0	0.09295774647887324	0.3	0.1919191919191919	1.5137401395282888	1.6142857142857143	5.0
3489_txt-finetuned_DialoGPT-speaker_B_tsv	74.0	900.0	77.0	0.08555555555555555	0.34	0.17857142857142858	1.5110292235245253	1.6067796610169491	5.0
3495_txt-finetuned_DialoGPT-speaker_B_tsv	45.0	667.0	59.0	0.08845577211394302	0.2413793103448276	0.193717277486911	1.238464551333573	1.4619565217391304	3.0
3526_txt-finetuned_DialoGPT-speaker_B_tsv	81.0	834.0	72.0	0.08633093525179857	0.34532374100719426	0.18421052631578946	1.564775222844351	1.685512367491166	4.0
3554_txt-finetuned_DialoGPT-speaker_B_tsv	75.0	1110.0	151.0	0.13603603603603603	0.4315315315315315	0.2924901185770751	1.6175987243944332	1.7983014861995754	5.0
3576_txt-finetuned_DialoGPT-speaker_B_tsv	69.0	884.0	123.0	0.13914027149321267	0.34728506787330315	0.2875536480686695	1.442485459793824	1.6312849162011174	4.0
3584_txt-finetuned_DialoGPT-speaker_B_tsv	97.0	823.0	102.0	0.12393681652490887	0.5018226002430134	0.33163265306122447	1.5237294995844541	1.6755162241887906	5.0
3647_txt-finetuned_DialoGPT-speaker_B_tsv	76.0	643.0	75.0	0.1166407465007776	0.4370139968895801	0.2872340425531915	1.250790995856517	1.5054545454545454	4.0
3682_txt-finetuned_DialoGPT-speaker_B_tsv	110.0	1370.0	165.0	0.12043795620437957	0.4656934306569343	0.27483443708609273	1.4830908288952251	1.641068447412354	4.0
3738_txt-finetuned_DialoGPT-speaker_B_tsv	32.0	697.0	69.0	0.09899569583931134	0.3472022955523673	0.24509803921568626	1.2397103836216077	1.4235807860262009	5.0
3746_txt-finetuned_DialoGPT-speaker_B_tsv	69.0	931.0	87.0	0.09344790547798067	0.42105263157894735	0.2109704641350211	1.3332421631938127	1.6222910216718267	4.0
3764_txt-finetuned_DialoGPT-speaker_B_tsv	61.0	794.0	82.0	0.10327455919395466	0.3790931989924433	0.25	1.5370373781145623	1.6945454545454546	4.0
3791_txt-finetuned_DialoGPT-speaker_B_tsv	80.0	791.0	94.0	0.11883691529709228	0.42604298356510745	0.28110599078341014	1.3717660533572227	1.5552147239263803	4.0
3805_txt-finetuned_DialoGPT-speaker_B_tsv	40.0	422.0	50.0	0.11848341232227488	0.2914691943127962	0.2206896551724138	1.252215721521997	1.4834437086092715	4.0
3810_txt-finetuned_DialoGPT-speaker_B_tsv	62.0	848.0	100.0	0.1179245283018868	0.35377358490566035	0.23829787234042554	1.5059315849633572	1.6494845360824741	4.0
3811_txt-finetuned_DialoGPT-speaker_B_tsv	63.0	817.0	50.0	0.06119951040391677	0.32802937576499386	0.14634146341463414	1.2880162752473816	1.4563106796116505	4.0
3815_txt-finetuned_DialoGPT-speaker_B_tsv	61.0	904.0	96.0	0.10619469026548672	0.38495575221238937	0.23076923076923078	1.6332466177010063	1.6957831325301205	7.0
3924_txt-finetuned_DialoGPT-speaker_B_tsv	59.0	827.0	103.0	0.12454655380894801	0.4437726723095526	0.2922374429223744	1.548206478950247	1.6461988304093567	6.0
4096_txt-finetuned_DialoGPT-speaker_B_tsv	40.0	625.0	74.0	0.1184	0.3872	0.25252525252525254	1.3322631360623025	1.5176991150442478	4.0
4129_txt-finetuned_DialoGPT-speaker_B_tsv	67.0	925.0	84.0	0.09081081081081081	0.3210810810810811	0.1839080459770115	1.4104961234622329	1.5595238095238095	4.0
4137_txt-finetuned_DialoGPT-speaker_B_tsv	57.0	688.0	83.0	0.12063953488372094	0.3851744186046512	0.25961538461538464	1.4923485394947968	1.6047430830039526	7.0
4138_txt-finetuned_DialoGPT-speaker_B_tsv	32.0	627.0	47.0	0.07496012759170653	0.25996810207336524	0.14356435643564355	1.3896519016184283	1.5426829268292683	4.0
4150_txt-finetuned_DialoGPT-speaker_B_tsv	74.0	1109.0	97.0	0.08746618575293057	0.30387736699729484	0.18209876543209877	1.2753340269723608	1.4558011049723756	4.0
4155_txt-finetuned_DialoGPT-speaker_B_tsv	71.0	1028.0	117.0	0.11381322957198443	0.34824902723735407	0.22761194029850745	1.525318133206311	1.6602739726027398	5.0
4158_txt-finetuned_DialoGPT-speaker_B_tsv	44.0	590.0	64.0	0.10847457627118644	0.3610169491525424	0.22560975609756098	1.4726986385554675	1.6532663316582914	4.0
4159_txt-finetuned_DialoGPT-speaker_B_tsv	47.0	960.0	77.0	0.08020833333333334	0.23958333333333334	0.14084507042253522	1.504202626800522	1.6124031007751938	4.0
4175_txt-finetuned_DialoGPT-speaker_B_tsv	96.0	1161.0	152.0	0.13092161929371232	0.4401378122308355	0.3115942028985507	1.4810429367546962	1.6273291925465838	4.0
4341_txt-finetuned_DialoGPT-speaker_B_tsv	37.0	480.0	51.0	0.10625	0.3020833333333333	0.1910828025477707	1.5850763906000453	1.6690140845070423	6.0
4370_txt-finetuned_DialoGPT-speaker_B_tsv	43.0	1706.0	111.0	0.06506447831184056	0.264947245017585	0.18018018018018017	1.010668955429663	1.3083511777301928	4.0
4372_txt-finetuned_DialoGPT-speaker_B_tsv	15.0	454.0	46.0	0.1013215859030837	0.33259911894273125	0.22077922077922077	1.048502337133296	1.3525179856115108	3.0
4380_txt-finetuned_DialoGPT-speaker_B_tsv	42.0	768.0	94.0	0.12239583333333333	0.3932291666666667	0.2318840579710145	1.6725143231633217	1.7811320754716982	6.0
4628_txt-finetuned_DialoGPT-speaker_B_tsv	46.0	832.0	78.0	0.09375	0.2980769230769231	0.21256038647342995	1.4432209965772798	1.5954198473282444	5.0
4721_txt-finetuned_DialoGPT-speaker_B_tsv	64.0	764.0	95.0	0.1243455497382199	0.4869109947643979	0.2786885245901639	1.6759709503537188	1.7636986301369864	5.0
4758_txt-finetuned_DialoGPT-speaker_B_tsv	49.0	687.0	64.0	0.09315866084425037	0.32168850072780203	0.18220338983050846	1.3124502310664383	1.485981308411215	5.0
4788_txt-finetuned_DialoGPT-speaker_B_tsv	28.0	386.0	43.0	0.11139896373056994	0.3160621761658031	0.23448275862068965	1.0623926720565975	1.421487603305785	4.0
4829_txt-finetuned_DialoGPT-speaker_B_tsv	45.0	648.0	48.0	0.07407407407407407	0.2839506172839506	0.15263157894736842	1.5407274850498807	1.6368715083798884	5.0
4830_txt-finetuned_DialoGPT-speaker_B_tsv	70.0	862.0	107.0	0.12412993039443156	0.3654292343387471	0.2838427947598253	1.3473021463493247	1.5	4.0
