Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	7	and , uh , you know ,	9	A	61, 69
6	6	, uh , you know ,	57	A	35, 61, 69, 85, 89, 91
3	6	and , and , uh ,	69	A	61, 89, 129
2	6	, you know , the guy	23	A	69, 91
2	6	, you know , uh ,	73	A	19, 91
6	5	uh , you know ,	57	A	35, 61, 69, 85, 89, 91
2	5	, uh , that you	37	A	1, 37
2	5	, you know , and	17	A	85, 101
2	5	, you know , he	9	A	71, 79
2	5	, you know , in	9	A	55, 63
2	5	, you know , just	35	A	35, 69
2	5	, you know , you	3	A	105, 107
2	5	Uh , I would say	99	A	23, 121
2	5	and , you know ,	31	A	61, 91
2	5	get , you know ,	3	A	35, 37
2	5	of , you know ,	49	A	13, 61
24	4	, you know ,	111	A	13, 19, 21, 35, 37, 41, 53, 55, 61, 63, 69, 71, 79, 85, 87, 89, 91, 99, 101, 105, 107, 115, 121, 123
6	4	and , uh ,	99	A	31, 61, 69, 89, 101, 129
4	4	But , uh ,	111	A	17, 89, 105, 127
3	4	, I would say	99	A	23, 31, 121
3	4	And , uh ,	65	A	53, 85, 117
2	4	, uh , is	13	A	1, 13
2	4	, uh , the	25	A	19, 43
2	4	, uh , to	3	A	59, 61
2	4	, uh , we	21	A	47, 67
2	4	a little bit more	71	A	59, 129
2	4	in , in ,	13	A	115, 127
2	4	of them that are	87	A	35, 121
2	4	that sort of thing	67	A	1, 67
2	4	their , uh ,	37	A	17, 53
2	4	to go after him	7	A	79, 85
2	4	what , what ,	23	A	71, 93
2	4	you know , the	23	A	69, 91
28	3	, uh ,	129	A	1, 7, 13, 17, 19, 21, 23, 31, 35, 37, 43, 47, 49, 53, 59, 61, 67, 69, 85, 87, 89, 91, 93, 101, 105, 117, 127, 129
24	3	, you know	111	A	13, 19, 21, 35, 37, 41, 53, 55, 61, 63, 69, 71, 79, 85, 87, 89, 91, 99, 101, 105, 107, 115, 121, 123
6	3	, I think	85	A	43, 49, 55, 97, 105, 127
4	3	, and ,	81	A	49, 61, 89, 129
4	3	and , and	81	A	49, 61, 89, 129
3	3	, that you	79	A	1, 37, 79
3	3	, the ,	33	A	37, 47, 69
3	3	. Uh ,	39	A	43, 53, 81
3	3	Uh , I	99	A	23, 55, 121
3	3	a little bit	95	A	35, 59, 129
3	3	in the country	9	A	3, 9, 11
3	3	that sort of	67	A	1, 39, 67
2	3	, I ,	11	A	55, 65
2	3	, I know	11	A	55, 65
2	3	, I mean	111	A	5, 115
2	3	, right now	27	A	17, 43
2	3	, they're ,	7	A	79, 85
2	3	, we have	69	A	47, 115
2	3	, what ,	23	A	71, 93
2	3	, which is	81	A	7, 87
2	3	I , I	73	A	55, 127
2	3	Well , the	33	A	47, 79
2	3	all of us	5	A	105, 109
2	3	and all that	13	A	67, 79
2	3	eighty percent of	105	A	17, 121
2	3	happening during the	7	A	23, 29
2	3	in our particular	51	A	47, 97
2	3	live in a	5	A	3, 7
2	3	of us ,	3	A	105, 107
2	3	particular neighborhood ,	5	A	97, 101
2	3	the , the	53	A	69, 121
2	3	the insurance companies	5	A	79, 83
2	3	uh , I	35	A	31, 65
2	3	uh , and	71	A	19, 89
2	3	with that .	15	A	61, 75
28	2	, uh	129	A	1, 7, 13, 17, 19, 21, 23, 31, 35, 37, 43, 47, 49, 53, 59, 61, 67, 69, 85, 87, 89, 91, 93, 101, 105, 117, 127, 129
25	2	, you	111	A	13, 19, 21, 35, 37, 41, 53, 55, 61, 63, 69, 71, 79, 83, 85, 87, 89, 91, 99, 101, 105, 107, 115, 121, 123
24	2	know ,	111	A	13, 19, 21, 35, 37, 41, 53, 55, 61, 63, 69, 71, 79, 85, 87, 89, 91, 99, 101, 105, 107, 115, 121, 123
13	2	, I	123	A	5, 7, 23, 31, 43, 49, 55, 65, 97, 105, 115, 121, 127
13	2	Uh ,	99	A	23, 31, 33, 35, 43, 53, 55, 57, 63, 81, 99, 111, 121
11	2	, and	111	A	19, 49, 61, 85, 89, 101, 111, 119, 121, 127, 129
9	2	, the	103	A	19, 37, 43, 47, 67, 69, 79, 91, 121
6	2	I think	85	A	43, 49, 55, 97, 105, 127
6	2	the ,	93	A	37, 47, 49, 69, 121, 129
5	2	, in	73	A	55, 63, 97, 115, 127
5	2	, they	105	A	33, 35, 85, 135, 137
5	2	And ,	73	A	45, 53, 71, 85, 117
5	2	in our	111	A	13, 37, 47, 97, 123
5	2	in the	61	A	3, 9, 11, 23, 63
4	2	, that	79	A	1, 37, 39, 79
4	2	, we	73	A	43, 47, 67, 115
4	2	Well ,	53	A	27, 43, 47, 79
4	2	Yeah .	33	A	81, 83, 95, 113
4	2	a little	123	A	7, 35, 59, 129
4	2	neighborhood ,	81	A	21, 37, 97, 101
4	2	of the	103	A	17, 71, 115, 119
4	2	sort of	67	A	1, 19, 39, 67
4	2	that .	93	A	19, 61, 75, 111
4	2	the guy	47	A	69, 89, 91, 115
3	2	, but	63	A	21, 49, 83
3	2	, just	35	A	35, 53, 69
3	2	, so	27	A	21, 31, 47
3	2	, they're	43	A	79, 85, 121
3	2	, what	25	A	71, 93, 95
3	2	I know	81	A	55, 65, 135
3	2	Yeah ,	67	A	49, 97, 115
3	2	and the	33	A	37, 43, 69
3	2	be a	79	A	51, 55, 129
3	2	during the	93	A	23, 29, 115
3	2	in ,	13	A	115, 119, 127
3	2	in a	53	A	3, 7, 55
3	2	in their	27	A	101, 103, 127
3	2	major crimes	77	A	13, 61, 89
3	2	of them	89	A	33, 35, 121
3	2	or ,	35	A	3, 19, 37
3	2	our neighborhood	21	A	17, 21, 37
3	2	out ,	101	A	19, 91, 119
