ID	S1	S2	S1/Initiated Expression (IE_S1)	S1/Expression Repetition (ER_S1)	S1/tokens (%)	S2/Initiated Expression (IE_S2)	S2/Expression Repetition (ER_S2)	S2/tokens (%)	Voc. Overlap S1	Voc. Overlap S2	SR/S1/ELS	SR/S1/EV	SR/S1/ER	SR/S1/ENTR	SR/S1/L	SR/S1/LMAX	SR/S2/ELS	SR/S2/EV	SR/S2/ER	SR/S2/ENTR	SR/S2/L	SR/S2/LMAX
2064_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.7445255474452555	0.32038834951456313	0.6902457185405808	0.25547445255474455	0.5408653846153846	0.3097542814594192	0.31196581196581197	0.4899328859060403	169.0	0.17244897959183675	0.7489795918367347	2.126531355627139	2.2288135593220337	10.0	78.0	0.16595744680851063	0.5617021276595745	1.2319632185905884	1.4734042553191489	3.0
2072_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.5319148936170213	0.3923076923076923	0.6540880503144654	0.46808510638297873	0.38181818181818183	0.34591194968553457	0.3699421965317919	0.5	81.0	0.14412811387900357	0.6459074733096085	1.8099361202808473	1.851063829787234	6.0	40.0	0.12578616352201258	0.46540880503144655	1.3876109509709462	1.5894736842105264	3.0
2107_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.5957446808510638	0.3962101636520241	0.6467966573816156	0.40425531914893614	0.4558359621451104	0.3532033426183844	0.3627450980392157	0.5045454545454545	215.0	0.1724137931034483	0.7441860465116279	1.7096676709317693	1.7934782608695652	6.0	122.0	0.16920943134535368	0.579750346740638	1.3995240071508233	1.5473684210526315	4.0
2120_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.6153846153846154	0.15789473684210525	0.6551724137931034	0.38461538461538464	0.3	0.3448275862068966	0.2549019607843137	0.4482758620689655	7.0	0.06862745098039216	0.23529411764705882	0.863120568566631	1.2857142857142858	2.0	4.0	0.07017543859649122	0.22807017543859648	1.3787834934861753	1.7142857142857142	3.0
2149_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.7317073170731707	0.26692456479690524	0.7091906721536351	0.2682926829268293	0.5283018867924528	0.2908093278463649	0.35984848484848486	0.5588235294117647	190.0	0.17335766423357665	0.75	1.7898848633922066	1.874468085106383	5.0	76.0	0.15605749486652978	0.5236139630390144	1.2207736419726578	1.4171122994652405	4.0
2157_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.6304347826086957	0.2047970479704797	0.6749688667496887	0.3695652173913043	0.3946360153256705	0.32503113325031135	0.3173913043478261	0.584	102.0	0.17495711835334476	0.5917667238421955	1.4523035155481057	1.5799086757990868	4.0	40.0	0.13245033112582782	0.44370860927152317	1.0783746029541683	1.3578947368421053	5.0
2187_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.6442307692307693	0.28544423440453687	0.5884315906562848	0.3557692307692308	0.4	0.41156840934371525	0.4470588235294118	0.4634146341463415	95.0	0.16267123287671234	0.6575342465753424	1.6329054462266464	1.7336244541484715	5.0	63.0	0.14823529411764705	0.47058823529411764	1.1645599906241104	1.4137931034482758	4.0
2220_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.5454545454545454	0.42417582417582417	0.7867435158501441	0.45454545454545453	0.40540540540540543	0.2132564841498559	0.28431372549019607	0.58	264.0	0.1853932584269663	0.785814606741573	1.9045699111539107	1.9750415973377704	6.0	60.0	0.13953488372093023	0.4813953488372093	1.1086916393557678	1.3708609271523178	3.0
2231_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.6814814814814815	0.311336717428088	0.7735602094240838	0.31851851851851853	0.5115606936416185	0.22643979057591623	0.21621621621621623	0.5669291338582677	227.0	0.18455284552845527	0.7577235772357723	1.5322034575880326	1.70304114490161	6.0	68.0	0.17258883248730963	0.5862944162436549	1.3677709668725178	1.523489932885906	4.0
2247_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.5972222222222222	0.299079754601227	0.7477064220183486	0.4027777777777778	0.37272727272727274	0.25229357798165136	0.19850187265917604	0.4774774774774775	107.0	0.15735294117647058	0.6308823529411764	1.2351196983094073	1.4494773519163764	3.0	34.0	0.13654618473895583	0.42168674698795183	0.8120160015941872	1.216867469879518	3.0
2263_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.6846846846846847	0.3551236749116608	0.5847107438016529	0.3153153153153153	0.44527363184079605	0.4152892561983471	0.40860215053763443	0.46060606060606063	108.0	0.17447495961227788	0.6752827140549273	1.5208713818235615	1.6553030303030303	4.0	74.0	0.16263736263736264	0.5714285714285714	1.146151813436226	1.380952380952381	4.0
2264_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.5555555555555556	0.3088235294117647	0.6811352253756261	0.4444444444444444	0.36649214659685864	0.31886477462437396	0.27218934911242604	0.5	66.0	0.15102974828375287	0.6086956521739131	1.4080246962029026	1.5276073619631902	5.0	31.0	0.1409090909090909	0.4318181818181818	0.8352299961979435	1.2266666666666666	3.0
2279_txt-base_DialoGPT-speaker_B_M_tsv	B	M	0.5707762557077626	0.46424242424242423	0.7628294036061026	0.4292237442922374	0.47368421052631576	0.23717059639389737	0.3505747126436782	0.6354166666666666	344.0	0.20023282887077998	0.818975552968568	1.9162999244603625	2.0063856960408684	7.0	83.0	0.14285714285714285	0.5163511187607573	1.3273688833163444	1.5245098039215685	4.0
