ID	Num. utterances	Num. tokens	Expression Lexicon Size (ELS)	Expression Variety (EV)	Expression Repetition (ER)	Voc. Overlap	ENTR	L	LMAX
2064-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	107.0	1667.0	146.0	0.08758248350329934	0.34853029394121177	0.1910828025477707	1.2581622913710566	1.4419795221843004	4.0
2072-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	85.0	1321.0	110.0	0.08327024981074943	0.3080999242997729	0.16626506024096385	1.251060126931091	1.4382566585956416	4.0
2107-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	173.0	2053.0	182.0	0.08865075499269362	0.3643448611787628	0.2085661080074488	1.3178239021828029	1.4774774774774775	6.0
2120-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	14.0	84.0	7.0	0.08333333333333333	0.15476190476190477	0.18	0.7871265862012689	1.2352941176470589	2.0
2149-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	125.0	1604.0	147.0	0.09164588528678304	0.415211970074813	0.20833333333333334	1.2391345158496891	1.434412265758092	4.0
2157-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	82.0	1042.0	88.0	0.08445297504798464	0.2504798464491363	0.18289085545722714	1.0711203786103032	1.3627118644067797	3.0
2187-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	110.0	1439.0	122.0	0.0847810979847116	0.35719249478804727	0.17699115044247787	1.2186981258776999	1.4326710816777042	4.0
2220-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	119.0	1164.0	136.0	0.11683848797250859	0.4115120274914089	0.26453488372093026	1.210666572434411	1.442655935613682	3.0
2231-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	96.0	1243.0	106.0	0.08527755430410297	0.33789219629927597	0.19148936170212766	1.177056203249182	1.3966745843230404	6.0
2247-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	57.0	813.0	77.0	0.09471094710947109	0.2890528905289053	0.17475728155339806	1.1660125413702325	1.3870967741935485	4.0
2263-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	106.0	1670.0	143.0	0.08562874251497006	0.37664670658682636	0.18004338394793926	1.3779678679887915	1.521978021978022	4.0
2264-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	58.0	678.0	62.0	0.09144542772861357	0.2861356932153392	0.1856060606060606	1.097899248120347	1.3465346534653466	4.0
2279-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	136.0	1669.0	155.0	0.09286998202516476	0.38705811863391254	0.1891348088531187	1.2180247928774177	1.4230769230769231	4.0
2287-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	97.0	1166.0	96.0	0.0823327615780446	0.3276157804459691	0.17724867724867724	0.9659618422813385	1.2926208651399491	3.0
2296-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	45.0	772.0	62.0	0.08031088082901554	0.25	0.15734265734265734	1.1350028655427302	1.3858695652173914	3.0
2314-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	79.0	1092.0	75.0	0.06868131868131869	0.27106227106227104	0.14905149051490515	1.0893116774977947	1.35	4.0
2349-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	86.0	990.0	88.0	0.08888888888888889	0.3565656565656566	0.17220543806646527	1.2142338126370358	1.4470588235294117	3.0
2353-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	119.0	1428.0	143.0	0.10014005602240897	0.41386554621848737	0.21359223300970873	1.2500553113776878	1.4514925373134329	4.0
2427-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	252.0	3229.0	268.0	0.08299783214617529	0.45029420873335396	0.21052631578947367	1.2667680226813476	1.4714394516374714	5.0
2471-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	47.0	764.0	55.0	0.07198952879581152	0.20287958115183247	0.15492957746478872	0.8195512175077162	1.22	3.0
2483-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	71.0	1059.0	96.0	0.0906515580736544	0.2757318224740321	0.18696883852691218	1.1378541557592052	1.3850746268656717	3.0
2525-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	123.0	1671.0	115.0	0.06882106523040096	0.39796529024536204	0.14375	1.2861520369407147	1.4555765595463137	6.0
2528-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	104.0	1106.0	110.0	0.09945750452079566	0.36528028933092227	0.2	1.1266240647965837	1.3780487804878048	4.0
2533-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	128.0	1331.0	129.0	0.09691960931630353	0.3884297520661157	0.21394230769230768	1.1719411605216894	1.3908730158730158	4.0
2537-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	75.0	593.0	54.0	0.09106239460370995	0.2563237774030354	0.1752136752136752	1.0527132630552927	1.346820809248555	3.0
2547-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	115.0	1616.0	151.0	0.09344059405940594	0.40222772277227725	0.20930232558139536	1.096624105814177	1.3659711075441412	5.0
2552-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	115.0	1345.0	123.0	0.09144981412639405	0.37769516728624536	0.176056338028169	1.4441446880939555	1.5858823529411765	4.0
2585-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	115.0	1499.0	143.0	0.09539693128752502	0.35823882588392264	0.19438444924406048	1.168252222296396	1.3918669131238448	4.0
2641-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	149.0	1793.0	155.0	0.08644729503625209	0.3703290574456219	0.18473895582329317	1.2903314041918839	1.4694189602446484	4.0
2642-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	73.0	890.0	89.0	0.1	0.3202247191011236	0.1926605504587156	1.263518576541061	1.4657534246575343	4.0
2657-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	92.0	1360.0	126.0	0.09264705882352942	0.3816176470588235	0.2044334975369458	1.1023048386770689	1.3663967611336032	4.0
2717-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	84.0	974.0	85.0	0.08726899383983573	0.3080082135523614	0.18518518518518517	1.1642667216934406	1.3892215568862276	4.0
2729-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	137.0	1616.0	149.0	0.0922029702970297	0.3886138613861386	0.20507399577167018	1.1953167335359243	1.4071762870514821	4.0
2749-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	57.0	749.0	71.0	0.09479305740987984	0.3097463284379172	0.18339100346020762	1.074627310021936	1.336405529953917	5.0
2754-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	109.0	1635.0	132.0	0.08073394495412844	0.3425076452599388	0.17357001972386588	1.2339940734965802	1.4364326375711576	4.0
2770-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	48.0	621.0	43.0	0.06924315619967794	0.2109500805152979	0.1440329218106996	1.0398357720797988	1.323943661971831	4.0
2780-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	92.0	1251.0	102.0	0.0815347721822542	0.3381294964028777	0.17661691542288557	1.0292332523318697	1.3432494279176201	3.0
2782-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	85.0	803.0	73.0	0.09090909090909091	0.29763387297633875	0.199288256227758	1.0956742910302224	1.3471698113207546	4.0
2836-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	138.0	1589.0	146.0	0.09188168659534299	0.38451856513530525	0.1894273127753304	1.2812116474620747	1.4803418803418804	4.0
2879-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	115.0	1565.0	141.0	0.0900958466453674	0.36869009584664536	0.21205357142857142	1.1981607522642628	1.4154929577464788	7.0
2900-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	42.0	617.0	64.0	0.10372771474878444	0.3500810372771475	0.21551724137931033	0.8933202384594776	1.275229357798165	3.0
2921-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	194.0	1984.0	188.0	0.09475806451612903	0.4284274193548387	0.2152917505030181	1.320734188324797	1.4767879548306149	5.0
2935-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	72.0	725.0	68.0	0.09379310344827586	0.29379310344827586	0.18021201413427562	1.015448837354328	1.3377777777777777	3.0
2994-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	57.0	823.0	61.0	0.07411907654921021	0.2624544349939247	0.1619718309859155	1.0233627767059281	1.3304347826086957	3.0
3007-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	79.0	982.0	86.0	0.08757637474541752	0.31262729124236255	0.17002881844380405	1.1261898683259521	1.362776025236593	4.0
3014-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	136.0	1598.0	145.0	0.09073842302878599	0.35607008760951186	0.20556745182012848	1.187638763354341	1.3983333333333334	4.0
3020-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	130.0	1541.0	164.0	0.10642439974042829	0.3977936404931862	0.23972602739726026	1.1881189311514082	1.4125636672325976	4.0
3028-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	126.0	1509.0	142.0	0.09410205434062292	0.3803843605036448	0.2119205298013245	1.1901271695098985	1.4024179620034543	4.0
3045-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	110.0	1517.0	109.0	0.07185234014502308	0.34937376400791037	0.1565217391304348	1.1328304544828927	1.3719512195121952	4.0
3056-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	67.0	898.0	84.0	0.0935412026726058	0.3574610244988864	0.21153846153846154	1.1654117982238634	1.3854166666666667	4.0
3067-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	83.0	884.0	72.0	0.08144796380090498	0.2918552036199095	0.17405063291139242	1.1428742757703054	1.3866171003717471	3.0
3070-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	100.0	943.0	93.0	0.09862142099681867	0.33191940615058324	0.21316614420062696	1.179431979424706	1.3895705521472392	4.0
3072-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	108.0	1186.0	98.0	0.08263069139966273	0.3279932546374368	0.18112244897959184	1.0514327007066921	1.3282828282828283	4.0
3092-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	113.0	1364.0	128.0	0.093841642228739	0.3284457478005865	0.18823529411764706	1.2535391295933365	1.44206008583691	5.0
3131-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	96.0	1115.0	108.0	0.0968609865470852	0.3829596412556054	0.20579710144927535	1.1751203506124126	1.3995215311004785	4.0
3152-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	109.0	957.0	92.0	0.0961337513061651	0.32497387669801464	0.21498371335504887	1.13224964603851	1.390092879256966	4.0
3185-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	81.0	1056.0	78.0	0.07386363636363637	0.30492424242424243	0.17045454545454544	0.9375651514058159	1.2746913580246915	3.0
3187-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	38.0	354.0	27.0	0.07627118644067797	0.1864406779661017	0.15789473684210525	1.0018295522478302	1.3205128205128205	3.0
3202-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	14.0	157.0	9.0	0.05732484076433121	0.1464968152866242	0.13186813186813187	-0.0	1.0	1.0
3204-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	84.0	1185.0	85.0	0.07172995780590717	0.3029535864978903	0.1712707182320442	1.0244484056543706	1.3121387283236994	6.0
3207-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	47.0	709.0	59.0	0.08321579689703808	0.27080394922425954	0.16666666666666666	1.0988464014041674	1.3467336683417086	4.0
3255-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	76.0	767.0	69.0	0.08996088657105607	0.318122555410691	0.1947565543071161	1.0664646321637592	1.3568281938325992	3.0
3257-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	58.0	700.0	60.0	0.08571428571428572	0.2557142857142857	0.16862745098039217	1.1875195413985131	1.3968253968253967	4.0
3260-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	68.0	1013.0	87.0	0.08588351431391905	0.29713721618953604	0.17302052785923755	1.167507359815838	1.3927392739273927	4.0
3269-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	58.0	611.0	62.0	0.10147299509001637	0.27986906710310966	0.1991701244813278	1.0791094068886915	1.3366834170854272	4.0
3270-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	46.0	525.0	35.0	0.06666666666666667	0.18285714285714286	0.13761467889908258	0.8388976981390074	1.2276422764227641	3.0
3317-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	77.0	916.0	80.0	0.08733624454148471	0.34388646288209607	0.1903323262839879	1.1247993616848593	1.3627118644067797	4.0
3331-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	46.0	419.0	31.0	0.07398568019093078	0.16467780429594273	0.14754098360655737	0.7943466904341505	1.2395833333333333	2.0
3333-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	86.0	1216.0	102.0	0.08388157894736842	0.3815789473684211	0.16962025316455695	1.1622970755729563	1.3955773955773956	4.0
3338-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	82.0	922.0	88.0	0.09544468546637744	0.31778741865509763	0.1875	1.3650981594402072	1.5103448275862068	4.0
3343-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	49.0	493.0	47.0	0.09533468559837728	0.27586206896551724	0.2247191011235955	1.124685889405878	1.36986301369863	4.0
3351-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	75.0	870.0	81.0	0.09310344827586207	0.25632183908045975	0.18944099378881987	0.9288750102107854	1.2698961937716262	3.0
3371-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	85.0	1212.0	104.0	0.0858085808580858	0.31518151815181517	0.18461538461538463	1.1386063028638291	1.368020304568528	4.0
3393-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	49.0	500.0	43.0	0.086	0.248	0.1380952380952381	1.157371964383823	1.4179104477611941	4.0
3402-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	35.0	509.0	38.0	0.07465618860510806	0.21021611001964635	0.15207373271889402	0.9576647057861355	1.2878787878787878	3.0
3428-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	19.0	263.0	19.0	0.07224334600760456	0.21292775665399238	0.15267175572519084	1.2293413843029715	1.4489795918367347	3.0
3429-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	59.0	642.0	47.0	0.07320872274143302	0.29906542056074764	0.1673469387755102	0.9653798737600029	1.286549707602339	3.0
3489-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	74.0	935.0	93.0	0.09946524064171124	0.29518716577540105	0.20440251572327045	1.2410851064531785	1.428115015974441	4.0
3495-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	45.0	636.0	64.0	0.10062893081761007	0.2908805031446541	0.16666666666666666	1.3023172151876112	1.48	4.0
3526-scrambled_txt-base_DialoGPT-speaker_B_M_tsv	81.0	927.0	80.0	0.08629989212513485	0.35275080906148865	0.20186335403726707	0.8503272259641572	1.2762762762762763	2.0
