Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	, I think it was	3	A	68, 70
2	5	, and , uh ,	41	A	48, 88
4	4	, you know ,	33	A	24, 32, 54, 56
3	4	I think it was	25	A	46, 68, 70
3	4	and , uh ,	53	A	36, 48, 88
2	4	, uh , the	49	A	40, 88
8	3	, uh ,	53	A	36, 40, 48, 68, 76, 80, 86, 88
6	3	, you know	33	A	24, 32, 40, 44, 54, 56
5	3	you know ,	33	A	24, 26, 32, 54, 56
4	3	, and ,	57	A	32, 40, 48, 88
4	3	I think it	37	A	34, 46, 68, 70
3	3	, I think	59	A	12, 68, 70
3	3	, well ,	57	A	12, 48, 68
3	3	Uh-huh . Right	47	A	38, 60, 84
2	3	, he was	17	A	72, 88
2	3	, right ,	7	A	76, 82
2	3	I know ,	23	A	66, 88
2	3	I mean ,	19	A	10, 28
2	3	she was a	23	A	48, 70
9	2	I think	79	A	12, 14, 34, 40, 44, 46, 68, 70, 90
8	2	you know	47	A	10, 24, 26, 32, 40, 44, 54, 56
7	2	, you	33	A	24, 28, 32, 40, 44, 54, 56
7	2	know ,	65	A	24, 26, 32, 54, 56, 66, 88
6	2	, I	81	A	10, 12, 46, 68, 70, 90
6	2	, and	87	A	2, 32, 36, 40, 48, 88
6	2	Yeah ,	75	A	12, 28, 52, 70, 80, 86
6	2	and ,	57	A	32, 36, 38, 40, 48, 88
5	2	Uh-huh .	47	A	38, 58, 60, 62, 84
4	2	, that's	75	A	14, 76, 80, 88
4	2	Right .	63	A	22, 64, 66, 84
4	2	going to	81	A	8, 28, 36, 88
4	2	it was	25	A	46, 52, 68, 70
3	2	, right	83	A	0, 76, 82
3	2	, so	27	A	0, 6, 26
3	2	, the	49	A	40, 68, 88
3	2	, we	9	A	24, 28, 32
3	2	, well	57	A	12, 48, 68
3	2	I know	73	A	16, 66, 88
3	2	Right ,	45	A	32, 60, 76
3	2	had a	25	A	24, 44, 48
3	2	in ,	69	A	2, 40, 70
3	2	on the	65	A	24, 32, 88
2	2	, in	45	A	26, 70
2	2	, she	23	A	48, 70
2	2	, that	17	A	52, 68
2	2	, they	31	A	2, 32
2	2	, when	21	A	48, 68
2	2	. I	39	A	28, 66
2	2	I guess	13	A	0, 12
2	2	Oh ,	5	A	6, 10
2	2	about ,	31	A	12, 42
2	2	about that	17	A	12, 28
2	2	all the	19	A	34, 52
2	2	and then	37	A	4, 40
2	2	back to	23	A	12, 34
2	2	beautiful cousin	21	A	48, 68
2	2	done it	7	A	0, 6
2	2	girl ,	23	A	48, 70
2	2	have to	29	A	0, 28
2	2	here in	15	A	54, 68
2	2	how we	31	A	36, 66
2	2	in the	23	A	26, 48
2	2	it ,	13	A	68, 80
2	2	it .	27	A	6, 32
2	2	just ,	25	A	56, 80
2	2	know .	25	A	16, 40
