Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	6	, there's a lot of people	93	A	0, 92
5	4	, you know ,	101	A	10, 14, 90, 92, 110
2	4	, I , I	83	A	14, 96
2	4	, and so I	133	A	4, 136
2	4	, some of the	63	A	14, 76
2	4	, you know .	71	A	14, 84
2	4	. I mean ,	45	A	84, 128
2	4	Yeah , yeah ,	21	A	92, 112
2	4	in , uh ,	31	A	102, 132
2	4	on , uh ,	77	A	14, 90
13	3	, uh ,	143	A	0, 14, 26, 52, 68, 80, 90, 92, 102, 120, 128, 132, 142
7	3	, you know	101	A	10, 14, 64, 84, 90, 92, 110
6	3	you know ,	107	A	4, 10, 14, 90, 92, 110
4	3	, and so	133	A	4, 14, 50, 136
4	3	, yeah ,	91	A	22, 56, 92, 112
4	3	a lot of	137	A	0, 68, 92, 136
3	3	, um ,	125	A	4, 76, 128
3	3	, yeah .	43	A	56, 84, 98
3	3	I , I	119	A	14, 96, 132
3	3	I mean ,	129	A	0, 84, 128
2	3	, I guess	51	A	14, 64
2	3	, I live	5	A	128, 132
2	3	, I mean	47	A	0, 46
2	3	, and I	129	A	4, 132
2	3	, and it	5	A	0, 4
2	3	, it was	3	A	140, 142
2	3	, it's ,	97	A	14, 110
2	3	, oh ,	89	A	54, 142
2	3	, some of	63	A	14, 76
2	3	, uh-huh .	105	A	30, 134
2	3	, well ,	129	A	14, 142
2	3	. I ,	13	A	64, 76
2	3	. Well ,	131	A	0, 130
2	3	. Yeah .	61	A	78, 138
2	3	I don't know	75	A	60, 134
2	3	I just ,	51	A	14, 64
2	3	I think it's	33	A	28, 60
2	3	Oh , yeah	29	A	56, 84
2	3	So , you	113	A	10, 122
2	3	Um , and	37	A	14, 50
2	3	because it ,	95	A	16, 110
2	3	it was ,	51	A	92, 142
2	3	it was a	49	A	92, 140
2	3	it's , it's	97	A	14, 110
2	3	you have to	53	A	68, 120
14	2	, uh	143	A	0, 14, 22, 26, 52, 68, 80, 90, 92, 102, 120, 128, 132, 142
12	2	, I	143	A	0, 4, 14, 46, 64, 70, 96, 108, 110, 128, 132, 142
11	2	Uh-huh .	119	A	8, 32, 38, 42, 48, 52, 78, 114, 116, 124, 126
9	2	, you	113	A	10, 14, 64, 68, 84, 90, 92, 110, 122
9	2	Yeah ,	115	A	16, 54, 66, 68, 92, 108, 112, 128, 130
8	2	, and	137	A	0, 4, 14, 50, 66, 92, 132, 136
7	2	. I	69	A	64, 76, 84, 120, 128, 130, 132
6	2	I mean	129	A	0, 46, 60, 84, 90, 128
6	2	it ,	127	A	16, 22, 74, 110, 132, 142
6	2	it was	139	A	4, 14, 92, 118, 140, 142
6	2	know ,	107	A	4, 10, 14, 90, 92, 110
5	2	I ,	119	A	14, 64, 76, 96, 132
5	2	I think	115	A	28, 60, 120, 132, 142
4	2	, it's	125	A	4, 14, 110, 128
4	2	, um	129	A	0, 4, 76, 128
4	2	I don't	129	A	6, 60, 132, 134
4	2	but ,	95	A	34, 60, 76, 128
4	2	have to	87	A	50, 68, 120, 136
4	2	of the	97	A	14, 76, 102, 110
4	2	was ,	51	A	92, 108, 140, 142
3	2	, a	39	A	90, 92, 128
3	2	, it	127	A	16, 140, 142
3	2	, that's	115	A	16, 112, 130
3	2	, the	75	A	68, 128, 142
3	2	, they	119	A	14, 66, 132
3	2	. Well	135	A	0, 130, 134
3	2	. Yeah	71	A	68, 78, 138
3	2	I just	129	A	14, 64, 142
3	2	Oh ,	29	A	56, 70, 84
3	2	Oh .	83	A	18, 94, 100
3	2	So ,	133	A	10, 122, 142
3	2	Well ,	131	A	0, 4, 130
3	2	Yeah .	127	A	12, 78, 138
3	2	here in	51	A	92, 96, 142
3	2	in ,	119	A	14, 102, 132
3	2	in the	63	A	74, 84, 136
3	2	it's ,	97	A	14, 22, 110
3	2	know .	71	A	14, 60, 84
3	2	on ,	119	A	14, 90, 132
3	2	sort of	99	A	22, 72, 120
3	2	that ,	79	A	14, 70, 92
3	2	you have	81	A	40, 68, 120
2	2	, all	117	A	4, 120
2	2	, because	105	A	4, 108
2	2	, but	125	A	4, 128
2	2	, people	45	A	10, 54
2	2	, some	63	A	14, 76
2	2	, that	89	A	54, 142
2	2	, when	33	A	110, 142
2	2	. But	15	A	0, 14
2	2	. Do	67	A	40, 106
2	2	. The	61	A	14, 74
2	2	Do you	33	A	40, 72
2	2	Huh .	5	A	20, 24
2	2	I have	5	A	132, 136
2	2	I never	83	A	14, 96
2	2	Okay .	95	A	40, 134
2	2	Right .	5	A	82, 86
2	2	Uh ,	47	A	60, 106
2	2	a ,	5	A	128, 132
2	2	a big	57	A	72, 128
2	2	a little	39	A	72, 110
2	2	and I'm	95	A	34, 128
2	2	and they	27	A	66, 92
2	2	and you	49	A	4, 52
2	2	do you	3	A	70, 72
2	2	don't have	109	A	14, 122
2	2	for a	69	A	4, 72
2	2	have .	107	A	14, 120
2	2	here ,	115	A	14, 128
2	2	in our	87	A	10, 96
2	2	it's not	31	A	80, 110
2	2	kind of	45	A	36, 80
2	2	less ,	37	A	74, 110
2	2	like ,	89	A	22, 110
2	2	next year	43	A	86, 128
2	2	ones that	89	A	14, 102
2	2	really ,	75	A	0, 74
2	2	so ,	137	A	4, 140
2	2	that actually	81	A	0, 80
2	2	that's really	95	A	36, 130
2	2	they ,	53	A	14, 66
2	2	time .	11	A	130, 140
2	2	to get	89	A	4, 92
2	2	to go	9	A	128, 136
2	2	you about	9	A	134, 142
2	2	you can	19	A	66, 84
23	1	I	143	A	0, 4, 6, 14, 28, 46, 58, 60, 64, 70, 76, 84, 90, 96, 108, 110, 120, 128, 130, 132, 134, 136, 142
22	1	and	137	A	0, 4, 14, 22, 26, 34, 36, 46, 50, 52, 54, 62, 66, 76, 80, 84, 92, 102, 108, 128, 132, 136
21	1	you	139	A	4, 10, 14, 40, 50, 52, 64, 66, 68, 70, 72, 84, 90, 92, 96, 106, 110, 120, 122, 134, 142
18	1	a	143	A	0, 4, 16, 62, 68, 72, 80, 88, 90, 92, 110, 118, 128, 130, 132, 136, 140, 142
18	1	it	143	A	0, 4, 14, 16, 22, 46, 64, 74, 80, 90, 92, 98, 110, 118, 120, 132, 140, 142
18	1	the	139	A	4, 10, 14, 28, 36, 46, 68, 74, 76, 84, 92, 102, 108, 110, 120, 128, 136, 142
16	1	in	133	A	10, 14, 26, 40, 66, 74, 84, 90, 92, 96, 102, 128, 130, 132, 136, 142
15	1	that	143	A	0, 4, 14, 16, 36, 52, 54, 66, 70, 80, 92, 102, 108, 130, 142
13	1	of	137	A	0, 14, 22, 36, 68, 72, 76, 80, 92, 102, 110, 120, 136
12	1	Uh-huh	127	A	8, 32, 38, 42, 48, 52, 78, 114, 116, 124, 126, 134
11	1	have	123	A	14, 40, 50, 66, 68, 92, 96, 120, 122, 132, 136
11	1	know	131	A	4, 10, 14, 46, 60, 64, 84, 90, 92, 110, 134
11	1	to	139	A	4, 14, 22, 50, 68, 92, 120, 128, 134, 136, 142
10	1	so	137	A	4, 14, 36, 50, 80, 108, 128, 132, 136, 140
9	1	like	111	A	0, 22, 34, 66, 70, 74, 90, 92, 110
9	1	on	137	A	0, 14, 36, 46, 90, 120, 128, 132, 136
8	1	don't	129	A	6, 10, 14, 60, 68, 122, 132, 134
8	1	it's	125	A	4, 14, 22, 28, 60, 80, 110, 128
8	1	think	139	A	4, 28, 52, 60, 106, 120, 132, 142
8	1	was	139	A	4, 14, 92, 102, 108, 118, 140, 142
7	1	or	81	A	10, 34, 50, 60, 72, 74, 90
7	1	they	119	A	14, 46, 60, 64, 66, 92, 132
7	1	we	129	A	4, 22, 60, 92, 96, 106, 132
7	1	yeah	91	A	22, 56, 58, 84, 92, 98, 112
6	1	I'm	95	A	34, 58, 60, 98, 110, 128
6	1	because	107	A	4, 14, 16, 96, 108, 110
6	1	do	87	A	0, 14, 46, 70, 72, 86
6	1	get	107	A	0, 4, 52, 54, 92, 106
6	1	had	139	A	4, 6, 22, 26, 92, 142
6	1	here	129	A	14, 80, 92, 96, 128, 142
6	1	is	85	A	14, 26, 60, 70, 74, 98
6	1	just	129	A	14, 50, 64, 76, 92, 142
6	1	not	111	A	0, 14, 34, 80, 84, 110
6	1	really	131	A	0, 14, 36, 68, 74, 130
6	1	that's	121	A	16, 36, 52, 112, 130, 136
5	1	So	133	A	10, 118, 122, 136, 142
5	1	Well	135	A	0, 4, 104, 130, 134
5	1	about	67	A	76, 96, 130, 134, 142
5	1	people	93	A	0, 10, 54, 76, 92
5	1	right	113	A	16, 44, 96, 122, 128
5	1	up	111	A	26, 80, 92, 110, 136
5	1	when	129	A	14, 110, 128, 136, 142
4	1	for	99	A	4, 72, 88, 102
4	1	from	139	A	4, 28, 128, 142
4	1	out	55	A	74, 76, 110, 128
4	1	probably	79	A	58, 90, 108, 136
4	1	then	37	A	4, 14, 22, 40
4	1	this	107	A	4, 16, 26, 110
4	1	time	113	A	28, 130, 136, 140
4	1	very	93	A	0, 4, 70, 92
4	1	with	129	A	14, 80, 102, 142
4	1	year	81	A	62, 86, 128, 142
3	1	And	107	A	14, 36, 120
3	1	The	61	A	14, 30, 74
3	1	Um	45	A	14, 50, 58
3	1	all	125	A	4, 120, 128
3	1	are	133	A	0, 76, 132
3	1	be	41	A	50, 64, 90
3	1	big	57	A	72, 92, 128
3	1	can	21	A	64, 66, 84
3	1	doesn't	129	A	0, 74, 128
3	1	go	31	A	106, 128, 136
3	1	got	57	A	80, 128, 136
3	1	guy	67	A	26, 54, 92
3	1	happened	117	A	26, 92, 142
3	1	if	123	A	6, 34, 128
3	1	into	67	A	14, 64, 80
3	1	little	45	A	66, 72, 110
3	1	more	89	A	22, 74, 110
3	1	much	55	A	64, 70, 118
3	1	never	83	A	14, 54, 96
3	1	next	99	A	30, 86, 128
3	1	our	97	A	10, 96, 106
3	1	over	83	A	14, 76, 96
3	1	place	65	A	72, 84, 136
3	1	pretty	73	A	46, 52, 118
3	1	real	43	A	68, 92, 110
