Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	5	, you know , I	63	58	1	A	6, 63
11	10	4	, you know ,	5	80	1	A	0, 5, 6, 16, 20, 63, 68, 70, 74, 75, 79
3	3	4	. Uh , we	45	46	2	A	0, 26, 45
2	2	4	. Well , I	27	20	1	A	8, 27
13	2	3	, you know	13	80	1	A	0, 5, 6, 13, 14, 16, 20, 63, 68, 70, 74, 75, 79
10	10	3	, uh ,	12	75	2	B	5, 9, 12, 13, 19, 23, 24, 63, 74, 79
6	6	3	a lot of	15	79	2	A	0, 6, 15, 21, 54, 78
4	4	3	, I think	74	66	3	B	9, 27, 63, 74
3	3	3	, right .	67	66	2	A	2, 8, 67
3	3	3	and , and	5	70	1	A	2, 5, 71
2	2	3	, I ,	5	6	1	A	0, 5
2	2	3	, like ,	70	48	1	B	23, 70
2	2	3	. I have	24	6	1	B	19, 24
2	2	3	I , you	9	4	1	A	6, 9
2	2	3	I have a	24	20	1	B	5, 24
2	2	3	Oh , okay	43	34	1	A	10, 43
2	2	3	so , it	50	24	1	B	27, 50
2	2	3	what do you	52	46	1	B	7, 52
19	12	2	, I	5	79	2	A	0, 2, 5, 6, 7, 8, 9, 10, 16, 19, 22, 27, 42, 46, 62, 63, 74, 76, 78
16	2	2	, you	28	80	1	A	0, 5, 6, 9, 13, 14, 16, 20, 28, 62, 63, 68, 70, 74, 75, 79
14	1	2	you know	23	80	1	A	0, 5, 6, 13, 14, 16, 20, 23, 63, 68, 70, 74, 75, 79
11	2	2	know ,	16	80	1	A	0, 5, 6, 16, 20, 63, 68, 70, 74, 75, 79
10	1	2	uh ,	13	75	2	B	5, 9, 12, 13, 19, 23, 24, 63, 74, 79
9	9	2	Yeah .	32	48	1	B	19, 32, 34, 35, 36, 48, 53, 64, 66
8	6	2	, and	5	74	1	A	2, 5, 6, 19, 20, 46, 71, 75
8	6	2	Oh ,	10	43	1	B	5, 10, 15, 26, 37, 42, 43, 47
7	7	2	Uh-huh .	72	51	5	B	27, 49, 57, 59, 61, 72, 77
7	5	2	Well ,	5	59	1	A	4, 5, 8, 27, 28, 41, 62
7	7	2	Yeah ,	51	52	6	A	0, 2, 8, 18, 30, 38, 51
7	1	2	a lot	15	79	3	A	0, 6, 8, 15, 21, 54, 78
5	2	2	, we	46	55	2	A	0, 26, 45, 46, 54
5	5	2	, yeah	30	74	1	B	5, 30, 37, 46, 78
5	1	2	I ,	5	10	2	A	0, 2, 5, 6, 9
5	5	2	going to	13	73	1	A	6, 13, 31, 44, 78
5	3	2	have a	6	71	1	B	5, 6, 24, 28, 75
5	5	2	kind of	23	26	3	A	2, 6, 16, 23, 27
5	5	2	of them	16	27	2	B	13, 15, 16, 21, 39
4	4	2	, a	6	11	1	B	5, 6, 13, 15
4	4	2	, it's	38	69	1	B	5, 38, 41, 73
4	2	2	. I	19	65	1	A	12, 19, 24, 76
