ID	S1	S2	S1/Initiated Expression (IE_S1)	S1/Expression Repetition (ER_S1)	S1/tokens (%)	S2/Initiated Expression (IE_S2)	S2/Expression Repetition (ER_S2)	S2/tokens (%)	Voc. Overlap S1	Voc. Overlap S2	SR/S1/ELS	SR/S1/EV	SR/S1/ER	SR/S1/ENTR	SR/S1/L	SR/S1/LMAX	SR/S2/ELS	SR/S2/EV	SR/S2/ER	SR/S2/ENTR	SR/S2/L	SR/S2/LMAX
2064_txt-finetuned_DialoGPT-speaker_B_tsv	B	M	0.6257309941520468	0.313915857605178	0.5440140845070423	0.3742690058479532	0.5855855855855856	0.45598591549295775	0.358974358974359	0.44680851063829785	169.0	0.17244897959183675	0.7489795918367347	2.126531355627139	2.2288135593220337	10.0	160.0	0.19253910950661854	0.7280385078219013	2.1391916910474267	2.260188087774295	6.0
2072_txt-finetuned_DialoGPT-speaker_B_tsv	B	M	0.4954954954954955	0.4269230769230769	0.5646036916395223	0.5045045045045045	0.3740648379052369	0.43539630836047777	0.3583815028901734	0.484375	81.0	0.14412811387900357	0.6459074733096085	1.8099361202808473	1.851063829787234	6.0	71.0	0.15990990990990991	0.6576576576576577	2.0209022168175563	2.1486486486486487	7.0
2107_txt-finetuned_DialoGPT-speaker_B_tsv	B	M	0.42	0.4625322997416021	0.5884439939178915	0.58	0.4482758620689655	0.41155600608210846	0.3300653594771242	0.4675925925925926	215.0	0.1724137931034483	0.7441860465116279	1.7096676709317693	1.7934782608695652	6.0	145.0	0.16129032258064516	0.6596218020022246	2.040843775555886	2.082066869300912	7.0
2120_txt-finetuned_DialoGPT-speaker_B_tsv	B	M	0.25	0.12631578947368421	0.6737588652482269	0.75	0.08695652173913043	0.3262411347517731	0.1568627450980392	0.26666666666666666	7.0	0.06862745098039216	0.23529411764705882	0.863120568566631	1.2857142857142858	2.0	3.0	0.05660377358490566	0.16981132075471697	0.9182958340544896	1.3333333333333333	2.0
2149_txt-finetuned_DialoGPT-speaker_B_tsv	B	M	0.6581196581196581	0.4071566731141199	0.5773310999441653	0.3418803418803419	0.5785997357992074	0.42266890005583474	0.3977272727272727	0.4976303317535545	190.0	0.17335766423357665	0.75	1.7898848633922066	1.874468085106383	5.0	145.0	0.17682926829268292	0.7060975609756097	1.975743532606888	2.057142857142857	6.0
2157_txt-finetuned_DialoGPT-speaker_B_tsv	B	M	0.5263157894736842	0.3929889298892989	0.5827956989247312	0.47368421052631576	0.45618556701030927	0.4172043010752688	0.32608695652173914	0.5859375	102.0	0.17495711835334476	0.5917667238421955	1.4523035155481057	1.5799086757990868	4.0	65.0	0.15151515151515152	0.6596736596736597	1.9694402333594787	2.1838235294117645	5.0
2187_txt-finetuned_DialoGPT-speaker_B_tsv	B	M	0.5703125	0.3742911153119093	0.43467543138866066	0.4296875	0.4811046511627907	0.5653245686113394	0.4470588235294118	0.39790575916230364	95.0	0.16267123287671234	0.6575342465753424	1.6329054462266464	1.7336244541484715	5.0	118.0	0.15881561238223418	0.6850605652759085	2.004058602758454	2.197628458498024	7.0
2220_txt-finetuned_DialoGPT-speaker_B_tsv	B	M	0.5720524017467249	0.47545787545787543	0.6825	0.4279475982532751	0.5637795275590551	0.3175	0.3431372549019608	0.5833333333333334	264.0	0.1853932584269663	0.785814606741573	1.9045699111539107	1.9750415973377704	6.0	115.0	0.16546762589928057	0.6719424460431654	2.0158422743436755	2.1784232365145226	10.0
2231_txt-finetuned_DialoGPT-speaker_B_tsv	B	M	0.40828402366863903	0.44923857868020306	0.6840277777777778	0.591715976331361	0.4194139194139194	0.3159722222222222	0.24024024024024024	0.5517241379310345	227.0	0.18455284552845527	0.7577235772357723	1.5322034575880326	1.70304114490161	6.0	109.0	0.1835016835016835	0.7272727272727273	1.9437186304905056	2.048458149779736	9.0
2247_txt-finetuned_DialoGPT-speaker_B_tsv	B	M	0.926829268292683	0.08895705521472393	0.8139825218476904	0.07317073170731707	0.3959731543624161	0.18601747815230962	0.10486891385767791	0.5	107.0	0.15735294117647058	0.6308823529411764	1.2351196983094073	1.4494773519163764	3.0	19.0	0.10674157303370786	0.5112359550561798	1.6320443060561574	1.9130434782608696	4.0
