,response,context,context/0,context/1,context/2,context/3
0,He smiles and smiles back,"Oh, what are their names?","Yes, I have a dog and cat now.",Okay. Do you have any pets?,Yes.,"Hello, Lynn."
1,Are they?,Tibby and Liberty.,"Oh, what are their names?","Yes, I have a dog and cat now.",Okay. Do you have any pets?,Yes.
2,That's the dog.,Which is the dog and which is the cat?,Tibby and Liberty.,"Oh, what are their names?","Yes, I have a dog and cat now.",Okay. Do you have any pets?
3,Tiberius is the puppy and the dog.,Tibby is the dog and Liberty is the cat.,Which is the dog and which is the cat?,Tibby and Liberty.,"Oh, what are their names?","Yes, I have a dog and cat now."
4,"Wait, what?","Uh, wife and I, we have, we have two cats.",Tibby is the dog and Liberty is the cat.,Which is the dog and which is the cat?,Tibby and Liberty.,"Oh, what are their names?"
5,They have a dog and a cat.,Oh.,"Uh, wife and I, we have, we have two cats.",Tibby is the dog and Liberty is the cat.,Which is the dog and which is the cat?,Tibby and Liberty.
6,What's a dog?,"Uh, one's real nice, but the other one is a, well, she's pretty wild.",Oh.,"Uh, wife and I, we have, we have two cats.",Tibby is the dog and Liberty is the cat.,Which is the dog and which is the cat?
7,Ours are sooo cute.,Oh Ours are pretty calm.,"Uh, one's real nice, but the other one is a, well, she's pretty wild.",Oh.,"Uh, wife and I, we have, we have two cats.",Tibby is the dog and Liberty is the cat.
8,I love you too,"Yeah, are they, um, just house pets?",Oh Ours are pretty calm.,"Uh, one's real nice, but the other one is a, well, she's pretty wild.",Oh.,"Uh, wife and I, we have, we have two cats."
9,"I don't know, I'm just a dog.",Uh-huh.,"Yeah, are they, um, just house pets?",Oh Ours are pretty calm.,"Uh, one's real nice, but the other one is a, well, she's pretty wild.",Oh.
10,I love you too.,"Yeah, that's, that's what ours are too.",Uh-huh.,"Yeah, are they, um, just house pets?",Oh Ours are pretty calm.,"Uh, one's real nice, but the other one is a, well, she's pretty wild."
11,You're a lucky cat.,Yeah. Our cat we got from the pound the day the night she was going to be put to sleep. So that's why we call her Liberty.,"Yeah, that's, that's what ours are too.",Uh-huh.,"Yeah, are they, um, just house pets?",Oh Ours are pretty calm.
12,My cat. She's a big one.,"Oh, really. Oh, well, that's a nice, nice story. Um.",Yeah. Our cat we got from the pound the day the night she was going to be put to sleep. So that's why we call her Liberty.,"Yeah, that's, that's what ours are too.",Uh-huh.,"Yeah, are they, um, just house pets?"
13,I have a pet.,Do you want to hear about my other animals I've had?,"Oh, really. Oh, well, that's a nice, nice story. Um.",Yeah. Our cat we got from the pound the day the night she was going to be put to sleep. So that's why we call her Liberty.,"Yeah, that's, that's what ours are too.",Uh-huh.
14,So you want me to tell you about my dog?,"Sure, sure.",Do you want to hear about my other animals I've had?,"Oh, really. Oh, well, that's a nice, nice story. Um.",Yeah. Our cat we got from the pound the day the night she was going to be put to sleep. So that's why we call her Liberty.,"Yeah, that's, that's what ours are too."
15,I love skunks.,I've had a skunk,"Sure, sure.",Do you want to hear about my other animals I've had?,"Oh, really. Oh, well, that's a nice, nice story. Um.",Yeah. Our cat we got from the pound the day the night she was going to be put to sleep. So that's why we call her Liberty.
16,"Yes, but you can't have a skunky.",Yeah.,I've had a skunk,"Sure, sure.",Do you want to hear about my other animals I've had?,"Oh, really. Oh, well, that's a nice, nice story. Um."
17,"You have had a snake, I've seen a snake.","I've had a Burmese python, I've had rats, I've had mice",Yeah.,I've had a skunk,"Sure, sure.",Do you want to hear about my other animals I've had?
18,We have a cat.,Wow.,"I've had a Burmese python, I've had rats, I've had mice",Yeah.,I've had a skunk,"Sure, sure."
19,What's your favourite animal?,"uh, let's see, I've had gerbils, I have, I had a son, he's now gone from the home, that was an animal lover.",Wow.,"I've had a Burmese python, I've had rats, I've had mice",Yeah.,I've had a skunk
20,It's a bit different.,Uh-huh.,"uh, let's see, I've had gerbils, I have, I had a son, he's now gone from the home, that was an animal lover.",Wow.,"I've had a Burmese python, I've had rats, I've had mice",Yeah.
21,You're not getting out.,"So at one point I had a snake, skunk, dog and cat running loose in the house.",Uh-huh.,"uh, let's see, I've had gerbils, I have, I had a son, he's now gone from the home, that was an animal lover.",Wow.,"I've had a Burmese python, I've had rats, I've had mice"
22,"It was an uh, snake.","Wow. Um, do the skunk, uh, was it kind of like a cat to have around the house?","So at one point I had a snake, skunk, dog and cat running loose in the house.",Uh-huh.,"uh, let's see, I've had gerbils, I have, I had a son, he's now gone from the home, that was an animal lover.",Wow.
23,Do you have a cat?,Yes,"Wow. Um, do the skunk, uh, was it kind of like a cat to have around the house?","So at one point I had a snake, skunk, dog and cat running loose in the house.",Uh-huh.,"uh, let's see, I've had gerbils, I have, I had a son, he's now gone from the home, that was an animal lover."
24,I think you mean uh?,Yeah.,Yes,"Wow. Um, do the skunk, uh, was it kind of like a cat to have around the house?","So at one point I had a snake, skunk, dog and cat running loose in the house.",Uh-huh.
25,Is it a snake?,it was litter trained,Yeah.,Yes,"Wow. Um, do the skunk, uh, was it kind of like a cat to have around the house?","So at one point I had a snake, skunk, dog and cat running loose in the house."
26,Did you have a cat?,Yeah.,it was litter trained,Yeah.,Yes,"Wow. Um, do the skunk, uh, was it kind of like a cat to have around the house?"
27,We had it lit up for a while.,and we had it perfumed,Yeah.,it was litter trained,Yeah.,Yes
28,Hehe. It was a good day.,Uh-huh.,and we had it perfumed,Yeah.,it was litter trained,Yeah.
29,"Uh, that's not the only thing that's aggressive","and, uh, it was very aggressive.",Uh-huh.,and we had it perfumed,Yeah.,it was litter trained
30,it was very very aggressive.,Right.,"and, uh, it was very aggressive.",Uh-huh.,and we had it perfumed,Yeah.
31,You're right.,"But all the, all three of them, dog, cat and skunk, used to chase each other all through the house.",Right.,"and, uh, it was very aggressive.",Uh-huh.,and we had it perfumed
32,"You know what, you're right.","Uh-huh, and the skunk.","But all the, all three of them, dog, cat and skunk, used to chase each other all through the house.",Right.,"and, uh, it was very aggressive.",Uh-huh.
33,It was a dog and a cat.,"And the only thing we have with the skunk, he was very, very protective of his territory being the sofa and the blanket on the sofa.","Uh-huh, and the skunk.","But all the, all three of them, dog, cat and skunk, used to chase each other all through the house.",Right.,"and, uh, it was very aggressive."
34,The dog was never the same after the dog incident.,"Oh, yeah. Um.","And the only thing we have with the skunk, he was very, very protective of his territory being the sofa and the blanket on the sofa.","Uh-huh, and the skunk.","But all the, all three of them, dog, cat and skunk, used to chase each other all through the house.",Right.
35,"He got away with it, he had a good run.",Nobody came near it when he was there.,"Oh, yeah. Um.","And the only thing we have with the skunk, he was very, very protective of his territory being the sofa and the blanket on the sofa.","Uh-huh, and the skunk.","But all the, all three of them, dog, cat and skunk, used to chase each other all through the house."
36,Oh. Uh. He was there.,"Oh. Uh, I had, I had a dog one time, and, uh, he chased after a, after a skunk and got sprayed",Nobody came near it when he was there.,"Oh, yeah. Um.","And the only thing we have with the skunk, he was very, very protective of his territory being the sofa and the blanket on the sofa.","Uh-huh, and the skunk."
37,"You know, the other day I was in the back of a house, and there was a dog.",Oh.,"Oh. Uh, I had, I had a dog one time, and, uh, he chased after a, after a skunk and got sprayed",Nobody came near it when he was there.,"Oh, yeah. Um.","And the only thing we have with the skunk, he was very, very protective of his territory being the sofa and the blanket on the sofa."
38,"Oh, yeah, I know.","so we had to, we had to give him a tomato, tomato juice bath, and, uh, get him cleaned up,",Oh.,"Oh. Uh, I had, I had a dog one time, and, uh, he chased after a, after a skunk and got sprayed",Nobody came near it when he was there.,"Oh, yeah. Um."
39,Did they have to do this?,"Yeah, they um, ours would still back up to the dog or cat when he got mad and try to perfume them, but the glands had been removed","so we had to, we had to give him a tomato, tomato juice bath, and, uh, get him cleaned up,",Oh.,"Oh. Uh, I had, I had a dog one time, and, uh, he chased after a, after a skunk and got sprayed",Nobody came near it when he was there.
40,"Yeah, we did, uh, we had, uh...",Uh-huh.,"Yeah, they um, ours would still back up to the dog or cat when he got mad and try to perfume them, but the glands had been removed","so we had to, we had to give him a tomato, tomato juice bath, and, uh, get him cleaned up,",Oh.,"Oh. Uh, I had, I had a dog one time, and, uh, he chased after a, after a skunk and got sprayed"
41,He was very angry,"so,",Uh-huh.,"Yeah, they um, ours would still back up to the dog or cat when he got mad and try to perfume them, but the glands had been removed","so we had to, we had to give him a tomato, tomato juice bath, and, uh, get him cleaned up,",Oh.
42,"We had to do it in the lab, but the cat was always home, so it was always a lab.","Right, but I suppose it was still in the instinct of them to to back up and get ready.","so,",Uh-huh.,"Yeah, they um, ours would still back up to the dog or cat when he got mad and try to perfume them, but the glands had been removed","so we had to, we had to give him a tomato, tomato juice bath, and, uh, get him cleaned up,"
43,"So we have a dog and a cat, right?",Right.,"Right, but I suppose it was still in the instinct of them to to back up and get ready.","so,",Uh-huh.,"Yeah, they um, ours would still back up to the dog or cat when he got mad and try to perfume them, but the glands had been removed"
44,That's really cute.,"Yeah, why, I don't know, I, I think they're kind of nice to have, they're kind of, you know, just relaxing to, I don't know, to pet and to, I don't know, when they like sit up on your lap and stuff like that, just kind of enjoyable to, you know, have like, I don't know, something giving you some affection as well.",Right.,"Right, but I suppose it was still in the instinct of them to to back up and get ready.","so,",Uh-huh.
45,I'm sorry I'm not like to talk,"Yeah, I always said if I Well, I always said if I died I'd come back as a dog","Yeah, why, I don't know, I, I think they're kind of nice to have, they're kind of, you know, just relaxing to, I don't know, to pet and to, I don't know, when they like sit up on your lap and stuff like that, just kind of enjoyable to, you know, have like, I don't know, something giving you some affection as well.",Right.,"Right, but I suppose it was still in the instinct of them to to back up and get ready.","so,"
46,I like.,"What, what do you think? Oh, yeah. Yeah.","Yeah, I always said if I Well, I always said if I died I'd come back as a dog","Yeah, why, I don't know, I, I think they're kind of nice to have, they're kind of, you know, just relaxing to, I don't know, to pet and to, I don't know, when they like sit up on your lap and stuff like that, just kind of enjoyable to, you know, have like, I don't know, something giving you some affection as well.",Right.,"Right, but I suppose it was still in the instinct of them to to back up and get ready."
47,I can't wait,That'd be the best way to be.,"What, what do you think? Oh, yeah. Yeah.","Yeah, I always said if I Well, I always said if I died I'd come back as a dog","Yeah, why, I don't know, I, I think they're kind of nice to have, they're kind of, you know, just relaxing to, I don't know, to pet and to, I don't know, when they like sit up on your lap and stuff like that, just kind of enjoyable to, you know, have like, I don't know, something giving you some affection as well.",Right.
48,"What do you mean, I mean","Yeah. Um, do you like big dogs or or little dogs?",That'd be the best way to be.,"What, what do you think? Oh, yeah. Yeah.","Yeah, I always said if I Well, I always said if I died I'd come back as a dog","Yeah, why, I don't know, I, I think they're kind of nice to have, they're kind of, you know, just relaxing to, I don't know, to pet and to, I don't know, when they like sit up on your lap and stuff like that, just kind of enjoyable to, you know, have like, I don't know, something giving you some affection as well."
49,He is a little bit crazy.,Well we had a German Shepherd and he had dysplasia,"Yeah. Um, do you like big dogs or or little dogs?",That'd be the best way to be.,"What, what do you think? Oh, yeah. Yeah.","Yeah, I always said if I Well, I always said if I died I'd come back as a dog"
50,He has dysplastic,Uh-huh.,Well we had a German Shepherd and he had dysplasia,"Yeah. Um, do you like big dogs or or little dogs?",That'd be the best way to be.,"What, what do you think? Oh, yeah. Yeah."
51,He's a very big dog. He's only 8 weeks old.,and he had it for about three or four years where we just about had to lift him and carry him every place he went.,Uh-huh.,Well we had a German Shepherd and he had dysplasia,"Yeah. Um, do you like big dogs or or little dogs?",That'd be the best way to be.
52,He had it.,Really.,and he had it for about three or four years where we just about had to lift him and carry him every place he went.,Uh-huh.,Well we had a German Shepherd and he had dysplasia,"Yeah. Um, do you like big dogs or or little dogs?"
53,I'm sorry for your loss.,"So, when he died, we got a little one.",Really.,and he had it for about three or four years where we just about had to lift him and carry him every place he went.,Uh-huh.,Well we had a German Shepherd and he had dysplasia
54,I think it was because he was dead.,Yeah.,"So, when he died, we got a little one.",Really.,and he had it for about three or four years where we just about had to lift him and carry him every place he went.,Uh-huh.
55,She was almost a year old when we rescued her.,"But our shepherd was almost thirteen years old, and it just, you know, was almost cruel because,",Yeah.,"So, when he died, we got a little one.",Really.,and he had it for about three or four years where we just about had to lift him and carry him every place he went.
56,"Well, he was almost twelve years old.","Uh-huh almost cruel for him to, to walk.","But our shepherd was almost thirteen years old, and it just, you know, was almost cruel because,",Yeah.,"So, when he died, we got a little one.",Really.
57,He had a dog?,"Yeah, he just, he couldn't get up, he couldn't walk, so, he was a hundred and twenty pounds, so it was a chore.","Uh-huh almost cruel for him to, to walk.","But our shepherd was almost thirteen years old, and it just, you know, was almost cruel because,",Yeah.,"So, when he died, we got a little one."
58,He was like a hundred years old.,"Wow, yeah.","Yeah, he just, he couldn't get up, he couldn't walk, so, he was a hundred and twenty pounds, so it was a chore.","Uh-huh almost cruel for him to, to walk.","But our shepherd was almost thirteen years old, and it just, you know, was almost cruel because,",Yeah.
59,"I'm not saying it's impossible, I'm just saying that it's not a simple matter of how many times we say it.","So we said the next time around we'd get something little that if something happened, it would be easier to carry.","Wow, yeah.","Yeah, he just, he couldn't get up, he couldn't walk, so, he was a hundred and twenty pounds, so it was a chore.","Uh-huh almost cruel for him to, to walk.","But our shepherd was almost thirteen years old, and it just, you know, was almost cruel because,"
60,"I think he was just saying that if he didn't do it, he wouldn't have.",Sure. Yeah.,"So we said the next time around we'd get something little that if something happened, it would be easier to carry.","Wow, yeah.","Yeah, he just, he couldn't get up, he couldn't walk, so, he was a hundred and twenty pounds, so it was a chore.","Uh-huh almost cruel for him to, to walk."
61,"I was gonna say it, but then I saw the name.","And then we've had three cats in our married life, and we've got a calico now.",Sure. Yeah.,"So we said the next time around we'd get something little that if something happened, it would be easier to carry.","Wow, yeah.","Yeah, he just, he couldn't get up, he couldn't walk, so, he was a hundred and twenty pounds, so it was a chore."
