,Speaker,Utterance,Unified
5,A,"so many, uh, women are heads of state and I, you know, we, we keep saying oh yes, we feel some day a woman will be president. But, uh, I have some question, whether or not they will ever really get around to that. I think we'll have a black president before we have a women president.","A|so many, uh, women are heads of state and I, you know, we, we keep saying oh yes, we feel some day a woman will be president. But, uh, I have some question, whether or not they will ever really get around to that. I think we'll have a black president before we have a women president."
6,M,Not yet.,M|Not yet.
7,A,"And, uh, I don't know whether that's bad or good, it's just a point that I have observed that we,","A|And, uh, I don't know whether that's bad or good, it's just a point that I have observed that we,"
8,M,"Uhh, uh, it's uhh, uhhh, have been in the","M|Uhh, uh, it's uhh, uhhh, have been in the"
9,A,Yes. Right.,A|Yes. Right.
10,M,We're,M|We're
11,A,"Uh, oh.","A|Uh, oh."
12,M,Because it's,M|Because it's
13,A,"Uh, oh, I think, we're, we're supposed to hang up.","A|Uh, oh, I think, we're, we're supposed to hang up."
14,M,"Uhhh, hi.","M|Uhhh, hi."
15,A,Yes.,A|Yes.
16,M,Are you referring to wealth disparity?,M|Are you referring to wealth disparity?
17,A,"All right. Thank you.  Bye, bye.","A|All right. Thank you.  Bye, bye."
18,M,I'm a man of many talents.,M|I'm a man of many talents.
