,Speaker,Utterance,Unified
5,M,i,M|i
6,A,and they put them out on a certain day of the week,A|and they put them out on a certain day of the week
7,M,"I,","M|I,"
8,A,"and each, uh, home does participate but we really don't have anything, uh, close in this area that, that do anything. And, and some of the communities that do, the residents are having to pay to participate in it. Which really doesn't make sense.","A|and each, uh, home does participate but we really don't have anything, uh, close in this area that, that do anything. And, and some of the communities that do, the residents are having to pay to participate in it. Which really doesn't make sense."
9,M,It's a joke,M|It's a joke
10,A,"Yeah, that's good.","A|Yeah, that's good."
11,M,You.,M|You.
12,A,"Yeah, yeah. That's another thing.  You have to go to different places to do that.","A|Yeah, yeah. That's another thing.  You have to go to different places to do that."
13,M,...,M|...
14,A,"Uh-huh. But I heard that most homes that do participate in that are having to pay a monthly fee to do that. Which, uh, I don't know, it just doesn't make sense to me.","A|Uh-huh. But I heard that most homes that do participate in that are having to pay a monthly fee to do that. Which, uh, I don't know, it just doesn't make sense to me."
15,M,"No,","M|No,"
16,A,Yeah. Yeah.,A|Yeah. Yeah.
17,M,Hmmm.,M|Hmmm.
18,A,"Yeah. That's good,  that's good.","A|Yeah. That's good,  that's good."
19,M,"Oh, um, well I think it's a good idea.","M|Oh, um, well I think it's a good idea."
20,A,Uh-huh.,A|Uh-huh.
21,M,Well that's nice,M|Well that's nice
22,A,Huh.  No.,A|Huh.  No.
23,M,it is.,M|it is.
24,A,"Oh, I didn't know that.","A|Oh, I didn't know that."
25,M,"No, it's just a plastic recycler.","M|No, it's just a plastic recycler."
26,A,Yeah.,A|Yeah.
27,M,Do they have different kinds?,M|Do they have different kinds?
28,A,"Uh-huh. Well, that's good. I, I'm, you know, unfortunately Garland doesn't have, doesn't, they don't, I don't know, they don't do anything like that or I, you know, I read those little slips that come in to your, utility bills or your, uh, garbage collection","A|Uh-huh. Well, that's good. I, I'm, you know, unfortunately Garland doesn't have, doesn't, they don't, I don't know, they don't do anything like that or I, you know, I read those little slips that come in to your, utility bills or your, uh, garbage collection"
29,M,That.,M|That.
30,A,"and they haven't, you know, talked about doing something like that","A|and they haven't, you know, talked about doing something like that"
31,M,"Yeah, and...","M|Yeah, and..."
32,A,"She lives in Garland and I'm not sure where, what she does. But she's, uh, oh she's very heavy in that and she takes her own bags to the grocery store","A|She lives in Garland and I'm not sure where, what she does. But she's, uh, oh she's very heavy in that and she takes her own bags to the grocery store"
33,M,Uhh,M|Uhh
34,A,"Uh, she has, I, I really don't think she has any paper products in her house.","A|Uh, she has, I, I really don't think she has any paper products in her house."
35,M,"Oh, uh, I've got a paper bag.","M|Oh, uh, I've got a paper bag."
36,A,"Uh, and just a lot of things I've learned off of her that, to start doing. And she does make a lot of sense.","A|Uh, and just a lot of things I've learned off of her that, to start doing. And she does make a lot of sense."
37,M,You mean she's not?,M|You mean she's not?
38,A,Just her whole house is like wow.,A|Just her whole house is like wow.
39,M,She nods.,M|She nods.
40,A,Yeah.,A|Yeah.
41,M,Oh. That's weird.,M|Oh. That's weird.
42,A,Yeah.,A|Yeah.
43,M,But you have the choice of which one to pass it.,M|But you have the choice of which one to pass it.
44,A,"Yeah. And, uh, my little boy has, watches a program that was really neat. I sat and watched him. You know the Barney? You know the little, I don't know if you know the little character Barney.","A|Yeah. And, uh, my little boy has, watches a program that was really neat. I sat and watched him. You know the Barney? You know the little, I don't know if you know the little character Barney."
45,M,No.Of course not.,M|No.Of course not.
46,A,"They had one, uh, on that kind of, type of thing and how children can, can do that and how to save water when you brush your teeth in water and it's really caught on and he's only four and he's really caught on.","A|They had one, uh, on that kind of, type of thing and how children can, can do that and how to save water when you brush your teeth in water and it's really caught on and he's only four and he's really caught on."
47,M,Yeah.,M|Yeah.
48,A,And keep the refrigerator door closed and that kind of thing. He's really caught on so that's really neat,A|And keep the refrigerator door closed and that kind of thing. He's really caught on so that's really neat
49,M,"You, he's","M|You, he's"
