,Speaker,Utterance,Unified
5,B,"and I think they're better people because of it,","B|and I think they're better people because of it,"
6,M,"Yeah, and I think that's the reason why people do it.","M|Yeah, and I think that's the reason why people do it."
7,B,"they're much more responsible. I know, um, the church that I go to, um, the young men give two years of their life when they turn nineteen, you know,","B|they're much more responsible. I know, um, the church that I go to, um, the young men give two years of their life when they turn nineteen, you know,"
8,M,"I don't know, I don't think I've ever seen a church that gives me the same chance as a child.","M|I don't know, I don't think I've ever seen a church that gives me the same chance as a child."
9,B,"they're encouraged to do that, missionary work, and I I really believe that the people that do that are better people that make our, society better.","B|they're encouraged to do that, missionary work, and I I really believe that the people that do that are better people that make our, society better."
10,M,"uhh, I'm not really sure what you mean.","M|uhh, I'm not really sure what you mean."
11,B,Uh-huh.,B|Uh-huh.
12,M,Yes.,M|Yes.
13,B,Uh-huh.,B|Uh-huh.
14,M,I'm just kidding,M|I'm just kidding
15,B,Uh-huh.,B|Uh-huh.
16,M,"Um... I did that, um... for the money.","M|Um... I did that, um... for the money."
17,B,Uh-huh.,B|Uh-huh.
18,M,"You know, I don't know how to spell, but I know I've got a degree in it.","M|You know, I don't know how to spell, but I know I've got a degree in it."
19,B,Huh.,B|Huh.
20,M,uhuhuh. Uhuh.,M|uhuhuh. Uhuh.
21,B,Yeah.,B|Yeah.
22,M,You're.,M|You're.
23,B,Huh. and rattling in,B|Huh. and rattling in
24,M,"I'm waiting for them to finish my graduate year, I'm so nervous.","M|I'm waiting for them to finish my graduate year, I'm so nervous."
25,B,Yes. Yes.,B|Yes. Yes.
26,M,So you have a church?,M|So you have a church?
27,B,Uh-huh.,B|Uh-huh.
28,M,That's weird.,M|That's weird.
29,B,"Uh-huh. Well, I think so, it puts you out on your own and and in a time after high school, um, there's kind of a selfishness,","B|Uh-huh. Well, I think so, it puts you out on your own and and in a time after high school, um, there's kind of a selfishness,"
30,M,I'm a guy,M|I'm a guy
31,B,"I mean, teenagers in our country are kind of, kind of a year that parents don't look forward to and, and things like that","B|I mean, teenagers in our country are kind of, kind of a year that parents don't look forward to and, and things like that"
32,M,u uuuuuuuu uh,M|u uuuuuuuu uh
33,B,"and I think that it would help people to become, less self-centered, and to be more responsible when you're out on your own trying to, um, thinking less of your own needs but, of other people.","B|and I think that it would help people to become, less self-centered, and to be more responsible when you're out on your own trying to, um, thinking less of your own needs but, of other people."
34,M,Uhuh.,M|Uhuh.
35,B,Uh-huh.,B|Uh-huh.
36,M,How about that,M|How about that
37,B,Uh-huh.,B|Uh-huh.
38,M,uuh.,M|uuh.
39,B,"Oh, no.","B|Oh, no."
40,M,"Uh, uh, yeah.","M|Uh, uh, yeah."
41,B,Uh-huh.,B|Uh-huh.
42,M,"... Uh, I'm high school.","M|... Uh, I'm high school."
