,Speaker,Utterance,Unified
5,B,Okay.   Yeah.,B|Okay.   Yeah.
6,M,I know that.,M|I know that.
7,B,Uh-huh.,B|Uh-huh.
8,M,"So, uh, how's it going?","M|So, uh, how's it going?"
9,B,Uh-huh.,B|Uh-huh.
10,M,"I'm sorry, I'm afraid I don't understand.","M|I'm sorry, I'm afraid I don't understand."
11,B,Yeah.,B|Yeah.
12,M,You guys were just a bunch of cuddly cuddlys.,M|You guys were just a bunch of cuddly cuddlys.
13,B,Uh-huh.,B|Uh-huh.
14,M,It's called a budget,M|It's called a budget
15,B,"Oh, no.","B|Oh, no."
16,M,I think he's going to be on a vacation.,M|I think he's going to be on a vacation.
17,B,That throws the budget out of whack real fast.,B|That throws the budget out of whack real fast.
18,M,"Heh, I see","M|Heh, I see"
19,B,"Oh, good.","B|Oh, good."
20,M,We already have plans for it.,M|We already have plans for it.
21,B,Really.   That was smart.  Yeah.,B|Really.   That was smart.  Yeah.
22,M,It's a long process.,M|It's a long process.
23,B,Uh-huh.,B|Uh-huh.
24,M,"Well, uh, what we've done.","M|Well, uh, what we've done."
25,B,"Oh, uh-huh.   Yeah.","B|Oh, uh-huh.   Yeah."
26,M,"Well, uh, how do we do it?","M|Well, uh, how do we do it?"
27,B,"Wow, that's great.","B|Wow, that's great."
28,M,I'm going to say it. We're going to have to pay you more than you think you will.,M|I'm going to say it. We're going to have to pay you more than you think you will.
29,B,"Did you have a special program on your computer to do that or was this just your own design of,","B|Did you have a special program on your computer to do that or was this just your own design of,"
30,M,"I'm just kidding, I love it","M|I'm just kidding, I love it"
31,B,Uh-huh.,B|Uh-huh.
32,M,"Oh, that's a good idea.","M|Oh, that's a good idea."
33,B,Gosh.,B|Gosh.
34,M,You're welcome.,M|You're welcome.
35,B,Yeah,B|Yeah
36,M,"So uh, you think that's a good idea?","M|So uh, you think that's a good idea?"
37,B,Yeah.,B|Yeah.
38,M,We spend too much.,M|We spend too much.
39,B,"Well, we've been married for five and a half years and we started out without kids, of course, and found it much easier to save and used to do a lot more fun kinds of of things and, uh, did really, um, you know, have a real strict but, budget but, uh, the about and to our, when we first got married we were in graduate school and we were just, you know, dirt poor. Then when we got our first jobs after about a year of marriage we decided we'd bank my salary so we could buy a house. So, we virtually did that for about two years,  which worked real well, and then moved from California where we realized we could never buy a house anyway no matter how much we saved,  and moved to Texas, bought a house immediately, you know, which, of course, is now devalued with the housing market,","B|Well, we've been married for five and a half years and we started out without kids, of course, and found it much easier to save and used to do a lot more fun kinds of of things and, uh, did really, um, you know, have a real strict but, budget but, uh, the about and to our, when we first got married we were in graduate school and we were just, you know, dirt poor. Then when we got our first jobs after about a year of marriage we decided we'd bank my salary so we could buy a house. So, we virtually did that for about two years,  which worked real well, and then moved from California where we realized we could never buy a house anyway no matter how much we saved,  and moved to Texas, bought a house immediately, you know, which, of course, is now devalued with the housing market,"
40,M,,M|
41,B,"so, I don't know if we, we did a good thing to buy a house or not but at least we've got a place to live. Um, so, now, since, uh, we have a three year old and a two year old now, um,","B|so, I don't know if we, we did a good thing to buy a house or not but at least we've got a place to live. Um, so, now, since, uh, we have a three year old and a two year old now, um,"
42,M,,M|
43,B,Uh-huh.,B|Uh-huh.
44,M,B,M|B
45,B,"That's, that's, that threw our budget really out of whack too. An we, um, have been just forced to budget much more because I quit working to be home with the kids. And, um, we just really have, uh, I don't know, we, we've tried different times, we've done like a survey of like taking, you know, the past three months of where all the money went.","B|That's, that's, that threw our budget really out of whack too. An we, um, have been just forced to budget much more because I quit working to be home with the kids. And, um, we just really have, uh, I don't know, we, we've tried different times, we've done like a survey of like taking, you know, the past three months of where all the money went."
46,M,,M|
47,B,"And we really don't spend on anything much of a luxury or anything at all, but it seems like there's, um, times when we just have to get out where we'll go and like get a baby-sitter and we'll go and we'll blow, you know, fifty, sixty dollars in one night going out to eat, going to a show or doing something, you know.","B|And we really don't spend on anything much of a luxury or anything at all, but it seems like there's, um, times when we just have to get out where we'll go and like get a baby-sitter and we'll go and we'll blow, you know, fifty, sixty dollars in one night going out to eat, going to a show or doing something, you know."
48,M,"h,","M|h,"
49,B,"Yeah, that's the hard part because when we sit down to make it, we try to make it real spartan and real narrow so we can put a certain amount in savings every week and then it's not really that realistic because we do find that we want to go and do something or splurge for, you know, birthday for somebody or, you know, even we, we even do things real frugally for the kids, we get a lot of toys and clothes and stuff at garage sales or from friends because they don't know the difference at this age, you know, whether they're JORDACHE new or whether they're *listen; ""because"" may start new utt unit  you know, something","B|Yeah, that's the hard part because when we sit down to make it, we try to make it real spartan and real narrow so we can put a certain amount in savings every week and then it's not really that realistic because we do find that we want to go and do something or splurge for, you know, birthday for somebody or, you know, even we, we even do things real frugally for the kids, we get a lot of toys and clothes and stuff at garage sales or from friends because they don't know the difference at this age, you know, whether they're JORDACHE new or whether they're *listen; ""because"" may start new utt unit  you know, something"
50,M,",:","M|,:"
51,B,"and they're both boys so they just one year after the other in each other's clothes, so. But, um, that's the hardest part for us is that it's really, um, you know, budgeting and some extra things, you know, that are more, you know, nonessential items.","B|and they're both boys so they just one year after the other in each other's clothes, so. But, um, that's the hardest part for us is that it's really, um, you know, budgeting and some extra things, you know, that are more, you know, nonessential items."
52,M,",They, shenan","M|,They, shenan"
53,B,Uh-huh.,B|Uh-huh.
54,M,,M|
55,B,Yeah.   Yeah.  Uh-huh.,B|Yeah.   Yeah.  Uh-huh.
56,M,I.,M|I.
57,B,"On your friends, that's true, that's true. Well, we have so many unexpected things come up so often it seems with, we both have older cars and something will come up and wind up having to spend a thousand dollars, you know, on the car in two months or something,","B|On your friends, that's true, that's true. Well, we have so many unexpected things come up so often it seems with, we both have older cars and something will come up and wind up having to spend a thousand dollars, you know, on the car in two months or something,"
58,M,I,M|I
59,B,"and, you know, a lot of things like that that really are hard to plan for. And, uh,","B|and, you know, a lot of things like that that really are hard to plan for. And, uh,"
60,M,The,M|The
61,B,"Yeah, kind of put in a certain amount per year, *82 and 84 same utt?","B|Yeah, kind of put in a certain amount per year, *82 and 84 same utt?"
62,M,I think,M|I think
63,B,you're going to have on extra expenses for car.,B|you're going to have on extra expenses for car.
64,M,"I mean, I'm sure I'll be fine. I'm not that much of a car guy.","M|I mean, I'm sure I'll be fine. I'm not that much of a car guy."
65,B,"Yeah, yeah.","B|Yeah, yeah."
66,M,But that's like a month's salary.,M|But that's like a month's salary.
67,B,"Yeah our biggest way of saving money is then to stop all these deductions, um, you know, is to, let's see, now, I forget which way we do it. We don't list all the deductions and then we get more money back, you know, at the end of the year,","B|Yeah our biggest way of saving money is then to stop all these deductions, um, you know, is to, let's see, now, I forget which way we do it. We don't list all the deductions and then we get more money back, you know, at the end of the year,"
68,M,"Umm, no.","M|Umm, no."
69,B,"so, that's not a good way to","B|so, that's not a good way to"
70,M,you can use the money you save,M|you can use the money you save
71,B,"that's what my husband said, so this last year he changed it, of course, we didn't get hardly and then nearly as much back and it was like oh, no. Better find another way of saving money","B|that's what my husband said, so this last year he changed it, of course, we didn't get hardly and then nearly as much back and it was like oh, no. Better find another way of saving money"
72,M,what?,M|what?
73,B,Yeah.,B|Yeah.
74,M,You do realize you have to pay for the taxes and insurance of your car right?,M|You do realize you have to pay for the taxes and insurance of your car right?
75,B,Yeah.  Yeah.,B|Yeah.  Yeah.
76,M,And you?,M|And you?
77,B,"Yeah, because we don't miss it, we really don't, when it's just taking out of the paycheck and stuff, so. But we're trying to put a little money away for the kids because we can envision the, uh, expenses for college already, you know, eighteen years away or whatever.","B|Yeah, because we don't miss it, we really don't, when it's just taking out of the paycheck and stuff, so. But we're trying to put a little money away for the kids because we can envision the, uh, expenses for college already, you know, eighteen years away or whatever."
78,M,"No,","M|No,"
79,B,Gosh.,B|Gosh.
80,M,"I,","M|I,"
81,B,"I guess,","B|I guess,"
82,M,She wasn't?,M|She wasn't?
83,B,that's fantastic.  Yeah,B|that's fantastic.  Yeah
84,M,I have a high school friend who has a job.,M|I have a high school friend who has a job.
85,B,"Well, I enjoyed talking to you too, good luck and don't spend any money this weekend","B|Well, I enjoyed talking to you too, good luck and don't spend any money this weekend"
86,M,"Well, I have fun with you.","M|Well, I have fun with you."
87,B,"Oh, boy.","B|Oh, boy."
88,M,I have no idea what you're talking about,M|I have no idea what you're talking about
89,B,Bye.,B|Bye.
