,Speaker,Utterance,Unified
5,B,"So,","B|So,"
6,M,"So, how's it","M|So, how's it"
7,B,Um.,B|Um.
8,M,You don't.,M|You don't.
9,B,"Oh, yeah.","B|Oh, yeah."
10,M,"u bealphem, the girl plays the piano.","M|u bealphem, the girl plays the piano."
11,B,Uh-huh.,B|Uh-huh.
12,M,"Well, it's always been the song that he listens to.","M|Well, it's always been the song that he listens to."
13,B,"Oh, they did?","B|Oh, they did?"
14,M,"I am the one who sings, my son.","M|I am the one who sings, my son."
15,B,"How did, How did they get involved in that?","B|How did, How did they get involved in that?"
16,M,"Well, we've got a lot of people who've been involved in the production of this song.","M|Well, we've got a lot of people who've been involved in the production of this song."
17,B,Uh-huh.,B|Uh-huh.
18,M,Did they read it in the newspapers?,M|Did they read it in the newspapers?
19,B,"Oh, how fun.","B|Oh, how fun."
20,M,"No, I'm married and my wife is a teacher.","M|No, I'm married and my wife is a teacher."
21,B,Uh-huh.,B|Uh-huh.
22,M,Huh. I did not know that.,M|Huh. I did not know that.
23,B,"Um, uh-huh, um. Yeah, yeah, that's nice. You say have your four year old taking lessons already?","B|Um, uh-huh, um. Yeah, yeah, that's nice. You say have your four year old taking lessons already?"
24,M,It's a good time.,M|It's a good time.
25,B,"And, uh, who do you have her, or him, take it from?","B|And, uh, who do you have her, or him, take it from?"
26,M,"Uuhuh, um.","M|Uuhuh, um."
27,B,Uh-huh.,B|Uh-huh.
28,M,"You know, uh, have you seen my handwriting?","M|You know, uh, have you seen my handwriting?"
29,B,Uh-huh.,B|Uh-huh.
30,M,Oh yeah? Uh huh?,M|Oh yeah? Uh huh?
31,B,Oh.,B|Oh.
32,M,"Um, uh, yeah, I'm pretty good with piano.","M|Um, uh, yeah, I'm pretty good with piano."
33,B,Uh-huh.,B|Uh-huh.
34,M,"You can't say that, you know.","M|You can't say that, you know."
35,B,Yeah. Yeah.,B|Yeah. Yeah.
36,M,I can do that,M|I can do that
37,B,"Well, because my,","B|Well, because my,"
38,M,"I'm a bot, you're a bot.","M|I'm a bot, you're a bot."
39,B,Pardon me?,B|Pardon me?
40,M,It's been a while since I've seen a musical.,M|It's been a while since I've seen a musical.
41,B,"Uh-huh. Uh-huh. Well, I have an eight and a half year old daughter who's taking piano lessons and started out at the age of just turning five","B|Uh-huh. Uh-huh. Well, I have an eight and a half year old daughter who's taking piano lessons and started out at the age of just turning five"
42,M,So what's your opinion on musicals?,M|So what's your opinion on musicals?
43,B,"because she wanted, you know, she just seemed to enjoy it so much and now my, my four year old, four and a half year old daughter is, is trying to imitate her older sister and wanting to play and she actually does some very nice chording just naturally. She just,","B|because she wanted, you know, she just seemed to enjoy it so much and now my, my four year old, four and a half year old daughter is, is trying to imitate her older sister and wanting to play and she actually does some very nice chording just naturally. She just,"
44,M,,M|
45,B,"So I wasn't sure when to start her. I didn't want to push her too early, either, but, uh, kind of had a mixed feelings about that scene.","B|So I wasn't sure when to start her. I didn't want to push her too early, either, but, uh, kind of had a mixed feelings about that scene."
46,M,I don't.,M|I don't.
47,B,Uh-huh Yeah.,B|Uh-huh Yeah.
48,M,,M|
49,B,Yeah.,B|Yeah.
50,M,"She says, but she says no.","M|She says, but she says no."
51,B,"Uh-huh, uh-huh. Yeah, I think she'd like to, I just don't know if it's really, knowing from what my daughter has gone through, she's, she learned a lot and, of course, it was something she had to keep relearning if she ever got away from it.","B|Uh-huh, uh-huh. Yeah, I think she'd like to, I just don't know if it's really, knowing from what my daughter has gone through, she's, she learned a lot and, of course, it was something she had to keep relearning if she ever got away from it."
52,M,Yes.,M|Yes.
53,B,"It was something easily forgotten. So, uh, I don't know if she's any farther ahead than those kids who started when they were eight or, or should I say seven. I mean, she's not a gifted pianist in the sense that she's going to excel just naturally. She does have to really work at it, but, uh, so,","B|It was something easily forgotten. So, uh, I don't know if she's any farther ahead than those kids who started when they were eight or, or should I say seven. I mean, she's not a gifted pianist in the sense that she's going to excel just naturally. She does have to really work at it, but, uh, so,"
54,M,,M|
55,B,"Yeah, but, so I'm kind of, you know, just playing with it, but at this point we're going to kind of wait, I think just more for the financial reasons of it anyway but,","B|Yeah, but, so I'm kind of, you know, just playing with it, but at this point we're going to kind of wait, I think just more for the financial reasons of it anyway but,"
56,M,,M|
57,B,Yeah.,B|Yeah.
58,M,"I'm not really, it's expensive","M|I'm not really, it's expensive"
59,B,Yeah.,B|Yeah.
60,M,But you?,M|But you?
61,B,"Uh-huh. Oh, that's good.","B|Uh-huh. Oh, that's good."
62,M,She smiles back.,M|She smiles back.
63,B,"Well, as a piano teacher, do you have any feelings for kids who come from a Suzuki method, have you had any former Suzuki students?","B|Well, as a piano teacher, do you have any feelings for kids who come from a Suzuki method, have you had any former Suzuki students?"
64,M,"Well, I'm a piano student.","M|Well, I'm a piano student."
65,B,"I was wondering how,","B|I was wondering how,"
66,M,"Because, I have no idea what you're talking about.","M|Because, I have no idea what you're talking about."
