A:	Exactly.
M:	They were being deported to the Philippines for questioning.
A:	Uh-huh, and it just pertained to that
M:	
A:	I know at this, I know I feel like I would never do that with my parents either, you know. But I, I really feel bad for the people I see not very, I'm not really, really experienced but like I said I just have that one family, and I just really feel bad for the guy who his whole life is different now and, than he thought it would be. But,
M:	I know.
A:	but we could find one.
M:	What?! No.
A:	Uh-huh, uh-huh. They do list, um, you know, list the fat,
M:	...
A:	Yeah. What did they name him?
M:	It's too late.
A:	Yep. And then, you know, if you can put your cocoa in with your cornstarch if you wanted to. The cocoa even seems to thicken it even more.
M:	I bought it used, and then the year after, I bought a new one.
A:	that's why I have so many different levels of P C around at the moment.
M:	Have, have you?
A:	Yeah.
M:	
A:	Sure. Yeah.
M:	Not much, but they have some
A:	Uh-huh, uh-huh.
M:	I don't,
A:	everybody seems to be, you can tell some of the newscasters when they like the heat, because they'll talk about it being so gorgeous on those days when we're melting, and you can tell when they talk about beautiful weather some mornings when we're, it'll be too cold, and they'll say, well those are the ones that like the cold weather.
M:	Do you have a bridge to sell?
A:	You know, besides what, besides what they learn, uh, from, from our social environment is, uh, their education is just amazing. Kids are, kids are learning, uh, you know, their math is just, every year, uh, algebra goes down a grade, you know, and, and, uh, students learn it earlier.
M:	Yeah, I read.
A:	Upstate New York, yeah.
M:	Why is it so wet?
A:	That's right.
M:	We do?
A:	and, uh, also, uh, in one of my wife's, uh, companies where she worked, they'd had a real nice profit sharing plan that, that,
M:	So.what do you think?
