A:	oh, sure, yeah.
M:	wait. you don't need insurance for a month?
A:	you do these fun things, you know, in other kinds of ways and i know manhattan's real expensive but, um, it's kind of a different situation because you're probably living in an apartment, right?
M:	i can teach you how to do it.
A:	i like that. and then, uh, my husband, he just, uh, subscribed to a wood, he just started a woodwork so he just sent away to get some woodworking books.
M:	are
A:	three and a two year old.
M:	you're not the only one.
A:	no, i'm not.
M:	she's got a degree in economics, she's got plenty of money.
A:	yeah. you know, i think people can be persuaded one way or another. i've never seriously ran into someone, i mean like, other than my priest, you know, who definitely says you can't take a, you know, you can't take anyone's life. uh, anyone that is like so against it that you couldn't persuade them in any instance.
M:	it was all a lie
A:	huh.
M:	uhhh, you had a friend?
A:	it's very easy to.
M:	you.
A:	oh, i never heard of that.
M:	i know. i'm in east texas.
A:	um.
M:	so... i guess i should
A:	oh, that's a, those are beautiful.
M:	she's not that old, she's a year old now
A:	yeah.
M:	you're a big guy.
A:	yeah.
M:	yeah.
A:	and i'm saying let's move right on
M:	i'm just saying, you know.
A:	uh-huh.
M:	i love how is the idea of course they have a bunch of the military spending, military spending money.
A:	uh-huh.
M:	you're so... meh
A:	uh,
M:	you were the dog.
A:	you bet even back then
M:	i mean, you can do that anyway.
A:	the only thing i know that you can recycle is milk jugs.
M:	that's not how it works.
A:	right. that will,
M:	are you
A:	that,
M:	what are you, a murderer?
A:	every time you, they could buy their way out.
M:	yea. that is pretty much what it is.
A:	so.
M:	it's good
A:	uh-huh, so.
M:	i'm not sure if you're saying we can do it, but we can
A:	that's right. that's right. uh-huh.  uh-huh.  takes a lot of room.
M:	nope. just don't know what to use it on.
A:	oh, yeah. i, i, i don't agree with that at all.
M:	it's a good.it's a good thing.
A:	there you go. did you have a hard time getting used to, do you feel like you live in an isolated area or,
M:	uhm... do you have any kids?
A:	course, and i like sugar, too, that's that's a problem,
M:	you mean, like, your husband?
A:	i think that discourages a lot of people.
M:	i know.and, we live in an old house.but, i'm in a house with a nice, clean, quiet place.
A:	oh, i can imagine, what did he shoot him with.
M:	i like swinging.
A:	in africa was the men and women and, and had nothing to do with that, and it's huge over there. so i, i, you know, and it's beginning, other countries that's what's his point. this was an international, conference where people are saying, well, but in my country it's, you know, like this.
M:	i played drums for a band once.
A:	and it takes about four to five cans to fill up a air conditioning unit in a car, and i, i thought about that, and my husband even was kind of woozy after that because i'm sure he breathed it
M:	it's a pretty common law, the ny state law is pretty common
A:	yeah, he makes good money too doing that, you'd be i was shocked, but anyway, someone gave an iranian a tip of four rangers tickets last year,
M:	oh yeah. we're gonna have a deer.
A:	yeah, we have. we . we did, we whirlwinded through, europe.
M:	well, in a small town in a rich region of england.
A:	uh-huh.
