B:	yeah and spend a day doing that's really neat. i mean it's not a lot because you're just doing a house at a time but you know every little bit helps.
M:	
B:	oh is that right?
M:	but uh they're so fast.
B:	yeah there's just too many crazy people out there these days.
M:	uhhh did you go to the e o?
B:	yeah.
M:	yeah true
B:	oh yeah.
M:	... is she?
B:	oh boy.
M:	yup we have a few fish that are uh pretty rare.
B:	so what's a guy to do?
M:	yeah my daughter graduated from high school.
B:	and they're they've been doing a lot of that in the area.
M:	uhhh talk to me you know.
B:	well that sounds kind of dumb.
M:	oh uh huh.
B:	and i know it there is it's very easy to get uh uh you know there's no restrictions whatsoever on hunting rifles and shotguns and things like that  which aren't the i i don't consider to be the kind of crime uh  weapon you know
M:	
B:	uh-huh uh-huh. uh-huh.
M:	we could have
B:	uh-huh uh-huh. yeah. oh wow. we like the stuff that glitters
M:	well you know i'm not a crazy person.
B:	yeah.  i could see that then maybe.
M:	ugh no.
B:	the basics. right. yeah. that's what we do too.
M:	well i have two dogs and a cat.
B:	uh it there's some trees like the oaks like the white oaks seem to be pretty hardy. there's nothing bothers them. their leaves are still green and some of the other oaks. there are a few oaks that have lost their leaves. um what i notice mostly is the red maples that the leaves are just dead the dogwoods still look still look you know they got uh bit on the ends of the leaves a little bit but they still look pretty good.
M:	 and
B:	hello.
M:	i'm sure it's been a long time.
B:	on the other hand you sure you know they sure created a a wonderful breed i mean a wonderful breed.
M:	i'm... i'm not sure you know how it works.
B:	and you're more receptive.
M:	uhm... i'm not sure if you're asking me but i can try.
B:	but i don't know. he he's he the only thing he's shown interest in wanting to play is the drums cause his my brother plays and um i don't i don't know if he's really serious about it yet or not you know it's just one of those things i'm just going to wait and see if he's interested in something you know.
M:	i'm sorry i don't know.
B:	and uh i read it and really liked it and then about that is when it really got big. and uh so i
M:	what's wrong?
B:	to okay. and i don't know what the solution is.
M:	i mean we've had some stuff like that but we're not really the most common kind of people.
B:	i'm trying to think. both um let's see they start um evening shade at seven and then it goes to um what is it after evening um
M:	i'm gonna have to try this. i don't have any friends that play golf.
B:	i only have one other person i know in my in my group here that works where the wife stays home and that's because of religious values as well. they're baptists and they and they think that's important.
M:	
B:	oh okay. well they're having a lot of recruiting this week in all the different areas. that's why i was just
M:	yeah it's pretty easy to find a stick shift car in america.
B:	hi.
M:	i'm so sorry
B:	but uh mine was a year old
M:	you're right. i think it's because it's a tomatos.
B:	and uh so that's the program that they're using there.
M:	you.
B:	uh-huh.
M:	have a good day!
B:	and what happened is is that people wanted this shepherd to shepherd and protect. and they bred a dog that i it's called a an animal's critical span which basically translates to how much shit will it take before it bites you. that german shepherd the american german shepherd here was a a a such an unreliable animal that the american seeing eye institute refused to use them because they would turn on on their handlers.
M:	oh.
B:	it was bred out of several different retrievers and they bred it for companionship and uh uh disposition and and ability to hunt. it was kept only by kings.
M:	uhh i would think it would be at least five in the evening.
B:	uh-huh.
M:	it's been a while huh?
B:	but we wanted one that could carry a lot of equipment. so we chose a nissan stanza wagon.
M:	travel expenses.
B:	well same here. thanks for calling.
M:	well i came from texas and my mother was from florida
B:	yeah yeah it it really is uh but gee this is of all the topics i have had i'm doing this thing this is kind of the strangest one.
M:	it is in fact the only thing that is not free is the service station.
B:	uh-huh.
M:	i wouldn't
B:	uh-huh
M:	he's not a big guy.
B:	yeah i have got some of those too cause i love flowers
M:	i don't know i don't really have any friends
B:	she doesn't have a brown nose and her she's sort of unicolor you know eyes are the same color and everything
M:	uhh... how?
B:	you just like i don't want that person sharing the earth with me you know i mean that is just terrible.
M:	you
B:	yeah. probably that's true. but i know a lot of their a lot of their specials sometimes are fried things that you can't really get away from the fried
M:	it's not.
B:	you have to cut each thing or you know use the melon baller and stuff but but i think they're really neat and you know i think they're worth the time you know because they
M:	the police have been known to do things.
B:	yeah. see i'm unfamiliar with that because i don't i never see that end of the business.
M:	yes.
B:	you too.
M:	i have the problem of the cat being in the same room
B:	well it was good talking to you too.
M:	oh it's not that bad.
B:	what about like those grocery bags?
M:	yeah but it's not the same.
B:	right. right.
M:	i
B:	and their economy is of several of the countries especially columbia is so built on the on on the drugs that uh our our little war on drugs has really been laughable. it's just a you know such a small amount and it it just it uh cuts off just a trickle and uh if if we can't get a handle on that through some through some uh method i don't know where that will be another big problem.
M:	it's the same as how we treat everyone else.
B:	really? huh oh yeah that's true hadn't thought about that. that is very inconvenient.
M:	hey thanks for the time.
B:	yeah well he's he's out for cardboard.
M:	i think the point of this is that it makes people think it's a good idea to buy drugs.
B:	i know they lost yeah to washington and philadelphia.
M:	they are on the rise in the area.
B:	uh but
M:	why would you do that?
B:	it was same time period yes.
M:	yeah she likes to eat.
B:	well i guess i better go.
M:	i have the.
B:	it would get snatched right off your arm
M:	i'm?
B:	so i guess that makes it easy to recycle and then they're they're uh trying to make plastic goods that don't have a bunch of different plastics in them you know that are that are only made out of one kind of plastic so that that makes it easier i guess.
M:	i think you mean family.
B:	yeah.
M:	what if they can't afford it?
B:	me too.
M:	i don't have any money.
B:	uh-huh.
M:	you
B:	uh-huh.
M:	the appeal is that it takes a year or so to get to the next appeal.
B:	yeah.
M:	i'll
B:	yeah.
M:	state of minnesota.
B:	very old uh historical place there.
