M:	Yes,
A:	Well, I have this new fondue pot and I was going to do basic cheese fondue, and I have two different kinds of breads and some ham and I was going to try something weird which, you know, when you have fish au gratin, I was going to make some, uh, like fish chunks and dip it in the fondue. I don't know if it will come out.
M:	I
A:	Yeah, the cheese fondue I make, some people like swiss, um, I prefer cheddar. And I'll mix, I won't make, I won't have a sharp cheddar because it, for fondue I think it should be a little calmer than real sharp, cheddar.
M:	'
A:	And then I was going to make other things like potato skins.
M:	what?
A:	see you don't necessarily have to dip this stuff. And, um, I was going to have broccoli and cauliflower for a, a vegetable.
M:	That sounds good.
A:	Oh, yeah, it's amazing how vegetables trays will go at a party.
M:	I think it's more that I have more of a vegetable
A:	Yeah, instead of something greasy or,
M:	I like to eat it with my
A:	my, uh, girlfriends do catering and they always, about every party they do is they have a vegetable tray. I think they try and suggest it.
M:	I'm not sure what you mean by that, but I do.
A:	What I've been doing when I get invited someplace and bring something, I make, uh, food kabobs. You take little toothpicks and cut up, uh, pineapple and strawberry, and even banana if you can do it just before you leave.
M:	I can make you eat a lot of food, uh, food.
A:	It stays nice and fresh.
M:	Well, it's nice to have some food, uh, and... food.
A:	Yeah. Yeah, I like those
M:	You
A:	Um, they, they made a couple of those, uh, they made one for my, uh, bridal shower and I was pretty pleased. I never made one for myself though. But they look easy enough to make it's not,
M:	They are good.
A:	Yeah.
M:	Oh.yeah.but it would, um, be very, uh, difficult to make a thread
A:	Yeah, you probably get this, probably pretty sticky after you get done.
M:	I know
A:	Then you've got to drain the water out of the watermelon because, you know, when you scrape it, it makes the water.
M:	Yeah, I've never used the water pump, but I've heard that you can use the pump to get out the water.
A:	Yeah, um, something I do is a fruit, is, I'll get, um, make chocolate sauce and dip strawberries and bananas in them. Yeah, I have two nieces and they, they they go melt some chocolate chips, Go buy me some strawberries.
M:	Nope, I don't.
A:	Yeah, you know, if you get a sweet strawberry they're much better, but if you get a sour strawberry,
M:	I know
A:	Huh. Yeah, no, they, um, the strawberries are coming in season now from , they're, they're coming up from Florida, of course. I live in Vermont, so. But they're really reasonably priced, they're coming up from Florida, so.
M:	So, coming
A:	Yeah.
M:	Are they?
A:	Yeah, I think the, uh, actually I think they get, um, some of them from South America.
M:	,...
A:	Yep, they, a lot of, um, of a, um, winter produce comes from South America.
M:	I think they have, uh, some, uhm, winter produce coming from south America.
A:	Of course, their seasons are switched.
M:	You, uh, might want to check your math.
A:	So, um, do you want to discuss the recipe?
M:	They do, but I'm not sure about how much they're worth.
A:	I have a recipe if you want
M:	I'm not sure.
A:	Um, it filled , a lot of people try to stay away from this but I make my own homemade pudding just because I don't like box pudding.
M:	I think you should be careful.
A:	Yeah, it, and it if you, um, well, first of all I take about a quarter and a half of milk and I put it in a two quart saucepan and you put it on a really low heat.
M:	Wait, what?
A:	And you want to use one of your good sauce pans that dissipate the heat because it, it ends up burning, I mean, no matter how careful you are you still might get a film on the bottom of the pot.
M:	I
A:	I don't let that worry me. And I get the milk lukewarm and then I pour about a half a cup of cornstarch in it and I have this thing it's called the slender blender, it, it makes the, uh, it makes, uh, a whip topping out of milk if you get the milk cold enough. It's, uh, I don't know, they're called moo goo leaves or something they're
M:	
A:	Yeah. They're real neat.
M:	you
A:	I think they're real reasonably priced, some of them, they used to be a hundred dollars and they used to whip skim milk into a dessert but I didn't get that one, I got the Black and Decker kind. But, uh, it's real handy because it doesn't have a cord and you beat this cornstarch right into the the milk, you know, and it does an excellent job, or just hand beat it. I guess you could use a hand mixer but I don't think it I don't think it gets it good enough.
M:	.
A:	And then before the milk gets too hot, um, I add two beaten eggs and I really mix them in good. And then about a half a cup of sugar and I let it pretty much, I beat it like every minute for about ten seconds and it's, it starts thickening, when it thickens the cornstarch might get a little, I don't know, it gets like little globs of this rubbery cornstarch, and you just keep beating it in. And it's the, the trick is, is to have this blender, so, if you were, you'd have to probably almost go out and someone who's just going to make it first time, it's, you'll have much better luck if you had one of these little blenders. And then you can add cocoa powder to it to make chocolate or after it's thickened I cook it for a good, once it starts boiling, I just, I cook it for a good seven minutes, seven to ten minutes
M:	laughs
A:	and then you can make chocolate or you can take it off and let it cool you put, um, really good vanilla favoring in it and some butter and that makes french vanilla, um, custard. Yeah,
M:	 defic
A:	A chocolate powder.
M:	.
A:	Yeah, that cocoa, yeah, the unsweetened. It comes in like a real dark can,
M:	Is that a real cocoa powder?
A:	our mothers used to use it. And then,
M:	It's not even cocoa powder. It's chocolate.
A:	Yeah, we all used to,
M:	i used to eat that stuff.Tis a good source of vitamin c
A:	yeah , it's the unsweetened kind it's not like Nestles Quik.
M:	What is unsweet tea?
A:	I suppose you could use that.
M:	Yeah, I'm not a fan of the taste
A:	Yeah, but, um,
M:	Cooked chocolate is so good
A:	Well, I used to make the regular pudding, the chocolate and put it in the pie shell and if it would sit in the refrigerator for a day, where you cut the pie, it would soak into the pie shell and it was like red, and I'm like, oh, this is kind of groedy .
M:	What does it taste like?
A:	Um, actually I found it in one of my mother's, um, homemade cookbooks, I mean, something she had collected out of WOMAN'S DAY or something.
M:	... did you?
A:	So,
M:	What's?
A:	I think you couldn't make it with a hand whisk or, or a regular beater but, um,
M:	A hand whisk?
A:	Yeah, but I still think a beater would do it good enough, um, the trick is to get the cornstarch,
M:	Beats me. I'm not a fan of that kind of stuff.
A:	um, yeah , right in the, in the lukewarm milk. Sometimes I put the cornstarch in a separate bowl and I would put it in the sink and I'll take my lukewarm milk and put it in the cornstarch and beat it good. It seems to be better than putting the, the cornstarch into the liquid it, once it hits the top of the liquid it seems to make little balls and stuff on the top.
M:	You
A:	Yeah. And I'll do this, uh, sometimes I'll put my after I pour that into my, back into my saucepan. I'll put the eggs in the same dish and beat them up and then pour the cornstarch and the milk mixture in the egg. So,
M:	my.
A:	Yep. And then, you know, if you can put your cocoa in with your cornstarch if you wanted to. The cocoa even seems to thicken it even more.
M:	the.
A:	Because by the vanilla doesn't seem to thicken as well as the, sometimes the cocoa is like, my husband really likes it thick he says, I can stick the spoon right in this.
M:	The,
A:	Because I'm always worrying it won't firm up because it, when you take it out of the saucepan it's like, boy, I hope this thickens a little more because it's not like real package thick, you know, when you cook a package, it's, it's a little less,
M:	I.
A:	but I put it in a nice glass bowl and, um, some people don't like that, that, film on the pudding so you can put, uh, Saran Wrap over the top.
M:	I think, I like, in, a, so,
A:	And then once the pudding starts cooling it makes little balls of water on the Saran Wrap, so, when you pull the Saran Wrap back, you sort of should be a little careful, pull it back and shake the water off the Saran Wrap and I might put it back on. But, um,
M:	I
A:	Yeah, after, well when it starts steaming a lot, uh, I definitely, yeah, put it in the refrigerator,
M:	Yeah, uh, yeah, yeah
A:	but, um, I, my father always told me if you put hot food in your refrigerator you're going to make it work too hard.
M:	I'll be back.
A:	That's , yeah,
