B:	yeah  i i new york does not
M:	you new new york?
B:	but uh they're they're trying to reinstate it and the governor's opposed to it being that uh the democrat that he is  and mario cuomo
M:	i uh i don't know i'm not i guess.
B:	but the state legislatures are more and more coming to supporting it.
M:	uhhh yeah.
B:	i'd i would agree with that even more i don't know if this is cold and too pragmatically but i'm really offended  by the thought that i have to support  uh just the existence of you know murder rapist  you know  right that uh after they've gone and done horrible things molested children and kill  them whatever that society has to pay uh upwards  uh thirty thousand dollars a year to incarcerate them.
M:	you
B:	right.
M:	 helicop. iadays'stoo.'s.venge....ithat
B:	i i don't know
M:	 and.
B:	it's a hard question you look at the united states we have the largest murder rate of any developed uh
M:	it's a joke because the united states is in the middle of the list.
B:	or uh
M:	or uh i don't know.
B:	here in new york it's a lot harder than that uh
M:	ughololol
B:	it takes uh it takes almost six months to get uh handgun permit in this state.
M:	i have been
B:	now the the and that's with uh you have to have uh oh a police investigation you have to  have references
M:	the uh you have uh.. you have been uh... banned from.
B:	and i know because a friend of mine wanted to get one and listed me as a reference uh
M:	i know uh i know
B:	and i know it there is it's very easy to get uh uh you know there's no restrictions whatsoever on hunting rifles and shotguns and things like that  which aren't the i i don't consider to be the kind of crime uh  weapon you know
M:	...
B:	uh so
M:	i know
B:	right.
M:	nuh
B:	right.
M:	are you sure?
B:	yeah yeah
M:	you're right it's just that they say that
B:	well and the thing with bundy was though he escaped
M:	yeah and the way he got out of prison was a little different than the way you did.
B:	and then
M:	and i was with him
B:	yeah
M:	did you ever escape?
B:	and did it again and uh
M:	i just saw it.
B:	no.
M:	he did
B:	uh-huh.
M:	no. i see someone's mini
B:	oh god.
M:	and he got the first man to behead a man.
B:	great.
M:	i did. it was great.
B:	surely  there's and end to the situation.
M:	there is no end to the injustice of the death penalty.
B:	right.
M:	you're welcome.
B:	uh-huh.
M:	you don't
B:	right.
M:	we
B:	rome new york  it's up state it it's uh near syracuse
M:	what city
B:	it's about uh well i i actually live in a village of sylvan beach i work in rome uh
M:	i uh live in uh... i live in rome uh
B:	it's more rural
M:	where are you?
B:	uh it use to be use to be a uh uh have a lot of heavy industry
M:	uhm what's that?
B:	but it's kind of uh all the industry has gone south
M:	uuhhhh.uh.uh is a verb uuh.u is a noun.
B:	and uh now the air force is the largest employer in the uh area and uh uh  so it's   not too bad
M:	i uh uh.now uh uuuuuuuuugghhhhhh
B:	it you know you still have the uh more drug problems and typical  uh small city type problems
M:	it's uh not like we're uh... a uh.
B:	but i don't know that there's a real uh
M:	well that's not good.
B:	no there isn't the harsh crime and all.
M:	it's the real crime.
B:	uh-huh.   uh-huh.
M:	that's uh uh. uh and uh is uh.
B:	right.
M:	i love it.
B:	i think i think pennsylvania may have just reenacted it because i'm from uh  from pennsylvania also just uh just outside  of philadelphia
M:	pennsylvania.
B:	yeah.
M:	wait
B:	right.
M:	yeah i don't know.
B:	the west part of the state is and then the east part of the state has got all the bleeding hearts and all the welfare cases so.
M:	where is the west part of florida?
B:	right.
M:	so what part of texas are you from?
B:	right.
M:	i'm not sure you know what the word opinion means.
B:	sure.
M:	i think everyone agrees.
B:	yeah
M:	that's a pretty common thing.
B:	if your friends or family got uh had that happen to them i think everyone would i they'd  probably pull the trigger themselves or flip the switch themselves and with a smile on their face  as they did it.
M:	i don't think so i'm not sure what the reason is.
B:	yeah.   right.
M:	
B:	right. right.
M:	
B:	well uh i uh yeah i don't know i think the old gas chamber seems to be about the most painless because i guess it's a pretty  pretty rough thing to be uh electrocuted.
M:	i don't think.
B:	oh yeah an injection
M:	i don't think it's so much a punishment as it is a process of execution.
B:	yeah that would be even yeah i didn't even think about that.
M:	oh yeah uh no
B:	i think
M:	there is no way i think the us is the only country that have the ratio of people to each other.
B:	yeah there's more that don't have it but amazingly it's like uh massachusetts went back  and reinstated capital punishment oh maybe six or seven years ago
M:	there's more of a difference between this and the death penalty
B:	i don't know if they've used it since then since they've reinstated it but uh it's on the books.
M:	not sure if you're aware but the federal prison system is a federal crime.
B:	right.
