,response,context,context/0,context/1,context/2,context/3
0,"Yeah, I, I, New York does not","Rome, New York, okay, well, Texas, let me look at my husband and ask him, to some one else in Yes, they do He's reminding me of where I live, yeah.","Rome, New York, yeah.","In where Rome , New York?","I'm in Rome, New York.","Okay, there's one, uh, I meant living in Texas, where you at?"
1,Uh-huh.,"Yeah, I, I, New York does not","Rome, New York, okay, well, Texas, let me look at my husband and ask him, to some one else in Yes, they do He's reminding me of where I live, yeah.","Rome, New York, yeah.","In where Rome , New York?","I'm in Rome, New York."
2,"but, uh, they're, they're trying to reinstate it and the governor's opposed to it being that, uh, the Democrat that he is,  and Mario Cuomo",Uh-huh.,"Yeah, I, I, New York does not","Rome, New York, okay, well, Texas, let me look at my husband and ask him, to some one else in Yes, they do He's reminding me of where I live, yeah.","Rome, New York, yeah.","In where Rome , New York?"
3,Uh-huh. Yes.,"but, uh, they're, they're trying to reinstate it and the governor's opposed to it being that, uh, the Democrat that he is,  and Mario Cuomo",Uh-huh.,"Yeah, I, I, New York does not","Rome, New York, okay, well, Texas, let me look at my husband and ask him, to some one else in Yes, they do He's reminding me of where I live, yeah.","Rome, New York, yeah."
4,but the state legislatures are more and more coming to supporting it.,Uh-huh. Yes.,"but, uh, they're, they're trying to reinstate it and the governor's opposed to it being that, uh, the Democrat that he is,  and Mario Cuomo",Uh-huh.,"Yeah, I, I, New York does not","Rome, New York, okay, well, Texas, let me look at my husband and ask him, to some one else in Yes, they do He's reminding me of where I live, yeah."
5,"Yeah, I, uh, I ethically don't like the idea but, or I should say morally I don't like the idea, but, uh, social and ethics, socially and ethically I think it's a good idea, in certain crimes.",but the state legislatures are more and more coming to supporting it.,Uh-huh. Yes.,"but, uh, they're, they're trying to reinstate it and the governor's opposed to it being that, uh, the Democrat that he is,  and Mario Cuomo",Uh-huh.,"Yeah, I, I, New York does not"
6,"I'd, I would agree, with that even more, I don't know if this is cold and too pragmatically but I'm really offended,  by the thought that I have to support,  uh, just the existence of, you know, murder, rapist,  you know,  right, that, uh, after they've gone and done horrible things, molested children, and kill,  them whatever, that, society has to pay, uh, upwards , uh, thirty thousand dollars a year to incarcerate them.","Yeah, I, uh, I ethically don't like the idea but, or I should say morally I don't like the idea, but, uh, social and ethics, socially and ethically I think it's a good idea, in certain crimes.",but the state legislatures are more and more coming to supporting it.,Uh-huh. Yes.,"but, uh, they're, they're trying to reinstate it and the governor's opposed to it being that, uh, the Democrat that he is,  and Mario Cuomo",Uh-huh.
7,"Uh-huh. Uh-huh. Right, any ,  on the street, no, I know. Uh-huh. Yeah, and Texas is having a problem right now and it's, the, the, the, the, the I think that's the, the repeat crimes and the repeat offenders is happening down here where they're, they're patrol, the state patrol board is letting people walk that have done, oh, heinous things from from killing police officers to, I mean just multiple, you know, molestations to murders of children, just, you know, really bad things and they're get, these people are getting out like three to five years before they're even suppose to be considered,","I'd, I would agree, with that even more, I don't know if this is cold and too pragmatically but I'm really offended,  by the thought that I have to support,  uh, just the existence of, you know, murder, rapist,  you know,  right, that, uh, after they've gone and done horrible things, molested children, and kill,  them whatever, that, society has to pay, uh, upwards , uh, thirty thousand dollars a year to incarcerate them.","Yeah, I, uh, I ethically don't like the idea but, or I should say morally I don't like the idea, but, uh, social and ethics, socially and ethically I think it's a good idea, in certain crimes.",but the state legislatures are more and more coming to supporting it.,Uh-huh. Yes.,"but, uh, they're, they're trying to reinstate it and the governor's opposed to it being that, uh, the Democrat that he is,  and Mario Cuomo"
8,Right.,"Uh-huh. Uh-huh. Right, any ,  on the street, no, I know. Uh-huh. Yeah, and Texas is having a problem right now and it's, the, the, the, the, the I think that's the, the repeat crimes and the repeat offenders is happening down here where they're, they're patrol, the state patrol board is letting people walk that have done, oh, heinous things from from killing police officers to, I mean just multiple, you know, molestations to murders of children, just, you know, really bad things and they're get, these people are getting out like three to five years before they're even suppose to be considered,","I'd, I would agree, with that even more, I don't know if this is cold and too pragmatically but I'm really offended,  by the thought that I have to support,  uh, just the existence of, you know, murder, rapist,  you know,  right, that, uh, after they've gone and done horrible things, molested children, and kill,  them whatever, that, society has to pay, uh, upwards , uh, thirty thousand dollars a year to incarcerate them.","Yeah, I, uh, I ethically don't like the idea but, or I should say morally I don't like the idea, but, uh, social and ethics, socially and ethically I think it's a good idea, in certain crimes.",but the state legislatures are more and more coming to supporting it.,Uh-huh. Yes.
9,"and now, they can't find them and they're finding bodies in you know, I mean, you think why they say it's because you're over crowd, it's over crowded, and you think how is, is everybody that stupid or is the world really that rotten",Right.,"Uh-huh. Uh-huh. Right, any ,  on the street, no, I know. Uh-huh. Yeah, and Texas is having a problem right now and it's, the, the, the, the, the I think that's the, the repeat crimes and the repeat offenders is happening down here where they're, they're patrol, the state patrol board is letting people walk that have done, oh, heinous things from from killing police officers to, I mean just multiple, you know, molestations to murders of children, just, you know, really bad things and they're get, these people are getting out like three to five years before they're even suppose to be considered,","I'd, I would agree, with that even more, I don't know if this is cold and too pragmatically but I'm really offended,  by the thought that I have to support,  uh, just the existence of, you know, murder, rapist,  you know,  right, that, uh, after they've gone and done horrible things, molested children, and kill,  them whatever, that, society has to pay, uh, upwards , uh, thirty thousand dollars a year to incarcerate them.","Yeah, I, uh, I ethically don't like the idea but, or I should say morally I don't like the idea, but, uh, social and ethics, socially and ethically I think it's a good idea, in certain crimes.",but the state legislatures are more and more coming to supporting it.
10,"I, I don't know,","and now, they can't find them and they're finding bodies in you know, I mean, you think why they say it's because you're over crowd, it's over crowded, and you think how is, is everybody that stupid or is the world really that rotten",Right.,"Uh-huh. Uh-huh. Right, any ,  on the street, no, I know. Uh-huh. Yeah, and Texas is having a problem right now and it's, the, the, the, the, the I think that's the, the repeat crimes and the repeat offenders is happening down here where they're, they're patrol, the state patrol board is letting people walk that have done, oh, heinous things from from killing police officers to, I mean just multiple, you know, molestations to murders of children, just, you know, really bad things and they're get, these people are getting out like three to five years before they're even suppose to be considered,","I'd, I would agree, with that even more, I don't know if this is cold and too pragmatically but I'm really offended,  by the thought that I have to support,  uh, just the existence of, you know, murder, rapist,  you know,  right, that, uh, after they've gone and done horrible things, molested children, and kill,  them whatever, that, society has to pay, uh, upwards , uh, thirty thousand dollars a year to incarcerate them.","Yeah, I, uh, I ethically don't like the idea but, or I should say morally I don't like the idea, but, uh, social and ethics, socially and ethically I think it's a good idea, in certain crimes."
11,I know.,"I, I don't know,","and now, they can't find them and they're finding bodies in you know, I mean, you think why they say it's because you're over crowd, it's over crowded, and you think how is, is everybody that stupid or is the world really that rotten",Right.,"Uh-huh. Uh-huh. Right, any ,  on the street, no, I know. Uh-huh. Yeah, and Texas is having a problem right now and it's, the, the, the, the, the I think that's the, the repeat crimes and the repeat offenders is happening down here where they're, they're patrol, the state patrol board is letting people walk that have done, oh, heinous things from from killing police officers to, I mean just multiple, you know, molestations to murders of children, just, you know, really bad things and they're get, these people are getting out like three to five years before they're even suppose to be considered,","I'd, I would agree, with that even more, I don't know if this is cold and too pragmatically but I'm really offended,  by the thought that I have to support,  uh, just the existence of, you know, murder, rapist,  you know,  right, that, uh, after they've gone and done horrible things, molested children, and kill,  them whatever, that, society has to pay, uh, upwards , uh, thirty thousand dollars a year to incarcerate them."
12,"it's a hard question, you look at the United States, we have the largest murder rate of any developed, uh,",I know.,"I, I don't know,","and now, they can't find them and they're finding bodies in you know, I mean, you think why they say it's because you're over crowd, it's over crowded, and you think how is, is everybody that stupid or is the world really that rotten",Right.,"Uh-huh. Uh-huh. Right, any ,  on the street, no, I know. Uh-huh. Yeah, and Texas is having a problem right now and it's, the, the, the, the, the I think that's the, the repeat crimes and the repeat offenders is happening down here where they're, they're patrol, the state patrol board is letting people walk that have done, oh, heinous things from from killing police officers to, I mean just multiple, you know, molestations to murders of children, just, you know, really bad things and they're get, these people are getting out like three to five years before they're even suppose to be considered,"
13,"And then,","it's a hard question, you look at the United States, we have the largest murder rate of any developed, uh,",I know.,"I, I don't know,","and now, they can't find them and they're finding bodies in you know, I mean, you think why they say it's because you're over crowd, it's over crowded, and you think how is, is everybody that stupid or is the world really that rotten",Right.
14,"or, uh,","And then,","it's a hard question, you look at the United States, we have the largest murder rate of any developed, uh,",I know.,"I, I don't know,","and now, they can't find them and they're finding bodies in you know, I mean, you think why they say it's because you're over crowd, it's over crowded, and you think how is, is everybody that stupid or is the world really that rotten"
15,"I don't know how Americans are about handguns but, uh, yesterday a lady I work with just told me today that, uh, in the state capitol here in Austin, Texas, they had been, uh, looking at a bill, uh, making it easier to accept the bill to access, to access handguns and they passed it, which basically means without an F B I check any person here in this state over twenty-one can get a gun","or, uh,","And then,","it's a hard question, you look at the United States, we have the largest murder rate of any developed, uh,",I know.,"I, I don't know,"
16,"Here in New York it's a lot harder than that, uh","I don't know how Americans are about handguns but, uh, yesterday a lady I work with just told me today that, uh, in the state capitol here in Austin, Texas, they had been, uh, looking at a bill, uh, making it easier to accept the bill to access, to access handguns and they passed it, which basically means without an F B I check any person here in this state over twenty-one can get a gun","or, uh,","And then,","it's a hard question, you look at the United States, we have the largest murder rate of any developed, uh,",I know.
17,"Is it, that's good.","Here in New York it's a lot harder than that, uh","I don't know how Americans are about handguns but, uh, yesterday a lady I work with just told me today that, uh, in the state capitol here in Austin, Texas, they had been, uh, looking at a bill, uh, making it easier to accept the bill to access, to access handguns and they passed it, which basically means without an F B I check any person here in this state over twenty-one can get a gun","or, uh,","And then,","it's a hard question, you look at the United States, we have the largest murder rate of any developed, uh,"
18,"it takes, uh, it takes almost six months to get, uh, handgun permit, in this state.","Is it, that's good.","Here in New York it's a lot harder than that, uh","I don't know how Americans are about handguns but, uh, yesterday a lady I work with just told me today that, uh, in the state capitol here in Austin, Texas, they had been, uh, looking at a bill, uh, making it easier to accept the bill to access, to access handguns and they passed it, which basically means without an F B I check any person here in this state over twenty-one can get a gun","or, uh,","And then,"
19,"Say, that good, I think that's, like the state of Virginia, yeah, that's great.","it takes, uh, it takes almost six months to get, uh, handgun permit, in this state.","Is it, that's good.","Here in New York it's a lot harder than that, uh","I don't know how Americans are about handguns but, uh, yesterday a lady I work with just told me today that, uh, in the state capitol here in Austin, Texas, they had been, uh, looking at a bill, uh, making it easier to accept the bill to access, to access handguns and they passed it, which basically means without an F B I check any person here in this state over twenty-one can get a gun","or, uh,"
20,"Now, the, the, and that's with, uh, you have to have, uh, oh, a police investigation, you have to,  have references,","Say, that good, I think that's, like the state of Virginia, yeah, that's great.","it takes, uh, it takes almost six months to get, uh, handgun permit, in this state.","Is it, that's good.","Here in New York it's a lot harder than that, uh","I don't know how Americans are about handguns but, uh, yesterday a lady I work with just told me today that, uh, in the state capitol here in Austin, Texas, they had been, uh, looking at a bill, uh, making it easier to accept the bill to access, to access handguns and they passed it, which basically means without an F B I check any person here in this state over twenty-one can get a gun"
21,Uh-huh.,"Now, the, the, and that's with, uh, you have to have, uh, oh, a police investigation, you have to,  have references,","Say, that good, I think that's, like the state of Virginia, yeah, that's great.","it takes, uh, it takes almost six months to get, uh, handgun permit, in this state.","Is it, that's good.","Here in New York it's a lot harder than that, uh"
22,"and I know, because a friend of mine wanted to get one and listed me as a reference uh,",Uh-huh.,"Now, the, the, and that's with, uh, you have to have, uh, oh, a police investigation, you have to,  have references,","Say, that good, I think that's, like the state of Virginia, yeah, that's great.","it takes, uh, it takes almost six months to get, uh, handgun permit, in this state.","Is it, that's good."
23,Uh-huh.,"and I know, because a friend of mine wanted to get one and listed me as a reference uh,",Uh-huh.,"Now, the, the, and that's with, uh, you have to have, uh, oh, a police investigation, you have to,  have references,","Say, that good, I think that's, like the state of Virginia, yeah, that's great.","it takes, uh, it takes almost six months to get, uh, handgun permit, in this state."
24,"and I know it, there is, it's very easy to get, uh, uh, you know, there's no restrictions, whatsoever, on hunting rifles and shotguns and things like that,  which aren't the, I, I don't consider to be the kind of crime, uh,  weapon, you know,",Uh-huh.,"and I know, because a friend of mine wanted to get one and listed me as a reference uh,",Uh-huh.,"Now, the, the, and that's with, uh, you have to have, uh, oh, a police investigation, you have to,  have references,","Say, that good, I think that's, like the state of Virginia, yeah, that's great."
25,"Uh-huh. Right, they're no, the cattiness behind, right, yeah,","and I know it, there is, it's very easy to get, uh, uh, you know, there's no restrictions, whatsoever, on hunting rifles and shotguns and things like that,  which aren't the, I, I don't consider to be the kind of crime, uh,  weapon, you know,",Uh-huh.,"and I know, because a friend of mine wanted to get one and listed me as a reference uh,",Uh-huh.,"Now, the, the, and that's with, uh, you have to have, uh, oh, a police investigation, you have to,  have references,"
26,"uh, so,","Uh-huh. Right, they're no, the cattiness behind, right, yeah,","and I know it, there is, it's very easy to get, uh, uh, you know, there's no restrictions, whatsoever, on hunting rifles and shotguns and things like that,  which aren't the, I, I don't consider to be the kind of crime, uh,  weapon, you know,",Uh-huh.,"and I know, because a friend of mine wanted to get one and listed me as a reference uh,",Uh-huh.
