A:	that are sometimes so dumb
B:	always yes ma'am.
A:	yeah. yeah.
B:	right.
A:	it's an eighty-nine and i bought it uh in uh eighty-eight so yeah.
B:	i like mysteries.
A:	they're pretty neat little i've never seen one.
B:	and they do a lot of things to themselves that that we really don't want our young people to be doing
A:	and myself i guess.
B:	an experiment.
A:	which makes her i guess unshowable even if she had papers which she doesn't
B:	uh-huh uh-huh. yeah. see there
A:	uh-huh. really oh that would be
B:	right. my middle child needs to have uh orthodontic he's because his his pallet is squared not rounded.
A:	yeah.
B:	i i've always had this one of the reasons i like just to pick up magazines in other fields is that you seem to get a very different perspective.
A:	um you know he would come home and and you know after the trial was over he came home and told us what was going on and of course then they had to go back to you know after he had to go
B:	and even um uh police corps which started you know finding other breeds to use because this thing this this thing known as a german shepherd here its personality and its dependability and its reliability was just terrible. so about fifteen years ago the german shepherd club of america decided amongst themselves that they were going to change this. so they went back to europe and brought back some good examples of each of the three breeds and bred to a standard what they wanted an american german shepherd to be. which is a very heavily now skutzhund and alsatian
A:	i mean you know it was bare dirt in a lot of places
B:	but
A:	or so what do you think? should they uh should young americans be forced to do a year of service?
B:	uh-huh. right.
A:	uh-huh.
B:	all right.
A:	yeah.
B:	oh yes.
A:	hi ed.
B:	it's a it's a tough question. it really is. i guess if i had to say yes or no i would say you know yes. i i would have to lean toward capital punishment you know for certain crimes.
A:	and you know gardening isn't isn't high on the list but it's not off the list.
B:	oh that's nice.
A:	yeah.
B:	and many times i've seen on trials they have on t v the jury will make a recommendation as to leniency or as to the death penalty or whatever but i think that it should be up to the judge and the uh lawyers to make the decision as to what the actual penalty will be.
A:	what sort of company do you work for? do you work for a big or a little place?
B:	uh-huh.
A:	she was she was third out of a class of two hundred and twenty so it can be done.
B:	well i was from illinois originally and i grew up a bear fan. and uh then we moved here even when we knew we were being transferred here we became cowboy fans.
A:	uh-huh.
B:	yeah.
A:	just from city to city then .
B:	or they on their within the own uh society it can vary.
A:	yeah okay i just thought they had some
B:	but that's probably paying for things that were still owed from last time
A:	um we've been real happy with it.
B:	um.
A:	and now i'm a college educated builder there's still no work you know.
B:	oh do you? so you live in garland then.
A:	wow.
B:	well i guess i stand on uh on probably ten for no uh restrictions. i uh recently just moved to texas from uh south dakota and nebraska and i guess in terms of gun control i've always uh been raised with the uh idea in the constitution that uh citizens had a right to bear arms and i realize that probably way back when when the constitution was written it probably regarded uh more uh of a national defense uh than anything else but uh on the other hand too uh people then uh needed to use firearms for um survival in terms of uh food
A:	uh-huh.
B:	oh okay. you're going to commerce?
A:	and uh it seems to me that if you could just have a simple majority or something you could pretty much you know browbeat the jury  a majority in the of the a majority of the jury
B:	oh that's great uh-huh.
A:	yes. i know i know. the insurance.
B:	but um
A:	yeah uh-huh.
B:	uh do you mean businesses from the point of view as of of selling things to a consumer and  then being responsible for the sales tax? or purchasing.
A:	and i think you do accomplish more after that.
B:	oh that's wonderful. okay.
A:	yeah yeah well neither can i so i i i i i i did my service before and i'll do my little community service throughout but never  never for a year again.
B:	well i i'm a physician. uh  and as is my husband.
A:	i guess it it might would
B:	uh-huh.
