A:	i'll let you go first.
B:	oh, well, what's there to say? doesn't seem like it's being carried out very well in my opinion. seems like it takes so long between conviction and carrying out the penalty that i don't see that it makes any difference to sentence anybody.
A:	yeah, it seems like they could die of old age waiting to get the death penalty.
B:	yeah.
A:	yeah, i know what you mean. um, i, in maryland they, they do have capital punishment,
B:	uh-huh.
A:	and, uh, i've seen, uh, a lot of people get convicted, sentenced, and then just nothing happens,  just endless, endless, endless appeals.
B:	yeah. uh-huh, well from what i i saw a statistic just a few days ago, um, so far this year, or was it during the last year, during a year's time, i think it was they executed twenty-five people in the nation. meanwhile, there were twenty-five hundred people on death row. so i, i, and it's building up, you know, they're, they're convicting them faster than they're executing them so it's really building up.
A:	yeah, what's amazing is some of them have been on death row for a number of years.
B:	uh-huh.
A:	and, uh, here in maryland i know we have a real problem with overcrowding in prisons, uh, just,
B:	yeah, everybody's got that.
A:	yeah, but i mean, in, here it's, uh, to the point where they were letting prisoners go. uh, commuting the sentences of those that were in, in jail for lesser crimes,  in order to put more people in, into the jails.
B:	uh-huh. yeah. uh-huh.
A:	and it was just, uh, amazing to me, and of course they made a big deal out of the, the few that got out and turned around and committed a crime within five days of getting out,  and being rearrested an.
B:	yeah. isn't, isn't maryland where the famous willy horton case was.
A:	uh, i can't remember. refresh my memory.
B:	it was, uh, that was the one that was used so much in the campaign. in the in the presidential race. uh, may, it may not have been maryland. it may have been massachusetts, i don't remember.
A:	um, i don't remember myself.
B:	anyway, well the question is, you know, do you think, it does make a difference in whether or not a criminal commits a crime or do you think it can if it's done right?
A:	um, i think if they, if they started executing them on a regular basis, uh, that i think it might make a difference. right now,  i don't see it making a difference.
B:	if it,
A:	i don't see someone not going out there and committing murder because they're afraid they're going to get sentenced to death. i mean,  most people out there committing murders don't care.
B:	uh-huh
A:	they just don't care.
B:	yeah. well i think in large measure the reason they don't care, it's not because the punishment, but so many of the people that commit crimes don't get punished.
A:	yeah.
B:	the police don't catch them, or the courts don't convict them, or, or they don't serve very much of the time and so, uh, you know, their, their success rate is very high. crime does pay, you can make a good living at it.
