,response,context,context/0,context/1,context/2,context/3
0,"I'm not sure what the steps to take, but I think that, uh.",Yeah.,"I don't know, there's, there's big bins out there, I don't know if they ever get I, I really don't know what the details are. There should be someplace where you could call and find out. As a matter of fact, I'm pretty sure there's a place you can call and find out the closest, you know, thing to you, but, I think there should be some kind of curbside service.","The recycling program here is just terrible. I mean it's hard to find places to go. I mean, Kroger does a couple things. They, I don't think they, do they do newspapers?","So what do you think about, uh, recycling programs in Atlanta, Julie?","I don't believe that we're,"
1,!!!%!! Remind me.,"That's the only way I could really,",Yeah.,"I don't know, there's, there's big bins out there, I don't know if they ever get I, I really don't know what the details are. There should be someplace where you could call and find out. As a matter of fact, I'm pretty sure there's a place you can call and find out the closest, you know, thing to you, but, I think there should be some kind of curbside service.","The recycling program here is just terrible. I mean it's hard to find places to go. I mean, Kroger does a couple things. They, I don't think they, do they do newspapers?","So what do you think about, uh, recycling programs in Atlanta, Julie?"
2,!!!;!!%!! Remind me of that.,"The one in Florida is so cool because they pick up everything. They pick up newspapers and, uh, you know, milk jugs and aluminum and tin cans, you know, like soup comes in and stuff.","That's the only way I could really,",Yeah.,"I don't know, there's, there's big bins out there, I don't know if they ever get I, I really don't know what the details are. There should be someplace where you could call and find out. As a matter of fact, I'm pretty sure there's a place you can call and find out the closest, you know, thing to you, but, I think there should be some kind of curbside service.","The recycling program here is just terrible. I mean it's hard to find places to go. I mean, Kroger does a couple things. They, I don't think they, do they do newspapers?"
3,"And then they also have like, uh a little float where you can bring stuff in and, you, you go and you get it out and they just, they, they have like a little display where you have to, you have your money in your wallet, and then they, you just pay five dollars for it.",Uh-huh.,"The one in Florida is so cool because they pick up everything. They pick up newspapers and, uh, you know, milk jugs and aluminum and tin cans, you know, like soup comes in and stuff.","That's the only way I could really,",Yeah.,"I don't know, there's, there's big bins out there, I don't know if they ever get I, I really don't know what the details are. There should be someplace where you could call and find out. As a matter of fact, I'm pretty sure there's a place you can call and find out the closest, you know, thing to you, but, I think there should be some kind of curbside service."
4,"Oh, that's great.",They pick up everything.,Uh-huh.,"The one in Florida is so cool because they pick up everything. They pick up newspapers and, uh, you know, milk jugs and aluminum and tin cans, you know, like soup comes in and stuff.","That's the only way I could really,",Yeah.
5,Uh.,"During the summers, like the, around where I live the, uh, homeless people I mean, they all have like shopping carts and stuff",They pick up everything.,Uh-huh.,"The one in Florida is so cool because they pick up everything. They pick up newspapers and, uh, you know, milk jugs and aluminum and tin cans, you know, like soup comes in and stuff.","That's the only way I could really,"
6,"and, uh.",Uh-huh.,"During the summers, like the, around where I live the, uh, homeless people I mean, they all have like shopping carts and stuff",They pick up everything.,Uh-huh.,"The one in Florida is so cool because they pick up everything. They pick up newspapers and, uh, you know, milk jugs and aluminum and tin cans, you know, like soup comes in and stuff."
7,Uh.,"and they're go around and collect cans and aluminum and stuff,",Uh-huh.,"During the summers, like the, around where I live the, uh, homeless people I mean, they all have like shopping carts and stuff",They pick up everything.,Uh-huh.
8,so they have a little recycling truck that they throw out and they have people come in and they pick it up.,Uh-huh.,"and they're go around and collect cans and aluminum and stuff,",Uh-huh.,"During the summers, like the, around where I live the, uh, homeless people I mean, they all have like shopping carts and stuff",They pick up everything.
9,"Uh, yeah.",and so we used to just save them up and then they'd come around and we'd give them to them.,Uh-huh.,"and they're go around and collect cans and aluminum and stuff,",Uh-huh.,"During the summers, like the, around where I live the, uh, homeless people I mean, they all have like shopping carts and stuff"
