,Speaker,Utterance,Unified
5,M,"Yeah, I like that.","M|Yeah, I like that."
6,A,Yeah.,A|Yeah.
7,M,"I like a variety, I like a good, uh, uh","M|I like a variety, I like a good, uh, uh"
8,A,"But not all country. I don't like that, when they start,","A|But not all country. I don't like that, when they start,"
9,M,"Uh, that's true.","M|Uh, that's true."
10,A,I don't know. I just like Willie Nelson I guess because he's such a character.,A|I don't know. I just like Willie Nelson I guess because he's such a character.
11,M,Uh-huh.,M|Uh-huh.
12,A,Yeah.,A|Yeah.
13,M,"And, uh,","M|And, uh,"
14,A,My truck is broken down.,A|My truck is broken down.
15,M,and I know.,M|and I know.
16,A,Yeah.,A|Yeah.
17,M,"So, uh, you're right, I think that, uh you know that, you have to have some, uh a commitment on, uh  rehabilitation and, and, you don't want somebody that's addicted or whatever to, uh","M|So, uh, you're right, I think that, uh you know that, you have to have some, uh a commitment on, uh  rehabilitation and, and, you don't want somebody that's addicted or whatever to, uh"
18,A,"There, there's a guy, have you ever heard of George Winston, he plays piano.","A|There, there's a guy, have you ever heard of George Winston, he plays piano."
19,M,"Oh, okay.","M|Oh, okay."
20,A,"I think he's dead now, but he plays wonderfully.","A|I think he's dead now, but he plays wonderfully."
21,M,"Yeah, I, I like, I think that was one of the most, um, I don't know, I guess, the most consistently, um.","M|Yeah, I, I like, I think that was one of the most, um, I don't know, I guess, the most consistently, um."
22,A,I like that.,A|I like that.
23,M,"Yeah, he's, uh, he was a really interesting character.","M|Yeah, he's, uh, he was a really interesting character."
24,A,"Very badly. I've got a piano,","A|Very badly. I've got a piano,"
25,M,"Uh, well, I, I do, I have a, a brother-in-law who, uh, plays the piano.","M|Uh, well, I, I do, I have a, a brother-in-law who, uh, plays the piano."
26,A,"my mother got a piano and, uh, vowed that someone in the family was going to learn, so we all had to take lessons, and I was the one that did the least poorly, so she gave it to me. And it's sitting here mostly taking up space, but sometimes it makes you feel good to sit down and play it. It is real relaxing.","A|my mother got a piano and, uh, vowed that someone in the family was going to learn, so we all had to take lessons, and I was the one that did the least poorly, so she gave it to me. And it's sitting here mostly taking up space, but sometimes it makes you feel good to sit down and play it. It is real relaxing."
27,M,That's great.,M|That's great.
28,A,Yeah.,A|Yeah.
29,M,"So, I'm not, I don't know, I, I just, I guess I, you just have to be aware of what you're doing and, and how you're going to do it and it's not always the best method.","M|So, I'm not, I don't know, I, I just, I guess I, you just have to be aware of what you're doing and, and how you're going to do it and it's not always the best method."
30,A,"Oh, so do I.","A|Oh, so do I."
31,M,"and I, and so, and it's, it's just like, it, it was just like I was just listening to a story about, about the, the, uh the great depression, and how it got so bad and how we can't fix it anymore, and, and everything like that.","M|and I, and so, and it's, it's just like, it, it was just like I was just listening to a story about, about the, the, uh the great depression, and how it got so bad and how we can't fix it anymore, and, and everything like that."
32,A,Forgot about that.,A|Forgot about that.
33,M,"Yeah. Yeah, well, I'm, I mean I like to listen to some of the Christian music, but I don 'ever like to, uh you know to, listen to it that much.","M|Yeah. Yeah, well, I'm, I mean I like to listen to some of the Christian music, but I don 'ever like to, uh you know to, listen to it that much."
34,A,"I said so do I, I forgot about jazz","A|I said so do I, I forgot about jazz"
35,M,"Oh, okay.","M|Oh, okay."
36,A,"Yes, we've got about five of those. I love them.","A|Yes, we've got about five of those. I love them."
37,M,Yeah.,M|Yeah.
38,A,Uh-huh. I'd never heard them before until I went in a music store and you know how you put the headphones on and listen to it,A|Uh-huh. I'd never heard them before until I went in a music store and you know how you put the headphones on and listen to it
39,M,"Uh, yeah, I've, I'm a big baseball fan, so I always like to listen to that.","M|Uh, yeah, I've, I'm a big baseball fan, so I always like to listen to that."
40,A,"and I just, I heard a piece and it was just so wonderful.","A|and I just, I heard a piece and it was just so wonderful."
41,M,"Oh, that's great.","M|Oh, that's great."
42,A,And then even my eleven year old boy loves to listen to it.,A|And then even my eleven year old boy loves to listen to it.
43,M,Uh-oh.,M|Uh-oh.
44,A,Yeah.,A|Yeah.
45,M,"but,","M|but,"
46,A,"I mean you can just sit, you know those little booklets that come along with it","A|I mean you can just sit, you know those little booklets that come along with it"
47,M,"Yeah, yeah.","M|Yeah, yeah."
48,A,and you can just see the things that they're trying to show with music.,A|and you can just see the things that they're trying to show with music.
49,M,"Yeah, yeah.","M|Yeah, yeah."
50,A,"My, my little boy has gotten so into it that he's identified the, the people that have written certain songs, then he buys the pieces that have that person. You know, on it.","A|My, my little boy has gotten so into it that he's identified the, the people that have written certain songs, then he buys the pieces that have that person. You know, on it."
51,M,Right.,M|Right.
52,A,Huh?,A|Huh?
53,M,"So, it's, it is a real problem.","M|So, it's, it is a real problem."
54,A,"I mean, I don't even know who did which ones, but he does.","A|I mean, I don't even know who did which ones, but he does."
55,M,"Oh, yeah.","M|Oh, yeah."
56,A,Yeah.,A|Yeah.
57,M,"And, uh.","M|And, uh."
58,A,Were you in the band?,A|Were you in the band?
59,M,"Yeah, I was.","M|Yeah, I was."
60,A,So was I.,A|So was I.
61,M,"so I was pretty close to being in the marching band when I got into high school,","M|so I was pretty close to being in the marching band when I got into high school,"
62,A,Yeah.,A|Yeah.
63,M,"so I, I like to listen to it and I also like the new stuff, you know,","M|so I, I like to listen to it and I also like the new stuff, you know,"
64,A,Yeah.,A|Yeah.
65,M,"He plays in the band with, uh","M|He plays in the band with, uh"
66,A,I like the Moody Blues. Did you like them?,A|I like the Moody Blues. Did you like them?
67,M,"Oh, yeah.","M|Oh, yeah."
68,A,"So what type, Simply Red, I've never heard of that. Is it just instrumental?","A|So what type, Simply Red, I've never heard of that. Is it just instrumental?"
69,M,"Well, it's, uh it's kind of, uh music, uh","M|Well, it's, uh it's kind of, uh music, uh"
70,A,Yeah.,A|Yeah.
71,M,And then you can just listen to the instrumental.,M|And then you can just listen to the instrumental.
72,A,Yeah.,A|Yeah.
73,M,"But, uh.","M|But, uh."
74,A,"Well my husband is telling me we have to hit the road We're going to go to Commerce and see a friend. And, then I'm going to go to Sulphur Springs.","A|Well my husband is telling me we have to hit the road We're going to go to Commerce and see a friend. And, then I'm going to go to Sulphur Springs."
75,M,"Oh, really?","M|Oh, really?"
76,A,"Yeah, where are you?","A|Yeah, where are you?"
77,M,I'm in Plano.,M|I'm in Plano.
78,A,Okay. So we're in Garland.,A|Okay. So we're in Garland.
79,M,Uh-huh.,M|Uh-huh.
80,A,Yeah,A|Yeah
81,M,"Okay, well, we have a daughter in Texas, and she's, um, she's in the national curriculum, and, uh, she took the national one and she took it, and I took it with me, and then, um I took the one with me also, and it's just the same thing. I don't know, I donno, I, I think I'd have to take the advice, you know, from a, a, an English major to a, to a university, and see how they treat them, you're, you don't have to have a, you have to be an expert to get in on subjects like that, and you have, you've got to be a good student to get an idea of what a subject is.","M|Okay, well, we have a daughter in Texas, and she's, um, she's in the national curriculum, and, uh, she took the national one and she took it, and I took it with me, and then, um I took the one with me also, and it's just the same thing. I don't know, I donno, I, I think I'd have to take the advice, you know, from a, a, an English major to a, to a university, and see how they treat them, you're, you don't have to have a, you have to be an expert to get in on subjects like that, and you have, you've got to be a good student to get an idea of what a subject is."
82,A,"Yeah, yeah.","A|Yeah, yeah."
83,M,Okay.,M|Okay.
84,A,"Just because there's a friend up there, not because there's much else","A|Just because there's a friend up there, not because there's much else"
85,M,Uh-huh.,M|Uh-huh.
86,A,For colleges?,A|For colleges?
87,M,Uh-huh.,M|Uh-huh.
88,A,"Well, they're not","A|Well, they're not"
89,M,"but,","M|but,"
90,A,"They're not going to recruit me anymore, I'm through. No more for me.","A|They're not going to recruit me anymore, I'm through. No more for me."
91,M,"Oh, okay.","M|Oh, okay."
92,A,"What, what do you do?","A|What, what do you do?"
93,M,I'm a nurse.,M|I'm a nurse.
94,A,Are you going to go to East Texas for that?,A|Are you going to go to East Texas for that?
95,M,Yeah.,M|Yeah.
96,A,"That'd probably be pretty interesting. I was summonsed down to the courthouse last week. They had summonsed eight hundred people, about four hundred showed up, and it was for a murder trial.","A|That'd probably be pretty interesting. I was summonsed down to the courthouse last week. They had summonsed eight hundred people, about four hundred showed up, and it was for a murder trial."
97,M,"Oh, really?","M|Oh, really?"
98,A,"This guy had supposedly, uh, strangled this woman and stuffed cotton toweling down her throat and up her nose Anyway, this is happened in nineteen eighty-three.","A|This guy had supposedly, uh, strangled this woman and stuffed cotton toweling down her throat and up her nose Anyway, this is happened in nineteen eighty-three."
99,M,Huh.,M|Huh.
100,A,And they had us fill out a long questionnaire. We stayed till about one thirty and they're going to call the ones that they're interested in from the questionnaire two to three at a time and the trial won't take place until June.,A|And they had us fill out a long questionnaire. We stayed till about one thirty and they're going to call the ones that they're interested in from the questionnaire two to three at a time and the trial won't take place until June.
101,M,"Uh-hauhuh, uh.","M|Uh-hauhuh, uh."
