,Speaker,Utterance,Unified
5,M,"So,","M|So,"
6,A,Right.,A|Right.
7,M,"But, uh, we do use them. Uh, I'm not really sure how they compare to the American Express, but they're, uh they're similar.","M|But, uh, we do use them. Uh, I'm not really sure how they compare to the American Express, but they're, uh they're similar."
8,A,"Uh-huh, uh-huh. And what kinds of things do you use it for when you when you go to their houses to them?","A|Uh-huh, uh-huh. And what kinds of things do you use it for when you when you go to their houses to them?"
9,M,"Well, uh, we use it as, uh a way to, uh  get around.","M|Well, uh, we use it as, uh a way to, uh  get around."
10,A,Yeah.,A|Yeah.
11,M,"or, you know, they have office paper, uh.","M|or, you know, they have office paper, uh."
12,A,Oh.,A|Oh.
13,M,"And so, um.","M|And so, um."
14,A,Uh-huh.,A|Uh-huh.
15,M,"But, uh","M|But, uh"
16,A,Uh-huh.,A|Uh-huh.
17,M,"She, she, she is a teacher.","M|She, she, she is a teacher."
18,A,Great. Yeah.,A|Great. Yeah.
19,M,and I've got copies of both of those.,M|and I've got copies of both of those.
20,A,"Oh, sure.","A|Oh, sure."
21,M,"But, uh.","M|But, uh."
22,A,Yeah.,A|Yeah.
23,M,"but, uh I haven't used it much lately.","M|but, uh I haven't used it much lately."
24,A,"Uh-huh. Uh-huh. Yeah, well, I tell you once you get used to having them you, you get spoiled really quickly.","A|Uh-huh. Uh-huh. Yeah, well, I tell you once you get used to having them you, you get spoiled really quickly."
25,M,"Well, it's a, it is a hobby, but it's not like it used to be.","M|Well, it's a, it is a hobby, but it's not like it used to be."
26,A,"Uh,","A|Uh,"
27,M,"Well, I, I guess that's true.","M|Well, I, I guess that's true."
28,A,Oh.,A|Oh.
29,M,"and he had to, uh to write code in binary and, uh and, and then he just couldn't get around the computer.","M|and he had to, uh to write code in binary and, uh and, and then he just couldn't get around the computer."
30,A,Uh-huh.,A|Uh-huh.
31,M,"And he's been trying to get a couple of more and, and, uh he's, he's written a couple and, you know, he keeps threatening to write a couple more and he keeps on dying them","M|And he's been trying to get a couple of more and, and, uh he's, he's written a couple and, you know, he keeps threatening to write a couple more and he keeps on dying them"
32,A,Yeah.,A|Yeah.
33,M,"but, uh, I'm not really sure what they're going to do.","M|but, uh, I'm not really sure what they're going to do."
34,A,Right.,A|Right.
35,M,"but they're still, still, uh, you know, they still have a lot of appeal.","M|but they're still, still, uh, you know, they still have a lot of appeal."
36,A,"Yeah, yeah. Um, I I'm a, a writer by profession and, uh, when, when I was first here in, in Dallas or in Plano, um, and was finally able to, this is, oh, been like fourteen years ago we moved here. And I was finally able to afford a new typewriter, and I got an I B M Selectric. I thought I had died and gone to heaven because I thought, oh, they're so wonderful.","A|Yeah, yeah. Um, I I'm a, a writer by profession and, uh, when, when I was first here in, in Dallas or in Plano, um, and was finally able to, this is, oh, been like fourteen years ago we moved here. And I was finally able to afford a new typewriter, and I got an I B M Selectric. I thought I had died and gone to heaven because I thought, oh, they're so wonderful."
37,M,"I don't know, I, I'm kind of, I don't, I've kind of gotten out of the habit of, uh","M|I don't know, I, I'm kind of, I don't, I've kind of gotten out of the habit of, uh"
38,A,"Well, then, um,","A|Well, then, um,"
39,M,"!!!!,!! Remind me.","M|!!!!,!! Remind me."
40,A,"Yeah, ours really needs to have some work done on it but, but then my husband, um, worked at T I and I got a, um, this has been years ago he doesn't work there anymore, but he got a, um, uh, the, the T I professional and brought that home and I learned Wordstar on that,","A|Yeah, ours really needs to have some work done on it but, but then my husband, um, worked at T I and I got a, um, this has been years ago he doesn't work there anymore, but he got a, um, uh, the, the T I professional and brought that home and I learned Wordstar on that,"
41,M,Uh-huh.,M|Uh-huh.
42,A,"and, boy once that happened, there was just no way that I could ever go back to doing anything of length of the typewriter.","A|and, boy once that happened, there was just no way that I could ever go back to doing anything of length of the typewriter."
43,M,"Oh, yeah.","M|Oh, yeah."
44,A,Uh-huh.,A|Uh-huh.
45,M,!!!%!! translated!! translate!! english!!,M|!!!%!! translated!! translate!! english!!
46,A,"Yeah. Have you ever used, do you use WordPerfect ever? Have you ever used WordPerfect? Or,","A|Yeah. Have you ever used, do you use WordPerfect ever? Have you ever used WordPerfect? Or,"
47,M,"No, I haven't.","M|No, I haven't."
48,A,Uh-huh.,A|Uh-huh.
49,M,"But, uh, I haven't used it, I don't know, I just remember seeing an ad for it and thinking it was really great.","M|But, uh, I haven't used it, I don't know, I just remember seeing an ad for it and thinking it was really great."
50,A,Right.,A|Right.
51,M,"And it's really, it really is. I mean, I've, I can't remember what the name of it is, but it's like, uh, it was like, it had a hard-core type of thing, you know, like theakers and all that.","M|And it's really, it really is. I mean, I've, I can't remember what the name of it is, but it's like, uh, it was like, it had a hard-core type of thing, you know, like theakers and all that."
52,A,"Yeah, yeah. That's probably where you've used it.","A|Yeah, yeah. That's probably where you've used it."
53,M,"It's, it was really weird.","M|It's, it was really weird."
54,A,"Uh-huh. Yeah. Um, I have that on my, uh, computer here and also, um, I do some work at U T D and, uh, that's what they have there and it was just so nice to be able just to step into the position and, and already know the you know, already know the, the software. And, um, I don't know from my own experience, um, WordPerfect is just so much better than, than Wordstar at least the version of Wordstar that I used to have. It may be improved by now but,","A|Uh-huh. Yeah. Um, I have that on my, uh, computer here and also, um, I do some work at U T D and, uh, that's what they have there and it was just so nice to be able just to step into the position and, and already know the you know, already know the, the software. And, um, I don't know from my own experience, um, WordPerfect is just so much better than, than Wordstar at least the version of Wordstar that I used to have. It may be improved by now but,"
55,M,"Uh, yeah, I mean, it's, I'm not, I, I think it's been for a number of years, but, um.","M|Uh, yeah, I mean, it's, I'm not, I, I think it's been for a number of years, but, um."
56,A,"Yeah, it's, uh, Wordstar was never very intuitive to me. I mean you know, you, some of the commands just had nothing to do with, you know, what you were supposed to be doing what they, what they did on the computer but, uh,","A|Yeah, it's, uh, Wordstar was never very intuitive to me. I mean you know, you, some of the commands just had nothing to do with, you know, what you were supposed to be doing what they, what they did on the computer but, uh,"
57,M,"Right. I, I, um. I do know a little bit about it. I'm, I'm a computer scientist.","M|Right. I, I, um. I do know a little bit about it. I'm, I'm a computer scientist."
58,A,"I mean like going, um, forward and backward a word or up and down a line that sort of thing just, you know, didn't match with the kinds of keys, you were using.","A|I mean like going, um, forward and backward a word or up and down a line that sort of thing just, you know, didn't match with the kinds of keys, you were using."
59,M,"Uh, yeah.","M|Uh, yeah."
60,A,Yeah.,A|Yeah.
61,M,"and so, I mean, I was like, no, I don't know, I just go ahead and type it out, you're just like, okay, I'll sit down here and do it, you don't have to do it.","M|and so, I mean, I was like, no, I don't know, I just go ahead and type it out, you're just like, okay, I'll sit down here and do it, you don't have to do it."
62,A,"And, but WordPerfect is just a lot more intuitive in a lot of ways. And you, and it does a lot of things too that if you, if you do any kind of, uh, research or anything like that where you have to, uh, use footnotes, it is just wonderful. Because it keeps track of all your footnotes.","A|And, but WordPerfect is just a lot more intuitive in a lot of ways. And you, and it does a lot of things too that if you, if you do any kind of, uh, research or anything like that where you have to, uh, use footnotes, it is just wonderful. Because it keeps track of all your footnotes."
63,M,Right.,M|Right.
64,A,"Yeah, and if you add it, if you put a footnote in, in the middle, you know, if you come up with some new piece of documentation and you put that in the middle of your paper and have to footnote it, you just change, um, it just automatically changes all your footnoting numbers for you.","A|Yeah, and if you add it, if you put a footnote in, in the middle, you know, if you come up with some new piece of documentation and you put that in the middle of your paper and have to footnote it, you just change, um, it just automatically changes all your footnoting numbers for you."
65,M,Uh-huh.,M|Uh-huh.
66,A,"So, you know, it's just,","A|So, you know, it's just,"
67,M,!!!%!!;!! Remind me of that,M|!!!%!!;!! Remind me of that
68,A,"Yeah. Yeah. And I think about how it used to be if you were doing a paper and you had to go back and retype everything, and oh, it was just awful. So, um, I don't know I think we have just become really spoiled. But I think, it's a nice kind of way to be spoiled","A|Yeah. Yeah. And I think about how it used to be if you were doing a paper and you had to go back and retype everything, and oh, it was just awful. So, um, I don't know I think we have just become really spoiled. But I think, it's a nice kind of way to be spoiled"
69,M,"Yeah, I think so too.","M|Yeah, I think so too."
70,A,"So, um, well, I have not really paid much attention because I clock, although I think we've probably been talking at least ten minutes so, um, if you, um, unless you have some other things you want to talk about as having to do with P C","A|So, um, well, I have not really paid much attention because I clock, although I think we've probably been talking at least ten minutes so, um, if you, um, unless you have some other things you want to talk about as having to do with P C"
71,M,Uh-huh.,M|Uh-huh.
72,A,"Well, um, I was a technical writer for many years, um,","A|Well, um, I was a technical writer for many years, um,"
73,M,Uh-huh.,M|Uh-huh.
74,A,"and my husband and I actually met in a computer company. Um, I was a tech writer and he was an engineer. And, uh, so I did tech writing for a number of years.","A|and my husband and I actually met in a computer company. Um, I was a tech writer and he was an engineer. And, uh, so I did tech writing for a number of years."
75,M,Uh-huh.,M|Uh-huh.
76,A,"Oh, sure.","A|Oh, sure."
77,M,"So, uh.","M|So, uh."
78,A,"Got a problem, huh? Um,","A|Got a problem, huh? Um,"
79,M,"No, I, I do, uh","M|No, I, I do, uh"
80,A,"Oh. Trying to figure out what all that was about, huh?","A|Oh. Trying to figure out what all that was about, huh?"
81,M,"Yeah, the, the telephone.","M|Yeah, the, the telephone."
