,Speaker,Utterance,Unified
5,M,"Oh, really?","M|Oh, really?"
6,A,"His grandmother too and they're, that her son, his uncle, whatever, you know, anyway. He, he has, he's recently retired and so he's the one who she moved in with when she had a stroke and, and all the other children are working or whatever.","A|His grandmother too and they're, that her son, his uncle, whatever, you know, anyway. He, he has, he's recently retired and so he's the one who she moved in with when she had a stroke and, and all the other children are working or whatever."
7,M,"!!!!,!!%!!That's right.","M|!!!!,!!%!!That's right."
8,A,"They're all my parents age. And, uh, so he's got, you know, his retirement though is really twenty-four hours a day. They have a day care two days a week. They call it senior citizen day care. But she goes in the senior citizen center.","A|They're all my parents age. And, uh, so he's got, you know, his retirement though is really twenty-four hours a day. They have a day care two days a week. They call it senior citizen day care. But she goes in the senior citizen center."
9,M,Huh.,M|Huh.
10,A,So he gets a break two days a week but it's only for like two or three hours at a time.,A|So he gets a break two days a week but it's only for like two or three hours at a time.
11,M,Wow.,M|Wow.
12,A,"And, you know, just, you see a lot of things like you, you know, was a great golfer and wanted to play golf when he retired, and you know that a lot of the things he thought he would do when he retired he's not able to do now.","A|And, you know, just, you see a lot of things like you, you know, was a great golfer and wanted to play golf when he retired, and you know that a lot of the things he thought he would do when he retired he's not able to do now."
13,M,Yeah.,M|Yeah.
14,A,"But he refuses to consider any other, I don't,","A|But he refuses to consider any other, I don't,"
15,M,"Well, I think, I mean, there are so many other things that, uh, you just can't do, and, and I don's, I, I'm not really sure what the answer is.","M|Well, I think, I mean, there are so many other things that, uh, you just can't do, and, and I don's, I, I'm not really sure what the answer is."
16,A,"Yeah, and is that how your parents feel or,","A|Yeah, and is that how your parents feel or,"
17,M,Yeah.,M|Yeah.
18,A,Uh-huh.,A|Uh-huh.
19,M,She's not real good about keeping up with things.,M|She's not real good about keeping up with things.
20,A,Uh-huh.,A|Uh-huh.
21,M,"and she has two kids and they're, you know, they're grown and everything, but I mean they're still in school and I'm like, no, I won't, no","M|and she has two kids and they're, you know, they're grown and everything, but I mean they're still in school and I'm like, no, I won't, no"
22,A,"I know at this, I know I feel like I would never do that with my parents either, you know. But I, I really feel bad for the people I see not very, I'm not really, really experienced but like I said I just have that one family, and I just really feel bad for the guy who his whole life is different now and, than he thought it would be. But,","A|I know at this, I know I feel like I would never do that with my parents either, you know. But I, I really feel bad for the people I see not very, I'm not really, really experienced but like I said I just have that one family, and I just really feel bad for the guy who his whole life is different now and, than he thought it would be. But,"
23,M,"Yeah. I think that's a, that's probably true. I, you, you probably feel better, you don't you?","M|Yeah. I think that's a, that's probably true. I, you, you probably feel better, you don't you?"
24,A,"Yeah, and he's got, you know, seven brothers and sisters and, and, uh, he's the one because he's the one that isn't going to work every day and that she moved in with when she needed to move in with someone. And,","A|Yeah, and he's got, you know, seven brothers and sisters and, and, uh, he's the one because he's the one that isn't going to work every day and that she moved in with when she needed to move in with someone. And,"
25,M,"Oh, that's sad.","M|Oh, that's sad."
26,A,"Oh, well, that's great.","A|Oh, well, that's great."
27,M,Yeah.,M|Yeah.
28,A,"That's a good idea. We ought to, Yeah, and maybe when the other brothers and sisters retire or whatever, I don't know what they're going to do. It's really not my family. It's my fiancee's so I don't, I can't say much.","A|That's a good idea. We ought to, Yeah, and maybe when the other brothers and sisters retire or whatever, I don't know what they're going to do. It's really not my family. It's my fiancee's so I don't, I can't say much."
29,M,"Well, I know, uh.","M|Well, I know, uh."
30,A,"But I always feel like I would never put my parents in either and I wonder, I'm going to be the only sibling that isn't going to have children so if my parents do need to live with someone, it will probably be with me because all my brothers and sisters will be having teenagers around and everything to care for. You know,","A|But I always feel like I would never put my parents in either and I wonder, I'm going to be the only sibling that isn't going to have children so if my parents do need to live with someone, it will probably be with me because all my brothers and sisters will be having teenagers around and everything to care for. You know,"
31,M,Right.,M|Right.
32,A,"and I'm, I, that's fine with me. my fiancee and I both figure that's what's, we're going to end up with both of the parents or whoever. If You know what I mean? We feel like, it's our responsibility,","A|and I'm, I, that's fine with me. my fiancee and I both figure that's what's, we're going to end up with both of the parents or whoever. If You know what I mean? We feel like, it's our responsibility,"
33,M,Yeah.,M|Yeah.
34,A,"and I feel like I would never put them in a home. But I wonder how much, you know, if one of us is going to have to quit work someday or retire early or something.","A|and I feel like I would never put them in a home. But I wonder how much, you know, if one of us is going to have to quit work someday or retire early or something."
35,M,"Well, you, you would be surprised at how many people that are staying home, you'd think.","M|Well, you, you would be surprised at how many people that are staying home, you'd think."
