,Speaker,Utterance,Unified
5,M,Uh.,M|Uh.
6,A,and the discipline that my daughter receives now in going to school is just totally different.,A|and the discipline that my daughter receives now in going to school is just totally different.
7,M,"Oh, is it?","M|Oh, is it?"
8,A,"You know, you just, you did not see, I did not see anybody in my classrooms, when I was going to school, act up the way that kids do these days in the classroom.","A|You know, you just, you did not see, I did not see anybody in my classrooms, when I was going to school, act up the way that kids do these days in the classroom."
9,M,Yeah.,M|Yeah.
10,A,"Yeah, that's right, that's right.","A|Yeah, that's right, that's right."
11,M,"but, um,","M|but, um,"
12,A,"My, my daughter's in the, um, fourth grade","A|My, my daughter's in the, um, fourth grade"
13,M,Uh-huh.,M|Uh-huh.
14,A,"and, um, there's children in her classroom that just totally disrupt the classroom, where the teacher cannot teach","A|and, um, there's children in her classroom that just totally disrupt the classroom, where the teacher cannot teach"
15,M,"Uh, uh.","M|Uh, uh."
16,A,and when I went to school that just wasn't put up with.,A|and when I went to school that just wasn't put up with.
17,M,"Uh, yeah.","M|Uh, yeah."
18,A,"Uh-huh. Well, they, they just don't do that any more.","A|Uh-huh. Well, they, they just don't do that any more."
19,M,Yeah.,M|Yeah.
20,A,"But the school system's afraid of getting sued and, um, all sorts of lawsuits I'm sure because of things like that.","A|But the school system's afraid of getting sued and, um, all sorts of lawsuits I'm sure because of things like that."
21,M,"Yeah, yeah.","M|Yeah, yeah."
22,A,"And, I also believe we don't, even though I feel like I pay a good share towards the school system, that the teachers are still underpaid and we still don't have enough money towards put in toward public school.","A|And, I also believe we don't, even though I feel like I pay a good share towards the school system, that the teachers are still underpaid and we still don't have enough money towards put in toward public school."
23,M,Yeah.,M|Yeah.
24,A,"And, um, I think that if we had enough money and paid the teachers a little bit more, that maybe that could solve some of our problems.","A|And, um, I think that if we had enough money and paid the teachers a little bit more, that maybe that could solve some of our problems."
25,M,Yeah.,M|Yeah.
26,A,"Yes supposedly that's what it's suppose to go for, and you know, we'll just have to wait and see whether that's approved or not.","A|Yes supposedly that's what it's suppose to go for, and you know, we'll just have to wait and see whether that's approved or not."
27,M,"Well, that's good.","M|Well, that's good."
28,A,"You know, I don't know your feelings toward that. I guess we shouldn't get into that but, um, and what else, um, I think in some ways that they need to be more careful of the teachers that they hire.","A|You know, I don't know your feelings toward that. I guess we shouldn't get into that but, um, and what else, um, I think in some ways that they need to be more careful of the teachers that they hire."
29,M,"Well, I know, um.","M|Well, I know, um."
30,A,"I have heard stories, uh, from other parents that I know of, their children are in high school that teachers are out there giving drugs and selling drugs,","A|I have heard stories, uh, from other parents that I know of, their children are in high school that teachers are out there giving drugs and selling drugs,"
31,M,"Uh,","M|Uh,"
32,A,"Oh, yeah,","A|Oh, yeah,"
33,M,"I mean,","M|I mean,"
34,A,"I've, I've heard some horrible, horrible stories about high, high school teachers","A|I've, I've heard some horrible, horrible stories about high, high school teachers"
35,M,"Uh,","M|Uh,"
36,A,"and, you know, to be, be more careful of the teachers that we place in our school.","A|and, you know, to be, be more careful of the teachers that we place in our school."
37,M,"Uh, uh-hue.","M|Uh, uh-hue."
38,A,"Um, that's basically about all that I know that may be wrong with the school system. I think, with what they have to work with, I think they're doing a pretty good job right now.","A|Um, that's basically about all that I know that may be wrong with the school system. I think, with what they have to work with, I think they're doing a pretty good job right now."
39,M,Yeah.,M|Yeah.
40,A,"Uh-huh, so.","A|Uh-huh, so."
41,M,"So,","M|So,"
42,A,"Yeah, okay, so this is probably a real hard subject for you.","A|Yeah, okay, so this is probably a real hard subject for you."
43,M,Yeah.,M|Yeah.
44,A,"Yeah. Okay, well, I guess, um, we can discontinue our call now.","A|Yeah. Okay, well, I guess, um, we can discontinue our call now."
45,M,Okay.,M|Okay.
46,A,It was a joy in talking with you.,A|It was a joy in talking with you.
47,M,Thank you. Okay.,M|Thank you. Okay.
48,A,"Okay, thanks.","A|Okay, thanks."
49,M,Bye-bye.,M|Bye-bye.
50,A,Bye.,A|Bye.
