,Speaker,Utterance,Unified
5,M,Uh-huh.,M|Uh-huh.
6,A,"Well, there are a lot of things that people, I think general,","A|Well, there are a lot of things that people, I think general,"
7,M,Uh-huh.,M|Uh-huh.
8,A,"Well, I think it's interesting to look at, uh, where the money goes, and it goes a lot of places where it probably ought not go and and I don't think generally, I think what's interesting is that we probably represent the majority of people in this country in terms of their feelings about the government","A|Well, I think it's interesting to look at, uh, where the money goes, and it goes a lot of places where it probably ought not go and and I don't think generally, I think what's interesting is that we probably represent the majority of people in this country in terms of their feelings about the government"
9,M,Uh-huh.,M|Uh-huh.
10,A,and how it serves us given the extraordinarily large sum of money the government has to operate with.,A|and how it serves us given the extraordinarily large sum of money the government has to operate with.
11,M,Uh-huh.,M|Uh-huh.
12,A,"And that, what I think is going to be really interesting is what we do about it. I mean, we are going to have to change the people who represent us.","A|And that, what I think is going to be really interesting is what we do about it. I mean, we are going to have to change the people who represent us."
13,M,Right.,M|Right.
14,A,"I mean, and I think it's going to be real interesting to see and, and then force upon them, uh,","A|I mean, and I think it's going to be real interesting to see and, and then force upon them, uh,"
15,M,Yeah.,M|Yeah.
16,A,"Yeah, right that's I think that's the only thing that's going to change it.","A|Yeah, right that's I think that's the only thing that's going to change it."
17,M,"And I think the, uh","M|And I think the, uh"
18,A,"Our anger is going to have to, to give rise to, to more activity on our part.","A|Our anger is going to have to, to give rise to, to more activity on our part."
19,M,"I think that, uh.","M|I think that, uh."
20,A,"Uh, I've, I've said for years that there's full employment for the politically active and in our society, uh, there's very little full employment. Most people in this country are getting worse off, not better off.","A|Uh, I've, I've said for years that there's full employment for the politically active and in our society, uh, there's very little full employment. Most people in this country are getting worse off, not better off."
21,M,"Oh, yeah.","M|Oh, yeah."
22,A,"Eighty percent of the public, according to Bill Moyers', uh, recent, uh, piece for, uh, Public Broadcasting, which, by the way is a very good use of government money. I think P B S is wonderful. But this special focused on the fact that eighty percent of the people in this country are, are seeing their real incomes, and thus, standards of living, decline. And twenty percent are seeing theirs improve. That's not a formula for a better society.","A|Eighty percent of the public, according to Bill Moyers', uh, recent, uh, piece for, uh, Public Broadcasting, which, by the way is a very good use of government money. I think P B S is wonderful. But this special focused on the fact that eighty percent of the people in this country are, are seeing their real incomes, and thus, standards of living, decline. And twenty percent are seeing theirs improve. That's not a formula for a better society."
23,M,"No, no. It's not. It, it's, it is a formula that's, that's being used by politicians and by industry and by the public to their advantage.","M|No, no. It's not. It, it's, it is a formula that's, that's being used by politicians and by industry and by the public to their advantage."
24,A,And the government really plays a role in this.,A|And the government really plays a role in this.
25,M,Uh-huh.,M|Uh-huh.
26,A,"I mean, well, they are the people whose strings are pulled and by I guess powerful","A|I mean, well, they are the people whose strings are pulled and by I guess powerful"
27,M,Yeah.,M|Yeah.
28,A,"You know, and it's really interesting to see how that affects people because essentially more and more people in this country are not likely to revolt in the way that people used to think of, of the voter revolting. But people are pretty much getting the picture that some people get taken care of and others don't and they think it's unfair, and when they recognize that it's their tax money, they're going to do more about it. I I'll tell you one quick, uh, one thing very interesting. C B S, after the State of the Union address is going to open up a telephone line, an eight hundred number and people can call in and say what they think about what's going on in this country.","A|You know, and it's really interesting to see how that affects people because essentially more and more people in this country are not likely to revolt in the way that people used to think of, of the voter revolting. But people are pretty much getting the picture that some people get taken care of and others don't and they think it's unfair, and when they recognize that it's their tax money, they're going to do more about it. I I'll tell you one quick, uh, one thing very interesting. C B S, after the State of the Union address is going to open up a telephone line, an eight hundred number and people can call in and say what they think about what's going on in this country."
29,M,"Oh, I know.","M|Oh, I know."
30,A,"They expect, opening it for one hour, that they'll get three, hundred thousand telephone calls.","A|They expect, opening it for one hour, that they'll get three, hundred thousand telephone calls."
31,M,"Oh, goodness.","M|Oh, goodness."
