,Speaker,Utterance,Unified
5,M,"But, uh","M|But, uh"
6,A,Uh-huh. I agree with that.,A|Uh-huh. I agree with that.
7,M,"So, uh.","M|So, uh."
8,A,"I guess, I'm, I'm a student right now and I don't make a whole lot of money and, so, I, I kind of don't pay a proportionate amount of taxes to, I guess, uh, compared to what I get, because I, you know, all my, my education is state sponsored. I go to a state sponsored school and, uh, my education all up through high school and stuff, so I guess I'm kind of in debt, I, I suppose, because I don't, you know, been paying taxes all that, all that long. My parents, I guess, however, have contributed to that, you know, for the education side of it and everything, but, uh, I usually end up getting money back. I will this year anyway from a,","A|I guess, I'm, I'm a student right now and I don't make a whole lot of money and, so, I, I kind of don't pay a proportionate amount of taxes to, I guess, uh, compared to what I get, because I, you know, all my, my education is state sponsored. I go to a state sponsored school and, uh, my education all up through high school and stuff, so I guess I'm kind of in debt, I, I suppose, because I don't, you know, been paying taxes all that, all that long. My parents, I guess, however, have contributed to that, you know, for the education side of it and everything, but, uh, I usually end up getting money back. I will this year anyway from a,"
9,M,Yeah.,M|Yeah.
10,A,"Yeah, I am I need it, too, otherwise,","A|Yeah, I am I need it, too, otherwise,"
11,M,"Well, I've been working for, uh, the government for the last eight years.","M|Well, I've been working for, uh, the government for the last eight years."
12,A,Uh-huh.,A|Uh-huh.
13,M,"I know, I know what you mean.","M|I know, I know what you mean."
14,A,Uh-huh.,A|Uh-huh.
15,M,"And, uh  we pay a, a tax on our medical insurance, but we don't pay a tax for the telephone calls.","M|And, uh  we pay a, a tax on our medical insurance, but we don't pay a tax for the telephone calls."
16,A,More taxes you pay.,A|More taxes you pay.
17,M,"Right, right. And I think that's really important.","M|Right, right. And I think that's really important."
18,A,"Uh-huh. Isn't,","A|Uh-huh. Isn't,"
19,M,"I think, I don't know, I, I'm not so sure that, that, uh that that's, that's a good idea, that that, you know, we need to, uh make sure that we, uh we pay taxes proportionally.","M|I think, I don't know, I, I'm not so sure that, that, uh that that's, that's a good idea, that that, you know, we need to, uh make sure that we, uh we pay taxes proportionally."
20,A,Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh.
21,M,"and, uh.","M|and, uh."
22,A,Wow.,A|Wow.
23,M,"And, uh.","M|And, uh."
24,A,"Uh-huh. Well isn't,","A|Uh-huh. Well isn't,"
25,M,"You know, we, we don't have a state income tax. Uh, we have a sales tax on everything, you know, clothing and, and buying and things like that, and that's pretty high.","M|You know, we, we don't have a state income tax. Uh, we have a sales tax on everything, you know, clothing and, and buying and things like that, and that's pretty high."
26,A,"Uh-huh, there's a lot, yeah, lot of hidden taxes.","A|Uh-huh, there's a lot, yeah, lot of hidden taxes."
27,M,"Yeah, and, uh.","M|Yeah, and, uh."
28,A,"Uh-huh. The taxes that people don't think about that, yeah, the, the, the income tax is a lot more visible portion of the taxes you pay, I guess.","A|Uh-huh. The taxes that people don't think about that, yeah, the, the, the income tax is a lot more visible portion of the taxes you pay, I guess."
29,M,Right.,M|Right.
30,A,"Uh-huh. There was that, which was it Jerry Brown, one of the democratic candidates had a proposal for doing away with all the, the tax codes they have now and implementing a I think a flat percentage, something like that.","A|Uh-huh. There was that, which was it Jerry Brown, one of the democratic candidates had a proposal for doing away with all the, the tax codes they have now and implementing a I think a flat percentage, something like that."
31,M,Yeah.,M|Yeah.
32,A,Uh-huh.,A|Uh-huh.
33,M,"So, uh.","M|So, uh."
34,A,"Right. Exactly. That's, because until, like eight,","A|Right. Exactly. That's, because until, like eight,"
35,M,"Well, you know, that's, that, that was, that is the whole idea.","M|Well, you know, that's, that, that was, that is the whole idea."
36,A,"Up until, like, eighty-five or something was the,","A|Up until, like, eighty-five or something was the,"
