,Speaker,Utterance,Unified
5,M,"You can appeal and,","M|You can appeal and,"
6,A,"Um. Yeah, it seems to me I'm always challenged peremptorily also when I go to these things. I think I have a severe demeanor or something.","A|Um. Yeah, it seems to me I'm always challenged peremptorily also when I go to these things. I think I have a severe demeanor or something."
7,M,Uh-huh.,M|Uh-huh.
8,A,"Uh,","A|Uh,"
9,M,"Well, I, I guess that's the only thing I can really think of is, uh","M|Well, I, I guess that's the only thing I can really think of is, uh"
10,A,"But, typically, you know, uh, typically, uh, everyone gets involved in, uh, the jury process and I suppose an elitist might say, well, you really want someone who is well educated to be able to, to winnow the facts from the, from the prejudice.","A|But, typically, you know, uh, typically, uh, everyone gets involved in, uh, the jury process and I suppose an elitist might say, well, you really want someone who is well educated to be able to, to winnow the facts from the, from the prejudice."
11,M,Right.,M|Right.
12,A,Right.,A|Right.
13,M,"And I think that, uh  you know, you can, you can have a jury that, that doesn't have to be all the same","M|And I think that, uh  you know, you can, you can have a jury that, that doesn't have to be all the same"
14,A,"So,","A|So,"
15,M,"I mean, you, you're not going to go out and, and get all, all the best, all of the best players, you can get.","M|I mean, you, you're not going to go out and, and get all, all the best, all of the best players, you can get."
16,A,"So if you're a nincompoop on trial, you'd, you'd have to have nincompoops to, uh,","A|So if you're a nincompoop on trial, you'd, you'd have to have nincompoops to, uh,"
17,M,Right. That's true.,M|Right. That's true.
18,A,Um.,A|Um.
19,M,!!!%!! Remind me of that.,M|!!!%!! Remind me of that.
20,A,Uh-huh.,A|Uh-huh.
21,M,"And, uh.","M|And, uh."
22,A,Um.,A|Um.
23,M,"I think they should have the option of either guilty or innocent, but, I don, I agree with you that jury selection should be based on how you feel about the case.","M|I think they should have the option of either guilty or innocent, but, I don, I agree with you that jury selection should be based on how you feel about the case."
24,A,"Uh-huh, uh-huh.","A|Uh-huh, uh-huh."
25,M,"and, and they have no right to ask for a jury of their peers.","M|and, and they have no right to ask for a jury of their peers."
26,A,Um.,A|Um.
27,M,And I think the judges should be able to recommend sentencing.,M|And I think the judges should be able to recommend sentencing.
28,A,Uh-huh. Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh. Uh-huh.
29,M,"So, I don't know. I think, I think sometimes it's a little bit of the media's resistance to it.","M|So, I don't know. I think, I think sometimes it's a little bit of the media's resistance to it."
30,A,"Well, I suppose you may be right on that. Matter of fact, I've heard that,  I've heard that some of the information, uh, is prevented from reaching the jury, like, uh, mitigating circumstances or, or preceding, uh, criminal record or things of this nature that,","A|Well, I suppose you may be right on that. Matter of fact, I've heard that,  I've heard that some of the information, uh, is prevented from reaching the jury, like, uh, mitigating circumstances or, or preceding, uh, criminal record or things of this nature that,"
31,M,Yeah.,M|Yeah.
32,A,"Oh, is it? Oh, I didn't realize that. Okay.","A|Oh, is it? Oh, I didn't realize that. Okay."
33,M,"So, yeah, it's, it, it kind of is a, a double whammy. The judge, uh-hired the case and then the jury then, uh decides who gets the death penalty.","M|So, yeah, it's, it, it kind of is a, a double whammy. The judge, uh-hired the case and then the jury then, uh decides who gets the death penalty."
34,A,Right.,A|Right.
35,M,"But, uh.","M|But, uh."
36,A,Uh-huh.,A|Uh-huh.
37,M,"And I, I don't know, I,","M|And I, I don't know, I,"
38,A,"Uh-huh. So, you, what you're saying is this, if there is the second offense, then you execute them.","A|Uh-huh. So, you, what you're saying is this, if there is the second offense, then you execute them."
39,M,"Right. I, I, uh.","M|Right. I, I, uh."
40,A,Um.,A|Um.
41,M,"The only way that you can rehabilitate a person is by, uh, persuade them of a behavior that is detrimental to their welfare or, uh.","M|The only way that you can rehabilitate a person is by, uh, persuade them of a behavior that is detrimental to their welfare or, uh."
42,A,"What about, uh, white collar crimes like, uh, theft of trade secrets.","A|What about, uh, white collar crimes like, uh, theft of trade secrets."
43,M,"Yeah, I think that, uh.","M|Yeah, I think that, uh."
44,A,"Oh, really?","A|Oh, really?"
45,M,Yeah.,M|Yeah.
46,A,Like what?,A|Like what?
47,M,"Well, you know, I mean, I'm, I work at a, a high school.","M|Well, you know, I mean, I'm, I work at a, a high school."
