,Speaker,Utterance,Unified
5,M,Yeah.,M|Yeah.
6,A,"I got a friend who goes there, by the way I want to talk to you about that afterward, okay.","A|I got a friend who goes there, by the way I want to talk to you about that afterward, okay."
7,M,"Yeah. Well, I have a friend that goes to Tech also, and, uh she goes to, uh the, uh to the University of Small Town, which is in Wichita Falls. And, uh I mean, I, I don't know, I've heard about it, but I haven't heard about the program.","M|Yeah. Well, I have a friend that goes to Tech also, and, uh she goes to, uh the, uh to the University of Small Town, which is in Wichita Falls. And, uh I mean, I, I don't know, I've heard about it, but I haven't heard about the program."
8,A,"Yeah. Yeah. was a, a, it's more or less a suburban school system?","A|Yeah. Yeah. was a, a, it's more or less a suburban school system?"
9,M,Uh-huh.,M|Uh-huh.
10,A,"Yes. That, that was true for mine too. Uh, although I I'm sure to some extent, that money is part of the problem in the disparity, but I don't think, I honestly don't think that's the biggest part of it. You know, I  think that, uh, I mean I know that in my town, you know, most of the, most of the parents, they're valued education.","A|Yes. That, that was true for mine too. Uh, although I I'm sure to some extent, that money is part of the problem in the disparity, but I don't think, I honestly don't think that's the biggest part of it. You know, I  think that, uh, I mean I know that in my town, you know, most of the, most of the parents, they're valued education."
11,M,Uh-huh.,M|Uh-huh.
12,A,"And, uh  you know, and so the students were, you know, to some extent, motivated to learn.","A|And, uh  you know, and so the students were, you know, to some extent, motivated to learn."
13,M,"Yeah, that's true.","M|Yeah, that's true."
14,A,I mean  know,A|I mean  know
15,M,"You know,","M|You know,"
16,A,"Yeah, that's true. But but, uh, I think, I mean even more than that, even, I mean if you drop out in high school you should still be able to read you know?  Which it I mean it sounds like, uh,","A|Yeah, that's true. But but, uh, I think, I mean even more than that, even, I mean if you drop out in high school you should still be able to read you know?  Which it I mean it sounds like, uh,"
17,M,Yeah,M|Yeah
18,A,"now I think maybe it's started changing in the past few years because, uh, they have of these, uh, sort of mandatory tests if you have to take before you get  a diploma.","A|now I think maybe it's started changing in the past few years because, uh, they have of these, uh, sort of mandatory tests if you have to take before you get  a diploma."
19,M,Yeah,M|Yeah
20,A,"But, uh, but, uh, certainly before that, there were people that, you know, would graduate from high school and could barely read. Uh, and that's just sort of inexcusable and you can't really, I, I, I mean I just can't even picture how that could happen. You know, except maybe to someone whose, you know, really badly learning, uh, disabled or something.","A|But, uh, but, uh, certainly before that, there were people that, you know, would graduate from high school and could barely read. Uh, and that's just sort of inexcusable and you can't really, I, I, I mean I just can't even picture how that could happen. You know, except maybe to someone whose, you know, really badly learning, uh, disabled or something."
21,M,Yeah.,M|Yeah.
22,A,But these people obviously weren't.,A|But these people obviously weren't.
23,M,!!!%!! Remind me of that,M|!!!%!! Remind me of that
24,A,Yeah.,A|Yeah.
25,M,"And, uh","M|And, uh"
26,A,Yeah. Yeah.,A|Yeah. Yeah.
27,M,"and I'm sure that, uh...","M|and I'm sure that, uh..."
28,A,"Yeah. And I think that's almost a bigger factor, than anything else probably. I mean, I don't, I think you know, people just,","A|Yeah. And I think that's almost a bigger factor, than anything else probably. I mean, I don't, I think you know, people just,"
29,M,"Yeah, well, I, I mean I don tinker with drugs, but I, uh I do, uh","M|Yeah, well, I, I mean I don tinker with drugs, but I, uh I do, uh"
30,A,"Yeah. And, again, I don't, I mean got know the, you know, how qualified, I mean, I think it'd be interesting to, you know, to spend a couple of days just looking around an inner city school. Uh, you know, sort, sort of maybe from elementary through, uh, high school.  You know, just sort of to get a feel for what it's like.","A|Yeah. And, again, I don't, I mean got know the, you know, how qualified, I mean, I think it'd be interesting to, you know, to spend a couple of days just looking around an inner city school. Uh, you know, sort, sort of maybe from elementary through, uh, high school.  You know, just sort of to get a feel for what it's like."
31,M,Uh-huh. Uh-hue.,M|Uh-huh. Uh-hue.
32,A,"I think that'd be an interesting experience. But, uh, I haven't done that","A|I think that'd be an interesting experience. But, uh, I haven't done that"
33,M,"Yeah, I, I've heard of it.","M|Yeah, I, I've heard of it."
34,A,"But I do, I do think that, uh, I mean, public education in general I think can work. And I think it's a good thing.","A|But I do, I do think that, uh, I mean, public education in general I think can work. And I think it's a good thing."
35,M,Yeah.,M|Yeah.
36,A,Yeah.,A|Yeah.
37,M,And I'm not sure how well that is.,M|And I'm not sure how well that is.
38,A,Yes.,A|Yes.
39,M,And they could have had a lot more money.,M|And they could have had a lot more money.
40,A,"Yeah. Yeah. I mean, I don't, I honestly don't really think I could have, you know, done much better than I did in the school system I was in. mean","A|Yeah. Yeah. I mean, I don't, I honestly don't really think I could have, you know, done much better than I did in the school system I was in. mean"
41,M,Uh-huh.,M|Uh-huh.
42,A,Yeah.,A|Yeah.
43,M,"And I don, I think, I'd like to see them, I wish they'd start with, you, first of all you get into the, uh public schools, and then you get to the private ones.","M|And I don, I think, I'd like to see them, I wish they'd start with, you, first of all you get into the, uh public schools, and then you get to the private ones."
44,A,"Yeah. I mean, and and in the, once you junior high, uh, start junior high, starting in eighth grade all the way through high school, there were four levels. Well, no, I guess it in junior high, it was still three. Then in high school it changed into four levels of, uh, of instruction in the major subjects. Uh, which,","A|Yeah. I mean, and and in the, once you junior high, uh, start junior high, starting in eighth grade all the way through high school, there were four levels. Well, no, I guess it in junior high, it was still three. Then in high school it changed into four levels of, uh, of instruction in the major subjects. Uh, which,"
45,M,Uh-huh.,M|Uh-huh.
46,A,"I mean, actually I think that works pretty well. and that, that makes,","A|I mean, actually I think that works pretty well. and that, that makes,"
