,Speaker,Utterance,Unified
5,B,Yes.,B|Yes.
6,M,"Uh, and it's, it's not just that they don't, they don tinker with it, they just try to, to inject more, more, uh, the same, the exact same, uh the exact, uh...","M|Uh, and it's, it's not just that they don't, they don tinker with it, they just try to, to inject more, more, uh, the same, the exact same, uh the exact, uh..."
7,B,"Yes, it's certain crimes, uh, capital crimes, murder, of course, uh, rape, this sort of thing.","B|Yes, it's certain crimes, uh, capital crimes, murder, of course, uh, rape, this sort of thing."
8,M,Uh-huh.,M|Uh-huh.
9,B,"It seems to be a disproportionate number of blacks, you know, that get into the system.","B|It seems to be a disproportionate number of blacks, you know, that get into the system."
10,M,Yeah.,M|Yeah.
11,B,Uh-huh. Yes.,B|Uh-huh. Yes.
12,M,"and, you, you get these people that are waiting on death row, and you know they, they are, they're almost two and a half years old,","M|and, you, you get these people that are waiting on death row, and you know they, they are, they're almost two and a half years old,"
13,B,"That happens on occasion, it sure does, maybe it just depends on, you know, how closely the crime, you know, has affected you personally.","B|That happens on occasion, it sure does, maybe it just depends on, you know, how closely the crime, you know, has affected you personally."
14,M,"Uh, well, I think that's, that's probably true.","M|Uh, well, I think that's, that's probably true."
15,B,"You know, I don't know, or a person personally.","B|You know, I don't know, or a person personally."
16,M,Yeah.,M|Yeah.
17,B,"I think I would be, you know, I guess, really if I had to say yes or no, I guess I would say, you know, that I am in certain cases, in favor of the death penalty, I don't know that it's a big deterrent really. I don't know that it is. I don't know how we'd ever find out, you know, really whether it is or not.","B|I think I would be, you know, I guess, really if I had to say yes or no, I guess I would say, you know, that I am in certain cases, in favor of the death penalty, I don't know that it's a big deterrent really. I don't know that it is. I don't know how we'd ever find out, you know, really whether it is or not."
18,M,Yeah.,M|Yeah.
19,B,"Oh, yeah, oh, absolutely, yeah, it goes on for years and years, and costs hundreds of thousands of dollars, taxpayer money.","B|Oh, yeah, oh, absolutely, yeah, it goes on for years and years, and costs hundreds of thousands of dollars, taxpayer money."
20,M,Yeah.,M|Yeah.
21,B,Yeah.,B|Yeah.
22,M,"It's sad. I mean, I, I do feel sorry for people who are, you, you do realize that the average person doesn't go out and, and do something like that,","M|It's sad. I mean, I, I do feel sorry for people who are, you, you do realize that the average person doesn't go out and, and do something like that,"
23,B,Yes.,B|Yes.
24,M,"and, um.","M|and, um."
