,Speaker,Utterance,Unified
5,B,"Oh, that's wonderful. Okay.","B|Oh, that's wonderful. Okay."
6,M,"Uh, so I have two kids, so we're, uh, we're eating out probably about an average of four or five a week, and, uh we're spending about four hours a week with them.","M|Uh, so I have two kids, so we're, uh, we're eating out probably about an average of four or five a week, and, uh we're spending about four hours a week with them."
7,B,"That's, what kind of fondue, the cheese dip or,","B|That's, what kind of fondue, the cheese dip or,"
8,M,"Oh yeah, yeah.","M|Oh yeah, yeah."
9,B,Right. Yeah.,B|Right. Yeah.
10,M,"And then I'll make like a little Swiss cheese and put it on top of it. And then I just cover it with foil and put the foil on, and then I cover it up with foil, and let it steam.","M|And then I'll make like a little Swiss cheese and put it on top of it. And then I just cover it with foil and put the foil on, and then I cover it up with foil, and let it steam."
11,B,"Oh, that sounds good.","B|Oh, that sounds good."
12,M,"So, I, I had to stop by the store to buy that and I thought, I'm going to end up making that","M|So, I, I had to stop by the store to buy that and I thought, I'm going to end up making that"
13,B,"That's always a good thing. Vegetable trays always go over so well, because I think people get tired of eating junk. I mean, I think they like to have healthy stuff too, you know it's,","B|That's always a good thing. Vegetable trays always go over so well, because I think people get tired of eating junk. I mean, I think they like to have healthy stuff too, you know it's,"
14,M,Yeah.,M|Yeah.
15,B,"Oh, definitely. I think better even than, than other kinds of food","B|Oh, definitely. I think better even than, than other kinds of food"
16,M,"Yeah, that's true.","M|Yeah, that's true."
17,B,"Right, exactly. Yeah.","B|Right, exactly. Yeah."
18,M,"I, I like to eat, um, I don't know, I'm a real foodie, and I like good food.","M|I, I like to eat, um, I don't know, I'm a real foodie, and I like good food."
19,B,Uh-huh.,B|Uh-huh.
20,M,"So, it's a lot of work.","M|So, it's a lot of work."
21,B,Oh. Yes. Right.,B|Oh. Yes. Right.
22,M,"And, uh.","M|And, uh."
23,B,"Right, that's true. Or even have you ever seen where they, they'll take a watermelon and just cut the top out of it and then hollow that out, and then put the fruit in the watermelon that is really neat .","B|Right, that's true. Or even have you ever seen where they, they'll take a watermelon and just cut the top out of it and then hollow that out, and then put the fruit in the watermelon that is really neat ."
24,M,"Uh-uh. Uh-uh, uh-uh","M|Uh-uh. Uh-uh, uh-uh"
25,B,Yep.,B|Yep.
26,M,!!!%!! RemindMe!!,M|!!!%!! RemindMe!!
27,B,"Oh, I think it would, it would be a lot of work but, um, you know, because it's, you know,","B|Oh, I think it would, it would be a lot of work but, um, you know, because it's, you know,"
28,M,Uh-huh.,M|Uh-huh.
29,B,"you have to cut each thing or, you know, use the melon baller and stuff but, but I think they're really neat and, you know, I think they're worth the time, you know, because they,","B|you have to cut each thing or, you know, use the melon baller and stuff but, but I think they're really neat and, you know, I think they're worth the time, you know, because they,"
30,M,"I think they are, too.","M|I think they are, too."
31,B,"Oh, yeah","B|Oh, yeah"
32,M,Yeah,M|Yeah
33,B,Right. Yeah.,B|Right. Yeah.
34,M,"So, I mean, it's, it is, it really is a treat.","M|So, I mean, it's, it is, it really is a treat."
35,B,"Is that, is that good? You know, I've seen that so many times, strawberries dipped in chocolate but I've never tried it, are they really good?","B|Is that, is that good? You know, I've seen that so many times, strawberries dipped in chocolate but I've never tried it, are they really good?"
36,M,"Oh, they're wonderful.","M|Oh, they're wonderful."
37,B,"Oh, I bet it doesn't mix well, does it?","B|Oh, I bet it doesn't mix well, does it?"
38,M,!!!%!! Remind me!! commands!! command!!!!! execute!! execution!! display!! global!!sv!!ety!! collision!!body!! element!! This!!,M|!!!%!! Remind me!! commands!! command!!!!! execute!! execution!! display!! global!!sv!!ety!! collision!!body!! element!! This!!
39,B,"Oh, well, that's good because I know they've been really expensive lately. Because they weren't in season,","B|Oh, well, that's good because I know they've been really expensive lately. Because they weren't in season,"
40,M,Uh-huh.,M|Uh-huh.
41,B,"of course, they had to be, be, uh, grown in greenhouses and stuff and in ,","B|of course, they had to be, be, uh, grown in greenhouses and stuff and in ,"
42,M,"Oh yeah, yeah.","M|Oh yeah, yeah."
43,B,"Oh, is that right?","B|Oh, is that right?"
44,M,Yeah,M|Yeah
45,B,"Oh, I .","B|Oh, I ."
46,M,"And, uh.","M|And, uh."
47,B,Uh-huh. Right.,B|Uh-huh. Right.
48,M,"So, you know, it's, it, it seems like there's so much of it going on that it's almost frantic, you just don't know what to do.","M|So, you know, it's, it, it seems like there's so much of it going on that it's almost frantic, you just don't know what to do."
49,B,"Well,","B|Well,"
50,M,"What, what, what kind of, what type of, um","M|What, what, what kind of, what type of, um"
51,B,"Okay, sure,","B|Okay, sure,"
52,M,"Yeah, I'm a big, uh, grower, I mean, I have all kinds of growlers and, uh","M|Yeah, I'm a big, uh, grower, I mean, I have all kinds of growlers and, uh"
53,B,Is that right? I've never heard of that.,B|Is that right? I've never heard of that.
54,M,"Yeah, but, uh, it's good, it gives you a little more flavor.","M|Yeah, but, uh, it's good, it gives you a little more flavor."
55,B,Uh-huh.,B|Uh-huh.
56,M,"And then you, uh, you, you pour the wine over the top of the box and you cover it with foil and then you let it steam.","M|And then you, uh, you, you pour the wine over the top of the box and you cover it with foil and then you let it steam."
57,B,Uh-huh.,B|Uh-huh.
58,M,But it's a good idea.,M|But it's a good idea.
59,B,I think I know what you're is it like a hand held?,B|I think I know what you're is it like a hand held?
60,M,Yeah.,M|Yeah.
61,B,"The, yeah, okay.","B|The, yeah, okay."
62,M,"Yeah, I, I've seen those.","M|Yeah, I, I've seen those."
63,B,Uh-huh. Huh.,B|Uh-huh. Huh.
64,M,"You have to mix it with water, and you have to stir it in real carefully.","M|You have to mix it with water, and you have to stir it in real carefully."
65,B,Uh-huh.,B|Uh-huh.
66,M,"and then I put in, uh.","M|and then I put in, uh."
67,B,"Oh, wow. That is really interesting. Are you saying to use like, um, for chocolate like, unsweetened,","B|Oh, wow. That is really interesting. Are you saying to use like, um, for chocolate like, unsweetened,"
68,M,"Uh, no, it doesn't taste like it.","M|Uh, no, it doesn't taste like it."
69,B,unsweetened?,B|unsweetened?
70,M,Yeah.,M|Yeah.
71,B,Yeah.,B|Yeah.
72,M,"and it's just a tablespoon of it, and you mix it all together.","M|and it's just a tablespoon of it, and you mix it all together."
73,B,I have some,B|I have some
74,M,"Okay, I guess we're ready to start.","M|Okay, I guess we're ready to start."
75,B,"I just want to,","B|I just want to,"
76,M,"you know, to go back to school and not have to work.","M|you know, to go back to school and not have to work."
77,B,Right. Okay.,B|Right. Okay.
78,M,"It's kind of sweetened up with a little lemon wedge in it, but it's real hard to chew.","M|It's kind of sweetened up with a little lemon wedge in it, but it's real hard to chew."
79,B,Cooking chocolate.,B|Cooking chocolate.
80,M,"Yeah, I've never tried that. I don't know if you've ever tried that, but it sounds good.","M|Yeah, I've never tried that. I don't know if you've ever tried that, but it sounds good."
81,B,"That's really interesting, I've never heard of anybody making their own pudding before that's really neat.","B|That's really interesting, I've never heard of anybody making their own pudding before that's really neat."
82,M,"Oh, yeah.","M|Oh, yeah."
83,B,"Well, how did you get a recipe for pudding on your own?","B|Well, how did you get a recipe for pudding on your own?"
84,M,!!! RemindMe!! You've got mail.,M|!!! RemindMe!! You've got mail.
85,B,"Is that right? Oh, neat,","B|Is that right? Oh, neat,"
86,M,"Yeah, so, I found that, um.","M|Yeah, so, I found that, um."
87,B,"that is just really neat. Because I,","B|that is just really neat. Because I,"
88,M,I'm a real foodie.,M|I'm a real foodie.
89,B,It would probably be a lot more work and probably not turn out as good.,B|It would probably be a lot more work and probably not turn out as good.
90,M,"Yeah, well, that's true.","M|Yeah, well, that's true."
91,B,Uh-huh.,B|Uh-huh.
92,M,"so that you don't have to do, uh, you know, so much work, but, uh","M|so that you don't have to do, uh, you know, so much work, but, uh"
93,B,So you put the milk in the cornstarch?,B|So you put the milk in the cornstarch?
94,M,!!!;!! Remind me of that now.,M|!!!;!! Remind me of that now.
95,B,And then put that back in the saucepan?,B|And then put that back in the saucepan?
96,M,!!!%!! Remind me of that now.,M|!!!%!! Remind me of that now.
97,B,"Huh that's,","B|Huh that's,"
98,M,"So,","M|So,"
99,B,Oh.,B|Oh.
100,M,"And then it's like it's a little bit too much. But,","M|And then it's like it's a little bit too much. But,"
101,B,Uh-huh.,B|Uh-huh.
102,M,"and it's just a little bit,","M|and it's just a little bit,"
103,B,Uh-huh.,B|Uh-huh.
