,Speaker,Utterance,Unified
5,M,"Well, that's, that, that would be good.","M|Well, that's, that, that would be good."
6,B,"Yeah, yeah. I think that it probably would be a, a good program. I think probably two years is too long.","B|Yeah, yeah. I think that it probably would be a, a good program. I think probably two years is too long."
7,M,"Oh, yeah, I agree.","M|Oh, yeah, I agree."
8,B,"I think maybe a year would be, the longest.","B|I think maybe a year would be, the longest."
9,M,Uh-huh.,M|Uh-huh.
10,B,"Yeah, and there will be a lot of rebellion in that and when you get people who have no desire to be there in the first place, I don't think that they're going to be serving anybody.","B|Yeah, and there will be a lot of rebellion in that and when you get people who have no desire to be there in the first place, I don't think that they're going to be serving anybody."
11,M,Right.,M|Right.
12,B,"Yeah. So I think it would be a good thing though, to encourage other people who aren't even aware that they can do such a thing. to get out there and do so.","B|Yeah. So I think it would be a good thing though, to encourage other people who aren't even aware that they can do such a thing. to get out there and do so."
13,M,Uh-huh.,M|Uh-huh.
14,B,Yeah. Right.,B|Yeah. Right.
15,M,"but I think there's, you, you have to have some sort, of a commitment to do that.","M|but I think there's, you, you have to have some sort, of a commitment to do that."
16,B,"Right. College credit is a good idea because,","B|Right. College credit is a good idea because,"
17,M,"I mean, I'm not, I don't know.","M|I mean, I'm not, I don't know."
18,B,Right.,B|Right.
19,M,"But,","M|But,"
20,B,"That's right Yeah, they probably couldn't do anything monetary, but I think, giving, giving some kind of college credit,","B|That's right Yeah, they probably couldn't do anything monetary, but I think, giving, giving some kind of college credit,"
21,M,Yeah.,M|Yeah.
22,B,"No, I don't think so either because a lot of people, um, depending on how the public service programs are set up and I'm not that familiar with them to know,","B|No, I don't think so either because a lot of people, um, depending on how the public service programs are set up and I'm not that familiar with them to know,"
23,M,Uh-huh.,M|Uh-huh.
24,B,"But, you know, if, a, a lot of people flat can't afford to.","B|But, you know, if, a, a lot of people flat can't afford to."
25,M,Right.,M|Right.
26,B,"You know,","B|You know,"
27,M,"Well, that's true.","M|Well, that's true."
28,B,"and most kids these days have gotten themselves into, uh, financial situations, where they have to be working all the time.","B|and most kids these days have gotten themselves into, uh, financial situations, where they have to be working all the time."
29,M,Yeah.,M|Yeah.
30,B,"So, it's, it's a really tough question. That's right.","B|So, it's, it's a really tough question. That's right."
31,M,"it's a tough question, and I think it's really important that we do, we try to encourage them to go into a better world where they can have a happy life,","M|it's a tough question, and I think it's really important that we do, we try to encourage them to go into a better world where they can have a happy life,"
32,B,"Yeah,","B|Yeah,"
33,M,"I mean, I think it's really important that they do, uh.","M|I mean, I think it's really important that they do, uh."
34,B,"and, if you put them in public service right out of high school, then that, that postpones their college, for a year","B|and, if you put them in public service right out of high school, then that, that postpones their college, for a year"
35,M,Yeah.,M|Yeah.
36,B,"and that would upset a lot of people too, because they just want to get on,","B|and that would upset a lot of people too, because they just want to get on,"
37,M,Uh-hue.,M|Uh-hue.
38,B,"Yeah. I, you know, I think it would be good for a lot of people to get involved in that kind of program,","B|Yeah. I, you know, I think it would be good for a lot of people to get involved in that kind of program,"
39,M,"Yeah, yeah.","M|Yeah, yeah."
40,B,"but I, I think it can't be something that's mandatory.","B|but I, I think it can't be something that's mandatory."
41,M,Right.,M|Right.
42,B,"it has to be something that's voluntary. You know, which is pretty much the way it is now. They might,","B|it has to be something that's voluntary. You know, which is pretty much the way it is now. They might,"
43,M,"Yeah, I know. I think that's, that's the way they're thinking. I mean, you can't, you don't have to do anything.","M|Yeah, I know. I think that's, that's the way they're thinking. I mean, you can't, you don't have to do anything."
44,B,"Yeah, and that's the other thing is that, you know, instead of making it mandatory, they maybe need to publicize it a little bit better. and, uh, you know, go to the schools and do programs, and tell them that we need your help, and, you know, uh, volunteer for such and such a time,","B|Yeah, and that's the other thing is that, you know, instead of making it mandatory, they maybe need to publicize it a little bit better. and, uh, you know, go to the schools and do programs, and tell them that we need your help, and, you know, uh, volunteer for such and such a time,"
45,M,Uh-huh.,M|Uh-huh.
46,B,and you've a choice of where you want to go.,B|and you've a choice of where you want to go.
47,M,Right.,M|Right.
48,B,"and, and that way, handling it that way they could probably get some results out of it.","B|and, and that way, handling it that way they could probably get some results out of it."
49,M,Right.,M|Right.
50,B,"Yeah, in their own community, right. Yeah, that's true Most of them probably wouldn't do something like that. Although there are a lot of kids who would do it just to get away from their parents","B|Yeah, in their own community, right. Yeah, that's true Most of them probably wouldn't do something like that. Although there are a lot of kids who would do it just to get away from their parents"
51,M,Uh-huh.,M|Uh-huh.
52,B,"But, they would have to be supported in some way, and I'm not sure that those programs are available to do that.","B|But, they would have to be supported in some way, and I'm not sure that those programs are available to do that."
53,M,"I know, I don't know, you're right, I, I think they should have a, a little more, uh, information on that and then we could start talking about it,","M|I know, I don't know, you're right, I, I think they should have a, a little more, uh, information on that and then we could start talking about it,"
54,B,Right.,B|Right.
55,M,"I mean, I don't know.","M|I mean, I don't know."
56,B,"Right, exactly.","B|Right, exactly."
57,M,!!!%!! LINE!!action!! Reminders!! command!! commands!! Auto!! This!!,M|!!!%!! LINE!!action!! Reminders!! command!! commands!! Auto!! This!!
58,B,"Yeah, it is tough. It's, and I don't know who's even proposing it, or, or how they plan on implementing it, if they do.","B|Yeah, it is tough. It's, and I don't know who's even proposing it, or, or how they plan on implementing it, if they do."
59,M,"Well, I think it's just a matter of, you have to decide what you want to do. If you want, you want your child to be taken care of while you're at work. If, if, if you want her to be, you, you can leave her at home.","M|Well, I think it's just a matter of, you have to decide what you want to do. If you want, you want your child to be taken care of while you're at work. If, if, if you want her to be, you, you can leave her at home."
60,B,Yeah. Yeah. I think going to the schools would be the easiest for them.,B|Yeah. Yeah. I think going to the schools would be the easiest for them.
61,M,!!!%!! Remind me that.,M|!!!%!! Remind me that.
62,B,"You know, it be, it wouldn't take up much, much, it would take up more time than anything but it wouldn't take up a lot of money.","B|You know, it be, it wouldn't take up much, much, it would take up more time than anything but it wouldn't take up a lot of money."
63,M,"Oh, that's true. That's true, that would be true.","M|Oh, that's true. That's true, that would be true."
64,B,They wouldn't have to spend money advertising and things like that.,B|They wouldn't have to spend money advertising and things like that.
65,M,Right.,M|Right.
66,B,"You go to school and you have a kind of a captive audience, get them all in the auditorium,","B|You go to school and you have a kind of a captive audience, get them all in the auditorium,"
67,M,Uh-huh.,M|Uh-huh.
68,B,"and you, you give them your speech and maybe a little slide show or something,","B|and you, you give them your speech and maybe a little slide show or something,"
69,M,Uh-huh.,M|Uh-huh.
70,B,"and, I think, that they could get some results from that, because there are a lot of people who are volunteer and community minded,","B|and, I think, that they could get some results from that, because there are a lot of people who are volunteer and community minded,"
71,M,Right.,M|Right.
72,B,"but they don't know where to go to, to, to do anything.","B|but they don't know where to go to, to, to do anything."
73,M,"Right, yeah.","M|Right, yeah."
74,B,"Yeah, it is. It really is.","B|Yeah, it is. It really is."
75,M,"And, and I don't, I don, I mean, I, I'm, I guess I'm kind of an Arlingtonite, too, you know, because I'm originally from Plano, and so I've lived here forever,","M|And, and I don't, I don, I mean, I, I'm, I guess I'm kind of an Arlingtonite, too, you know, because I'm originally from Plano, and so I've lived here forever,"
76,B,Right.,B|Right.
77,M,"and, you're right, they, they're really trying to start people off on a different level.","M|and, you're right, they, they're really trying to start people off on a different level."
78,B,"Yeah, yeah.","B|Yeah, yeah."
79,M,"And I think that, you see, you're beginning to see more and more of that on young people.","M|And I think that, you see, you're beginning to see more and more of that on young people."
80,B,Uh-huh.,B|Uh-huh.
81,M,"But, I, I don't know, I think it's kind of a sad situation. I don, I really do. I think that, uh, you, you need to look at what, uh what the, what the United States has done in the past with regards to, you do see about these things?","M|But, I, I don't know, I think it's kind of a sad situation. I don, I really do. I think that, uh, you, you need to look at what, uh what the, what the United States has done in the past with regards to, you do see about these things?"
82,B,"I don't either That's one,","B|I don't either That's one,"
83,M,"I mean, you hear a lot about, uh, funding things like AIDS research and, you, you think that's, that's funded, you're right, but I don t understand, uh.","M|I mean, you hear a lot about, uh, funding things like AIDS research and, you, you think that's, that's funded, you're right, but I don t understand, uh."
84,B,"Yeah, it is a tough question.","B|Yeah, it is a tough question."
85,M,"But, uh, I think that's the best answer.","M|But, uh, I think that's the best answer."
86,B,"Sure, same here.","B|Sure, same here."
87,M,Bye-bye.,M|Bye-bye.
88,B,you too.,B|you too.
89,M,Bye-bye.,M|Bye-bye.
90,B,Bye.,B|Bye.
