,Speaker,Utterance,Unified
5,M,Uh-huh.,M|Uh-huh.
6,B,"I rely primarily on, uh, newspaper combined with television.","B|I rely primarily on, uh, newspaper combined with television."
7,M,Uh-huh.,M|Uh-huh.
8,B,Uh.,B|Uh.
9,M,"but I would get more news from the, uh the television stations and not rely on newspapers and so on television. I would never get as much news from newspapers as I would from television. You know, they have, they do a lot better reporting.","M|but I would get more news from the, uh the television stations and not rely on newspapers and so on television. I would never get as much news from newspapers as I would from television. You know, they have, they do a lot better reporting."
10,B,Okay.,B|Okay.
11,M,And so that's about it.,M|And so that's about it.
12,B,That's rather interesting.,B|That's rather interesting.
13,M,"Well, it's not, it isn't.","M|Well, it's not, it isn't."
14,B,"I'd, I'd have to say I haven't either.","B|I'd, I'd have to say I haven't either."
15,M,"Uh, he's one of the few radio personalities that, uh","M|Uh, he's one of the few radio personalities that, uh"
16,B,"I listen to the radio, uh, probably five or six hours a week, but almost inevitably to a station that is a classical, uh, station here ,  for music purposes.","B|I listen to the radio, uh, probably five or six hours a week, but almost inevitably to a station that is a classical, uh, station here ,  for music purposes."
17,M,Uh-huh.,M|Uh-huh.
18,B,"We don't use the radio as a wake up, we have our, a television connected to a, uh, uh, electronic alarm, uh, system that kicks in,","B|We don't use the radio as a wake up, we have our, a television connected to a, uh, uh, electronic alarm, uh, system that kicks in,"
19,M,"Oh, okay.","M|Oh, okay."
20,B,and it comes on with C N N in the morning.,B|and it comes on with C N N in the morning.
21,M,"Oh, okay.","M|Oh, okay."
22,B,"That we, we wake up to television news and, uh, uh, shower and dress, and whatever to that, and then because of the fact that my wife and I ride to work together, uh, in a car, we, we chat at each other rather than, than something else.","B|That we, we wake up to television news and, uh, uh, shower and dress, and whatever to that, and then because of the fact that my wife and I ride to work together, uh, in a car, we, we chat at each other rather than, than something else."
23,M,Uh-huh.,M|Uh-huh.
24,B,"Uh, and occasionally what we'll each do depending on whoever is driving is have the newspaper sort of on our lap on the way in, in the car, so we have the advantage of being able to, uh, read and drive although there seems to be, from what I've seen on the freeway recently that a fair number of people are reading and driving","B|Uh, and occasionally what we'll each do depending on whoever is driving is have the newspaper sort of on our lap on the way in, in the car, so we have the advantage of being able to, uh, read and drive although there seems to be, from what I've seen on the freeway recently that a fair number of people are reading and driving"
25,M,Uh-huh.,M|Uh-huh.
26,B,"So, we, we rely pretty, pretty heavily, I think, on a combination of the, of the two. I also, uh, use, uh, NEWSWEEK magazine. Uh,","B|So, we, we rely pretty, pretty heavily, I think, on a combination of the, of the two. I also, uh, use, uh, NEWSWEEK magazine. Uh,"
27,M,Uh-huh.,M|Uh-huh.
28,B,"we tend to alternate between NEWSWEEK and TIME and whatever happens to be the, the, uh, news magazine of the year for us.","B|we tend to alternate between NEWSWEEK and TIME and whatever happens to be the, the, uh, news magazine of the year for us."
29,M,Uh-huh.,M|Uh-huh.
30,B,"and, uh, I read sporadically of commentary and a couple of other, you know, trade magazines, and, uh, uh, such as that, uh, where I might read the, the occasional social and even current event commentaries, and, and everything as diverse as A C M to, uh, uh, some of the, uh, some of the other tabloids I get. So, uh, I guess I use about eighty percent written, is probably my input and twenty percent, uh, television. I, I think I respect the, from a journalistic perspective current events.","B|and, uh, I read sporadically of commentary and a couple of other, you know, trade magazines, and, uh, uh, such as that, uh, where I might read the, the occasional social and even current event commentaries, and, and everything as diverse as A C M to, uh, uh, some of the, uh, some of the other tabloids I get. So, uh, I guess I use about eighty percent written, is probably my input and twenty percent, uh, television. I, I think I respect the, from a journalistic perspective current events."
31,M,Uh-huh.,M|Uh-huh.
32,B,"I've always said that it, it's really not interesting unless it's three weeks old and found its way into a news weekly headline.","B|I've always said that it, it's really not interesting unless it's three weeks old and found its way into a news weekly headline."
33,M,Yeah.,M|Yeah.
34,B,"Uh, other than that it was a at best.","B|Uh, other than that it was a at best."
35,M,Yeah.,M|Yeah.
36,B,"Uh, we're probably not thrilled with our only newspaper that we have in Raleigh. There, there are other, uh, uh, I'm not sure what you would call them, they the small, uh, competing independent sort of newspapers. Little small weekly things, but there's only one daily, uh, called the NEWS AND OBSERVER, fondly referred to here by some as the, uh, uh, sometimes the Noise and Observer.","B|Uh, we're probably not thrilled with our only newspaper that we have in Raleigh. There, there are other, uh, uh, I'm not sure what you would call them, they the small, uh, competing independent sort of newspapers. Little small weekly things, but there's only one daily, uh, called the NEWS AND OBSERVER, fondly referred to here by some as the, uh, uh, sometimes the Noise and Observer."
37,M,Yeah.,M|Yeah.
38,B,"Uh, it depends. It, it's, has decent national coverage, but has an extremely focused political coverage, probably steeped in,  the southern history and the fact that this is a Democratic State.","B|Uh, it depends. It, it's, has decent national coverage, but has an extremely focused political coverage, probably steeped in,  the southern history and the fact that this is a Democratic State."
39,M,"!!!!,!!!.!!iful!!","M|!!!!,!!!.!!iful!!"
40,B,"And, uh, consequently everything is filtered through that, uh, Republican Democratic sort of, glass, almost unnecessarily","B|And, uh, consequently everything is filtered through that, uh, Republican Democratic sort of, glass, almost unnecessarily"
41,M,Uh-huh.,M|Uh-huh.
42,B,so.,B|so.
43,M,Uh-huh.,M|Uh-huh.
44,B,"Yeah, we, we have, that is, uh, as a matter of fact they update it once a week with a special section, we, and we pay it sort of glancing nod. We, uh, have a very good friend who is, uh, tapped into the city planning structure. Uh, our developer architect friend and,","B|Yeah, we, we have, that is, uh, as a matter of fact they update it once a week with a special section, we, and we pay it sort of glancing nod. We, uh, have a very good friend who is, uh, tapped into the city planning structure. Uh, our developer architect friend and,"
45,M,"Oh, really.","M|Oh, really."
46,B,"Right. So, I think we find out what's happening in the city, uh, on a fairly frequent basis, over a, over a gin and tonic sort of thing.","B|Right. So, I think we find out what's happening in the city, uh, on a fairly frequent basis, over a, over a gin and tonic sort of thing."
47,M,Uh-huh. Uh-hue.,M|Uh-huh. Uh-hue.
48,B,"Uh, and that probably gives us a better insight as to the city of Raleigh than, than the paper would have anyway.","B|Uh, and that probably gives us a better insight as to the city of Raleigh than, than the paper would have anyway."
49,M,"Well, I don't know. I think, uh.","M|Well, I don't know. I think, uh."
50,B,Uh-huh. Uh-huh.,B|Uh-huh. Uh-huh.
51,M,"And, uh.","M|And, uh."
52,B,Uh-huh.,B|Uh-huh.
53,M,"I, I don't watch C NN very much any more.","M|I, I don't watch C NN very much any more."
54,B,"Is that right? I'll heard there was some stuff on the, on the radio that was equivalent to C N N.","B|Is that right? I'll heard there was some stuff on the, on the radio that was equivalent to C N N."
55,M,Yeah.,M|Yeah.
56,B,Okay.,B|Okay.
57,M,"it's, it's kind of like C NN, you know, sort of a little bit different.","M|it's, it's kind of like C NN, you know, sort of a little bit different."
58,B,Okay.,B|Okay.
59,M,"And I, and I, I think it's because the, uh the, the, I don't know, I've, I'm not really sure, uh.","M|And I, and I, I think it's because the, uh the, the, I don't know, I've, I'm not really sure, uh."
60,B,"Oh, That didn't, uh,","B|Oh, That didn't, uh,"
61,M,"So, uh.","M|So, uh."
62,B,Uh-huh.,B|Uh-huh.
63,M,"But, uh.","M|But, uh."
