,Speaker,Utterance,Unified
5,B,Uh-huh.,B|Uh-huh.
6,M,"and, uh, I donno, I'm not sure if they have it up there. I don, I think it's up there where you actually have to register as a capital case.","M|and, uh, I donno, I'm not sure if they have it up there. I don, I think it's up there where you actually have to register as a capital case."
7,B,"Yeah. Uh-huh, well from what I I saw a statistic just a few days ago, um, so far this year, or was it during the last year, during a year's time, I think it was they executed twenty-five people in the nation. Meanwhile, there were twenty-five hundred people on death row. So I, I, and it's building up, you know, they're, they're convicting them faster than they're executing them so it's really building up.","B|Yeah. Uh-huh, well from what I I saw a statistic just a few days ago, um, so far this year, or was it during the last year, during a year's time, I think it was they executed twenty-five people in the nation. Meanwhile, there were twenty-five hundred people on death row. So I, I, and it's building up, you know, they're, they're convicting them faster than they're executing them so it's really building up."
8,M,It's getting to be a big problem.,M|It's getting to be a big problem.
9,B,Uh-huh.,B|Uh-huh.
10,M,"And some of the people that are in there now, I don't know, are still on death Row.","M|And some of the people that are in there now, I don't know, are still on death Row."
11,B,"Yeah, everybody's got that.","B|Yeah, everybody's got that."
12,M,"I mean, you can't, you don't know, there's no room for all of them.","M|I mean, you can't, you don't know, there's no room for all of them."
13,B,Uh-huh. Yeah. Uh-huh.,B|Uh-huh. Yeah. Uh-huh.
14,M,"So, it's not just the prison people, it is the society in general.","M|So, it's not just the prison people, it is the society in general."
15,B,"Yeah. Isn't, isn't Maryland where the famous Willy Horton case was.","B|Yeah. Isn't, isn't Maryland where the famous Willy Horton case was."
16,M,"Oh, yeah, I remember that. I think it was,  it was on the news a little bit,  a couple of days ago.","M|Oh, yeah, I remember that. I think it was,  it was on the news a little bit,  a couple of days ago."
17,B,"It was, uh, that was the one that was used so much in the campaign. In the in the presidential race. Uh, may, it may not have been Maryland. It may have been Massachusetts, I don't remember.","B|It was, uh, that was the one that was used so much in the campaign. In the in the presidential race. Uh, may, it may not have been Maryland. It may have been Massachusetts, I don't remember."
18,M,"I don't know. I've only been up here a couple of weeks and I can barely remember what the, uh, the,","M|I don't know. I've only been up here a couple of weeks and I can barely remember what the, uh, the,"
19,B,"Anyway, well the question is, you know, do you think, it does make a difference in whether or not a criminal commits a crime or do you think it can if it's done right?","B|Anyway, well the question is, you know, do you think, it does make a difference in whether or not a criminal commits a crime or do you think it can if it's done right?"
20,M,Uh-huh.,M|Uh-huh.
21,B,"If it,","B|If it,"
22,M,"But I think they're going to be, you, you have to think about, uh.","M|But I think they're going to be, you, you have to think about, uh."
23,B,Uh-huh,B|Uh-huh
24,M,"You know, I mean it's just,","M|You know, I mean it's just,"
25,B,"Yeah. Well I think in large measure the reason they don't care, it's not because the punishment, but so many of the people that commit crimes don't get punished.","B|Yeah. Well I think in large measure the reason they don't care, it's not because the punishment, but so many of the people that commit crimes don't get punished."
26,M,Right.,M|Right.
27,B,"The police don't catch them, or the courts don't convict them, or, or they don't serve very much of the time and so, uh, you know, their, their success rate is very high. Crime does pay, you can make a good living at it.","B|The police don't catch them, or the courts don't convict them, or, or they don't serve very much of the time and so, uh, you know, their, their success rate is very high. Crime does pay, you can make a good living at it."
28,M,Uh-uh.,M|Uh-uh.
29,B,Yeah.,B|Yeah.
30,M,"So, you don't know, you're right, they may have just been caught and, uh","M|So, you don't know, you're right, they may have just been caught and, uh"
31,B,"Last year it was D C, I guess Baltimore caught them.","B|Last year it was D C, I guess Baltimore caught them."
32,M,Uh-huh.,M|Uh-huh.
33,B,Uh-huh,B|Uh-huh
34,M,"and it's just not, it doesn't, it isn't anywhere near as much of a deterrent as it once was.","M|and it's just not, it doesn't, it isn't anywhere near as much of a deterrent as it once was."
35,B,Yeah.,B|Yeah.
36,M,"you know, they have to get a, a, get a new one","M|you know, they have to get a, a, get a new one"
37,B,"Yeah, the only consolation is so many of the murders are, you know, the, the violent people going against each other and so they, you know, society's not going to put them to death, well at least maybe the guy they cross next time is going to. Uh, I think, I think capital punishment is an appropriate punishment for the kind of people where we say, you know, this sort of person is just not acceptable to our society and we are there by going to remove them from society, not temporarily, but permanently.","B|Yeah, the only consolation is so many of the murders are, you know, the, the violent people going against each other and so they, you know, society's not going to put them to death, well at least maybe the guy they cross next time is going to. Uh, I think, I think capital punishment is an appropriate punishment for the kind of people where we say, you know, this sort of person is just not acceptable to our society and we are there by going to remove them from society, not temporarily, but permanently."
38,M,!!! Remind me of that.,M|!!! Remind me of that.
39,B,"I mean, I, I personally think life imprisonment, I don't think much of of life imprisonment. First of all, it's never, turns out to be life, but second, you know, why should we, the idea of life imprisonment with no chance of parole. Well that means you're going to put them in a cage you think it's never ever going to be safe for them to walk the streets again, well then, why bother. Just execute them, because that's, that way you're sure they'll never ever going to walk the streets again.","B|I mean, I, I personally think life imprisonment, I don't think much of of life imprisonment. First of all, it's never, turns out to be life, but second, you know, why should we, the idea of life imprisonment with no chance of parole. Well that means you're going to put them in a cage you think it's never ever going to be safe for them to walk the streets again, well then, why bother. Just execute them, because that's, that way you're sure they'll never ever going to walk the streets again."
40,M,"Well, that's true, I know, I have a friend who's a, a, uh, a prison fanatic and, uh she's sentenced to death for, for like, uh theft of property.","M|Well, that's true, I know, I have a friend who's a, a, uh, a prison fanatic and, uh she's sentenced to death for, for like, uh theft of property."
41,B,"So any, any, anybody that says life in prison with no chance of parole, I'd say, uh, give them the death penalty So,","B|So any, any, anybody that says life in prison with no chance of parole, I'd say, uh, give them the death penalty So,"
42,M,"Yeah, yeah.","M|Yeah, yeah."
