,Speaker,Utterance,Unified
5,B,"Oh, definitely.","B|Oh, definitely."
6,M,"Uh, I just feel like, you're not, you don't feel like you're getting what you need, and you're paying, you've got to pay for it, and I, you have to pay the bills, and it's just, I think, I really feel like I'm being, I'm not being smart, and not being consistent, and paying, and so, I feel like that's a big, uh...","M|Uh, I just feel like, you're not, you don't feel like you're getting what you need, and you're paying, you've got to pay for it, and I, you have to pay the bills, and it's just, I think, I really feel like I'm being, I'm not being smart, and not being consistent, and paying, and so, I feel like that's a big, uh..."
7,B,"Right. Yeah, yeah.","B|Right. Yeah, yeah."
8,M,"!!!%!! Remind me of that, yeah, that's, that is a good one.","M|!!!%!! Remind me of that, yeah, that's, that is a good one."
9,B,"Yeah. Yeah, yeah.","B|Yeah. Yeah, yeah."
10,M,"I think, I think that, uh.","M|I think, I think that, uh."
11,B,"Yeah, that sounds like a good idea. My only concern is what happens when you turn things over to the government, I don't know","B|Yeah, that sounds like a good idea. My only concern is what happens when you turn things over to the government, I don't know"
12,M,Uh-huh.,M|Uh-huh.
13,B,"Do they wind up with more red tape, and more problems then? Yeah, yeah.","B|Do they wind up with more red tape, and more problems then? Yeah, yeah."
14,M,"Well, it's, it, it seems like it's just going to take, uh, a lot of time.","M|Well, it's, it, it seems like it's just going to take, uh, a lot of time."
15,B,Uh-huh.,B|Uh-huh.
16,M,They don't have to worry about spending the money to send people there to learn how to shoot their own weapons.,M|They don't have to worry about spending the money to send people there to learn how to shoot their own weapons.
17,B,Oh.,B|Oh.
18,M,"and, uh.","M|and, uh."
19,B,Yeah.,B|Yeah.
20,M,"But, uh.","M|But, uh."
21,B,Wow.,B|Wow.
22,M,"but, uh.","M|but, uh."
23,B,"Yeah. Well, I think part of the, the tremendous benefit of that is that there's so many people who wait now because they don't have the money, until, you know, they have no preventative measures People, um, you know, just go on and on and on. I mean, so many people don't even get prenatal care or, and it just extends with if it, what would be a minor problem to deal with if they had a help available early on becomes just this horrendous, you know, burden on the taxpayers. They're saying now that one out of every ten child born in public hospitals is addicted to crack.","B|Yeah. Well, I think part of the, the tremendous benefit of that is that there's so many people who wait now because they don't have the money, until, you know, they have no preventative measures People, um, you know, just go on and on and on. I mean, so many people don't even get prenatal care or, and it just extends with if it, what would be a minor problem to deal with if they had a help available early on becomes just this horrendous, you know, burden on the taxpayers. They're saying now that one out of every ten child born in public hospitals is addicted to crack."
24,M,"Oh, yeah.","M|Oh, yeah."
25,B,"Well, you know","B|Well, you know"
26,M,And I think that's probably a big factor.,M|And I think that's probably a big factor.
27,B,Uh-huh.,B|Uh-huh.
28,M,"and I'm, I'm very much aware of that.","M|and I'm, I'm very much aware of that."
29,B,Yeah.,B|Yeah.
30,M,"uh, I think that, uh-hugh, it's time that we take steps to, to correct it.","M|uh, I think that, uh-hugh, it's time that we take steps to, to correct it."
31,B,"Yeah, yeah.","B|Yeah, yeah."
32,M,"because they, they don't have the time to, to look after themselves.","M|because they, they don't have the time to, to look after themselves."
33,B,"Oh, it's unbelievable how much you go through. When I just had a problem with my neck and they ended up doing a seven hundred dollar CAT scan, and, I mean, a chiropractor got it in one time","B|Oh, it's unbelievable how much you go through. When I just had a problem with my neck and they ended up doing a seven hundred dollar CAT scan, and, I mean, a chiropractor got it in one time"
34,M,Oh.,M|Oh.
35,B,it was just strange.,B|it was just strange.
36,M,"I don't know, I just, I don't think there's a day that we can do everything in the world.","M|I don't know, I just, I don't think there's a day that we can do everything in the world."
37,B,"Oh, well, that should help.","B|Oh, well, that should help."
38,M,"Yeah, that will help, uh.","M|Yeah, that will help, uh."
39,B,Yeah,B|Yeah
40,M,"I know, I know that, uh-huh.","M|I know, I know that, uh-huh."
41,B,"Oh I see Oh, gosh.","B|Oh I see Oh, gosh."
42,M,"And, uh.","M|And, uh."
43,B,"Okay, well","B|Okay, well"
44,M,Well it's good talking to you.,M|Well it's good talking to you.
45,B,"Okay, thank you. Bye-bye","B|Okay, thank you. Bye-bye"
46,M,!!!%!! RemindMe!! Auto attacks.,M|!!!%!! RemindMe!! Auto attacks.
