,Speaker,Utterance,Unified
5,B,Oh,B|Oh
6,M,So I called support.,M|So I called support.
7,B,Yeah.,B|Yeah.
8,M,"And, uh, I just thought that was really neat.","M|And, uh, I just thought that was really neat."
9,B,I think five minutes is the max.,B|I think five minutes is the max.
10,M,Oh.,M|Oh.
11,B,"Oh, I don't know.","B|Oh, I don't know."
12,M,"Well, that's good.","M|Well, that's good."
13,B,"Right, especially, uh, you, since you're in the same metroplex, you know, there's so much going on here.","B|Right, especially, uh, you, since you're in the same metroplex, you know, there's so much going on here."
14,M,Right.,M|Right.
15,B,"Well, that, and in the schools, too starting to put metal detectors in,","B|Well, that, and in the schools, too starting to put metal detectors in,"
16,M,Yeah.,M|Yeah.
17,B,"and,","B|and,"
18,M,"And it's, it's getting, I mean, it, it really is.","M|And it's, it's getting, I mean, it, it really is."
19,B,"No, I, not that I'm aware of.","B|No, I, not that I'm aware of."
20,M,"Well, I know, I just heard something on the news about that, but I, I'm not sure what the circumstances surrounding it.","M|Well, I know, I just heard something on the news about that, but I, I'm not sure what the circumstances surrounding it."
21,B,"I just heard, you know, last week at that one school, they started putting them in because there was that one shooting","B|I just heard, you know, last week at that one school, they started putting them in because there was that one shooting"
22,M,Uh-huh.,M|Uh-huh.
23,B,"so, um,","B|so, um,"
24,M,"Yeah, that's true.","M|Yeah, that's true."
25,B,Is that right?,B|Is that right?
26,M,Yeah.,M|Yeah.
27,B,"Uh-huh. Yeah, yeah.","B|Uh-huh. Yeah, yeah."
28,M,"So, um.","M|So, um."
29,B,I know,B|I know
30,M,"But, uh, I mean there are a lot of kids that are just out of high school that, you know","M|But, uh, I mean there are a lot of kids that are just out of high school that, you know"
31,B,"I know, it's, it's, it's getting, it's been out of hand, I think, for a while, and it just continues to get worse.","B|I know, it's, it's, it's getting, it's been out of hand, I think, for a while, and it just continues to get worse."
32,M,Yeah.,M|Yeah.
33,B,Yeah.,B|Yeah.
34,M,"I mean, they've got to have the help.","M|I mean, they've got to have the help."
35,B,Right.,B|Right.
36,M,"and, uh,","M|and, uh,"
37,B,"Yeah, that's, I I agree, I think that's where it stems from, is that and, um, you know, you've got a lot of, a lot more women that are working nowadays that aren't home with the children","B|Yeah, that's, I I agree, I think that's where it stems from, is that and, um, you know, you've got a lot of, a lot more women that are working nowadays that aren't home with the children"
38,M,Uh-huh.,M|Uh-huh.
39,B,and that may impact it as well.,B|and that may impact it as well.
40,M,"Right, and I think, you're right, I, I know that, uh","M|Right, and I think, you're right, I, I know that, uh"
41,B,"Right, right.","B|Right, right."
42,M,"And, uh.","M|And, uh."
43,B,Yeah,B|Yeah
44,M,and yet they can be so easily ruined,M|and yet they can be so easily ruined
45,B,"they don't think twice about it. Yeah. Either that or I don't know if it happened and it wasn't as highly publicized as it is now, or what the, what the,","B|they don't think twice about it. Yeah. Either that or I don't know if it happened and it wasn't as highly publicized as it is now, or what the, what the,"
46,M,"Yeah, I think that's probably true.","M|Yeah, I think that's probably true."
47,B,Uh-huh.,B|Uh-huh.
48,M,"I, I, I'm not sure.","M|I, I, I'm not sure."
