,Speaker,Utterance,Unified
5,B,"Yeah,","B|Yeah,"
6,M,"Oh, I was just wondering that.","M|Oh, I was just wondering that."
7,B,actually through electronic mail.,B|actually through electronic mail.
8,M,"Oh, okay.","M|Oh, okay."
9,B,Uh-huh.,B|Uh-huh.
10,M,"And, uh.","M|And, uh."
11,B,"Right. So it's pretty fair they've got you slaving away,  at, at this point","B|Right. So it's pretty fair they've got you slaving away,  at, at this point"
12,M,"Right, right.","M|Right, right."
13,B,Yeah.,B|Yeah.
14,M,"Well, it's, it, it is a real problem.","M|Well, it's, it, it is a real problem."
15,B,"Well, um, I'm research stuff here now so what they, they have, uh, um, okay, benefits package. It's not quite as good as industry but one of the significant, um, benefits here is that you can take, uh, up to two courses a semester, um, and they pay for you know, pay for the classes.","B|Well, um, I'm research stuff here now so what they, they have, uh, um, okay, benefits package. It's not quite as good as industry but one of the significant, um, benefits here is that you can take, uh, up to two courses a semester, um, and they pay for you know, pay for the classes."
16,M,"Oh, okay.","M|Oh, okay."
17,B,"So,  that works out to be, um, a reasonable, a reasonable benefit.","B|So,  that works out to be, um, a reasonable, a reasonable benefit."
18,M,Yeah. Yeah.,M|Yeah. Yeah.
19,B,Uh-huh.,B|Uh-huh.
20,M,"but, um","M|but, um"
21,B,"If you want to,  do it quickly.","B|If you want to,  do it quickly."
22,M,and you're not allowed to take your kids out at night.,M|and you're not allowed to take your kids out at night.
23,B,"Uh-huh, uh-huh. Yeah. Yeah. So I, I don't know in, in terms of other things, other benefits other than sort of monetary I'd, you know, I, Yeah, we, we do. We have to contribute a certain amount, uh, to it.","B|Uh-huh, uh-huh. Yeah. Yeah. So I, I don't know in, in terms of other things, other benefits other than sort of monetary I'd, you know, I, Yeah, we, we do. We have to contribute a certain amount, uh, to it."
24,M,Right.,M|Right.
25,B,"And it's kind of split between C M U and,  and, you know, the employee.","B|And it's kind of split between C M U and,  and, you know, the employee."
26,M,Right.,M|Right.
27,B,"Right. Yeah, and it's also, right now it's, uh, the, like everywhere else, uh, here in Pittsburgh the health care, uh, rates are, are going up pretty quickly.","B|Right. Yeah, and it's also, right now it's, uh, the, like everywhere else, uh, here in Pittsburgh the health care, uh, rates are, are going up pretty quickly."
28,M,"Oh, yeah.","M|Oh, yeah."
29,B,"That's a whole other topic to begin with too but. Yeah, but it's, you are right. I, I, I really agree that, that that's pretty important.","B|That's a whole other topic to begin with too but. Yeah, but it's, you are right. I, I, I really agree that, that that's pretty important."
30,M,"Well, that, uh  that's, that makes a big difference.","M|Well, that, uh  that's, that makes a big difference."
31,B,Right.,B|Right.
32,M,"And I don't have a real big problem with, with it.","M|And I don't have a real big problem with, with it."
33,B,Right. Uh-huh Oh Now that's a big win.,B|Right. Uh-huh Oh Now that's a big win.
34,M,"Yeah, it really is.","M|Yeah, it really is."
35,B,"Yeah, yeah. That's,","B|Yeah, yeah. That's,"
36,M,Yeah.,M|Yeah.
37,B,Yeah.,B|Yeah.
38,M,"I don't know if you got the Texas or not, but I've got the book.","M|I don't know if you got the Texas or not, but I've got the book."
39,B,"Yeah. I figured for and they've just raised the, um, income caps on Social Security to the point where you have to be pretty, you have to be pretty well off before you stop paying paying that as well.","B|Yeah. I figured for and they've just raised the, um, income caps on Social Security to the point where you have to be pretty, you have to be pretty well off before you stop paying paying that as well."
40,M,"Oh, yeah, yeah That's true.","M|Oh, yeah, yeah That's true."
41,B,"Yeah, well if you could call it a benefit that C M U, I mean the other thing that they allow you to do here while you are working is, is consult for, um, you know, other companies.","B|Yeah, well if you could call it a benefit that C M U, I mean the other thing that they allow you to do here while you are working is, is consult for, um, you know, other companies."
42,M,Uh-huh.,M|Uh-huh.
43,B,"Um, so that's, that kind of helps out in terms of,  you know, keeping up-to-date with contacts in industry.","B|Um, so that's, that kind of helps out in terms of,  you know, keeping up-to-date with contacts in industry."
44,M,Right.,M|Right.
45,B,"You know, in case,  you know, in case you ever need to bail out","B|You know, in case,  you know, in case you ever need to bail out"
46,M,"Yeah. Yeah, that's true.","M|Yeah. Yeah, that's true."
47,B,Uh-huh.,B|Uh-huh.
48,M,"And, uh you know they, uh they have, uh  they have these, uh uh, they have those sets that you can paint over.","M|And, uh you know they, uh they have, uh  they have these, uh uh, they have those sets that you can paint over."
