,Speaker,Utterance,Unified
5,B,"And I,","B|And I,"
6,M,And what grade do you teach?,M|And what grade do you teach?
7,B,"Okay Uh, I've, the high school I went to was, uh, was a good one also. And I, well, I guess you could say one of the problems with the public education system is the disparity between different schools. Because the one I went to was, you know, I'm sure a, a lot nicer than, you know, a lot of the inner city schools and the things around Atlanta.","B|Okay Uh, I've, the high school I went to was, uh, was a good one also. And I, well, I guess you could say one of the problems with the public education system is the disparity between different schools. Because the one I went to was, you know, I'm sure a, a lot nicer than, you know, a lot of the inner city schools and the things around Atlanta."
8,M,Uh-huh.,M|Uh-huh.
9,B,Yeah.,B|Yeah.
10,M,"I mean, I went there as a second shift person,","M|I mean, I went there as a second shift person,"
11,B,What,B|What
12,M,!!! Remind me of that now.,M|!!! Remind me of that now.
13,B,"Yeah, that's true.","B|Yeah, that's true."
14,M,"And they were, they were motivated to do something and they were willing to try.","M|And they were, they were motivated to do something and they were willing to try."
15,B,"Yeah. And I'm also I mean, in the, in those places where, uh, like the economy is really bad, they might, you know, be more tempted to, to quit school and get jobs and that kind of thing because they need the, you know, money to put food on the table and stuff like that. More than they would you know, in areas where they","B|Yeah. And I'm also I mean, in the, in those places where, uh, like the economy is really bad, they might, you know, be more tempted to, to quit school and get jobs and that kind of thing because they need the, you know, money to put food on the table and stuff like that. More than they would you know, in areas where they"
16,M,Yeah,M|Yeah
17,B,Uh-huh. Yeah. That's true.,B|Uh-huh. Yeah. That's true.
18,M,"you know, I don't know, it's just a, it seems like, it, it would be more of a challenge.","M|you know, I don't know, it's just a, it seems like, it, it would be more of a challenge."
19,B,Right.,B|Right.
20,M,"!!!etwork!! etwork! etwe!!;!!body!! Unless you work for a company,","M|!!!etwork!! etwork! etwe!!;!!body!! Unless you work for a company,"
21,B,Yeah.,B|Yeah.
22,M,"I mean, I think a lot of people are just totally, totally turned off on the test. I mean, you, you're not going to, you don't have to worry about, you can just, you could just say good-bye now and it wouldn't, you wouldn't have anything to worry, you didn't have any reason to, to be bothered.","M|I mean, I think a lot of people are just totally, totally turned off on the test. I mean, you, you're not going to, you don't have to worry about, you can just, you could just say good-bye now and it wouldn't, you wouldn't have anything to worry, you didn't have any reason to, to be bothered."
23,B,"That's hard for me to say since I didn't, I didn't really grow, well when I went to elementary school it, it wasn't in a great area but I still, I mean, I learned to read, started learning to read when I was in kindergarten, you know.","B|That's hard for me to say since I didn't, I didn't really grow, well when I went to elementary school it, it wasn't in a great area but I still, I mean, I learned to read, started learning to read when I was in kindergarten, you know."
24,M,Uh-huh.,M|Uh-huh.
25,B,"So I guess I can't really I can't say what it would be like to, uh, grow up in a really oppressed region","B|So I guess I can't really I can't say what it would be like to, uh, grow up in a really oppressed region"
26,M,Uh-huh.,M|Uh-huh.
27,B,"You know, I guess the whole, the whole environment and attitude towards school and learning is different for the people.","B|You know, I guess the whole, the whole environment and attitude towards school and learning is different for the people."
28,M,Uh-huh.,M|Uh-huh.
29,B,"So, I guess the problem is the, the thing to do is to try to, uh, to get some kind of motivation to learn and,","B|So, I guess the problem is the, the thing to do is to try to, uh, to get some kind of motivation to learn and,"
30,M,"Yeah, yeah, I, I've, I have a lot of friends that are teachers.","M|Yeah, yeah, I, I've, I have a lot of friends that are teachers."
31,B,Uh-huh. Yeah. Uh-huh.,B|Uh-huh. Yeah. Uh-huh.
32,M,"And, uh.","M|And, uh."
33,B,"No, I, I can't say that I have either. But, uh,","B|No, I, I can't say that I have either. But, uh,"
34,M,"I, I would like to go to a, a school that has more than one teacher.","M|I, I would like to go to a, a school that has more than one teacher."
35,B,"Yeah. I've, I've heard some, I mean I've heard statistics and things that, that compare a public education to a private education. I mean within like, within the same, uh, income groups.","B|Yeah. I've, I've heard some, I mean I've heard statistics and things that, that compare a public education to a private education. I mean within like, within the same, uh, income groups."
36,M,Uh-uh. Right.,M|Uh-uh. Right.
37,B,"If you compare the, like the people that could have, that could have sent their kids to private schools and the people that, you know, the people that, uh, did send their kids to private  schools.","B|If you compare the, like the people that could have, that could have sent their kids to private schools and the people that, you know, the people that, uh, did send their kids to private  schools."
38,M,Uh-huh.,M|Uh-huh.
39,B,"I think they compare you know, fairly well.","B|I think they compare you know, fairly well."
40,M,"Well, that's good.","M|Well, that's good."
41,B,"Yeah. I, I, I, my schools, I mean, there, I have a lot of once, once it seemed I got into high school, they had a lot of, uh, accelerated programs and all kinds of stuff like that.","B|Yeah. I, I, I, my schools, I mean, there, I have a lot of once, once it seemed I got into high school, they had a lot of, uh, accelerated programs and all kinds of stuff like that."
42,M,Uh-huh.,M|Uh-huh.
43,B,"That, I mean, that makes a big difference cause I wondered when they're taking classes with, uh, with people that are really, are interested in the, the subject and stuff like that.","B|That, I mean, that makes a big difference cause I wondered when they're taking classes with, uh, with people that are really, are interested in the, the subject and stuff like that."
44,M,Uh-huh.,M|Uh-huh.
45,B,Uh-huh.,B|Uh-huh.
46,M,"I mean, it's, it really is, and I think that's one of the things that, that, uh,","M|I mean, it's, it really is, and I think that's one of the things that, that, uh,"
